회사명,업종명,생산품,주소,연락처,출처파일
(주)남양에스앤티,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 제동장치,경상남도 창녕군 대합면 평지리 61-4,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)다이나맥창녕공장,그 외 자동차용 신품 부품 제조업 외 3 종,SOLENOID,경상남도 창녕군 대합면 대합공단길 36-11,055-532-0951,경상남도_창녕군_제조업공장현황_20250429.csv
(주)대경그린팩,자동차용 금속 압형제품 제조업,자동차 부품,경상남도 창녕군 대합면 대합공단길 35-11,055-806-7541,경상남도_창녕군_제조업공장현황_20250429.csv
(주)대성이노텍,철도차량 부품 및 관련 장치물 제조업 외 1 종,객차+전동차+기관차(구체+SIDE+ROOF+U/F+END),경상남도 창녕군 장마면 초곡길 322,055-533-7700,경상남도_창녕군_제조업공장현황_20250429.csv
(주)대왕,선박 구성 부분품 제조업,선박부품+플랜트,경상남도 창녕군 영산면 신제로 69,055-521-3425,경상남도_창녕군_제조업공장현황_20250429.csv
(주)대우경금속,그 외 자동차용 신품 부품 제조업 외 3 종,자동차발판+변속기 로터 등+자동차부품+자동차부품+자동차부품,경상남도 창녕군 대합면 합리 1418,055-533-0013,경상남도_창녕군_제조업공장현황_20250429.csv
(주)대원기업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품(응축기+증발기),경상남도 창녕군 장마면 동정리 26-4,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)대화포징,그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 창녕군 영산면 서리상촌길 307-47,055-521-4590,경상남도_창녕군_제조업공장현황_20250429.csv
(주)동성,철도차량 부품 및 관련 장치물 제조업,철도차량부품,경상남도 창녕군 대합면 대합산업단지로 120-7,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)동소금속,그 외 자동차용 신품 부품 제조업 외 3 종,파이프+칼라,경상남도 창녕군 장마면 초곡길 235-24,055-521-3087,경상남도_창녕군_제조업공장현황_20250429.csv
(주)동주S&J,차체 및 특장차 제조업,파워게이트 차량+윙바디 등,경상남도 창녕군 영산면 신제리 172-13,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)두남에스에이,그 외 자동차용 신품 부품 제조업,휠커버,경상남도 창녕군 대지면 대지농공단지길 24-35,055-532-4460,경상남도_창녕군_제조업공장현황_20250429.csv
(주)디알오토텍,산업용 로봇 제조업 외 1 종,산업용 로봇 제조+그외 기타 특수 목적용 기계 제조업,경상남도 창녕군 대합면 대합산업단지로 38-36,055-532-8353,경상남도_창녕군_제조업공장현황_20250429.csv
(주)디엔[3공장],자동차 차체용 신품 부품 제조업,자동차 내장제,경상남도 창녕군 대합면 경남대로 5279-22,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)디케이엘,도장 및 기타 피막처리업,철도용부품(도장품),경상남도 창녕군 도천면 경남대로 3133,055-806-7003,경상남도_창녕군_제조업공장현황_20250429.csv
(주)디케이엘,철도차량 부품 및 관련 장치물 제조업 외 1 종,의료기부품+철도차량 부품+철도차량 내장재,경상남도 창녕군 대지면 도양새우등길 19,055-532-7008,경상남도_창녕군_제조업공장현황_20250429.csv
(주)디케이오스텍창녕공장,그 외 자동차용 신품 부품 제조업 외 4 종,자동차부품,경상남도 창녕군 장마면 초곡길 235-24,051-727-7071,경상남도_창녕군_제조업공장현황_20250429.csv
(주)미래테크-1공장,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 에어콘용 콤프레샤부품,경상남도 창녕군 성산면 후천공단길 37,055-532-6534,경상남도_창녕군_제조업공장현황_20250429.csv
(주)미래테크-2공장,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 에어콘용 콤퓨레샤부품,경상남도 창녕군 성산면 후천공단길 38,055-532-6534,경상남도_창녕군_제조업공장현황_20250429.csv
(주)부경하이텍,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품(볼스터드),경상남도 창녕군 영산면 신제리 731,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)삼부,그 외 자동차용 신품 부품 제조업 외 3 종,조향장치,경상남도 창녕군 계성면 광계마을길 194,,경상남도_창녕군_제조업공장현황_20250429.csv
(주)성일엠텍,자동차 엔진용 신품 부품 제조업 외 1 종,피스톤핀,경상남도 창녕군 영산면 서리상촌길 307-113,055-521-1712,경상남도_창녕군_제조업공장현황_20250429.csv
(주)성일엠텍,자동차 엔진용 신품 부품 제조업 외 1 종,자동차엔진부품+태양력발전업,경상남도 창녕군 영산면 서리 534,055-521-1712,경상남도_창녕군_제조업공장현황_20250429.csv
(주)성일엠텍,자동차 엔진용 신품 부품 제조업 외 1 종,자동차엔진부품+태양력발전업,경상남도 창녕군 영산면 서리 535,055-521-1712,경상남도_창녕군_제조업공장현황_20250429.csv
(주)신성에이치엔티,그 외 자동차용 신품 부품 제조업,자동차 부품,경상남도 창녕군 대합면 대합산업단지로 38-45,053-611-9415,경상남도_창녕군_제조업공장현황_20250429.csv
(주)신화열처리,자동차용 신품 동력전달장치 제조업,자동차부품,경상남도 창녕군 대합면 대합산업단지로 38-43,055-530-9900,경상남도_창녕군_제조업공장현황_20250429.csv
