일련번호,시군구명,회사명,업종명,도로명주소,주요생산품명,대표자명,전화번호,팩스번호,직원수,데이터기준일자
1,거제시,(주)거제전통메주,장류 제조업 외 1 종,경상남도 거제시 동부면 삼거림1길 20 (총 2 필지) 외 1필지,"메주, 두부, 장류",김금자,055-633-2270,055-638-2205,21,2024-06-10
2,거제시,(주)건화,선박 구성 부분품 제조업 외 1 종,경상남도 거제시 연초면 연하해안로 841-54 (연초면),"선박구성부분품,도장및기타피막처리업",제영섭,055-639-5300,055-632-9977,100,2024-06-10
3,거제시,(주)광성산업,구조용 금속 판제품 및 공작물 제조업 외 5 종,경상남도 거제시 연초면 소오비길 11-10,금속공작물,김정미,055-632-7333,055-632-7333,2,2024-06-10
4,거제시,(주)금하네이벌텍,선박 구성 부분품 제조업 외 3 종,경상남도 거제시 하청면 실전해안길 78 (실천카페리터미널),"복합센서마스트, 여객용 선박 등",양향권,051-664-8200,051-664-2801,12,2024-06-10
5,거제시,(주)금화,선박 구성 부분품 제조업,경상남도 거제시 사등면 거제대로 6025-17 (㈜정화) 외 2필지,선박구성부분품(계측관),신철,055-638-2974,055-638-2973,37,2024-06-10
6,거제시,(주)네오하이텍,일반용 전기 조명장치 제조업,"경상남도 거제시 사등면 성포로 92-19, 상가동 101호 (삼우비취맨션)",LED 조명,김우재,055-637-4622,,6,2024-06-10
7,거제시,(주)대성쏠라,육상 금속 골조 구조재 제조업 외 3 종,"경상남도 거제시 수양로 180 (양정동, 아주상사)","태양광 구조물, LED조명기구",양성우,055-633-1009,055-638-1091,16,2024-06-10
8,거제시,(주)대아,"금속 문, 창, 셔터 및 관련제품 제조업",경상남도 거제시 연초면 오비4길 11,금속제 창(새시),이정수,055-637-2059,055-637-7523,6,2024-06-10
9,거제시,(주)대현,기타 물품 취급장비 제조업,경상남도 거제시 연초면 소오비1길 9,크레인,이현호,055-632-2830,055-632-2831,4,2024-06-10
10,거제시,(주)대흥,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,경상남도 거제시 사등면 성포로 350 (사등면) 외 1필지,"기타금속가공제품, 선박구성부분품",김용실,055-632-6141,055-632-6143,62,2024-06-10
11,거제시,(주)동성,선박 구성 부분품 제조업,경상남도 거제시 하청면 석포리 산 60-3번지 외 2필지,"선박의장품, 조선치구류",김동성,055-635-2236,055-636-1740,30,2024-06-10
12,거제시,(주)부광식품,"수산동물 훈제, 조리 및 유사 조제식품 제조업",경상남도 거제시 둔덕면 내평1길 43-1 (부광식품),굴가공류,최무영,055-633-1239,055-632-1239,55,2024-06-10
13,거제시,(주)부산냉동냉장 거제지점,기타 수산동물 가공 및 저장 처리업 외 2 종,경상남도 거제시 사등면 덕호해안길 87 외 1필지,"수산물, 육류 포장제품",육흥찬,055-634-1974,055-637-8223,3,2024-06-10
14,거제시,(주)삼녹,도금업 외 4 종,경상남도 거제시 연초면 오비4길 54 외 3필지,선박구성부분품 ,"이헌국, 김기덕, 김환중",055-638-3227,055-638-3127,114,2024-06-10
15,거제시,(주)삼녹 제작3공장,선박 구성 부분품 제조업,경상남도 거제시 연초면 연하해안로 473-41,선박 구성 부분품(PIPE),"이헌국, 김기덕, 김환중",055-638-3227,055-638-3127,11,2024-06-10
