순번,단지명,회사명,공장대표주소,업종명,전화번호,팩스번호,생산품
1,창녕대합일반산업단지,골든테크,경상남도 창녕군 대합면 대합산업단지로 22-16,유압기기 제조업,055-532-1685,055-532-1686,유압기기
2,창녕남지농공단지,(유)신한코리아,경상남도 창녕군 남지읍 낙동로 325,구조용 금속 판제품 및 공작물 제조업 외 2 종,055-520-8200,0303-3447-8201,SMC 도어+Ecowall판넬
3,창녕남지농공단지,(유)신한코리아,경상남도 창녕군 남지읍 남지공단길 23,육상 금속 골조 구조재 제조업 외 1 종,055-526-2861,,판넬
4,창녕대지농공단지,(주)JK알에스티,경상남도 창녕군 대지면 대지농공단지길 24-32,배전반 및 전기 자동제어반 제조업,051-832-0533,051-832-0538,변압기+부스바
5,개별공장,(주)SUN&L다린창녕공장,경상남도 창녕군 도천면 일리 418,포장용 플라스틱 성형용기 제조업 외 1 종,055-294-8801,070-4006-4131,생활용품 플라스틱 pump&spray
6,개별공장,(주)가덕중공업,경상남도 창녕군 장마면 강리길 67,기타 선박 건조업,,,선박구조물
7,개별공장,(주)가라시마,경상남도 창녕군 대합면 대동월포로 343,복합비료 및 기타 화학비료 제조업,053-614-7400,053-614-7444,액체비료
8,개별공장,(주)가야이에스씨,경상남도 창녕군 대합면 이방대합로 1132,기타 구조용 금속제품 제조업,055-532-0080,055-532-7933,강구조물
9,개별공장,(주)가야이에스씨,경상남도 창녕군 대합면 이방대합로 1132,기타 구조용 금속제품 제조업,055-532-0080,055-532-8901,철구조물+BH제작+금속부착물 외
10,개별공장,(주)가야이에스씨,경상남도 창녕군 대합면 도개길 59,육상 금속 골조 구조재 제조업 외 1 종,055-532-0080,055-532-7933,철구조물
11,개별공장,(주)가야이에스씨,경상남도 창녕군 대합면 등지리 973-1,기타 구조용 금속제품 제조업,055-532-0080,055-532-7933,철구조물
12,개별공장,(주)강일정밀관,경상남도 창녕군 장마면 영산장마로 301-4,열간 압연 및 압출 제품 제조업,,,스테인레스관
13,개별공장,(주)경민,경상남도 창녕군 대합면 등지리 264,선박 구성 부분품 제조업,,,선박구성부분품
14,창녕대합일반산업단지,(주)경안금속,경상남도 창녕군 대합면 대합산업단지로 120-19,그 외 기타 달리 분류되지 않은 운송장비 제조업,053-615-9952,053-615-9797,운송장비 시동모터 커버
15,창녕남지농공단지,(주)경연,경상남도 창녕군 남지읍 남지공단길 9,금속 문·창·셔터 및 관련제품 제조업,051-365-3693,051-955-3693,알루미늄 창호
16,개별공장,(주)그린에어시스,경상남도 창녕군 대지면 갈전길 195,산업용 송풍기 및 배기장치 제조업,055-533-9041,055-533-9043,덕트
17,개별공장,(주)극동,경상남도 창녕군 장마면 창녕장마로 321,트레일러 및 세미트레일러 제조업 외 2 종,055-521-1850,055-521-1849,컨테이너
18,창녕대합일반산업단지,(주)금경라이팅,경상남도 창녕군 대합면 합리 1342,알루미늄주물 주조업 외 1 종,055-602-2222,051-747-1043,알루미늄 다이케스팅
19,개별공장,(주)금오중공업,경상남도 창녕군 영산면 서리상촌길 94,육상 금속 골조 구조재 제조업 외 3 종,055-521-5700,055-521-4700,크레인
20,개별공장,(주)금화스틸,경상남도 창녕군 도천면 경남대로 3103,그 외 기타 1차 철강 제조업,055-716-0145,,가공철근
21,개별공장,(주)기영,경상남도 창녕군 영산면 월령공장길 61,레미콘 제조업,055-526-5555,055-526-5584,레미콘
22,개별공장,(주)나래푸드,경상남도 창녕군 계성면 계성장마로 380,김치류 제조업 외 1 종,055-521-8081,055-521-0821,김치
23,개별공장,(주)남양에스앤티,경상남도 창녕군 대합면 평지리 61-4,그 외 자동차용 신품 부품 제조업 외 3 종,,,자동차 제동장치
24,개별공장,(주)남정,경상남도 창녕군 계성면 명달길 16,플라스틱 선·봉·관 및 호스 제조업 외 2 종,055-536-2291,055-536-2280,이중벽+삼중벽하수관+지중전선관+수도관+폴리에틸렌제품
25,개별공장,(주)남창,경상남도 창녕군 영산면 도천중앙로 203,일반 제재업,055-521-2941,055-521-2943,제재목
26,개별공장,(주)네오필드,경상남도 창녕군 도천면 덕곡안길 8-36,그 외 기타 플라스틱 제품 제조업,070-4235-3505,055-342-9465,인조잔디
27,개별공장,(주)넥스트씨엔디,경상남도 창녕군 장마면 강리길 67,금속 절삭기계 제조업,055-536-3213,055-536-3218,공작기계
28,창녕대합일반산업단지,(주)다우,경상남도 창녕군 대합면 대합산업단지로 68-51,알루미늄 제련·정련 및 합금 제조업 외 1 종,055-533-1286,070-8677-1286,알루미늄 튜브외
29,창녕대합농공단지,(주)다이나맥창녕공장,경상남도 창녕군 대합면 대합공단길 36-11,그 외 자동차용 신품 부품 제조업 외 3 종,055-532-0951,055-532-0953,SOLENOID
30,창녕대합농공단지,(주)대경그린팩,경상남도 창녕군 대합면 대합공단길 35-11,자동차용 금속 압형제품 제조업,055-806-7541,055-806-7542,자동차 부품
31,개별공장,(주)대도씨엔이,경상남도 창녕군 대합면 평지퇴산로 239,육상 금속 골조 구조재 제조업 외 1 종,051-731-4579,051-731-4590,철구조물+강구조물
32,개별공장,(주)대림산업,경상남도 창녕군 계성면 광계리 1120,증류기·열교환기 및 가스발생기 제조업,,,가스탱크 등
33,창녕대합일반산업단지,(주)대림에프엔티,경상남도 창녕군 대합면 합리 1414,절삭가공 및 유사처리업,053-615-5000,055-532-0077,절삭가공 및 유사처리업
34,개별공장,(주)대명산업,경상남도 창녕군 대합면 경남대로 5146,플라스틱 선·봉·관 및 호스 제조업 외 1 종,,,PE이중벽관+일반용 폴리에틸렌 이음관
35,개별공장,(주)대명스틸,경상남도 창녕군 영산면 월령리 32,선박 구성 부분품 제조업 외 1 종,055-536-9024,,건축철골+금속재 빔구조물
