산업체,성북구사업체수,성북구종사자수,돈암1동사업체수,돈암1동종사자수,돈암2동사업체수,돈암2동종사자수,안암동사업체수,안암동종사자수,보문동사업체수,보문동종사자수,정릉1동사업체수,정릉1동종사자수,정릉2동사업체수,정릉2동종사자수,정릉3동사업체수,정릉3동종사자수,정릉4동사업체수,정릉4동종사자수,길음1동사업체수,길음1동종사자수,길음2동사업체수,길음2동종사자수,월곡1동사업체수,월곡1동종사자수,월곡2동사업체수,월곡2동종사자수,장위1동사업체수,장위1동종사자수,장위2동사업체수,장위2동종사자수,장위3동사업체수,장위3동종사자수,성북동사업체수,성북동종사자수,삼선동사업체수,삼선동종사자수,동선동사업체수,동선동종사자수,종암동사업체수,종암동종사자수,석관동사업체수,석관동종사자수
전 산업,23617,111005,386,2116,421,2477,1431,13406,1294,5461,757,1976,904,2961,717,4764,929,4131,1008,3921,995,4816,1361,5403,1558,8951,911,2263,1106,3218,597,2331,1174,5315,1834,8921,2037,9961,2034,8629,2163,9984
제조업,2144,7873,10,44,4,12,78,323,226,651,54,166,33,90,28,107,39,117,30,91,13,55,159,693,230,925,159,607,245,959,79,394,39,154,84,271,45,173,323,979,266,1062
"전기, 가스, 증기 및 공기조절 공급업",4,8,,,,,,,1,1,,,,,,,1,5,,,,,,,,,,,,,,,2,2,,,,,,,,
"수도, 하수 및 폐기물 처리, 원료 재생업",13,171,,,,,,,1,18,1,2,,,,,1,2,,,,,1,25,1,4,,,2,3,1,25,,,2,13,,,,,3,79
건설업,575,4133,12,229,8,27,33,159,34,410,26,161,17,127,14,39,16,88,16,50,20,68,30,237,31,143,18,67,27,108,22,92,29,237,42,137,43,525,48,433,89,796
도매 및 소매업,4697,14662,61,183,54,125,293,1093,258,920,124,322,150,509,111,303,159,389,195,516,295,1281,290,820,335,1150,164,333,230,478,90,260,248,811,408,1348,417,1281,381,996,434,1544
운수 및 창고업,3557,6130,107,128,103,103,93,129,272,320,150,173,243,397,163,411,226,984,164,200,83,115,280,296,150,213,198,202,172,197,149,483,78,93,148,163,73,216,289,338,416,969
숙박 및 음식점업,4461,13323,39,182,42,110,436,1613,169,452,108,288,136,381,161,457,154,366,181,543,207,690,158,456,315,968,125,256,160,330,67,201,228,855,446,1126,637,2156,329,954,363,939
정보통신업,241,1900,,,2,30,37,263,10,29,5,7,5,17,9,25,7,21,2,5,10,212,13,157,9,43,,,8,20,,,53,520,27,109,25,351,10,62,9,29
금융 및 보험업,144,1576,2,6,5,29,10,76,10,151,3,24,5,52,2,14,4,32,9,83,5,12,8,150,9,75,4,34,8,66,1,7,8,122,19,142,14,96,11,340,7,65
부동산업,1203,3827,32,116,39,176,54,100,54,102,44,124,56,138,31,123,47,108,72,197,66,204,57,144,54,126,40,50,53,67,55,112,62,116,80,163,111,225,92,1208,104,228
"전문, 과학 및 기술 서비스업",480,5384,2,7,2,7,58,1040,33,139,9,16,6,11,13,230,10,42,9,21,17,107,12,494,45,2095,4,11,12,28,5,11,58,353,100,351,43,170,19,68,23,183
"사업시설 관리, 사업 지원 및 임대 서비스업",264,5624,3,161,2,920,27,140,17,841,9,13,3,21,3,7,5,41,8,202,17,385,11,174,20,368,3,3,8,46,4,13,27,95,29,335,28,741,19,106,21,1012
"공공행정, 국방 및 사회보장 행정",51,3308,1,22,2,68,1,21,4,82,2,19,2,48,2,22,3,65,3,105,2,25,2,78,2,23,1,23,2,83,2,49,4,66,6,1782,1,23,6,634,3,70
교육 서비스업,1368,21947,37,664,62,446,61,4764,35,332,68,159,55,336,32,2511,55,1130,104,957,62,180,85,592,57,1412,32,221,22,206,30,342,98,867,113,1792,148,2402,136,940,76,1694
보건업 및 사회복지 서비스업,1045,13249,21,221,27,205,45,3132,37,734,30,305,55,471,23,202,49,425,75,633,54,986,73,664,66,858,26,233,36,400,24,219,58,432,86,696,88,710,95,973,77,750
"예술, 스포츠 및 여가관련 서비스업",745,2323,7,35,16,62,61,168,20,39,25,53,33,195,23,62,29,92,30,87,27,148,35,87,58,186,22,39,14,22,9,23,35,133,75,169,99,302,67,216,60,205
"협회 및 단체, 수리 및 기타 개인 서비스업",2625,5567,52,118,53,157,144,385,113,240,99,144,105,168,102,251,124,224,110,231,117,348,147,336,176,362,115,184,107,205,59,100,147,459,169,324,265,590,209,382,212,359
전 산업,23617,111005,386,2116,421,2477,1431,13406,1294,5461,757,1976,904,2961,717,4764,929,4131,1008,3921,995,4816,1361,5403,1558,8951,911,2263,1106,3218,597,2331,1174,5315,1834,8921,2037,9961,2034,8629,2163,9984
제조업,2144,7873,10,44,4,12,78,323,226,651,54,166,33,90,28,107,39,117,30,91,13,55,159,693,230,925,159,607,245,959,79,394,39,154,84,271,45,173,323,979,266,1062
식료품 제조업,201,444,3,6,1,1,3,10,9,14,8,13,5,8,8,21,14,28,12,26,1,2,17,45,10,21,12,19,16,26,2,12,7,38,20,56,3,6,21,40,29,52
"도축, 육류 가공 및 저장 처리업",3,13,,,,,,,,,,,,,,,,,,,,,1,6,1,5,1,2,,,,,,,,,,,,,,
육류 가공 및 저장 처리업,3,13,,,,,,,,,,,,,,,,,,,,,1,6,1,5,1,2,,,,,,,,,,,,,,
가금류 가공 및 저장 처리업,1,5,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,
육류 기타 가공 및 저장처리업 (가금류 제외),2,8,,,,,,,,,,,,,,,,,,,,,1,6,,,1,2,,,,,,,,,,,,,,
수산물 가공 및 저장 처리업,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1
수산동물 가공 및 저장 처리업,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,
"수산동물 훈제, 조리 및 유사 조제식품 제조업",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,
수산식물 가공 및 저장 처리업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
수산식물 가공 및 저장 처리업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"과실, 채소 가공 및 저장 처리업",5,15,,,,,,,,,,,,,,,,,1,3,,,,,,,,,1,2,,,1,7,,,,,2,3,,
"과실, 채소 가공 및 저장 처리업",5,15,,,,,,,,,,,,,,,,,1,3,,,,,,,,,1,2,,,1,7,,,,,2,3,,
김치류 제조업,2,5,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,1,2,,
과실 및 그 외 채소 절임식품 제조업,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,,
기타 과실ㆍ채소 가공 및 저장 처리업,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,
동물성 및 식물성 유지 제조업,25,48,,,,,,,2,2,1,2,1,2,1,1,2,3,2,3,,,2,3,,,3,5,,,1,10,,,2,3,,,2,3,6,11
동물성 및 식물성 유지 제조업,25,48,,,,,,,2,2,1,2,1,2,1,1,2,3,2,3,,,2,3,,,3,5,,,1,10,,,2,3,,,2,3,6,11
식물성 유지 제조업,25,48,,,,,,,2,2,1,2,1,2,1,1,2,3,2,3,,,2,3,,,3,5,,,1,10,,,2,3,,,2,3,6,11
"곡물가공품, 전분 및 전분제품 제조업",13,26,,,,,,,,,,,,,1,3,1,2,,,,,1,1,1,2,2,4,1,1,,,1,4,2,3,1,3,2,3,,
곡물 가공품 제조업,12,24,,,,,,,,,,,,,1,3,,,,,,,1,1,1,2,2,4,1,1,,,1,4,2,3,1,3,2,3,,
곡물 도정업,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
곡물 제분업,6,12,,,,,,,,,,,,,1,3,,,,,,,1,1,,,1,3,1,1,,,,,1,1,1,3,,,,
곡물 혼합분말 및 반죽 제조업,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,
기타 곡물 가공품 제조업,4,6,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,2,,,2,3,,
전분제품 및 당류 제조업,1,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
전분제품 및 당류 제조업,1,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
기타 식품 제조업,150,331,3,6,1,1,3,10,5,9,7,11,4,6,6,17,10,20,9,20,1,2,13,35,8,14,6,8,14,23,1,2,5,27,16,50,2,3,14,27,22,40
"떡, 빵 및 과자류 제조업",84,195,2,5,1,1,,,3,7,3,7,4,6,4,6,7,17,4,9,1,2,8,16,5,9,2,3,5,10,1,2,4,26,9,32,2,3,8,15,11,19
떡류 제조업,80,173,2,5,1,1,,,3,7,3,7,4,6,4,6,6,11,4,9,,,7,13,5,9,2,3,5,10,1,2,3,15,9,32,2,3,8,15,11,19
빵류 제조업,4,22,,,,,,,,,,,,,,,1,6,,,1,2,1,3,,,,,,,,,1,11,,,,,,,,
"면류, 마카로니 및 유사식품 제조업",1,15,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,
"면류, 마카로니 및 유사식품 제조업",1,15,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,
조미료 및 식품 첨가물 제조업,9,20,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,3,12,,,2,3,2,3
천연 및 혼합조제 조미료 제조업,8,19,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,3,12,,,1,2,2,3
기타 식품 첨가물 제조업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
도시락 및 식사용 조리식품 제조업,4,17,,,,,1,4,1,1,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,1,3
도시락류 제조업,3,16,,,,,1,4,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,1,3
기타 식사용 가공처리 조리식품 제조업,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기타 식료품 제조업,52,84,1,1,,,2,6,1,1,4,4,,,1,2,2,2,5,11,,,4,4,3,5,4,5,8,12,,,1,1,4,6,,,4,9,8,15
커피 가공업,2,4,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,1,,,,,,,,
차류 가공업,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
두부 및 유사식품 제조업,11,23,,,,,,,,,,,,,1,2,,,2,4,,,2,2,,,1,2,3,6,,,,,,,,,1,4,1,3
건강보조용 액화식품 제조업,37,51,1,1,,,1,1,1,1,4,4,,,,,2,2,3,7,,,2,2,2,2,3,3,5,6,,,,,3,5,,,3,5,7,12
건강기능식품 제조업,1,5,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동물용 사료 및 조제식품 제조업,3,6,,,,,,,2,3,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
동물용 사료 및 조제식품 제조업,3,6,,,,,,,2,3,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
배합 사료 제조업,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단미 사료 및 기타 사료 제조업,2,5,,,,,,,1,2,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,
섬유제품 제조업; 의복제외,331,940,,,,,6,13,33,74,4,8,2,4,1,9,4,9,4,9,2,4,16,88,57,168,26,67,39,127,12,60,4,10,10,26,2,7,86,209,23,48
방적 및 가공사 제조업,17,43,,,,,1,3,3,8,,,,,,,,,1,3,1,3,2,5,2,10,4,4,1,3,,,,,1,1,,,1,3,,
방적 및 가공사 제조업,17,43,,,,,1,3,3,8,,,,,,,,,1,3,1,3,2,5,2,10,4,4,1,3,,,,,1,1,,,1,3,,
연사 및 가공사 제조업,17,43,,,,,1,3,3,8,,,,,,,,,1,3,1,3,2,5,2,10,4,4,1,3,,,,,1,1,,,1,3,,
직물직조 및 직물제품 제조업,129,306,,,,,3,5,11,21,2,3,2,4,,,1,1,2,5,1,1,2,4,20,44,5,10,8,29,5,38,3,7,3,6,1,3,56,115,4,10
직물 직조업,4,25,,,,,,,1,1,,,,,,,,,1,2,,,,,,,,,,,1,19,,,1,3,,,,,,
면직물 직조업,2,21,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,19,,,,,,,,,,
특수 직물 및 기타 직물 직조업,2,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,
직물제품 제조업,125,281,,,,,3,5,10,20,2,3,2,4,,,1,1,1,3,1,1,2,4,20,44,5,10,8,29,4,19,3,7,2,3,1,3,56,115,4,10
침구 및 관련제품 제조업,11,27,,,,,1,1,,,1,1,,,,,1,1,1,3,1,1,,,1,2,1,1,,,1,9,,,,,1,3,1,1,1,4
자수제품 및 자수용재료 제조업,83,173,,,,,,,1,2,,,,,,,,,,,,,1,2,16,32,2,2,6,17,1,2,1,1,,,,,53,111,2,4
커튼 및 유사제품 제조업,4,15,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,10,,,,,,,,,2,3,,
"천막, 텐트 및 유사 제품 제조업",10,22,,,,,1,1,,,1,2,2,4,,,,,,,,,,,,,,,1,2,2,8,,,2,3,,,,,1,2
직물포대 제조업,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
기타 직물제품 제조업,16,42,,,,,1,3,9,18,,,,,,,,,,,,,,,2,8,2,7,,,,,2,6,,,,,,,,
편조원단 제조업,6,16,,,,,,,2,5,,,,,,,1,4,1,1,,,,,,,1,3,,,,,,,,,,,1,3,,
편조원단 제조업,6,16,,,,,,,2,5,,,,,,,1,4,1,1,,,,,,,1,3,,,,,,,,,,,1,3,,
편조원단 제조업,6,16,,,,,,,2,5,,,,,,,1,4,1,1,,,,,,,1,3,,,,,,,,,,,1,3,,
"섬유제품 염색, 정리 및 마무리 가공업",170,546,,,,,2,5,15,33,2,5,,,,,2,4,,,,,11,76,34,112,16,50,29,93,7,22,1,3,6,19,1,4,27,86,17,34
"섬유제품 염색, 정리 및 마무리 가공업",170,546,,,,,2,5,15,33,2,5,,,,,2,4,,,,,11,76,34,112,16,50,29,93,7,22,1,3,6,19,1,4,27,86,17,34
솜 및 실 염색가공업,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,1,3,,,2,4,,
"직물, 편조원단 및 의복류 염색 가공업",16,38,,,,,1,2,2,2,,,,,,,,,,,,,2,4,,,3,12,2,6,1,3,,,1,3,,,2,3,2,3
날염 가공업,73,244,,,,,1,3,,,1,3,,,,,1,2,,,,,3,12,22,72,8,28,14,56,2,4,,,,,,,13,48,8,16
섬유제품 기타 정리 및 마무리 가공업,77,252,,,,,,,13,31,1,2,,,,,1,2,,,,,6,60,12,40,5,10,13,31,3,10,1,3,4,13,1,4,10,31,7,15
기타 섬유제품 제조업,9,29,,,,,,,2,7,,,,,1,9,,,,,,,1,3,1,2,,,1,2,,,,,,,,,1,2,2,4
그 외 기타 섬유제품 제조업,9,29,,,,,,,2,7,,,,,1,9,,,,,,,1,3,1,2,,,1,2,,,,,,,,,1,2,2,4
세폭직물 제조업,1,6,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부직포 및 펠트 제조업,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
그 외 기타 분류 안된 섬유제품 제조업,7,20,,,,,,,1,1,,,,,1,9,,,,,,,1,3,1,2,,,1,2,,,,,,,,,1,2,1,1
