업명,녹번동_사업체수,녹번동_종사자수,불광1동_사업체수,불광1동_종사자수,불광2동_사업체수,불광2동_종사자수,갈현1동_사업체수,갈현1동_종사자수,갈현2동_사업체수,갈현2동_종사자수,구산동_사업체수,구산동_종사자수,대조동_사업체수,대조동_종사자수,응암1동_사업체수,응암1동_종사자수,응암2동_사업체수,응암2동_종사자수,응암3동_사업체수,응암3동_종사자수,역촌동_사업체수,역촌동_종사자수,신사1동_사업체수,신사1동_종사자수,신사2동_사업체수,신사2동_종사자수,증산동_사업체수,증산동_종사자수,수색동_사업체수,수색동_종사자수,진관동_사업체수,진관동_종사자수
화초 및 식물 소매업,8,10,6,28,1,2,6,6,6,8,4,4,5,6,6,7,5,6,9,12,12,13,5,5,5,5,2,2,2,2,13,19
화장품 비누 및 방향제 소매업,10,31,12,32,7,16,17,37,9,50,12,16,26,56,19,69,10,15,11,30,23,59,12,45,4,37,7,16,2,4,34,120
한의원,16,30,10,13,14,36,8,13,10,18,15,25,21,39,9,16,4,9,12,22,18,31,9,18,11,24,7,13,6,8,14,66
한식 해산물요리 전문점,16,33,22,26,5,5,8,10,19,27,13,13,17,33,11,22,12,15,6,7,12,13,15,35,10,20,7,13,2,9,16,19
한식 일반 음식점업,64,87,69,106,64,80,52,82,81,104,55,56,85,117,59,94,33,36,71,78,125,153,69,75,30,30,33,37,17,37,72,155
한식 육류요리 전문점,50,136,42,56,34,39,22,26,31,48,34,47,33,46,39,73,20,26,35,80,73,102,31,43,31,33,20,42,8,13,33,43
한식 면요리 전문점,8,13,12,19,13,23,9,16,13,27,2,3,16,25,14,24,7,13,19,43,10,28,10,15,7,12,5,9,3,5,18,37
피자 햄버거 샌드위치 및 유사 음식점업,9,44,22,120,11,104,13,81,9,30,6,37,20,113,22,109,6,33,12,60,18,86,7,43,6,17,7,31,2,11,17,96
피부 미용업,12,28,18,61,8,13,12,33,15,40,8,14,26,70,26,78,10,19,15,40,19,34,10,26,7,13,10,25,5,10,29,105
통신기기 소매업,19,22,19,20,17,19,11,13,17,19,19,23,21,22,20,25,10,13,17,21,27,36,15,20,11,14,9,14,5,7,27,37
택시 운송업,133,133,134,134,116,116,63,63,144,144,208,271,95,95,117,199,82,82,148,148,275,275,178,243,1007,1209,119,529,52,52,181,422
태권도 및 무술 교육기관,18,27,10,10,10,11,5,5,6,8,14,18,8,8,12,12,5,5,12,15,20,22,11,12,10,10,5,10,2,13,14,14
컴퓨터 게임방 운영업,6,10,8,18,1,1,16,26,9,10,0,0,18,21,9,13,3,3,32,42,2,2,4,12,0,0,0,0,0,0,0,0
커피 전문점,34,34,44,44,19,19,14,14,23,24,41,41,52,54,36,36,29,29,31,36,38,39,56,57,19,19,19,19,17,17,46,48
치킨 전문점,23,82,26,35,17,17,10,12,20,22,26,29,25,27,25,26,20,26,20,23,31,37,15,19,15,15,12,36,5,5,30,31
치과 의원,18,262,19,196,8,90,8,75,12,124,10,118,9,119,14,236,19,226,7,82,19,212,11,123,7,84,13,112,4,40,39,372
체인화 편의점,27,112,26,121,18,78,20,84,28,136,26,107,31,110,25,112,15,53,30,135,38,195,20,94,14,63,16,79,6,21,38,168
