회사명,대표자,소재지,업체전화번호,업체팩스번호,업종,종업원 합계,남자종업원,여자종업원,외국인종업원,관리기관명,전화번호
㈜세강,이경신,방어진 순환도로 100(방어동),052-250-6954,052-234-4220,"건설, 광업용 기계및 장비수리업",72,71,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
화신산업,김철웅,진성 12길(전하동),052-234-4909,,기타설비(용접),2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
대진씽크,문병두,진성 5길 79(전하동),052-289-9805,,주방용및 음식점용 목재가구 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
일산종합인테리어,양경희,학문로 4(일산동),052-235-8787,,주방용및 음식점용 목재가구 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
화진광고산업,홍경화,꽃바위로 314(방어동),052-235-7171,052-236-6690,간판및 광고물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
태양광고사,유용길,대송로 93(화정동),052-235-2772,,간판및 광고물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
경남씽크,홍진봉,문재4길 32(방어동),052-201-3434,052-201-3512,주방용및 음식점용 목재가구 제조업,2,2,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
동일쇼파,김일동,방어진 순환도로 693(일산동),052-232-5113,052-251-0260,쇼파및 기타 내장가구 제조업,16,5,5,6,울산광역시 동구 노사외국인지원과,052-209-4566
㈜디엠,이종오,방어진 순환도로 1000(전하동),052-235-2582,052-235-3582,선박구성 부분품 제조업,50,34,1,15,울산광역시 동구 노사외국인지원과,052-209-4566
㈜덕은,이승훈,방어진 순환도로 1000(전하동),052-202-5989,052-236-8276,선박구성 부분품 제조업,101,88,13,48,울산광역시 동구 노사외국인지원과,052-209-4566
㈜대영전장,우기태,방어진 순환도로 1000(전하동),052-202-4296,052-521-6301,선박구성부분품제조업,60,43,4,13,울산광역시 동구 노사외국인지원과,052-209-4566
삼원광고기획,박정희,문현로 15-1(방어동),052-233-9916,052-232-9916,간판및 광고물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
대경홀드,조현규,방어진 순환도로 100(방어동),052-250-6926,052-251-9990,선박구성 부분품 제조업,52,41,1,10,울산광역시 동구 노사외국인지원과,052-209-4566
㈜태원기업,조장래,방어진 순환도로 100(방어동),052-250-6957,052-201-6957,선박구성 부분품 제조업,80,41,5,34,울산광역시 동구 노사외국인지원과,052-209-4566
대운기업,강석종,방어진 순환도로 100(방어동),052-250-6983,052-235-6853,선박구성 부분품 제조업,93,51,2,40,울산광역시 동구 노사외국인지원과,052-209-4566
㈜건승이엔지,이홍철,방어진 순환도로 100(방어동),052-250-6976,052-235-0035,"건설, 광업용 기계및 장비수리업",38,36,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
동형ENG,이우덕,방어진 순환도로 1000(전하동),052-203-2455,052-236-9799,선박구성 부분품 제조업,51,39,6,6,울산광역시 동구 노사외국인지원과,052-209-4566
한솔테크,김판주,방어진 순환도로 1000(전하동),052-202-7382,052-235-6636,선박구성 부분품 제조업,44,22,7,15,울산광역시 동구 노사외국인지원과,052-209-4566
㈜호영,김제호,방어진 순환도로 1000(전하동),052-203-4431,052-250-1581,선박구성 부분품 제조업,80,74,6,0,울산광역시 동구 노사외국인지원과,052-209-4566
도현테크,손중락,방어진 순환도로 1000(전하동),052-203-4460,052-252-0224,선박구성 부분품 제조업,100,40,10,50,울산광역시 동구 노사외국인지원과,052-209-4566
조운산업,선권규,방어진 순환도로 1000(전하동),052-202-4728,052-232-7944,선박구성 부분품 제조업,129,110,3,16,울산광역시 동구 노사외국인지원과,052-209-4566
프로테크,염두식,방어진 순환도로 1000(전하동),052-202-7487,052-201-6434,선박구성 부분품 제조업,72,50,9,13,울산광역시 동구 노사외국인지원과,052-209-4566
선광산업,백철호,방어진 순환도로 1000(전하동),052-203-4421,052-201-4421,선박구성 부분품 제조업,49,47,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
(주)해인,조해현,방어진 순환도로 100(방어동),052-235-1999,052-235-1479,선박구성 부분품 제조업,57,27,6,24,울산광역시 동구 노사외국인지원과,052-209-4566
엔진튜브텍,백진호,방어진 순환도로 1000(전하동),052-203-7536,052-252-6451,선박구성 부분품 제조업,134,19,17,48,울산광역시 동구 노사외국인지원과,052-209-4566
세경MNP,신언관,방어진 순환도로 100(방어동),052-250-6947,052-236-0037,선박구성 부분품 제조업,56,33,2,21,울산광역시 동구 노사외국인지원과,052-209-4566
피앤이이엔지,김영민,방어진 순환도로 100(방어동),052-203-2419,052-233-7073,선박엔진부품 제조업,97,45,21,32,울산광역시 동구 노사외국인지원과,052-209-4566
정우산업㈜,강효곤,방어진 순환도로 1000(전하동),052-203-2432,052-234-0475,선박구성 부분품 제조업,93,78,15,27,울산광역시 동구 노사외국인지원과,052-209-4566
㈜세홍,임동완,방어진 순환도로 100(방어동),052-234-6560,052-233-1512,선박구성 부분품 제조업,99,58,2,39,울산광역시 동구 노사외국인지원과,052-209-4566
