회사명,업종명,소재지도로명주소,소재지지번주소,전화번호,팩스번호,데이터기준일자
(주) 금화테크,주형 및 금형 제조업,울산광역시 북구 매곡산업로 54 (매곡동),울산광역시 북구 매곡동 350-4번지,052-288-6441,052-288-6448,2025-11-27
(주)IHC,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 효산2길 21-2 (효문동),울산광역시 북구 효문동 262번지,052-288-0001,052-289-0999,2025-11-27
(주)가온누리,자동차용 신품 의자 제조업,울산광역시 북구 진장24길 45 (진장동),울산광역시 북구 진장동 666-2,052-289-6356,052-289-6358,2025-11-27
(주)고려기업,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 81 (효문동),울산광역시 북구 효문동 1020 번지,052-266-7722,,2025-11-27
(주)광명테크,구조용 금속 판제품 및 공작물 제조업 외 4 종,울산광역시 북구 호계5길 77 (호계동),울산광역시 북구 호계동 463-2 번지,052-294-8075,052-294-8074,2025-11-27
(주)광선,배전반 및 전기 자동제어반 제조업,울산광역시 북구 활밤로 11 (효문동),울산광역시 북구 효문동 813-13번지,052-289-2248,052-289-3345,2025-11-27
(주)광일NC,주형 및 금형 제조업,울산광역시 북구 농공단지3길 5 (달천동),울산광역시 북구 달천동 208-5번지,052-282-6240,052-282-6241,2025-11-27
(주)국제이앤아이,배전반 및 전기 자동제어반 제조업,울산광역시 북구 관문길 197 (천곡동),울산광역시 북구 천곡동 972번지,052-287-1553,052-289-2266,2025-11-27
(주)굿테크,기타 가정용 전기기기 제조업,울산광역시 북구 효산1길 23 (효문동),울산광역시 북구 효문동 238-1번지,080-945-5637,050-7489-5637,2025-11-27
(주)굿프렌드,기타 가정용 전기기기 제조업,울산광역시 북구 효산1길 23 (효문동),울산광역시 북구 효문동 238-1번지,080-945-5637,050-7489-5637,2025-11-27
(주)극동,내연기관 제조업,울산광역시 북구 효자로 11 (효문동),울산광역시 북구 효문동 702-2,052-219-9706,052-219-9709,2025-11-27
(주)극동자동화,그 외 기타 특수목적용 기계 제조업 외 4 종,울산광역시 북구 숙보로 27 (효문동 극동자동화(주)),울산광역시 북구 효문동 816-6번지,052-288-6208,052-287-6042,2025-11-27
(주)금강에스엠,그 외 자동차용 신품 부품 제조업,울산광역시 북구 이예로 2715(달천동 (주)금강에스엠),울산광역시 북구 달천동 0 (주)금강에스엠,052-289-5426,052-289-5429,2025-11-27
(주)금강에스엠,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 송도길 60 (효문동),울산광역시 북구 효문동 418-1번지,052-289-5426,,2025-11-27
(주)금봉,선박 구성 부분품 제조업,울산광역시 북구 농공단지1길 76 (달천동 금봉),울산광역시 북구 달천동 207-1번지,052-282-7560,052-282-7562,2025-11-27
(주)금생레이져탑,그 외 자동차용 신품 부품 제조업,울산광역시 북구 매곡산업6길 15-1(매곡동),울산광역시 북구 매곡동 885-2,052-292-1941,052-292-1943,2025-11-27
(주)금성메탈,절삭가공 및 유사처리업,울산광역시 북구 공단길 86-1(연암동),울산광역시 북구 연암동 663-31,052-288-0945,052-288-0943,2025-11-27
(주)금영이티에스,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 모듈화산업로 207-12 (연암동 (주)금영),울산광역시 북구 연암동  1367번지,052-283-3900,,2025-11-27
(주)기현시스템,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 114호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 114호,052-258-9131,052-258-9133,2025-11-27
(주)길성,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 원연암2길 5 (연암동 세명코레스(주)울산공장),울산광역시 북구 연암동 1286-53번지,052-244-7203,052-244-7219,2025-11-27
