회사명,전화번호,팩스번호,공장대표주소,업종명
(주)드림엔지니어링,052-238-6091,,울산광역시 울주군 온산읍 처용산업3길 30-37,금속탱크 및 저장용기 제조업
지우테크,055-372-6081,055-387-8607,울산광역시 울주군 삼남읍 가천금사길 71,자동차 재제조 부품 제조업
(유)유진산업기계,052-254-3571,052-254-3573,울산광역시 울주군 삼동면 삼동로 93-28,광물처리 및 취급장비 제조업
(주) 무진 언양공장,055-366-8300,055-366-8303,울산광역시 울주군 언양읍 반구대로 1329 (총 3 필지),"천막, 텐트 및 유사 제품 제조업 외 2 종"
(주) 양지2공장,052-267-5312,052-267-5313,울산광역시 울주군 웅촌면 은현공단2길 24 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종
(주)DH케미칼,052-239-2161,052-239-2161,울산광역시 울주군 온산읍 화산1길 43,윤활유 및 그리스 제조업
(주)DS가스텍,052-239-6600,052-239-2232,울산광역시 울주군 온산읍 공단로 6,산업용 가스 제조업
(주)JBM,052-261-9040,052-261-8257,울산광역시 울주군 웅촌면 갓골길 18-13 (총 4 필지) 외 3필지,선박 구성 부분품 제조업 외 2 종
(주)JBM 도장공장,052-261-9040,,울산광역시 울주군 웅촌면 갓골길 18-7,도장 및 기타 피막처리업
(주)SPG산업,052-239-8081,052-237-1054,울산광역시 울주군 온산읍 화산1길 13-20,산업용 가스 제조업
(주)가나이엔티,052-239-0566,052-239-0565,울산광역시 울주군 서생면 명산리 194번지,산업처리공정 제어장비 제조업
(주)가람,052-237-3353,052-238-3354,울산광역시 울주군 온산읍 처용산업로 51-26,그 외 기타 금속가공업
(주)가천린포크전시판매장,052-264-8050,052-264-2212,울산광역시 울주군 언양읍 반곡리 산 50-1번지 외 1필지,육류 기타 가공 및 저장처리업 (가금류 제외)
(주)강대감씨앤에프,052-257-8086,052-257-8087,울산광역시 울주군 웅촌면 고연공단5길 57-2 (웅촌면),육류 기타 가공 및 저장처리업 (가금류 제외)
(주)거송산업,052-223-7405,052-223-7498,울산광역시 울주군 웅촌면 장기터2길 90-2,금속 열처리업
(주)건양,052-256-6969,052-256-0829,"울산광역시 울주군 고연공단2길 37-16, (고연리 1033-16) (웅촌면)",접착제 및 젤라틴 제조업
(주)건우,052-264-5860,052-264-5863,울산광역시 울주군 삼남읍 공암공단1길 63-20,도장 및 기타 피막처리업
(주)계림퍼니처,052-225-0105,052-225-0108,울산광역시 울주군 웅촌면 물건너길 25-6,기타 목재가구 제조업 외 1 종
(주)계림퍼니처,052-225-0105,052-255-0108,울산광역시 울주군 온양읍 지더블유산업3길 32,기타 목재가구 제조업 외 1 종
(주)고강알루미늄,052-255-6442,052-264-3884,울산광역시 울주군 상북면 지화길 61 (총 4 필지) 외 3필지,"알루미늄 압연, 압출 및 연신제품 제조업 외 2 종"
(주)고려리비죤,052-229-0990,052-229-0999,울산광역시 울주군 두서면 반구대로 1887,기타 기관 및 터빈 제조업 외 2 종
(주)고려인슈,052-225-0780,052-225-4334,울산광역시 울주군 웅촌면 고연로 98-10 외 7필지,그 외 기타 유리제품 제조업 외 1 종
(주)고려프랜트,052-227-5538,052-227-5537,울산광역시 울주군 온산읍 처용산업1길 76-4,금속탱크 및 저장용기 제조업 외 1 종
(주)골드라인파렛텍,052-225-1451,052-225-7383,울산광역시 울주군 두서면 전읍농공길 1-45,그 외 기타 플라스틱 제품 제조업
(주)골드라인파렛텍 울산지점,052-225-1451,052-225-7383,울산광역시 울주군 두서면 전읍농공길 21,"목재 포장용 상자, 드럼 및 유사용기 제조업"
(주)광동전산 울산공장,052-263-7763,052-263-7767,울산광역시 울주군 삼남읍 반구대로 389,기타 종이 및 판지 제조업 외 2 종
(주)광림C&T,052-264-7061,052-264-8329,울산광역시 울주군 삼남읍 가천금사길 246-4,금속 열처리업
(주)광성테크,,052-239-9590,울산광역시 울주군 온양읍 터실2길 6,플라스틱 접착처리 제품 제조업 외 3 종
(주)광영이엔씨,052-277-1004,052-277-1003,울산광역시 울주군 청량읍 온산로 764,산업용 냉장 및 냉동 장비 제조업 외 3 종
(주)광운,052-227-2003,052-227-2006,울산광역시 울주군 웅촌면 삼동로 1420-4 외 4필지,선박 구성 부분품 제조업
(주)광진포장,052-266-3450,052-266-3451,울산광역시 울주군 웅촌면 고연공단2길 123,골판지 제조업 외 2 종
(주)국일 INNTOT,052-228-7500,052-228-7550,울산광역시 울주군 웅촌면 탑걸길 17 (총 7 필지) 외 3필지,선박 구성 부분품 제조업
(주)국일인토트 고연공장,052-228-7500,052-228-7550,울산광역시 울주군 웅촌면 반계길 62-6,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종"
(주)국일인토트 제2공장,052-228-7505,052-228-7550,울산광역시 울주군 웅촌면 고연로 87-11,그 외 기타 일반목적용 기계 제조업 외 2 종
(주)국제플랜트,052-258-4438,052-272-4438,울산광역시 울주군 온산읍 처용산업1길 6,육상 금속 골조 구조재 제조업 외 1 종
(주)굿월드,052-292-1043,052-293-1043,울산광역시 울주군 웅촌면 고연로 115-5 외 1필지,그 외 기타 금속가공업
(주)그린베어,052-225-5800,052-225-5801,울산광역시 울주군 웅촌면 고연공단3길 33 외 1필지,플라스틱 필름 제조업
(주)그린웰푸드,,,울산광역시 울주군 웅촌면 고연로 183-26,과실 및 그 외 채소 절임식품 제조업
(주)글로벌티에스,052-257-9894,052-257-9896,울산광역시 울주군 웅촌면 당고개1길 42-8,유압기기 제조업
(주)금강테크,052-262-4802,052-263-4801,울산광역시 울주군 상북면 길천산업로 425,운송장비 조립용 플라스틱제품 제조업 외 1 종
(주)금강튜브텍,052-238-6622,052-238-6675,울산광역시 울주군 서생면 위양로 41,"탭, 밸브 및 유사장치 제조업"
(주)금경이노텍,052-237-3935,052-237-3912,울산광역시 울주군 온산읍 처용산업로 51-22,육상 금속 골조 구조재 제조업 외 1 종
(주)금곡,052-237-6441,052-237-6444,울산광역시 울주군 온산읍 화산1길 13-29,육상 금속 골조 구조재 제조업 외 5 종
(주)금곡기공,052-237-6446,052-237-6444,울산광역시 울주군 온산읍 화산1길 13-29,육상 금속 골조 구조재 제조업 외 8 종
(주)금양이엔지,052-239-7300,052-239-7301,울산광역시 울주군 온산읍 이진로 67-22,도장 및 기타 피막처리업
(주)금오산업,052-254-1112,052-254-1113,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업2동 3층 일부",일반용 전기 조명장치 제조업 외 3 종
(주)금정,052-264-8586,052-264-8589,울산광역시 울주군 삼남읍 가천금사길 208-13 외 2필지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업
(주)금정 온산지점,052-237-2580,052-237-2582,울산광역시 울주군 온산읍 산남길 17-22,그 외 기타 분류 안된 화학제품 제조업
(주)금호,052-254-0900,052-254-0908,울산광역시 울주군 두서면 반구대로 1581-1,그 외 자동차용 신품 부품 제조업 외 3 종
(주)금호,052-254-0900,052-254-0912,울산광역시 울주군 상북면 길천산업로 105-56,그 외 자동차용 신품 부품 제조업 외 3 종
(주)금호이엔지,052-237-7961,,울산광역시 울주군 서생면 신암리 에너지융합일반산업단지 12B-10L(C28),그 외 기타 일반목적용 기계 제조업
(주)금화이엔지,052-227-2142,052-227-2143,울산광역시 울주군 웅촌면 고연공단3길 15,선박 구성 부분품 제조업
(주)기성대정정밀,052-261-3418,052-261-3419,울산광역시 울주군 웅촌면 은현공단2길 29-7,자동차용 신품 동력전달장치 제조업 외 1 종
(주)기성비엔에스,,052-239-0026,울산광역시 울주군 서생면 용연길 220,육상 금속 골조 구조재 제조업 외 2 종
(주)길부,,,울산광역시 울주군 온양읍 산양길 27,자동차 엔진용 신품 부품 제조업 외 4 종
(주)나원플랜트,052-247-2707,052-237-2707,울산광역시 울주군 청량읍 울산광역시 울주군 청량읍 화창길 62-9,육상 금속 골조 구조재 제조업
(주)나이스,052-277-4455,052-277-9633,울산광역시 울주군 웅촌면 웅촌로 398,구조용 금속 판제품 및 공작물 제조업
(주)나일프렌트,052-227-6277,052-227-6278,울산광역시 울주군 서생면 에너지산업4로 19-21,그 외 기타 특수목적용 기계 제조업 외 10 종
(주)남명,052-256-0417,052-256-0420,울산광역시 울주군 웅촌면 고연공단2길 136,"플라스틱 선, 봉, 관 및 호스 제조업"
