회사명,공장대표주소(도로명),업종명,생산품,전화번호
㈜유창파워텍,울산광역시남구산안로80, 그외기타자동차부품제조업 ,자동차스틸휠디스크,052-274-1681
㈜유창파워텍여천2공장,울산광역시남구산안로96, 그외기타자동차부품제조업 ,자동차스틸휠디스크,052-274-1681
㈜유창파워텍여천공장,울산광역시남구산안로80, 그외기타자동차부품제조업 ,자동차스틸휠디스크,052-274-1681
성진SJMASTER,울산광역시남구테크노산업로 29번길134(두왕동), 기어및동력전달장치제조업 ,각종펌프샤프트기어등부품가공제작,052-913-8286
오에스하이팩,"울산광역시남구산업로430-2,(358-8)(여천동,(주)태성산업)", 봉투제조업 ,알루미늄포장재,052-264-0858
DM테크,울산광역시남구산업로340번길10(선암동)외1필지, 육상금속골조구조재제조업외3종 ,"금속구조재,가공제작,기기제작",052-249-3464
한반도소금산업,"울산광역시남구용연로195번길22(용연동,소금공장)",가공및정제염제조업,소금,052-257-0057
(주)한주,"울산광역시남구사평로60(부곡동,한주(주))(총2필지)",가공및정제염제조업,"전기,증기정제염",052-270-5326
중앙종합광고상사,울산광역시남구돋질로46.1층,간판및광고물제조업,"현수막,명찰,상패",052-261-3830
우리종합광고,울산광역시남산로26번길5-1(무거동),간판및광고물제조업,"간판,현수막",052-296-5825
현대종합광고,울산광역시남구어은로14번길22(신정동),간판및광고물제조업,간판,052-247-5442
㈜세양애드산업,울산광역시남구돋질로311번길24-1,간판및광고물제조업,"간판,명판",052-257-7396
울산광고,울산광역시남구월평로76(신정동),간판및광고물제조업외2종,"간판,현수막",052-271-0222
비트디자인,울산광역시남구삼산로143번길28(달동),간판및광고물제조업외3종,"간판,현수막",052-265-5588
젠애드산업,울산광역시남구삼산로392번길37,간판및광고물제조업외9종,"간판,LED채널",052-267-0687
거상산업,울산광역시남구장생포로32,강관가공품및관연결구류제조업외1종,"프레타이,세파볼트",052-900-8877
대진기계,울산광역시남구용연로195번길21,강관제조업,"배관,철골",052-256-1656
(유)해동엔지니어링,"울산광역시남구장생포고래로179번길33(장생포동,해동엔지니어링)",강선건조업외2종,"철구조물,선박수리",052-265-7184
송원이엔씨,울산광역시남구장생포로19번길18,건축자재제조및임대업,작업안전발판제조,052-265-6061
계단종합인쇄,울산광역시남구중앙로213.1층(신정동),경인쇄업,인쇄,052-265-1244
신화기획,"울산광역시남구번영로73,101호",경인쇄업,"인쇄,안전간판외",052-274-4212
덕산종합상사,울산광역시남구신정로118,경인쇄업,"복사,제본",052-265-8963
대일인쇄㈜,울산광역시남구돋질로315,경인쇄업,"책자,전단,팜플렛",052-260-3110
광진인쇄사,울산광역시남구삼산로101번길4-1(달동),경인쇄업,"라벨지,스티커외",052-274-4542
신정종합인쇄사,울산광역시남구왕생로124번길8(달동),경인쇄업,책자인쇄,052-273-1070
고려종합인쇄,울산광역시남구삼호로31(무거동),경인쇄업,서식및각종라벨류,052-249-2100
씽크디자인,"울산광역시남구정광로24번길6-19,2층",경인쇄업,"인쇄,출판물",052-265-2991
오성프로,"울산광역시남구팔등로135,1층3호",경인쇄업,"책자,카다로그인쇄",052-227-7682
윤호기획,울산광역시남구월평로99,경인쇄업,인쇄물,052-276-2222
주식회사인기기프트,울산광역시남구어은로4번길9(무거동),경인쇄업,인쇄물,052-933-1030
새한종합인쇄사,"울산광역시남구팔등로5,새한빌201호(신정동)",경인쇄업외1종,"인쇄및스티커,출판책자",052-258-2749
예성인쇄기획,울산광역시남구월평로63(신정동),경인쇄업외1종,인쇄물,052-227-3884
(주)열린세상,울산광역시남구돋질로139번길17,경인쇄업외2종,"인쇄,복사용지제조",052-248-0243
세종출판인쇄,울산광역시남구돋질로171번길14(신정동),경인쇄업외2종,"책자,카다로그,브로슈어,리플렛등",052-266-7615
협진,울산광역시남구신정로116번길3(신정동),경인쇄업외3종,각종인쇄물,052-256-5501
창신미디어,울산광역시남구신정로105(신정동),경인쇄업외4종,"인쇄,복사,제본",052-267-6500
그린애드컴,울산광역시남구신정로105(신정동),경인쇄업외5종,"인쇄,복사,제본",052-258-5900
범창고무공업,"울산광역시남구산업로400(여천동,신우선박)외2필지",고무패킹류제조업외1종,고무제품,052-272-8500
동해가스산업㈜특수가스2공장,울산광역시남구신두왕로51,고압가스제조업,"에틸렌,수소,헬륨",052-260-3315
현미제분소,"울산광역시남구팔등로60,2층(신정동)",곡물제분업,쌀가루,
일성수출포장(주),"울산광역시남구용연로50번길3(용연동,일성수출포장(주))",골판지제조업외1종,골판지상자,052-257-7416
재호상사,"울산광역시남구산업로382번길8(여천동,대양기계(주))외1필지",골판지제조업외3종,종이박스,052-272-2379
토탈냉동공조산업(주),울산광역시남구신두왕로27(두왕동),공기조화장치제조업외1종,공기조화장치,050-71381-9655
(주)정록,"울산광역시남구테크노산업로55번길79-10,B동301호(두왕동)",공기조화장치제조업외2종,"공기정화장치제조업,기체여과기제조업,전기전자부품제조업",052-225-7478
(주)세화테크,울산광역시남구여천로163번길7(여천동),구조용금속판제품및공작물제조업외3종,금속구조물,052-269-2107
(주)청도,울산광역시남구문수로306.4층,구조용금속판제품및공작물제조업외7종,"안전난간대,논슬립,간판,안내판외",052-256-8100
