구분,단지명,위치,면적(천제곱미터),사업시작(년),사업종료(년),사업비(억원),유치업종,입주업체(공장가동),입주업체(비가동),가동율(백분율)
조성완료,KCC울산 일반산업단지,울산광역시 울주군 두서면 활천리 일원,1165,2009,2022,2459,펄프·종이 및 종이제품(17)/ 금속가공제품(25)/ 비금속 광물제품(23)/ 전기장비(28)/ 기타 기계 및 장비(29)/ 자동차트레일러(30)/ 기타 운송장비(30)/ 창고 및 운송관련 서비스업(52),40,9,82
조성중,중산일반산업단지,울산광역시 북구 중산동 일원,134,2005,2009,302,자동차 및 트레일러제조업(30)/ 기타 기계 및 장비제조업(29) 등,19,0,100
조성완료,봉계일반산업단지,울산광역시 울주군 두동면 봉계리 일원,255,2008,2013,401,자동차 및 트레일러 제조업(30)/ 기타 운송장비 제조업(31)/ 금속가공제품 제조업(25)/ 기타 기계 및 장비 제조업(29)/ 태양력발전업(35119),9,1,90
조성완료,중산2차일반산업단지,울산광역시 북구 중산동 일원,364,2008,2015,792,자동차 및 트레일러 제조업(30)/ 기타 기계 및 장비제조업(29) 등,39,3,100
조성완료,와지 일반산업단지,울산광역시 울주군 웅촌면 고연리 산 272-1번지 일원,126,2009,2014,259,자동차 및 트레일러 제조업(30)/ 고무 및 플라스틱 제조업(22),25,0,100
조성완료,길천 일반산업단지,울산광역시 울주군 상북면 길천리·거리 일원,529,2005,2009,732,자동차 관련 부품제조업(30)/ 전기·전자 관련 제조업(26) 등,86,12,88
조성완료,매곡일반산업단지,울산광역시 북구 매곡동 342-1번지 일원,565,2002,2006,611,자동차 관련 부품 제조업(30)/ 기계 및 장비관련 제조업(29) 등,58,0,100
조성완료,매곡2·3일반산업단지,울산광역시 북구 매곡동 일원,234,2009,2014,586,자동차 관련 부품 제조업(30)/ 기계 및 장비관련 제조업(29) 등,30,1,95.5
조성완료,모듈화일반산업단지,울산광역시 북구 효문/ 연암동 일원,863,2001,2013,1346,자동차 관련 부품 제조업(30)/ 기계 및 장비관련 제조업(29) 등,30,2,94
조성완료,신일반산업단지,울산광역시 울주군 온산읍 처용리/ 청량면 용암리 일원,2423,2001,2013,4185,의료(21)/ 1차금속(24)/ 금속가공(25)/ 통신(26)/ 광학기기(27)/ 전기(28)/ 기계및장비(29)/ 자동차(30) 및 기타 운송장비(31)/ 태양력발전업(35119),176,6,97
조성완료,에너지융합일반산업단지,울산광역시 울주군 서생면 신암/명산리 일원,1021,2016,2022,2790,에너지융합산업(C20등)/신재생에너지산업(C24등)/수송기계및기타산업(C26등)/연구시설(J62등),35,0,100
미개발,삼남머거본 일반산업단지,울산광역시 울주군 삼남읍 방기리 일원,56,2022,2024,0,식료품 제조업,0,0,0
미개발,대대일반산업단지,울산광역시 울주군 웅촌면 대대리 및 초천리 일원,115,2022,2028,0,목재 및 나무제품  금속가공제품  자동차·트레일러,0,0,0
조성중,작동 일반산업단지,울산광역시 울주군 삼동면 작동리 773-2번지 일원,149,2010,2023,109,기타제품제조업(33),0,0,0
미개발,청양 일반산업단지 ,울산광역시 울주군 온산읍 학남리 산170일원,201,2018,2023,0,기타기계장비 제조업(29)/ 자동차 및 트레일러 제조업(30) 등,0,0,0
조성중,이화일반산업단지,울산광역시 북구 중산동 일원,694,2007,2022,903,기타 기계 장비제조업(29)/ 기타운송장비 제조업(31),1,0,100
미개발,도하일반산업단지,울산광역시 울주군 청량읍 용암리 일원,423,2023,2026,0,기타 기계 및 장비제조업 등,0,0,0
조성중,모바일테크밸리,울산광역시 북구 달천동 산5번지 일원,315,2016,2023,915,금속가공제품 제조업(25)/전기장비 제조업(28)/기타기계및 장비제조업(29) 등,14,10,58
조성중,High Tech Valley 일반산업단지,울산광역시 울주군 삼남면 가천리 일원,231,2006,2018,490,금속가공제품 제조업(25)/ 전가부품 등 제조업(26)/ 전기장비 제조업(28) 등,18,1,95
조성완료,전읍 일반산업단지,울산광역시 울주군 두서면 전읍리 292-3번지 일원,72,2010,2015,140,금속가공제품 제조업(25)/ 자동차 및 트레일러 제조업(30),4,0,100
미개발,자동차일반산업단지(구:남목),울산광역시 동구 서부동  북구 염포동 일원,528,2022,2028,0,금속가공제품 제조  전기장비제조  기타운송장비 제조 등,0,0,0
조성완료,테크노일반산업단지,울산광역시 남구 두왕동 242번지 일원,1287,2008,2018,3736,R&D(M70 등)/ 첨단융합부품(C20 등)/ 신재생에너지(C25 등)/ 수송기계(C26 등)/ 정밀화학(C21 등),143,7,95
미개발,울산KTX역세권일반산업단지,울산광역시 울주군 삼남읍 신화리 일원,421,2020,2026,0,R&D  미래자동차  BT  에너지 등,0,0,0
조성완료,GW일반산업단지,울산광역시 울주군 온양읍 내광리 산77번지 일원,454,2013,2023,1507,1차금속(24)/ 기계·장비(29)/ 자동차·트레일러(30)/ 기타운송장비(30),27,17,61
조성완료,반천일반산업단지,울산광역시 울주군 언양읍 반천리 산 159번지 일원,1373,2009,2017,1991,1차금속(24)/ 금속가공제품(25)/ 전기장비(28)/ 기타기계 및 장비(29)/ 자동차 및 트레일러(30)/ 기타운송장비(31),69,14,84.8
