회사명,업종명,생산품,주소,연락처,출처파일
피앤이이엔지,선박엔진부품 제조업,,방어진 순환도로 100(방어동),052-209-4566,울산광역시 동구 제조업체 현황_20250612.csv
(주)IHC,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 효산2길 21-2 (효문동),052-288-0001,울산광역시 북구 제조업체 현황_20251127.csv
(주)가온누리,자동차용 신품 의자 제조업,,울산광역시 북구 진장24길 45 (진장동),052-289-6356,울산광역시 북구 제조업체 현황_20251127.csv
(주)금강에스엠,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 이예로 2715(달천동 (주)금강에스엠),052-289-5426,울산광역시 북구 제조업체 현황_20251127.csv
(주)금강에스엠,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 송도길 60 (효문동),052-289-5426,울산광역시 북구 제조업체 현황_20251127.csv
(주)금생레이져탑,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 매곡산업6길 15-1(매곡동),052-292-1941,울산광역시 북구 제조업체 현황_20251127.csv
(주)금영이티에스,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 모듈화산업로 207-12 (연암동 (주)금영),052-283-3900,울산광역시 북구 제조업체 현황_20251127.csv
(주)길성,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 원연암2길 5 (연암동 세명코레스(주)울산공장),052-244-7203,울산광역시 북구 제조업체 현황_20251127.csv
(주)나이스,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 무룡로 144 (연암동),052-277-4455,울산광역시 북구 제조업체 현황_20251127.csv
(주)대광산업,자동차 차체용 신품 부품 제조업,,울산광역시 북구 모듈화산업로 12(효문동),052-288-1341,울산광역시 북구 제조업체 현황_20251127.csv
(주)대성테크,자동차 엔진용 신품 부품 제조업 외 2 종,,울산광역시 북구 농공단지4길 30 (달천동) (총 2 필지),052-295-2282,울산광역시 북구 제조업체 현황_20251127.csv
(주)대원산업기술,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 매곡산업1길 22 (매곡동 대원산업),052-264-2244,울산광역시 북구 제조업체 현황_20251127.csv
(주)대일매곡산업,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 매곡산업2길 15(매곡동),052-282-4588,울산광역시 북구 제조업체 현황_20251127.csv
(주)대일산업,자동차 차체용 신품 부품 제조업 외 1 종,,울산광역시 북구 약수8길 22 1필지 (중산동),052-282-4588,울산광역시 북구 제조업체 현황_20251127.csv
(주)대일산업 산단지점,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 중산산업2길 22 (중산동),052-282-4588,울산광역시 북구 제조업체 현황_20251127.csv
(주)동남산기,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 염포로 260-23 (효문동),052-288-1598,울산광역시 북구 제조업체 현황_20251127.csv
(주)동성피에스씨,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 중산산업로 58 (중산동),052-295-8849,울산광역시 북구 제조업체 현황_20251127.csv
(주)동희산업,자동차 차체용 신품 부품 제조업 외 1 종,,울산광역시 북구 매곡산업3길 4 (매곡동),070-7094-7013,울산광역시 북구 제조업체 현황_20251127.csv
(주)두리로직스,자동차 재제조 부품 제조업,,울산광역시 북구 매곡산업로 127 (매곡동),052-291-2625,울산광역시 북구 제조업체 현황_20251127.csv
(주)두올 울산공장,자동차용 신품 의자 제조업 외 2 종,,울산광역시 북구 효산2길 21-2 (효문동),052-288-0001,울산광역시 북구 제조업체 현황_20251127.csv
(주)두원공조,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 효암로 184 (효문동 재호화성(주)),052-288-7841,울산광역시 북구 제조업체 현황_20251127.csv
(주)디에스시,자동차용 신품 의자 제조업,,울산광역시 북구 책골길 65 (연암동) 외 2필지,054-770-1006,울산광역시 북구 제조업체 현황_20251127.csv
(주)디에이치에코,자동차용 신품 전기장치 제조업,,울산광역시 북구 농공단지4길 55(달천동 진보산업),052-281-5579,울산광역시 북구 제조업체 현황_20251127.csv
(주)디와이티,자동차 엔진용 신품 부품 제조업 외 1 종,,울산광역시 북구 중산산업3길 47 (중산동),052-946-5062,울산광역시 북구 제조업체 현황_20251127.csv
(주)만도,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 중산산업3길 41 (중산동),052-933-7600,울산광역시 북구 제조업체 현황_20251127.csv
(주)명문오토텍,자동차 엔진용 신품 부품 제조업,,울산광역시 북구 중산산업로 89 (중산동 현대파워텍(주)),052-283-0809,울산광역시 북구 제조업체 현황_20251127.csv
(주)모팜,자동차 엔진용 신품 부품 제조업 외 1 종,,울산광역시 북구 모듈화산업로 31 (효문동),052-255-2300,울산광역시 북구 제조업체 현황_20251127.csv
(주)베스틱,자동차 차체용 신품 부품 제조업,,울산광역시 북구 모듈화산업로 24 (효문동),052-289-7100,울산광역시 북구 제조업체 현황_20251127.csv
(주)브랜드뉴,절삭가공 및 유사처리업 외 2 종,,울산광역시 북구 매곡산업로 35 협업혁신관 B동 5호(매곡동 자동차부품기술연구소),052-710-3396,울산광역시 북구 제조업체 현황_20251127.csv
(주)삼광케미칼,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 산성로 83 (효문동),051-203-0019,울산광역시 북구 제조업체 현황_20251127.csv
(주)서연이화,자동차용 신품 의자 제조업 외 6 종,,울산광역시 북구 효암로 336 (연암동) (총 19 필지) 외 18필지,052-219-5119,울산광역시 북구 제조업체 현황_20251127.csv
(주)선우오토텍,산업용 송풍기 및 배기장치 제조업 외 5 종,,울산광역시 북구 중산산업로 35 (중산동 (주)선우오토텍),052-298-6881,울산광역시 북구 제조업체 현황_20251127.csv
(주)성림기업,그 외 자동차용 신품 부품 제조업 외 3 종,,울산광역시 북구 효자로 134 (연암동),052-288-6008,울산광역시 북구 제조업체 현황_20251127.csv
(주)성웅인더스트리,자동차용 신품 의자 제조업,,울산광역시 북구 매곡산업3길 7 (매곡동),052-289-6547,울산광역시 북구 제조업체 현황_20251127.csv
(주)세림정공,그 외 기타 일반목적용 기계 제조업 외 1 종,,울산광역시 북구 매곡산업로 35  자동차부품혁신센터 협업혁신관 (매곡동),052-288-4634,울산광역시 북구 제조업체 현황_20251127.csv
(주)세왕공업,그 외 자동차용 신품 부품 제조업,,울산광역시 북구 중산산업로 22 (중산동),052-287-8808,울산광역시 북구 제조업체 현황_20251127.csv
(주)수산이앤에스,전기회로 접속장치 제조업 외 1 종,,울산광역시 북구 매곡산업로 21 3층 (주)수산이엔에스 (매곡동 자동차조선기술관),052-258-3860,울산광역시 북구 제조업체 현황_20251127.csv
