구군명,제조업체명,대표자,전화번호,업종명,소재지주소,데이터기준일자
중구,하나로식품,임영철,052-245-4891,육류 기타 가공 및 저장 처리업(가금류 제외),울산광역시 중구 함월1길 350  1층 (성안동),2025-11-26
중구,삼화어묵,김순이,052-211-4627,수산동물 훈제  조리 및 유사 조제식품 제조업,울산광역시 중구 구역전2길 25 (학성동) ,2025-11-26
중구,삼정식품,강수열,,수산동물 훈제  조리 및 유사 조제식품 제조업,울산광역시 중구 화진1길 15 (태화동),2025-11-26
중구,참치표 부산어묵,홍은진,,수산동물 훈제  조리 및 유사 조제식품 제조업,울산광역시 중구 중앙길 47 (성남동) ,2025-11-26
중구,㈜해진수산,하전진,052-294-3704,수산동물 건조 및 염장품 제조업,울산광역시 중구 옥교6길 23  1층 (학산동),2025-11-26
중구,양금반찬,진양금,,김치류 제조업,울산광역시 중구 장춘로 12 (우정동),2025-11-26
중구,바이단,김미화,,기타 과실ㆍ채소 가공 및 저장 처리업,울산광역시 중구 백양로 126  2층 (성안동),2025-11-26
중구,울산망개떡,라유진,052-281-0772,떡류 제조업,울산광역시 중구 화합로 430,2025-11-26
중구,촉촉설기,조민주,,떡류 제조업,울산광역시 중구 종가22길 4 101호,2025-11-26
중구,와와베이킹클래스,전덕향,,빵류 제조업,울산광역시 중구 서원14길 19-5 (학성동),2025-11-26
중구,러버블케이크,김민정,,빵류 제조업,울산광역시 중구 종가2길 1-2 113호,2025-11-26
중구,㈜태능푸드시스템,노일송,052-293-6677,도시락류 제조업,울산광역시 중구 성안2길 5 (성안동),2025-11-26
중구,낭만부엌,박서현,052-248-7842,기타 식사용 가공처리 조리식품 제조업,울산광역시 중구 종가5길 78-4  1층 (유곡동),2025-11-26
중구,손찬반찬백화점,차동욱,052-933-4221,기타 식사용 가공처리 조리식품 제조업,울산광역시 중구 종가2길 6 (유곡동),2025-11-26
중구,참조은두부,이수민,052-911-3923,두부 및 유사식품 제조업,울산광역시 중구 반구정4길 47  102호,2025-11-26
중구,무럭무럭주식회사,박무경,052-915-1104,단미사료 및 기타 사료 제조업,울산광역시 중구 종가로 651  210호 (서동),2025-11-26
중구,마리퐁,김채윤,052-258-4889,단미사료 및 기타 사료 제조업,울산광역시 중구 함월12길 23 (성안동),2025-11-26
중구,그집반찬,이분이,,과실 및 그 외 채소 절임식품 제조업,울산광역시 중구 운곡6길 2  101호 (다운동,2025-11-26
중구,다움푸드,류수연,,도시락류 제조업,울산광역시 중구 반구정19길 17  1층 (반구동),2025-11-26
중구,댕기누비,양영애,,침구 및 관련제품 제조업,울산광역시 중구 중앙시장길8 진흥상가 118호 (옥교동),2025-11-26
중구,한울커텐장식,이성결,,커튼 및 유사 제품 제조업,울산광역시 중구 곽남14길 15 (남외동),2025-11-26
중구,커텐하우스,서순옥,052-277-3370,커튼 및 유사 제품 제조업,울산광역시 중구 다운5길 16-4 (다운동),2025-11-26
중구,울산햇빛창,김란숙,052-295-2111,커튼 및 유사 제품 제조업,울산광역시 중구 병영1길 1 (남외동),2025-11-26
중구,더블유에스피주식회사,임종길,052-249-2008,직물포대 제조업,울산광역시 중구 종가로 15 기술혁신A동 208호 (다운동),2025-11-26
중구,대진우에스,이창훈,052-292-3312,기타 직물제품 제조업,울산광역시 중구 해오름8길 73 (남외동),2025-11-26
중구,애경산업,손영자,,기타 직물제품 제조업,울산광역시 중구 병영성길 84 (서동),2025-11-26
중구,레트로스,장소연,070-7809-0083,천막  텐트 및 유사 제품 제조업,울산광역시 중구 구교로 204  101호 (남외동),2025-11-26
중구,㈜아늑한,이하나,,기타 직물제품 제조업,울산광역시 중구 태화로 291  2층 (태화동),2025-11-26
중구,에피모,박문석,052-211-0900,남자용 겉옷 제조업,울산광역시 중구 문화의거리19 (성남동),2025-11-26
중구,모모양복점,김영숙,052-211-1650,남자용 겉옷 제조업,울산광역시 중구 학성로88 (성남동),2025-11-26
중구,갑부라사,성영식,,남자용 겉옷 제조업,울산광역시 중구 학성로66 (성남동),2025-11-26
중구,우일양복점,이서현,052-243-9977,남자용 겉옷 제조업,울산광역시 중구 학성로91  2층 (성남동),2025-11-26
중구,최병원테일러,최병원,052-245-2288,남자용 겉옷 제조업,울산광역시 중구 학성로86 (성남동),2025-11-26
중구,국정사양복점,김동남,052-211-2913,남자용 겉옷 제조업,울산광역시 중구 학성로91 (성남동),2025-11-26
중구,김도용양복점,김도용,052-244-3003,남자용 겉옷 제조업,울산광역시 중구 학산로17 (학성동),2025-11-26
중구,에스엠패션㈜,허남수,052-249-0854,남자용 겉옷 제조업,울산광역시 중구 운곡안길 11 (다운동),2025-11-26
중구,취미패션,박병민,,여자용 겉옷 제조업,울산광역시 중구 새즈믄해거리 15 (중앙동),2025-11-26
