단지명,회사명,대표자명,공장대표주소,대표업종번호,업종명,전화번호,팩스번호,종업원수,생산품
개별입지,(유) 비엔트리니티,김진옥,"전북특별자치도 군산시 대학로 558, 창업보육센터 1114호 (미룡동, 군산대학교)",20422,"치약, 비누 및 기타 세제 제조업 외 1 종",063-467-1181,063-467-1281,1,"샴푸, 비누"
개별입지,(유)경원산업,김석주,전북특별자치도 군산시 나포면 십자들로 810,25113,육상 금속 골조 구조재 제조업 외 6 종,063-453-1851,063-453-1852,11,콘베어및이송기계
개별입지,(유)경인,이경로,전북특별자치도 군산시 임피면 미산길 32-10 ((유)경인),10301,김치류 제조업 외 2 종,063-453-1122,063-453-7577,15,김치
개별입지,(유)경진산업,손순덕,"전북특별자치도 군산시 양촌1길 30-9 (조촌동, 우림포장산업)",16231,목재 깔판류 및 기타 적재판 제조업 외 2 종,070-4253-2134,063-445-2134,8,목재깔판류 및 기타 적재판
군산2국가산업단지,(유)광명중전기,문장묵,전북특별자치도 군산시 산단동서로 80-11 (오식도동),24290,기타 1차 비철금속 제조업 외 2 종,063-463-6670,063-463-3323,9,"전동기, 기계부품, 전기자재 등"
개별입지,(유)광진전업사,김상기,전북특별자치도 군산시 회현면 서기길 3-27,28123,배전반 및 전기 자동제어반 제조업,063-466-6087,063-466-8330,3,전기배전판
개별입지,(유)군산수산물센타,신승용,"전북특별자치도 군산시 임사길 10 (산북동, (주)삼우더엔에스)",10219,기타 수산동물 가공 및 저장 처리업,063-445-4123,063-445-6882,7,"도미, 조기, 꽃게"
개별입지,(유)군산식품,노영복,전북특별자치도 군산시 옥구읍 옥구로 104-11,10794,두부 및 유사식품 제조업,063-471-4766,063-471-4766,10,두부류
군산일반산업단지,(유)군산아스콘,이종근,"전북특별자치도 군산시 외항7길 28-19(소룡동, (유)군산아스콘)",23991,아스팔트 콘크리트 및 혼합제품 제조업,063-467-8101,063-467-4159,6,아스콘
군산옥구농공단지,(유)군산컴퍼니,배성진,전북특별자치도 군산시 옥구읍 광월안길 27,32029,기타 목재가구 제조업 외 1 종,000-0000-0000,063-445-3377,5,"목재가구,사무용가구,일반가구,주문가구,가정용가구,기타가구"
개별입지,(유)군장기전,문금순,전북특별자치도 군산시 성산면 십자들로 103-7 (군장기전),28123,배전반 및 전기 자동제어반 제조업,063-453-9444,063-453-9443,8,수.배전판및자동제어반외
군산서수농공단지,(유)그린캠,정철석,전북특별자치도 군산시 서수면 용천로 330,20422,"치약, 비누 및 기타 세제 제조업 외 1 종",063-452-1239,063-452-2239,19,"세제,제습제"
군산2국가산업단지,(유)기룡냉업,오수근,"전북특별자치도 군산시 중가도길 128 (오식도동, (유)기룡냉업)",10212,수산동물 건조 및 염장품 제조업,063-445-5704,063-445-3658,12,"건멸치,건새우,건꼴뚜기"
군산2국가산업단지,(유)기펠이엔씨,김문철,전북특별자치도 군산시 군산산단로 60 (오식도동),29169,기타 물품 취급장비 제조업 외 3 종,063-463-3001,063-464-3006,18,"크레인, 차륜"
군산일반산업단지,(유)나성이앤티,최은성,전북특별자치도 군산시 외항로 350 (소룡동),29142,기어 및 동력전달장치 제조업,063-465-8038,063-465-8040,68,기어및동력전달장치
개별입지,(유)남성건설,구광례,전북특별자치도 군산시 나포면 십자들로 358,25113,육상 금속 골조 구조재 제조업 외 1 종,063-855-2432,,6,"철근가공품,금속조립"
개별입지,(유)남양목재,양현,전북특별자치도 군산시 공항로 273 (산북동),16101,일반 제재업,063-471-0015,,0,목재제재품
개별입지,(유)내고향시푸드,김철호,전북특별자치도 군산시 개정면 금강로 470,10212,수산동물 건조 및 염장품 제조업,063-453-0608,,14,"꽃게장, 양념게장"
개별입지,(유)내고향시푸드,김철호,전북특별자치도 군산시 개정면 금강로 468,10212,수산동물 건조 및 염장품 제조업,063-453-0608,063-453-1717,13,꽃게장
군산2국가산업단지,(유)내츄럴에너텍,송은정,전북특별자치도 군산시 산단동서로 270 (오식도동),16299,그 외 기타 나무제품 제조업,000-0000-0000,,2,연료용땔감
군산2국가산업단지,(유)네오이엔지,이호경,전북특별자치도 군산시 동가도길 20-11 (오식도동),25113,육상 금속 골조 구조재 제조업 외 2 종,063-466-3394,063-466-3396,10,"이송라인배관,안전난간"
군산2국가산업단지,(유)네이쳐우드,이성민,전북특별자치도 군산시 새만금북로 99(오식도동),16101,일반 제재업,063-442-7750,063-452-7756,27,목재
개별입지,(유)농업회사법인 진포푸드,박봉근,"전북특별자치도 군산시 현충로 24(나운동, 진포푸드)",10794,두부 및 유사식품 제조업,063-464-6767,063-464-6768,7,두부
개별입지,(유)농업회사법인새림,최인환,전북특별자치도 군산시 옥산면 산성로 154,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,063-464-8681,063-464-8683,11,축산물가공
