순번,단지명,회사명,대표자명,공장대표주소(도로명),대표업종번호,업종명,생산품
1,김제지평선일반산업단지,(유)대흥산업,김동우,전북특별자치도 김제시 백산면 지평선산단5길 139-14,22212,플라스틱 필름 제조업 외 1 종,농업용필름
2,김제지평선일반산업단지,(유)동재산업,김정회,전북특별자치도 김제시 백산면 지평선산단3길 89-33 외 1필지,25922,도금업,용융 아연 도금
3,김제지평선일반산업단지,(유)서진이엔씨,박수배,전북특별자치도 김제시 백산면 지평선산단2길 20,30201,차체 및 특장차 제조업 외 2 종,"아웃트리거,붐,마늘파종기,로더, 로타리, 태양광구조물"
4,김제지평선일반산업단지,(유)서한산업,김은철,전북특별자치도 김제시 백산면 지평선산단2길 16,25932,일반철물 제조업,금속가공
5,김제지평선일반산업단지,(유)석영정밀,김유수,전북특별자치도 김제시 백산면 지평선산단3길 128,29294,주형 및 금형 제조업,"자동차부품, 생활용품, 기타 농업용 금형제작 및 수리"
6,김제지평선일반산업단지,(유)정윤기업,조진무,"전북특별자치도 김제시 백산면 지평선산단6길 143, 1동",29292,"고무, 화학섬유 및 플라스틱 성형기 제조업","가정용 플라스틱 환풍기, 상용차 플라스틱 내장재"
7,김제지평선일반산업단지,(주)광스틸,곽인학,전북특별자치도 김제시 백산면 지평선산단4길 131,25112,구조용 금속 판제품 및 공작물 제조업 외 2 종,FLASHING(조립식건축마감재)
8,김제지평선일반산업단지,(주)극동테크,권혁신,전북특별자치도 김제시 백산면 지평선산단3길 128,22232,포장용 플라스틱 성형용기 제조업 외 2 종,플라스틱 제품
9,김제지평선일반산업단지,(주)글로텍,이정기,전북특별자치도 김제시 백산면 지평선산단2길 126,16231,목재 깔판류 및 기타 적재판 제조업 외 1 종,"목재포장용기,자동차부품포장"
10,김제지평선일반산업단지,(주)다스,조주현,전북특별자치도 김제시 백산면 지평선산단3길 61,26295,전자감지장치 제조업,기울기센서 외 전자부품
11,김제지평선일반산업단지,(주)대승,"윤기옥, 정세민, 김장송",전북특별자치도 김제시 백산면 지평선산단4길 115-33,30399,그 외 자동차용 신품 부품 제조업 외 3 종,CON-ROD(자동차엔진부품)
12,김제지평선일반산업단지,(주)두산전자사업 김제공장,유승우,전북특별자치도 김제시 백산면 지평선산단4길 66 외 7필지,26221,인쇄회로기판용 적층판 제조업 외 3 종,"인쇄회로용 연성회로기판, 인쇄회로용 연성회로기판, 인쇄회로용 연성회로기판, 폴리아미드 수지"
13,김제지평선일반산업단지,(주)신성엔지니어링,배근혁,전북특별자치도 김제시 백산면 지평선산단6길 235,29210,농업 및 임업용 기계 제조업,농업용기계
14,김제지평선일반산업단지,(주)아이즈텍,김철웅,전북특별자치도 김제시 백산면 지평선산단1길 214-19,28422,일반용 전기 조명장치 제조업 외 4 종,"신재생에너지 가로등용 조명, 가로등주, 영상감시장치"
15,김제지평선일반산업단지,(주)알루포스,정용훈,"전북특별자치도 김제시 백산면 지평선산단6길 115,",25912,금속 단조제품 제조업,방산 및 상용차용 알루미늄 단조휠 및 부품
16,김제지평선일반산업단지,(주)오토티앤에스,문남수,"전북특별자치도 김제시 백산면 지평선산단6길 223,",30320,자동차 차체용 신품 부품 제조업 외 1 종,"자동차외장부품, 대체인증부품"
17,김제지평선일반산업단지,(주)유림,배용준,전북특별자치도 김제시 백산면 지평선산단6길 163,25112,구조용 금속 판제품 및 공작물 제조업,계단 핸드레일
18,김제지평선일반산업단지,(주)제로테크,"정재은,이정수",전북특별자치도 김제시 백산면 부거리 1569-6번지 외 2필지,25923,도장 및 기타 피막처리업,알루미늄휠 도장 및 기타 피막처리
19,김제지평선일반산업단지,(주)제이엠,문일영,전북특별자치도 김제시 백산면 지평선산단5길 258 외 1필지,25921,금속 열처리업 외 1 종,"베어링, 자동차부품"
20,김제지평선일반산업단지,(주)참고을 지평선 제2공장,김윤권,전북특별자치도 김제시 백산면 지평선산단5길 320,10742,천연 및 혼합조제 조미료 제조업,"식물성 식용유지(참기름, 들기름 등), 볶음참깨"
21,김제지평선일반산업단지,(주)참고을 지평선공장,김윤권,전북특별자치도 김제시 백산면 부거리 1583-11번지 외 3필지,10402,식물성 유지 제조업 외 2 종,"식물성유지류(참기름, 들기름 외), 기타농산가공품(볶음참깨), 당류(물엿 외) "
22,김제지평선일반산업단지,(주)코아스,이도훈,전북특별자치도 김제시 백산면 부거리 1568-5번지,30201,차체 및 특장차 제조업,이동형목욕차 등
23,김제지평선일반산업단지,(주)코어메탈,조초산,전북특별자치도 김제시 백산면 부거리 1567-1번지,24219,"기타 비철금속 제련, 정련 및 합금 제조업",동 인코트
24,김제지평선일반산업단지,(주)한엑스,한성희,전북특별자치도 김제시 백산면 지평선산단4길 183,30399,그 외 자동차용 신품 부품 제조업 외 4 종,Urea Tank
25,김제지평선일반산업단지,가람환경 주식회사,이도혁,전북특별자치도 김제시 백산면 지평선산단1길 273,29299,그 외 기타 특수목적용 기계 제조업,대기방지시설
26,김제지평선일반산업단지,넷제로솔루션 주식회사,최전호,전북특별자치도 김제시 백산면 지평선산단5길 183,28909,그 외 기타 전기장비 제조업,태양광모듈패널
27,김제지평선일반산업단지,농업회사법인 유한회사 새만금에이피,방기석,전북특별자치도 김제시 백산면 지평선산단6길 143,10309,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"건고추, 건새싹보리, 건새싹규리, 건고추, 건새싹보리, 건새싹규리"
28,김제지평선일반산업단지,농업회사법인 유한회사 온다라식품,변병성,전북특별자치도 김제시 백산면 부거리 1583-13번지,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"순대류, 돈부산물"
29,김제지평선일반산업단지,농업회사법인 주식회사 이엔푸드,문형선,전북특별자치도 김제시 백산면 지평선산단5길 284,10121,가금류 가공 및 저장 처리업,"육가공식품, 닭고기 부분육"
30,김제지평선일반산업단지,대승정밀 주식회사,"정세민, 김장송",전북특별자치도 김제시 백산면 부거리 1567외 2필지,30320,자동차 차체용 신품 부품 제조업 외 1 종,자동차부품(제어장치하우징)
31,김제지평선일반산업단지,대승정밀(주),"정세민, 김장송",전북특별자치도 김제시 백산면 지평선산단4길 89,30310,자동차 엔진용 신품 부품 제조업 외 2 종,자동차 엔진실린더블럭 외
32,김제지평선일반산업단지,도드람김제에프엠씨,박광욱,전북특별자치도 김제시 백산면 부거리 1583-6번지,10111,육류 도축업(가금류 제외) 외 2 종,"지육, 부분육포장제품,내장등부산물"
33,김제지평선일반산업단지,렉스젠 주식회사,안순현,전북특별자치도 김제시 백산면 지평선산단3길 136,25119,기타 구조용 금속제품 제조업 외 2 종,"금속기둥 철구조물, 교통신호등 폴 "
34,김제지평선일반산업단지,렉스젠(주),"안순현, 홍중표",전북특별자치도 김제시 백산면 부거리 1549-12,25119,기타 구조용 금속제품 제조업 외 2 종,금속기둥 철구조물 
35,김제지평선일반산업단지,로얄캐닌코리아 유한회사,카이시아동,전북특별자치도 김제시 백산면 지평선산단2길 72,10801,배합 사료 제조업 외 1 종,애완동물 사료
36,김제지평선일반산업단지,만원케미칼(주),안상인,전북특별자치도 김제시 백산면 지평선산단6길 191,20499,그 외 기타 분류 안된 화학제품 제조업 외 1 종,부식 및 스케일 방지제 혼합물
37,김제지평선일반산업단지,명지,백은선 외1,전북특별자치도 김제시 백산면 지평선산단1길 214-65,30201,차체 및 특장차 제조업 외 2 종,"특장차 컨트롤러, 특장차 전장 부품, 특장차(이동식 목욕차)"
38,김제지평선일반산업단지,삼동허브(주) 김제공장,신병일,전북특별자치도 김제시 백산면 지평선산단2길 125,30399,그 외 자동차용 신품 부품 제조업 외 3 종,HUB(허브)
39,김제지평선일반산업단지,세중산업 주식회사,이명애,전북특별자치도 김제시 백산면 지평선산단2길 97,17221,종이 포대 및 가방 제조업 외 1 종,"종이지대,OPP지대,종이가방,봉투"
40,김제지평선일반산업단지,에스엠산업,문성군,전북특별자치도 김제시 백산면 지평선산단3길 89-21,29131,액체 펌프 제조업 외 7 종,"수중모터펌프, 수문, 권양기, 하수처리장치"
41,김제지평선일반산업단지,유한회사 제이케이,조광철,전북특별자치도 김제시 백산면 지평선산단3길 89-15,25923,도장 및 기타 피막처리업,비금속도장
42,김제지평선일반산업단지,유한회사 제이피산업개발,김기석,전북특별자치도 김제시 백산면 지평선산단5길 55-15,25113,육상 금속 골조 구조재 제조업,태양광 및 철 구조물 
43,김제지평선일반산업단지,유한회사 티엠에스(TMS),곽환영,전북특별자치도 김제시 백산면 부거리 1569-1번지,28112,변압기 제조업 외 1 종,변압기
44,김제지평선일반산업단지,자이로,염대영,전북특별자치도 김제시 백산면 부거리 1559-10번지,29131,액체 펌프 제조업 외 6 종,"유체기계, 수문, 수처리기계, 전기제어장치"
45,김제지평선일반산업단지,주식회사 광스틸,곽인학,"전북특별자치도 김제시 백산면 지평선산단4길 149,",25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종",건축용 외장재 및 금속창호
46,김제지평선일반산업단지,주식회사 금화전기,박세린,전북특별자치도 김제시 백산면 부거리 1570-22번지,25113,육상 금속 골조 구조재 제조업,조립용 금속 구조재
47,김제지평선일반산업단지,주식회사 다오코리아,전영천,전북특별자치도 김제시 백산면 부거리 1570-15번지,33309,기타 운동 및 경기용구 제조업 외 2 종,"운동용매트, 유도복, 생활매트"
48,김제지평선일반산업단지,주식회사 레이머티리얼즈,하광,전북특별자치도 김제시 백산면 지평선산단6길 169,23121,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",플라스틱 안경렌즈
49,김제지평선일반산업단지,주식회사 레이머티리얼즈,하광,전북특별자치도 김제시 백산면 부거리 1568,27193,안경 및 안경렌즈 제조업 외 1 종,김서림방지 안경렌즈 및 오토바이 헬맷쉴드
50,김제지평선일반산업단지,주식회사 리베로,노경영,전북특별자치도 김제시 백산면 부거리 1583-23번지,20202,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,폴리프로필렌글리콜
51,김제지평선일반산업단지,주식회사 비엔케이,최원석,전북특별자치도 김제시 백산면 지평선산단2길 16,30201,차체 및 특장차 제조업,교량점검차
52,김제지평선일반산업단지,주식회사 새론,윤희정,전북특별자치도 김제시 백산면 지평선산단5길 162,25113,육상 금속 골조 구조재 제조업 외 1 종,조립용 금속 구조재
