읍면,회사명,공장대표주소,전화번호,생산품
행안면 ,(유)가나안전,전북특별자치도 부안군 행안면 부안3농공단지길 95,063-583-5132,"교통안전시설용품,도로표지판"
보안면 ,(유)동서산업,전북특별자치도 부안군 보안면 부안로 1240 (일반공장),063-582-2888,"콘크리트수로관,벤치플륨관"
상서면 ,(유)미성산업,전북특별자치도 부안군 상서면 상서북로 203,063-581-3096,"조립식개거수로관,농수로측벽,호안블록"
하서면 ,(유)부일환경,전북특별자치도 부안군 하서면 변산로 919,010-***-****,종량제쓰레기봉투
주산면 ,(유)삼성레미콘,전북특별자치도 부안군 주산면 종유로 140-64 ((유)삼성환경건설) 외 2필지,063-581-5511,레미콘
주산면 ,(유)삼성환경건설,전북특별자치도 부안군 주산면 종유로 140-64 ((유)삼성환경건설) 외 1필지,063-581-5571,아스콘
부안읍 ,(유)삼원씨앤에스,전북특별자치도 부안군 부안읍 선돌로 174 (건축자재공장) 외 3필지,063-583-3175,"수로관,호안블록,용접철망"
줄포면 ,(유)삼현조명,"전북특별자치도 부안군 줄포면 농공단지길 14-7, 유한회사 삼현조명",063-581-8714,"가로등주, 가로등기구, 조명타워, 경관조명"
행안면 ,(유)새만금김치,전북특별자치도 부안군 행안면 옥여길 23 (텃밭김치),063-583-0012,배추 및 무김치
동진면 ,(유)세운스틸,전북특별자치도 부안군 동진면 문포로 289 ((주)대명알테크),063-581-8321,"구리, PE.PP.PVC재생원료"
보안면 ,(유)세일양행,"전북특별자치도 부안군 보안면 농공단지길 33-9, 줄포농공단지",063-583-4236,기타 운동 및 경기용구 등
백산면 ,(유)세일양행,전북특별자치도 부안군 백산면 부평로 214-24 (세일양행) (총 3 필지) 외 2필지,063-583-4236,목재 판재
동진면 ,(유)쌍용레미콘,전북특별자치도 부안군 동진면 석정로 38,063-583-9001,"레미콘, 아스콘"
줄포면 ,(유)주성산업,전북특별자치도 부안군 줄포면 농공단지길 14-7,063-903-0088,"영상감시장치, CCTV카메라, 계측제어장치"
주산면 ,(유)징코푸드시스템,전북특별자치도 부안군 주산면 주산동로 80-7 (일반공장) 외 3필지,063-584-0258,카스테라
보안면 ,(유)창명산업,전북특별자치도 부안군 보안면 종유로 140-96 (창명산업),063-581-2544,아스콘
행안면 ,(주)가린한방,전북특별자치도 부안군 행안면 옥여길 32-16,063-582-5437,건강기능식품 등
상서면 ,(주)개암죽염식품,전북특별자치도 부안군 상서면 봉은길 86 (개암죽염),010-***-****,정제소금
보안면 ,(주)나전테크,전북특별자치도 부안군 보안면 농공단지길 22,063-532-8383,"수, 배전반, 계장(계측)제어장치"
상서면 ,(주)도시레미콘,전북특별자치도 부안군 상서면 고인돌로 211,063-584-9755,레미콘
행안면 ,(주)모터뱅크,전북특별자치도 부안군 행안면 부안3농공단지길 6,010-***-****,모터사이클(전기오토바이 )제조 및 환자용 차량 제조
행안면 ,(주)미래케미칼,전북특별자치도 부안군 행안면 옥여길 33-1 (미래케미칼),063-581-5730,pvc창틀
보안면 ,(주)비젼세라믹,전북특별자치도 부안군 보안면 부안로 1256 (비젼세라믹(주)) 외 5필지,063-581-2043,적벽돌
행안면 ,(주)사보이피앤디 부안지점,전북특별자치도 부안군 행안면 옥여길 32-22,02-573-7474,수제청
행안면 ,(주)삼성토탈정보기기,전북특별자치도 부안군 행안면 옥여길 33-2,063-581-2242,CCTV
행안면 ,(주)상상공작소,전북특별자치도 부안군 행안면 부안농공단지길 51,010-***-****,"옥외광고물, 금속가공품"
행안면 ,(주)상진콘크리트,전북특별자치도 부안군 행안면 부안로 2403 (일반공장) (총 4 필지) 외 3필지,063-584-6744,"수로관, 맨홀"
줄포면 ,(주)씨제이제일제당,전북특별자치도 부안군 줄포면 농공단지길 14-10 외 5필지,02-6740-0032,조미김
행안면 ,(주)오양플라테크,전북특별자치도 부안군 행안면 부안농공단지길 27 (오양플라테크),063-581-0363,"아크랄,우레아,멜라닌"
행안면 ,(주)유피엘,전북특별자치도 부안군 행안면 부안3농공단지길 99,010-***-****,"교통신호장치, 영상감시장치, 계장제어장치"
상서면 ,(주)전일콘크리트,전북특별자치도 부안군 상서면 장동리 317-2번지 외 5필지,063-583-3300,콘크리트제품
