연번,업종,사업체명,주생산품,도로명주소,위도,경도,전화번호,팩스번호,홈페이지
1,식료품 제조업,대한사료㈜,배합사료,전북특별자치도 전주시 덕진구 서귀로 186,35.85540499,127.0798746,063-210-0806,063-212-0889,
2,식료품 제조업,(주)에이원푸드,"식육류 ,생새고기류",전북특별자치도 전주시 덕진구 운암로 41-15 (팔복동2가),35.86143626,127.0871791,063-278-1419,063-278-1420,
3,식료품 제조업,㈜삼양사,"설탕, 밀가루, 전분당, 유지 등",전북특별자치도 전주시 덕진구 팔복로 147,35.85155339,127.0889528,063-210-6726,063-210-6677,
4,식료품 제조업,켈리의푸드부띠끄,고추장.간장.된장,"전북특별자치도 전주시 완산구 우전1길 65-9, (효자동2가) (효자동2가)",35.8091632,127.1055581,063-225-1355,063-225-1355,
5,식료품 제조업,비나코프(주),과실ㆍ채소 가공,"전북특별자치도 전주시 완산구 효자로 161, 웨스트빌오피스텔 1025호 (효자동3가)",35.81941588,127.102566,063-221-5161,,
6,식료품 제조업,훼미리식품㈜,"과자류, 빙과류 외",전북특별자치도 전주시 덕진구 팔과정로 216,35.86445856,127.0983278,063-712-6116,063-212-1708,
7,식료품 제조업,(주)아스타바이오,"기능성원료, 건강보조식품 연구개발 및 생산","전북특별자치도 전주시 덕진구 백제대로 567, 210호(금암동, 전북대학교반도체물성연구소)",35.84114301,127.1315892,070-4045-2800,063-850-0761,
8,식료품 제조업,열두달떡앤베이킹,빵,전북특별자치도 전주시 완산구 서신천변13길 4-11 (서신동),35.83098976,127.1136589,063-909-3648,,
9,식료품 제조업,떡전문점소담,떡,"전북특별자치도 전주시 완산구 효천천변길 20, 1동 102,103호 (효자동2가)",35.80224536,127.1024933,063-274-2782,,
10,식료품 제조업,떡마을,떡류,전북특별자치도 전주시 완산구 거마남로 76 (삼천동1가),35.79548024,127.1250494,063-222-9851,,
11,식료품 제조업,온기,떡케이크,"전북특별자치도 전주시 덕진구 사근1길 17, 1층 (송천동2가)",35.86665968,127.1291854,0507-1339-8719,,
12,식료품 제조업,(주)아그로셀,2세대 친환경 비료,"전북특별자치도 전주시 덕진구 원장동길 111-18, (재)전북 바이오융합산업진흥원 바이오플렉스 창업보육센터 106호 (장동)",35.85165807,127.0592154,,050-7087-0517,
13,식료품 제조업,(주)도시농부,농산물재배업,"전북특별자치도 전주시 덕진구 권삼득로 308, 105호 (덕진동1가,전북대학교창업보육1센터)",35.84420869,127.1292644,070-8620-7997,063-271-0555,
14,식료품 제조업,민물나라신시가지점,건강즙,"전북특별자치도 전주시 완산구 구룡1길 26, 1층 108호 (효자동2가)",35.81147214,127.1045585,063-222-1002,,
15,식료품 제조업,호키토키,"면류, 마카로니 및 유사식품 제조","전북특별자치도 전주시 완산구 서신천변6길 4, 1층 (서신동)",35.82811954,127.1143326,070-8098-7399,,
16,식료품 제조업,(주)큐어펫,단미 사료 및 기타 사료 제조,"전북특별자치도 전주시 완산구 백제대로 10, 107호 (평화동1가,전주롯데시네마평화점)",35.79642816,127.1327391,063-246-5588,,
17,식료품 제조업,용길네즉석두부,두부,"전북특별자치도 전주시 완산구 당산로 27, 115동 1층 115호 (서신동,신일아파트)",35.83234332,127.1114302,063-252-2943,,
18,식료품 제조업,그린떡방앗간,떡류,전북특별자치도 전주시 완산구 솟대2길 61 (삼천동1가),35.79433132,127.1195195,063-286-6505,,
19,식료품 제조업,(유한)세기,육류 기타 가공,"전북특별자치도 전주시 덕진구 편운로 72, 104호 (여의동2가)",35.87476991,127.0828847,,,
20,식료품 제조업,(주)한식명가,김치류 제조,전북특별자치도 전주시 완산구 오목대길 48 (교동),35.81307971,127.153605,,,
21,식료품 제조업,㈜함께하는이평,호화쌀혼합분말 1P,"전북특별자치도 전주시 덕진구 원장동길 111-18, 바이오플렉스104호",35.85165807,127.0592154,070-7543-1334,070-7543-5798,
22,식료품 제조업,(유한)지민,소스류 외,전북특별자치도 전주시 덕진구 인교9길 27-1 (우아동1가),35.82604077,127.175713,063-271-5567,,
23,식료품 제조업,전주김가네기름집,참기름 들기름,"전북특별자치도 전주시 완산구 신봉1길 13, 1층 (효자동1가)",35.81064399,127.1169054,0507-1363-7262,,
24,식료품 제조업,다온 농업회사법인,곶감,전북특별자치도 전주시 덕진구 신복로 113 (팔복동1가),35.85902492,127.1033162,050-4063-9816,,
25,식료품 제조업,(주)전주예쁜카페태리단길,과자류 및 코코아 제품 제조업,"전북특별자치도 전주시 완산구 태평4길 11, 105호106호107호108호 (태평동,대양아리스타)",35.82342123,127.1426276,070-7772-3040,,
26,식료품 제조업,복실상회,도시락류 제조,"전북특별자치도 전주시 완산구 서곡7길 18-10, 1층 (효자동3가)",35.83236174,127.1017675,063-271-4765,,
27,식료품 제조업,와우차우(주),단미사료,전북특별자치도 전주시 완산구 천잠로 303 (효자동2가),35.81616752,127.0888808,,,
28,식료품 제조업,당도,과자류 및 코코아 제품 제조업,"전북특별자치도 전주시 덕진구 조경단로 104, 1동 당도 (금암동)",35.843629,127.1388904,0507-1317-8024,,
29,식료품 제조업,㈜진트론바이오텍,"보조사료,실험실용증발기,이산화탄소배양기,질량분석기,조섬유추출장치","전북특별자치도 전주시 완산구 홍산북로 15, 201호",35.8175847,127.1035715,02-1661-4786,063-222-9133,
