번호,회사명,단지명,대표자명,공장대표주소,업종명
1,호남제재소,,한*석,전라북도 익산시 인화동2가 63번지,일반 제재업
2,영농조합법인 부성,,오*만,전라북도 익산시 왕궁면 쌍제1길 45 (총 3 필지),기타 비료 및 질소화합물 제조업
3,주식회사 하다,,하*우,전라북도 익산시 여산면 가람로 52-18,농업 및 임업용 기계 제조업
4,복석산업(주),,진*섭,전라북도 익산시 황등면 황등리 87번지,건설용 석제품 제조업 외 1 종
5,농업회사법인농협양곡(주),,조*형,전라북도 익산시 함열읍 함낭로 428,곡물 도정업
6,석교정미소,,임*명,전라북도 군산시 옥산면 당북리 46-24번지,곡물 도정업
7,주식회사 티디씨전력기술,,한*철,전라북도 완주군 이서면 콩쥐팥쥐로 1040-94,기타 발전기 및 전기변환장치 제조업 외 6 종
8,도로시설산업,,조*근,전라북도 정읍시 영원면 풍지길 209 (한진태크),기타 석제품 제조업
9,경동흥업(주)전주제1공장,전주제1지방산업단지,한*성,전라북도 전주시 덕진구 기린대로 711 (팔복동2가),내의 및 잠옷 제조업
10,(주)동양/건재부문 군산공장,군산지방산업단지,박*병,"전라북도 군산시 외항로 466 (소룡동, 금강물류) (총 5 필지)",레미콘 제조업 외 1 종
11,(주)BYC,완주이서농공단지,한*범,전라북도 완주군 이서면 콩쥐팥쥐로 984-74 (㈜BYC),면 방적업
12,씨제이제일제당(주) 군산공장,군산지방산업단지,김*하,"전라북도 군산시 외항1길 426 (소룡동, CJ군산공장)",동물용 사료 및 조제식품 제조업
13,서한산기(주),정읍북면농공단지,조*희,전라북도 정읍시 북면 북면공단2길 104 (성원무역),기타 물품취급장비 제조업
14,주식회사 청림우드,,박*,전라북도 군산시 성산면 송호로 156 (성산면),일반 제재업 외 3 종
15,(주)창성상품전주공장,전주제1지방산업단지,한*용,"전라북도 전주시 덕진구 구렛들3길 35 (팔복동1가, (주)백양)",내의 및 잠옷 제조업
16,(주)뉴젠팜,익산제2지방산업단지,정*기,"전라북도 익산시 석암로9길 117,  (지방산업단지내) (석암동)",완제 의약품 제조업
