연번,지역,사업체명,대표자 성명,본사소재지,주생산품,주소,홈페이지
1,전주,켈리의푸드부띠끄,이해영,전북,"고추장,간장,된장,과일청",전주시완산구우전1길65-9,
2,전주,샤뽀,조현종,전북,모자,전주시완산구전동성당길8,www.luielle.com
3,전주,㈜신산이,김수석,전북,신재생에너지,전주시덕진구비석날로59-11(여의동),www.sinsane.com
4,전주,서동푸드협동조합,정병호,전북,전통한과,전주시완산구장승배기8길10-10,
5,전주,가온디자인,송훈배,전북,주방용 및 음식점용 목재가구,전주시완산구바람쇠는길131-9,
6,전주,한일판넬,전형기,전북,금속제창문,전주시덕진구초포다리로169,
7,전주,유비월드,정선주,전북,인조손톱,전주시덕진구청복길90,
8,전주,인터비타,김정숙,전북,"리모컨, 키보드","전주시완산구천잠로303,ㅡ벤처창업관314호",www.interbita.com
9,전주,동서콘트롤㈜,박춘경,전북,전장부품,전주시덕진구구렛들1길20,dscontrol.co.kr
10,전주,㈜모아에코텍,유원석,전북,LID저영향기법개발,전주시덕진구명주6길15,
11,전주,비원치과기공소,문수정,전북,치과용기기,전주시완산구서신천변13길9,
12,전주,지엠메디컬,우미숙,전북,음압컨테이너,"전주시덕진구기린대로645-6,161호",
13,전주,㈜아스타 바이오,유명기,전북,건강기능식품,"전주시덕진구백제대로567,대학교반도체물성연구소210호",astabio.co.kr
14,전주,이끌림치과기공소,유완식,전북,"의료용품,의약관련제품","전주시덕진구용소로70,202호",
15,전주,㈜모나리자 전주공장,주광옥,서울,화장지원단,전주시덕진구팔과정로53,monarisa.co.kr
16,전주,서희납골/장식,이승,전북,유골함 납골위폐,전주시덕진구기린대로577,
17,전주,떡마을,서원자,전북,떡,전주시완산구거마평로122,전주떡마을.com/
18,전주,디케이(DK)산업,이근택,전북,플라스틱창호알루미늄창호,전주시덕진구신복천변로39,
19,전주,더넥스트푸드,구태훈,전북,금속가구,전주시덕진구용덕길47-43,
20,전주,대성전력㈜,권광석,전북,태양광발전장치,전주시완산구삼산길27,
21,전주,㈜우리젠,고상원,서울,자동제어장치,전주시덕진구신복2길101층,www.woorizen.com
22,전주,㈜포레코,김성규,전북,바이오 디젤류 장치,"전주시덕진구유상로67,414호전주혁신창업허브",forceco.biz/
23,전주,㈜솔루션뱅크플러스,조용귀,전북,"산업용금형, 시제품 제작",전주시덕진구반룡로110테크노파크벤처지원동505호,www.sol-bang.com
24,전주,유성실업,고만석,전북,유아동내의,전주시완산구물왕멀3길25,
25,전주,남성기전,최전남,서울,PLC판넬제조,전주시덕진구반룡로109508호,www.inamsung.com
26,전주,슈가팜,김영미,전북,"천연염색속옷, 찜질팩","전주시완산구우전로104,3층",sugafarm.co.kr
27,전주,전일기업,이종천,전북,"롤스크린,가구",전주시완산구고덕산1길16-54,jeonil.co.kr
28,전주,푸르향,김민수,전북,"콩쉐이크, 곡물가루","전주시덕진구원장동길111-18,바이오플렉스105호",www.pureuhyang.com
29,전주,태림어패럴,김수진,전북,유아내의,전주시덕진구동부대로757,
30,전주,(유)동신큐비클,홍순웅,전북,화장실용 칸막이,전주시덕진구하가로84,dongsinjj.com/
31,전주,그린떡방앗간,한병선,전북,떡,전주시완산구솟대2길61,
32,전주,㈜비와이씨,김대환,서울,속옷및잠옷,"전주시덕진구구렛들3길35(팔복동1가,㈜백양)",www.byc.co.kr
33,전주,(주)호암디에스산업 ,신남일,전북,운송용컨테이너,"전주시덕진구오공로136,403호",
34,전주,우정정공,이남,경기,사출기계부품,전주시덕진구감수길30-20,
35,전주,은혜상사㈜,김철환,전북,"작업복,안전화","전주시덕진구기린대로903,1층",www.hkengo.co.kr
36,전주,화산실업,김태평,전북,"섬유표백, 광택",전주시덕진구신복천변1길17,
37,전주,㈜엠프로스,임재중,전북,전자기기(의료기기),"전주시덕진구유상로67,4층413호",medial-pros.com
38,전주,일진종합상사,천세훈,전북,화목보일러,전주시덕진구삼례로145,
39,전주,삼일산업,조형석,전북,공기조절장치,전주시덕진구구렛들2길19(1공장),heex-pro.com
40,전주,삼일산업,조형석,전북,공기조절장치,"전주시덕진구구렛들2길27(사무실,2공장)",heex-pro.com
41,전주,비나텍㈜,성도경,전북,초고용량캐패시터,전주시덕진구운암로15,www.vina.co.kr
42,전주,㈜화이트라이팅,김현영,전북,"LED등기구, 가로등 주, 금속 울타리","전주시덕진구반룡로109,테크노파크생신지원비동113호(본사)",tslighting.co.kr
43,전주,미래산업,전인수,전북,공조기 헤더부분,전주시상리1길47,
44,전주,혜인기계,양희국,전북,기계부품가공,전주시덕진구감수길30-22,
45,전주,성신메탈,김성중,경기,냉동공조기,전주시덕진구신복로102,
46,전주,㈜어드벤스드웨이브,조정진,전북,"순간정전보상장치, 반도체, 태양광발전",전주시덕진구원만성로112,advancedwave.co.kr/
47,전주,㈜에스솔루션,오일수,경기,태양광구조물,전주시덕진구원산정길37,
48,전주,백리도예공방,이경희,전북,생활자기,전주시완산구문학대4길22-6,
49,전주,㈜디와이피,신성오,전북,"산업자동제어장비, 분, 액체도장설비",전주시덕진구쪽구름로190-16,www.dypnc.co.kr
50,전주,㈜대환에너지,임유빈,전북,탄소발열체,전주시덕진구신복로121,www.dhecarbon.co.kr
51,전주,㈜대한특수한지,이봉진,전북,"한지, 종이",전주시덕진구신복천변3길17,dhspok.com
52,전주,㈜경원에프엔비,구경본,서울,유아용의류,전주시덕진구구렛들1길28-13,www.unifriend.co.kr
53,전주,신기전선㈜,이우종,전북,선박용전선일체,전주시덕진구구렛들1길28,shinkicable.com
54,전주,㈜성우이앤씨,한상도,충남,"무대장치, 무대조명기기","전주시덕진구암심길81,제1-B동",http://blog.naver.com/khk6500/221988545063
55,전주,㈜링스텔레콤,신지원,전북,"통신장비, 방송장비, 영상감시장치",전주시완산구서곡2길2-7,www.linxtelecom.co.kr/xe/
56,전주,맥소프트㈜,오성하,전북,"자동차, 항공부품, 연구개발 및 제조","전주시덕진구반룡로109,B동206,208호",www.maxoft.co.kr
57,전주,반도호이스트,송재협,전북,기계,전주시신복1길17,
58,전주,㈜맨든,손형주,전북,무인항공기 및 무인비행장치 제조업,"전주시덕진구유상로67,415호",www.manden.co.kr
59,전주,주식회사 코엔,임종운,전북,보행매트,전주시덕진구암실길146,
60,전주,㈜코엔,임종운,전북,"이음관, 토목건축자재",전주시덕진구원망성로59,
61,전주,에코시스템,장원종,전북,PVC창호,전주시덕진구원동마을길59,
62,전주,핀코,이상용,전북,풍력발전기용 복합재 커버,전주시덕진구신복로114,finnko.co.kr
63,전주,금양기계,유성용,전북,부품가공,전주시덕진구감수길30-14,
64,전주,제이유디텍(JUDTECH),서희훈,전북,가정용전자기기,"전주시완산구천잠로303,본관동153호",
65,전주,블루텍(유),최규준,전북,"CCTV, 구내방송장치",전주시완산구척동7길16,
66,전주,㈜대신냉방,전율교,전북,열교환기,전주시덕진구상리1길47,daeshinaircon.com
67,전주,㈜성흥시스템,이기현,전북,전기자동제어 및 배전반,전주시덕진구신복1길13,
68,전주,피엠티,김설아,전북,어린이 안전벨트,"전주시덕진구구렛들3길50,2동2층",
69,전주,티마텍㈜,강성호,경기,"드론관련제품, 드론","전주시덕진구유상로67,전주혁신창업허브",www.timatec.co.kr
70,전주,㈜수테크놀로지,김상규,전북,에어커튼,"전주시완산구천잠로303,전주대학교벤처창업관207호",www.etish.net
71,전주,(유)올드브릭컴퍼니,장미정,전북,볶은 커피,전주시완산구황학6길1,
72,전주,구성,김형수,전북,"난간, 조형물",전주시완산구중앙반길35,
73,전주,이미지랩㈜,황현하,충남,액정표시장치전자부품,"전주시덕진구반룡로111지원동411호(팔복동2가,나노기술직접센터)",
74,전주,터보엔지니어링㈜,오영석,전북,열유체 시험장비 레이저 가공 판금,전주시덕진구기린ㄷ로772,
75,전주,㈜티엔티리써치,박명흠,전북,실험용시약,전주시덕진구원장동길102,www.tntresearch.co.kr
76,전주,㈜엔제이랩,김형열,광주,탄소나노튜브,"전주시덕진구만성북로51-25,스페이스온동2층2023호(만성동,스페이스온지식산업센터)",
77,전주,㈜진트론바이오텍,나지은,전북,"보조사료, 연구용시약",전주시완산구흥산북로152층201호401호,www.genetrone.com
78,전주,주식회사 인터다임,이정규,전북,에어로웜,전주시덕진구야전2길17,
79,전주,㈜테라엔지니어링,김한수,전북,"카본, 특수자동차, 자동차부품","전주시덕진구반룡로109,비동209호",teraeng.com/
80,전주,프로티젠,강성우,전북,화장품원료,전주시덕진구원장동길111-18,protigen.co.kr/
81,전주,복실상회,김지연,전북,도시락류,전주시완산구서곡7길18-101층,
82,전주,㈜동광엔비화성,박병국,경기,기체여과기제조,"전주시덕진구상리로45,101호",www.nbfoam.com
83,전주,㈜창해이엔지,정두표,전북,"금속탱크,탄산가스",전주시덕진구원망성로15,www.changhaeeng.com
84,전주,나노네이처펫,김서연,전북,애견용 세정제,"전주시완산구평화2길13-1,1층",www.nanonature.com
85,전주,(유)도영,허영옥,전북,"종이,펄프",전주시덕진구팔복로59,
86,전주,㈜트인,이주희,전북,조형물제조,"전주시덕진구기린대로873,1층2호",
87,전주,(주)함께하는이평 ,홍경표,전북,갓추출물,전주시덕진구원장동길111-18,www.yipyyng.com
88,전주,㈜나인랩스코리아,정형덕,전북,차량용무선거치대,"전주시덕진구백제대로567,308호",dashcrab.co.kr
89,전주,농업회사법인 향토자원개발연구소,윤선희,전북,곡물을 이용한 당류,전주시완산구숲정이1길17,
90,전주,에스제이테크,정금옥,전북,"구조물, 금속탱크",전주시덕진구진조리길81-57,
91,전주,키친파트너,심승민,전북,업소용주방기기,전주시덕진구상리2길29,
92,전주,㈜캡슐프레소,박성민,전북,식료품제조,"전주시완산구천잠로235,미래관9106호전주비전대학교",
93,전주,㈜에이앤디브릭,홍혜정,전북,점토 벽돌,"전주시완산구홍산북로83,104동701호",
94,전주,㈜전주제과,최혁종,전북,"빵, 과자",전주시덕진구팔복로365,blog.daum.net/1000nuri
95,전주,현종금속,태현진,전북,"금속절단, 절곡, 자동차부품",전주시덕진구상리1길51,
96,전주,(유)원아시아컴퍼니,이동원,전북,여드름개선마스크팩 화장품,"전주시완산구천잠로303,전주대학교본관126호",www.oneasiacompany.com
97,전주,(주)에스디에이씨 ,설동문,전북,탄소섬유,"전주시완산구안행2길33,3층",
98,전주,㈜오케이인더스트리,박철수,전북,휴대폰 액세서리 및 주변기기,전주시덕진구신복로18-21,www.ok-m.co.kr/
99,전주,혜미강전통발효식품,임경월,전북,"된장, 고추장, 쌈장, 간장, 청국장",전주시완산구모악산자락길270-21,facebook.com/hmk1989/
