순번,회사명,전화번호,생산품,공장대표주소,대표업종번호,업종명,데이터기준일
1,(주)건강한채소,043-832-3100,단무지,충청북도 괴산군 괴산읍 자연식품1길 25,10301,김치류 제조업 외 2 종,2019-09-04
2,(주)괴산레미콘,043-832-1701,레미콘,충청북도 괴산군 문광면 괴산로 3352-19 (괴산레미콘(주)) (총 23 필지),23322,레미콘 제조업,2019-09-04
3,(주)그린팜스,043-836-6214,"식육가공품,양념육,가열육가공품",충청북도 괴산군 사리면 사리로방축골길 44-22,10129,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,2019-09-04
4,(주)금오하이텍,043-836-1866,문판넬,충청북도 괴산군 청안면 금신로2길 19-46 (청안면),22212,플라스틱 필름 제조업 외 1 종,2019-09-04
5,(주)농업과기술,032-863-9422,복합비료,충청북도 괴산군 청안면 광장로 590-11 (청안면),20312,복합비료 및 기타 화학비료 제조업 외 1 종,2019-09-04
6,(주)농업법인 쿱도우,043-760-7301,"컵라면, 당면",충청북도 괴산군 괴산읍 자연식품길 37,10730,"면류, 마카로니 및 유사식품 제조업 외 1 종",2019-09-04
7,(주)다담은,043-838-7008,"꽃게장, 육가공식품",충청북도 괴산군 청안면 금신로 28,10212,수산동물 건조 및 염장품 제조업 외 2 종,2019-09-04
8,(주)다영,043-833-3041,수용성 내장 다채무늬도료,충청북도 괴산군 괴산읍 대제산단6길 5,20411,일반용 도료 및 관련제품 제조업,2019-09-04
9,(주)대명콘크리트,043-834-0178,"콘크리트 수로관, 옹벽블럭",충청북도 괴산군 청안면 금평로 458 ((주)대명콘크리트),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,2019-09-04
10,(주)대보세라믹스,043-833-0991,벽타일,충청북도 괴산군 괴산읍 읍내로 165 ((주)대보세라믹스),23232,타일 및 유사 비내화 요업제품 제조업,2019-09-04
11,(주)대원농산,043-838-9970,"단미사료,유기질비료",충청북도 괴산군 청안면 질마로 164 (총 2 필지),20312,복합비료 및 기타 화학비료 제조업 외 3 종,2019-09-04
12,(주)대원실업,043-838-2506,H-BEEM 가공품,충청북도 괴산군 사리면 중흥로 200-11,25113,육상 금속 골조 구조재 제조업 외 1 종,2019-09-04
13,(주)대흥물산,043-838-1981,비누,충청북도 괴산군 사리면 농공단지길 15 (사리면),20422,"치약, 비누 및 기타 세제 제조업",2019-09-04
14,(주)덕산식품,043-833-2100,"떡볶기, 기타 떡류, 국수, 라면 기타 유사품, 유부, 소스",충청북도 괴산군 사리면 모래재로이곡5길 1 ((주)덕산식품) (총 3 필지),10711,떡류 제조업 외 4 종,2019-09-04
15,(주)동명엔터프라이즈,043-834-8778,유증기 회수장치,충청북도 괴산군 칠성면 칠성로8길 30 (총 2 필지),29133,"탭, 밸브 및 유사장치 제조업",2019-09-04
16,(주)동부금속,043-832-7689,코팅철근,충청북도 괴산군 문광면 괴산로 3352-8 (동부금속),24191,"도금, 착색 및 기타 표면처리강재 제조업",2019-09-04
17,(주)동아스트,043-833-4700,"천막, 막구조용 철골, 간판, 파고라",충청북도 괴산군 괴산읍 문무로길골길 81-3 (사무실),13224,"천막, 텐트 및 유사 제품 제조업 외 5 종",2019-09-04
18,(주)동영이엔지,043-833-7148,"태양광 접속반, 구조물",충청북도 괴산군 목도로1길 37 -12(불정면) ,25113,육상 금속 골조 구조재 제조업 외 3 종,2019-09-04
19,(주)동우켐,043-834-7100,목재보호제(프리미엄스테인),충청북도 괴산군 불정면 쇠실로 425,20499,그 외 기타 분류 안된 화학제품 제조업 외 1 종,2019-09-04
20,(주)동원건설,043-836-5117,금속 구조재,충청북도 괴산군 사리면 사리로 347 (제조업소),25113,육상 금속 골조 구조재 제조업 외 1 종,2019-09-04
21,(주)동원에프앤비(중부공장),043-833-8388,천연생수,충청북도 괴산군 불정면 하산로1길 33-10 (동원F&B중부공장) (총 4 필지) (총 4 필지),11202,생수 생산업,2019-09-04
22,(주)리디아,043-832-8664,"아크릴실, 폴리실, 방화셔터","충청북도 괴산군 괴산읍 충민로검승4길 39,  외 2",13103,화학섬유 방적업 외 3 종,2019-09-04
23,(주)문화콘크리트,043-833-3273,"흄관,벤치폴륨관",충청북도 괴산군 문광면 대명길 36-8 ((주)문화콘크리트) (총 6 필지),23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,2019-09-04
24,(주)미미식품,043-833-0738,조미식품,충청북도 괴산군 문광면 광덕길 89 ((주)미미식품) (총 2 필지),10742,천연 및 혼합조제 조미료 제조업 외 2 종,2019-09-04
25,(주)미토리,043-760-8600,"족발, 편육, 순대",충청북도 괴산군 괴산읍 자연식품1길 30,10121,가금류 가공 및 저장 처리업 외 5 종,2019-09-04
26,(주)베이스코리아,043-832-8857,접착제 및 젤라틴,충청북도 괴산군 괴산읍 대제산단1길 39-37,20493,접착제 및 젤라틴 제조업,2019-09-04
27,(주)보명,043-834-5300,기타플라스틱제품,충청북도 괴산군 괴산읍 읍내로 35-4 (괴산장례식장),22222,설치용 및 위생용 플라스틱제품 제조업,2019-09-04
28,(주)보성일억조코리아,043-873-9177,무말랭이,충청북도 괴산군 소수면 길선리 341-9 번지,10301,김치류 제조업 외 1 종,2019-09-04
29,(주)블랙스톤,043-834-7401,인조현무암,충청북도 괴산군 청안면 괴산로삼락1길 33 (베스트월드),23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2019-09-04
30,(주)삼산,043-834-3233,외장타일,충청북도 괴산군 괴산읍 충민로 189 ((주)삼산),23232,타일 및 유사 비내화 요업제품 제조업,2019-09-04
31,(주)삼성피앤씨,043-836-8900,"플라스틱관,CD전선관,ECP지중선",충청북도 괴산군 청안면 질마로 98 ((주)삼성피엔씨),22211,"플라스틱 선, 봉, 관 및 호스 제조업",2019-09-04
32,(주)샌드네이처,,쇄석골재,충청북도 괴산군 청안면 조천리 759-5  외 4필지,23993,비금속광물 분쇄물 생산업,2019-09-04
33,(주)서명콜크,043-832-3731,고무콜크,충청북도 괴산군 괴산읍 괴강로공단길 33 ((주)서명콜크),22199,그 외 기타 고무제품 제조업,2019-09-04
34,(주)서원양행,043-833-9009,"PE PIPE류, DRIP TAPE류",충청북도 괴산군 사리면 모래재로 692-72 ((주)서원양행괴산공장),22211,"플라스틱 선, 봉, 관 및 호스 제조업",2019-09-04
35,(주)성화파인켐,02-6419-8382,계면활성제,"충청북도 괴산군 사리면 농공단지길 53, (주)성화파인켐",20421,계면활성제 제조업,2019-09-04
36,(주)세라텍,043-832-6555,타일및유사제품,충청북도 괴산군 사리면 화산재로 211 ((주)세라텍) (총 4 필지),23232,타일 및 유사 비내화 요업제품 제조업,2019-09-04
37,(주)소닉스,043-833-0874,"욕조, 세면대, 아크릴욕조",충청북도 괴산군 소수면 화산재로 306-1,23919,기타 석제품 제조업 외 1 종,2019-09-04
38,(주)소마테크,043-836-7006,광물혼합음료,충청북도 괴산군 청안면 조천상길 160,11209,기타 비알코올 음료 제조업,2019-09-04
39,(주)순수유,043-760-8100,"유채식용유, 유채박 부산물",충청북도 괴산군 괴산읍 자연식품1길 47,10402,식물성 유지 제조업 외 2 종,2019-09-04
40,(주)스메텍,043-834-5454,"CR sponge sheet, 고무제품, 플라스틱",충청북도 괴산군 괴산읍 괴강로공단길 37 ((주)스메텍),22199,그 외 기타 고무제품 제조업,2019-09-04
41,(주)시즈너,043-838-0622,"축산물 통조림, 수산물 통조림",충청북도 괴산군 청안면 칠보로 712 (총 2 필지),10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 2 종",2019-09-04
42,(주)신성미네랄,043-836-9630,"원예용 상토, 비료,유량계,계장제어장치,프로세스제어반",충청북도 괴산군 청안면 조천로2길 34 ((주)신성미네랄) (총 3 필지),10801,배합 사료 제조업 외 8 종,2019-09-04
43,(주)신성미네랄(칠성지점),070-8680-9400,"내화질석, 상토",충청북도 괴산군 칠성면 칠성로6길 28 (칠성면),23211,정형 내화 요업제품 제조업 외 3 종,2019-09-04
44,(주)신성아그로,043-832-0034,친환경 유기질비료,충청북도 괴산군 괴산읍 대제산단1길 39-29,20312,복합비료 및 기타 화학비료 제조업 외 1 종,2019-09-04
45,(주)썬더스톤,043-832-6677,"크라싱플랜트, 샌드플랜트",충청북도 괴산군 청안면 질마로삼봉3길 21,29242,광물처리 및 취급장비 제조업,2019-09-04
46,(주)아이.비,043-838-7162,버섯가공식품(반찬류),충청북도 괴산군 사리면 노송길 40 (예나들(주)IB),10301,김치류 제조업 외 4 종,2019-09-04
47,(주)아이티켐,043-217-7028,"OPC 드럼용 감광재료, 광학매체용 유기감광재료",충청북도 괴산군 사리면 사리로 121-34,26299,그 외 기타 전자부품 제조업 외 1 종,2019-09-04
48,(주)에스씨아이 생명과학,041-642-4202,"생균제, 단백질 첨가제",충청북도 괴산군 사리면 사리로방축골길 44-43 ((주)중앙바이오텍) (총 2 필지),10801,배합 사료 제조업 외 2 종,2019-09-04
