순번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수
23,리디○,화학섬유 방적업 외 3 종,"13103, 13219, 13993, 25111",충청북도 괴산군 괴산읍 검승리 493-2번지 리디아 외 3필지,043-832-8664,043-832-8665,13
119,호○,화학섬유 방적업,"13103, ",충청북도 괴산군 사리면 방축리 100-0 호혜섬유 외 1필지,043-838-9800,043-838-9805,67
253,일명○○,화장품 제조업 외 2 종,"20423, 20321, 20322",충청북도 괴산군 사리면 수암리 708-3 일명제약 외 2필지,043-834-0900,043-833-0700,18
64,엠알○○○○○,화장품 제조업 외 1 종,"20423, 20312",충청북도 괴산군 괴산읍 제월리 878번지 F1동 101호,043-832-6292,043-832-6294,3
93,지엘○○○,화장품 제조업,"20423, ",충청북도 괴산군 괴산읍 동부리 5 중원대학교 창업보육센터 229호,,,6
278,비엔○○,화장품 제조업,"20423, ",충청북도 괴산군 사리면 사담리 870-40 에이치케이하이텍 A동 2층,043-838-7761,,0
68,오렌○○○○,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,"20203, 22199",충청북도 괴산군 청안면 청용리 148번지,043-836-5388,,5
247,원창○○,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,"20203, 22211",충청북도 괴산군 청안면 문방리 92-1번지,,,1
88,제이○○○,혼성 및 재생 플라스틱 소재 물질 제조업,"20203, ",충청북도 괴산군 사리면 사담리 583-1 화신공조 외 1필지,043-836-5445,,4
89,제이○○○○○○○○○,혼성 및 재생 플라스틱 소재 물질 제조업,"20203, ",충청북도 괴산군 사리면 사담리 583-4번지 외 1필지,043-836-5445,,3
98,케이○,혼성 및 재생 플라스틱 소재 물질 제조업,"20203, ",충청북도 괴산군 청안면 부흥리 447번지,043-832-3114,043-832-1420,1
108,투에○○○○○○○,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,"20202, 22212, 22213",충청북도 괴산군 괴산읍 검승리 180-4번지,043-832-6760,,26
60,에코○○○,합성수지 및 기타 플라스틱 물질 제조업,"20202, ",충청북도 괴산군 괴산읍 동부리 58-44번지,043-833-2142,043-833-2144,25
334,태○,합성수지 및 기타 플라스틱 물질 제조업,"20202, ",충청북도 괴산군 청안면 금신리 663-1번지,043-836-5887,043-836-5008,2
189,더블○○○○○○○○○,합성고무 제조업,"20201, ",충청북도 괴산군 괴산읍 제월리 902-1번지,043-833-3050,043-832-3252,6
83,이지○,플라스틱 필름 제조업 외 1 종,"22212, 22213",충청북도 괴산군 사리면 방축리 550번지 외 1필지,043-241-2900,043-241-2902,99
107,투에○○○,플라스틱 필름 제조업 외 1 종,"22212, 22213",충청북도 괴산군 괴산읍 검승리 180-3번지 공장 외 1필지,043-832-6760,043-832-6763,33
185,대영○○,플라스틱 필름 제조업 외 1 종,"22212, 22213",충청북도 괴산군 사리면 방축리 93-2번지,043-836-4028,,0
342,한국○○,플라스틱 필름 제조업 외 1 종,"22212, 22213",충청북도 괴산군 청안면 금신리 112번지,043-836-6263,043-830-6264,3
188,대진○○○○○○,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종","22211, 16212",충청북도 괴산군 소수면 고마리 323번지,043-832-3377,043-832-9944,5
