연번,시도명,시군구명,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원,데이터기준일
1,충청북도,보은군,(주)SUN&L 다린 보은공장,제조업,22299,충청북도 보은군 보은읍 월송리 90-2번지 외 3필지,043-542-8804,043-542-8805,54,2025-09-03
2,충청북도,보은군,(주)거성에너지,제조업,28123,충청북도 보은군 장안면 구인리 182-24번지,043-543-3721,043-544-3722,8,2025-09-03
3,충청북도,보은군,(주)건기 써비스,제조업,29241,충청북도 보은군 삼승면 우진리 533번지,02-598-3891,02-598-3890,4,2025-09-03
4,충청북도,보은군,(주)계영,제조업,20411,충청북도 보은군 삼승면 달산리 952번지,070-4104-0404,043-543-9550,4,2025-09-03
5,충청북도,보은군,(주)글로벌건설,제조업,20411,충청북도 보은군 삼승면 달산리 952번지 주2동,070-4104-0404,043-543-9550,4,2025-09-03
6,충청북도,보은군,(주)금강이앤티,제조업,38311,충청북도 보은군 삼승면 우진리 544번지,,043-542-4228,2,2025-09-03
7,충청북도,보은군,(주)다물에어텍,제조업,29174,충청북도 보은군 보은읍 길상리 22번지 사무소,043-544-2496,043-543-2496,16,2025-09-03
8,충청북도,보은군,(주)대림,제조업,20121,충청북도 보은군 삼승면 우진리 736,02-3708-3360,,3,2025-09-03
9,충청북도,보은군,(주)대명콘스텍,제조업,20411,충청북도 보은군 삼승면 우진리 567 공장,02-831-1560,02-831-1563,11,2025-09-03
10,충청북도,보은군,(주)대주바이오,제조업,21230,충청북도 보은군 삼승면 우진리 540-1번지,043-542-5550,043-542-5595,15,2025-09-03
11,충청북도,보은군,(주)덕산기계,제조업,25113,충청북도 보은군 삼승면 우진리 531번지,070-4209-8001,043-544-8007,18,2025-09-03
12,충청북도,보은군,(주)동원이엔씨,제조업,28111,충청북도 보은군 보은읍 지산리 212-0 공장,042-823-0799,042-627-0112,3,2025-09-03
13,충청북도,보은군,(주)디엠콘크리트,제조업,23325,충청북도 보은군 삼승면 우진리 589,031-632-6639,,0,2025-09-03
14,충청북도,보은군,(주)마루케스팅산업,제조업,24311,충청북도 보은군 산외면 아시리 165번지 외 6필지,043-542-3855,043-542-2867,33,2025-09-03
15,충청북도,보은군,(주)메덱스,제조업,23232,충청북도 보은군 삼승면 송죽리 353-3번지 외 1필지,043-542-5400,031-628-3939,3,2025-09-03
16,충청북도,보은군,(주)메덱스 힐링,제조업,23222,충청북도 보은군 삼승면 송죽리 353-3 (주)메덱스,031-881-5590,0507-555-0145,1,2025-09-03
17,충청북도,보은군,(주)문정화학,제조업,20491,충청북도 보은군 삼승면 우진리 562번지,043-544-1819,043-543-1849,5,2025-09-03
18,충청북도,보은군,(주)미강이엔씨,제조업,25113,충청북도 보은군 삼승면 우진리 531번지 공장,070-7725-2727,0505-274-7702,2,2025-09-03
19,충청북도,보은군,(주)미락씨이엠,제조업,29241,충청북도 보은군 삼승면 우진리 635번지 외 6필지,043-544-7452,043-544-7454,19,2025-09-03
20,충청북도,보은군,(주)바이오프랜즈,제조업,20119,충청북도 보은군 삼승면 우진리 573번지,042-322-1101,070-5153-2778,8,2025-09-03
21,충청북도,보은군,(주)바이오프랜즈,제조업,20119,충청북도 보은군 삼승면 우진리 584 (주)바이오프랜즈,042-322-1101,070-5153-2778,10,2025-09-03
