연번,업체명,산업분류코드,소재지,전화번호,팩스번호,고용인원수,데이터기준일자
1,(주) 본데어리,"10421, ",충청북도 옥천군 옥천읍 의료단지길 56,042-335-9294,,15,2025-09-03
2,(주) 엘림산업,"16102, 16101, 16211, 25112, 25119",충청북도 옥천군 옥천읍 지용로 192,043-762-7620,043-762-7621,6,2025-09-03
3,(주) 엘텍코리아,"29229, ",충청북도 옥천군 옥천읍 테크노밸리로 117,043-385-2534,,7,2025-09-03
4,(주) 한빛,"22241, 22249, 30310",충청북도 옥천군 옥천읍 옥천농공길 100-1,043-733-2940,,46,2025-09-03
5,(주)가구지음,"32021, 32029, 32091",충청북도 옥천군 이원면 강청길 66-12,043-733-8203,0504-221-8948,5,2025-09-03
6,(주)가람에스티,"25912, 25113, 25114",충청북도 옥천군 청산면 인정1길 89,043-733-7559,043-731-7100,11,2025-09-03
7,(주)강토이앤씨,"25119, ",충청북도 옥천군 군서면 월전2길 35,043-731-2010,,4,2025-09-03
8,(주)거우,"22223, 25111",충청북도 옥천군 옥천읍 옥천동이로 387-81 (공장),043-732-3196,043-732-3197,12,2025-09-03
9,(주)건영제과,"10603, 10421, 10520, 11209",충청북도 옥천군 옥천읍 지용로 134-14 외 2필지,043-733-7100,043-731-8623,19,2025-09-03
10,(주)계룡식품,"10820, 10513, 10832",충청북도 옥천군 옥천읍 옥지로 563 외 3필지,043-731-6678,043-732-6678,14,2025-09-03
11,(주)고려에프앤비,"10892, 11209",충청북도 옥천군 이원면 묘목로 152 (공장) 외 2필지,043-733-8233,043-733-8234,10,2025-09-03
12,(주)고추명가참식품,"10832, ",충청북도 옥천군 옥천읍 대천길 47-29 (공장),043-731-1591,043-731-1592,2,2025-09-03
13,(주)교동식품,"10129, 10709, 10899",충청북도 옥천군 옥천읍 지용로 181 (공장) 외 4필지,043-731-9301,043-731-6784,38,2025-09-03
14,(주)교동식품 4공장,"10129, 10893",충청북도 옥천군 군북면 자모길 16 (공장),043-731-9302,043-731-9306,56,2025-09-03
15,(주)교동식품 제2공장,"10820, 10513, 10893",충청북도 옥천군 옥천읍 옥천동이로 269 (공장) 외 1필지,043-731-9301,043-731-6784,28,2025-09-03
16,(주)교동식품 제3공장,"10302, 10309",충청북도 옥천군 옥천읍 지용로 194,043-731-9302,043-731-9306,15,2025-09-03
17,(주)국보산업,"25932, 29161",충청북도 옥천군 옥천읍 마암리 156번지,043-731-0858,043-731-0859,5,2025-09-03
18,(주)글로벌푸드,"10129, 10122",충청북도 옥천군 이원면 강청2길 3 (공장),043-731-0559,043-732-8550,10,2025-09-03
19,(주)금정옥천지점,"20424, 35114",충청북도 옥천군 동이면 동이농공길 86-11 (공장),043-733-9733,043-733-9737,15,2025-09-03
20,(주)금천,"27199, ",충청북도 옥천군 옥천읍 가풍리 1115 번지 203호,043-732-8627,043-733-8728,7,2025-09-03
21,(주)금천게르마늄,"11202, ",충청북도 옥천군 청성면 청성로 76 (공장),070-4837-3111,043-731-7737,3,2025-09-03
22,(주)꼬칠리아,"10601, ",충청북도 옥천군 군북면 자모길 21-9,043-733-5846,,10,2025-09-03
23,(주)나마트,"25119, 25111, 25112, 25932, 25993, 32091",충청북도 옥천군 동이면 동이농공길 112 (공장),033-675-0070,043-731-0063,3,2025-09-03
24,(주)남부통합공장,"10511, ",충청북도 옥천군 청산면 인정1길 124,043-733-9385,,15,2025-09-03
25,(주)남부포장,"17211, 17212, 17222",충청북도 옥천군 옥천읍 옥천동이로 234-15 (창고),043-732-5183,043-733-6768,4,2025-09-03
26,(주)내츄럴팜,"10897, ",충청북도 옥천군 군북면 비야대정로 293-20 (공장) 외 1필지,043-732-8272,043-732-8273,2,2025-09-03
27,(주)네오정보기술,"27309, 26421, 28903","충청북도 옥천군 옥천읍 의료단지길 35, 2동(부)",043-745-8204,,5,2025-09-03
28,(주)넥스켐,"20499, 20129, 20321, 20322, 20421, 20495, 21301, 46739",충청북도 옥천군 이원면 미동1길 207-30 외 1필지,031-8084-8098,031-8098-8099,6,2025-09-03
29,(주)노아닉스,"27199, 21301, 21309","충청북도 옥천군 옥천읍 의료단지길 60, GMP101호",043-905-0972,,2,2025-09-03
30,(주)농원산업,"20312, ",충청북도 옥천군 동이면 지양2길 78-19 (공장),043-733-4344,043-733-4346,20,2025-09-03
31,(주)뉴스타트,"11209, ",충청북도 옥천군 옥천읍 청풍로 267-10,,,3,2025-09-03
32,(주)다원,"10309, 10897, 11209",충청북도 옥천군 청산면 인정1길 65,043-731-2468,043-731-1357,50,2025-09-03
33,(주)다진,"20499, 20495, 21301",충청북도 옥천군 동이면 평산길 78 외 3필지,043-733-8032,043-733-8033,7,2025-09-03
