연번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
1,(사)한국샘물협회,경 인쇄업 외 2 종,18111,충청북도 음성군 삼성면 삼양로352번길 72 외 2필지,043-882-2626,,26,2025-08-31
2,(유)성화알미늄,가정용 및 산업용 공기 조화장치 제조업 외 1 종,29172,충청북도 음성군 맹동면 맹동산단1길 47-7,043-878-2331,,24,2025-08-31
3,(유)희수선욱,코르크 및 조물제품 제조업,16300,충청북도 음성군 삼성면 금일로700번길 52-50 외 5필지,043-750-7277,043-750-7278,7,2025-08-31
4,(자)세화산업사,"산업용 오븐, 노 및 노용 버너 제조업 외 6 종",29150,충청북도 음성군 대소면 대금로 166 외 1필지,043-535-4141,043-535-3770,8,2025-08-31
5,(주 )월드큐텍,비금속광물 분쇄물 생산업,23993,"충청북도 음성군 대소면 대동로631번길 18-11, 소석리 475-1,475-5",043-536-9201,043-536-9203,19,2025-08-31
6,(주) 나라피씨,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 감곡면 영산로421번길 8,043-877-9072,043-877-9076,8,2025-08-31
7,(주) 대로식품,천연 및 혼합조제 조미료 제조업,10832,충청북도 음성군 삼성면 덕호로415번길 33-82 외 1필지,031-643-8530,031-643-8529,6,2025-08-31
8,(주) 미세테크,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 대소면 초금로 373 (대소면),043-881-1411,043-881-1417,4,2025-08-31
9,(주) 용주프라스틱,포장용 플라스틱 성형용기 제조업,22232,충청북도 음성군 생극면 오신로 312-32,043-877-4644,043-877-2809,8,2025-08-31
10,(주) 유진이앤씨,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 생삼로207번길 160 외 3필지,043-750-7501,043-750-7502,15,2025-08-31
11,(주)CJM인터내셔널,화장품 제조업,20423,충청북도 음성군 금왕읍 금일로284번길 23-5 외 1필지,043-882-1696,043-882-1698,50,2025-08-31
12,(주)가교기업,컨베이어장치 제조업 외 1 종,29163,충청북도 음성군 삼성면 용대리 116,,043-878-8268,5,2025-08-31
13,(주)가나안테크,플라스틱 창호 제조업,22223,충청북도 음성군 감곡면 오근로 87,,,6,2025-08-31
14,(주)가람,반려동물용 사료 제조업 외 1 종,10901,충청북도 음성군 생극면 오신로118번길 50-24,043-878-0680,043-901-0019,2,2025-08-31
15,(주)가람산업,기타 물품 취급장비 제조업,29169,충청북도 음성군 대소면 한삼로 107-10,043-882-3555,,3,2025-08-31
16,(주)가성이엔지,강관 가공품 및 관 연결구류 제조업,24133,충청북도 음성군 삼성면 대덕로 63-2 외 1필지,043-750-8131,043-750-8132,1,2025-08-31
17,(주)가안,기타 목재가구 제조업,32029,충청북도 음성군 감곡면 가곡로 297-31,043-882-8177,043-882-8176,7,2025-08-31
18,(주)가야케미칼,일반용 도료 및 관련제품 제조업,20411,충청북도 음성군 삼성면 삼양로249번길 76-26 외 6필지,,,20,2025-08-31
19,(주)가야콘크리트,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,23325,충청북도 음성군 대소면 소석로 92,043-883-0158,043-883-0159,5,2025-08-31
20,(주)가온기업,기타 목재가구 제조업,32029,충청북도 음성군 금왕읍 금일로183번길 107,043-882-8262,043-882-8263,5,2025-08-31
21,(주)가온푸드 음성공장,천연 및 혼합조제 조미료 제조업 외 1 종,10832,충청북도 음성군 금왕읍 금왕테크노5길 13,043-878-7641,043-878-7640,20,2025-08-31
22,(주)가이아글로벌,놀이터용 장비 제조업 외 1 종,33302,충청북도 음성군 대소면 산내로 60-15 외 2필지,02-521-3875,02-521-3876,4,2025-08-31
23,(주)가이코,목재 깔판류 및 기타 적재판 제조업,16231,충청북도 음성군 감곡면 음성로2092번길 9-55 외 3필지,031-932-8041,,10,2025-08-31
24,(주)감곡플라텍,플라스틱 시트 및 판 제조업,22213,충청북도 음성군 감곡면 상우길 219-1,043-877-6954,043-877-6954,15,2025-08-31
25,(주)강남식품,장류 제조업 외 1 종,10833,충청북도 음성군 금왕읍 멍심이길264번길 55-2 외 1필지,043-878-9833,043-878-4033,13,2025-08-31
26,(주)강동그룹,그 외 기타 플라스틱 제품 제조업 외 2 종,22299,충청북도 음성군 금왕읍 성본산단6로 29,043-881-4995,043-882-4995,26,2025-08-31
27,(주)강산조명,전구 및 램프 제조업 외 6 종,28410,충청북도 음성군 삼성면 용성로 118,043-881-1261,043-881-1264,15,2025-08-31
28,(주)강식품,"면류, 마카로니 및 유사식품 제조업 외 1 종",10820,충청북도 음성군 대소면 신내로 48,043-872-2221,043-872-8764,29,2025-08-31
29,(주)개미산업,곡물 제분업 외 3 종,10512,충청북도 음성군 맹동면 덕금로234번길 63-28,043-883-9021,043-883-9024,15,2025-08-31
30,(주)개미산업 제2공장,곡물 제분업 외 3 종,10512,충청북도 음성군 맹동면 덕금로234번길 63-27,043-883-9021,043-883-9024,8,2025-08-31
31,(주)갤럭시,기초 의약 물질 제조업 외 2 종,21100,충청북도 음성군 대소면 신내로 213-27,043-879-7000,043-882-0184,26,2025-08-31
32,(주)거암코아,변압기 제조업,28112,충청북도 음성군 감곡면 오향리 120-10 외 2필지,043-883-5152,043-878-8776,12,2025-08-31
33,(주)거영,계면활성제 제조업 외 2 종,20421,충청북도 음성군 맹동면 군자길 9,043-877-3463,043-878-0783,12,2025-08-31
34,(주)건보,기체 여과기 제조업,29175,충청북도 음성군 대소면 삼양로 638-19,043-882-1015,,3,2025-08-31
35,(주)건영시스템,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 삼성면 금일로700번길 40-12,043-883-5911,,7,2025-08-31
36,(주)건온혁신지점,기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 맹동면 용촌길 55 외 4필지,043-878-8273,043-878-8274,5,2025-08-31
37,(주)건우,설치용 및 위생용 플라스틱제품 제조업 외 1 종,22222,충청북도 음성군 금왕읍 생삼로 581-6,043-878-1508,043-878-1509,7,2025-08-31
38,(주)건융프로엔,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 원남면 충청대로 915-1 (총 2 필지) 외 1필지,043-872-7737,043-872-7738,16,2025-08-31
39,(주)건일창호,플라스틱 창호 제조업,22223,충청북도 음성군 삼성면 덕호로 252,,,8,2025-08-31
40,(주)건화,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,10129,충청북도 음성군 금왕읍 덕금로 943 외 4필지,031-672-2435,031-672-2438,74,2025-08-31
41,(주)게이트파킹,철도차량 부품 및 관련 장치물 제조업,31202,충청북도 음성군 생극면 일생로 389,,0504-431-0664,4,2025-08-31
42,(주)경동개발,코크스 및 연탄 제조업 외 1 종,19100,충청북도 음성군 음성읍 한불로127번길 11 외 5필지,043-873-2770,043-873-2132,29,2025-08-31
43,(주)경동원,기타 구조용 금속제품 제조업 외 2 종,25119,충청북도 음성군 대소면 한삼로87번길 74 외 2필지,043-539-8111,,23,2025-08-31
44,(주)경원테크,건설 및 채광용 기계장비 제조업 외 4 종,29241,충청북도 음성군 삼성면 대덕로 63-48 외 3필지,043-537-9757,043-535-9757,14,2025-08-31
45,(주)경원테크(제2공장),건설 및 채광용 기계장비 제조업,29241,충청북도 음성군 삼성면 대덕로 63-50,043-537-9757,043-535-9757,3,2025-08-31
46,(주)경진인터내쇼날,동력식 수지공구 제조업 외 3 종,29193,충청북도 음성군 생극면 안곤재길 33 외 3필지,043-877-2068,043-877-2069,9,2025-08-31
47,(주)고딘테크,고무패킹류 제조업 외 1 종,22191,충청북도 음성군 금왕읍 덕금로 904-1 (총 2 필지) 외 1필지,043-882-9535,043-882-9538,13,2025-08-31
48,(주)고려그린,복합비료 및 기타 화학비료 제조업 외 1 종,20312,충청북도 음성군 대소면 오태로116번길 251-34 외 2필지,043-877-7890,043-878-7890,12,2025-08-31
49,(주)고려프린텍,기타 인쇄업 외 1 종,18119,충청북도 음성군 삼성면 상곡로 159-11,043-881-5999,031-224-0019,6,2025-08-31
50,(주)고원화성,화장품 제조업,20423,충청북도 음성군 금왕읍 무극로65번길 17-9,043-881-6691,043-881-6693,5,2025-08-31
51,(주)고피자,기타 식사용 가공처리 조리식품 제조업,10709,충청북도 음성군 삼성면 금일로 968 (총 3 필지),02-567-8975,02-567-8976,15,2025-08-31
52,(주)골든스카이스틸,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 감곡면 음성로 2328 외 2필지,043-878-7984,041-587-7985,8,2025-08-31
53,(주)과림 에프.씨,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,25999,충청북도 음성군 대소면 내산길143번길 26,043-882-3735,043-882-3735,7,2025-08-31
54,(주)광메탈 제3공장,산업용 송풍기 및 배기장치 제조업,29174,충청북도 음성군 금왕읍 일생로 323,043-877-8871,043-877-8873,5,2025-08-31
55,(주)광메탈제2공장,"동 제련, 정련 및 합금 제조업 외 1 종",24211,충청북도 음성군 원남면 상노리 751번지,043-877-8871,043-877-8873,20,2025-08-31
56,(주)광보금속,그 외 기타 1차 철강 제조업,24199,충청북도 음성군 금왕읍 멍심이길 285 (총 3 필지) 외 2필지,043-881-6648,,10,2025-08-31
57,(주)광성이엔지,"도금, 착색 및 기타 표면처리강재 제조업 외 3 종",24191,충청북도 음성군 삼성면 금율로 345 외 4필지,043-750-7530,043-750-7540,5,2025-08-31
58,(주)광성텍,그 외 기타 고무제품 제조업,22199,충청북도 음성군 삼성면 금일로 701,043-879-3200,043-881-2962,124,2025-08-31
59,(주)광성텍 제2공장,그 외 기타 금속가공업,25929,충청북도 음성군 삼성면 금일로 679-30,043-879-3230,043-881-2962,10,2025-08-31
60,(주)광진포장,골판지 제조업 외 1 종,17211,"충청북도 음성군 맹동면 맹동산단로 19,  맹동국민임대산업단지",043-877-4660,043-877-4663,11,2025-08-31
