순번,업종명,업체명,주소,전화번호,단지,데이터기준일자
142,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,주식회사 새한농,"충청북도 제천시 송학면 송학주천로 149, (인바이오 내 임대공장) (인바이오믹스(주)제천공장)",02-579-6888,,2026-01-12
281,화장품 제조업 외 1 종,(주)원일바이오,충청북도 제천시 바이오밸리1로 56(왕암동),043-648-8878,제천제1산업단지,2026-01-12
312,화장품 제조업 외 1 종,(주)로이체,충청북도 제천시 제2바이오밸리로5길 23 (왕암동),070-4270-0055,제천제2산업단지,2026-01-12
276,화장품 제조업,(주)아가이아코리아,충청북도 제천시 바이오밸리1로 68 (왕암동) BVC,,제천제1산업단지,2026-01-12
298,화장품 제조업,이스트힐(주),충청북도 제천시 바이오밸리2로 90 (왕암동),043-646-5182,제천제1산업단지,2026-01-12
311,화장품 제조업,(주)더스킨스,"충청북도 제천시 한방엑스포로 142, 왕암동 1335-1 (왕암동)",043-643-7040,제천제2산업단지,2026-01-12
341,화장품 제조업,아리스타,충청북도 제천시 제2바이오밸리로3길 10 (왕암동),043-644-2468,제천제2산업단지,2026-01-12
354,화장품 제조업,코이엠,충청북도 제천시 제2바이오밸리로 46 (왕암동),043-651-1088,제천제2산업단지,2026-01-12
37,한의약품 제조업 외 1 종,(주)코젠바이오,충청북도 제천시 금성면 월림로2길 8,043-653-2828,,2026-01-12
297,한의약품 제조업,의료법인 편강의료재단,충청북도 제천시 바이오밸리2로 55 (왕암동),031-397-7733,제천제1산업단지,2026-01-12
333,"플라스틱 포대, 봉투 및 유사제품 제조업 외 6 종",(주)케이팩,충청북도 제천시 한방엑스포로 143 (왕암동) 외 1필지,043-647-5377,제천제2산업단지,2026-01-12
13,플라스틱 창호 제조업 외 1 종,(주)선우금속산업,충청북도 제천시 봉양읍 북부로10길 137-10,043-646-5555,,2026-01-12
22,플라스틱 창호 제조업,(주)엔에이치건설,충청북도 제천시 내토로 762 (장락동),043-645-2274,,2026-01-12
49,플라스틱 창호 제조업,경원산업,충청북도 제천시 제천북로 834 (고암동),043-642-4718,,2026-01-12
352,플라스틱 창호 제조업,진원창호산업,충청북도 제천시 장평로 124 (왕암동),043-647-8851,제천제2산업단지,2026-01-12
366,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",주식회사 제이앤씨머트리얼즈,충청북도 제천시 제3산단2로 24 (왕암동),031-765-6714,제천제3산업단지,2026-01-12
241,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",(주)한국정밀소재산업,충청북도 제천시 송학면 송학로10길 38,,제천송학농공단지,2026-01-12
173,표면 가공 목재 및 특정 목적용 제재목 제조업,(주)굿21하우징,충청북도 제천시 강저로2길 16 (강제동),043-643-1900,제천강저농공단지,2026-01-12
27,포장용 플라스틱 성형용기 제조업,(주)이레상사,충청북도 제천시 봉양읍 용두대로 736 외 2필지,043-653-9000,,2026-01-12
344,포장용 플라스틱 성형용기 제조업,에코프라텍(주),충청북도 제천시 제2바이오밸리로 32 (왕암동),043-646-7815,제천제2산업단지,2026-01-12
82,특수 직물 및 기타 직물 직조업 외 1 종,보행매트혁신연합 친환경 좋은세상,"충청북도 제천시 봉양읍 북부로11길 207, C동",043-6488-222,,2026-01-12
166,특수 직물 및 기타 직물 직조업,한국코코,충청북도 제천시 송학면 도화로 476,043-644-1003,,2026-01-12
76,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",모란토건,"충청북도 제천시 산곡길 16 (산곡동, 모란토건사)",043-645-7869,,2026-01-12
91,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",삼화기와공업사,충청북도 제천시 내토로67길 3 (장락동) 외 2필지,043-643-1204,,2026-01-12
102,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",씨엔피씨(주),충청북도 제천시 송학면 송학주천로9길 18 외 1필지,043-648-0980,,2026-01-12
257,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",지유글로벌(주),충청북도 제천시 금성면 양월로 46-50,,제천양화농공단지,2026-01-12
90,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,삼표피앤씨(주),충청북도 제천시 봉양읍 장평로 81 외 7필지,043-645-5301,,2026-01-12
295,커피 가공업,아이비커피,충청북도 제천시 바이오밸리1로 68 (왕암동) BVC,,제천제1산업단지,2026-01-12
77,침구 및 관련제품 제조업 외 22 종,미래산업,"충청북도 제천시 내제로4길 2, 2층(명동)",043-651-0581,,2026-01-12
356,"치약, 비누 및 기타 세제 제조업",(주)버블코리아,충청북도 제천시 제3산단로 284 (왕암동),031-534-7056,제천제3산업단지,2026-01-12
367,축전지 제조업,한국메탈실리콘(주),충청북도 제천시 제3산단로 277(왕암동),043-645-4164,제천제3산업단지,2026-01-12
250,천연수지 및 나무 화학물질 제조업 외 1 종,(주)지앤씨,충청북도 제천시 금성면 양월로 46-56,043-653-8300,제천양화농공단지,2026-01-12
285,천연 및 혼합조제 조미료 제조업 외 5 종,(주)태경식품,"충청북도 제천시 바이오밸리1로 115 (왕암동, (주)태경식품) 외 2필지",070-4423-4882,제천제1산업단지,2026-01-12
303,천연 및 혼합조제 조미료 제조업 외 2 종,주식회사 신영에이치에스,충청북도 제천시 바이오밸리로 67 (왕암동),043-646-1295,제천제1산업단지,2026-01-12
84,천연 및 혼합조제 조미료 제조업,봉양농협식품가공공장,충청북도 제천시 봉양읍 팔송로 205,043-647-8611,,2026-01-12
156,천연 및 혼합조제 조미료 제조업,태양농산(주)농업회사법인,충청북도 제천시 단양로6길 87 (고명동),043-652-8943,,2026-01-12
330,천연 및 혼합조제 조미료 제조업,(주)지앤씨에프에스,충청북도 제천시 장평로 117 (왕암동),043-643-0882,제천제2산업단지,2026-01-12
200,"천막, 텐트 및 유사 제품 제조업 외 1 종",(주)파스텔코퍼레이션,충청북도 제천시 내토로73길 47,043-642-8212,제천고암농공단지,2026-01-12
63,차체 및 특장차 제조업 외 1 종,대진공업사,충청북도 제천시 봉양읍 북부로5길 16-11 외 1필지,043-647-7251,,2026-01-12
109,차류 가공업 외 1 종,엔에이치바이오,충청북도 제천시 제천북로1길 51 (왕암동) 외 3필지,043-644-5755,,2026-01-12
25,차류 가공업,(주)와이케이컴퍼니,충청북도 제천시 강저로 7-12 (강제동),070-4355-7133,,2026-01-12
80,차류 가공업,박달재한방웰빙식품,충청북도 제천시 바이오밸리로 48-1 (왕암동),043-648-2022,,2026-01-12
147,차류 가공업,주식회사 지노헬스케어,"충청북도 제천시 내토로40가길 2, 1층 (화산동)",043-647-4333,,2026-01-12
254,차류 가공업,대광약초영농조합법인,충청북도 제천시 금성면 양월로 46-42,,제천양화농공단지,2026-01-12
292,차류 가공업,대보 H&F,충청북도 제천시 바이오밸리2로 16 (왕암동),043-647-2236,제천제1산업단지,2026-01-12
162,직물포대 제조업,풀나라,충청북도 제천시 내토로67길 14 (장락동),070-4623-9667,,2026-01-12
15,주형 및 금형 제조업,(주)성일정밀,충청북도 제천시 단양로12길 6 (고명동) 외 1필지,043-652-2382,,2026-01-12
340,주형 및 금형 제조업,신원이노텍,충청북도 제천시 제2바이오밸리로 10 (왕암동),043-648-6638,제천제2산업단지,2026-01-12
355,주형 및 금형 제조업,홍원정공(주),충청북도 제천시 제2바이오밸리로 63 (왕암동),053-356-8955,제천제2산업단지,2026-01-12
34,주방용 및 음식점용 목재가구 제조업 외 1 종,(주)진영,충청북도 제천시 강저로7길 16 (강제동),043-652-5300,,2026-01-12
117,주방용 및 음식점용 목재가구 제조업 외 1 종,월드씽크붙박이가구,충청북도 제천시 청풍호로 267 (명지동),043-645-2633,,2026-01-12
116,주방용 및 음식점용 목재가구 제조업,용호씽크인테리어,충청북도 제천시 중말길 130 (두학동),043-647-6110,,2026-01-12
171,주방용 및 음식점용 목재가구 제조업,후니퍼니처,충청북도 제천시 봉양읍 의암로2길 29-16,043-652-4494,,2026-01-12
39,종이 포대 및 가방 제조업,(주)태명실업 제천공장,"충청북도 제천시 내토로63길 8 (장락동, (주)태명실업)",043-644-5233,,2026-01-12
175,종이 포대 및 가방 제조업,(주)에스케이피,충청북도 제천시 강저로2길 26 (강제동),043-643-7500,제천강저농공단지,2026-01-12
177,종이 포대 및 가방 제조업,(주)제이에이치,충청북도 제천시 강저로2길 26(강제동),043-643-7500,제천강저농공단지,2026-01-12
204,종이 포대 및 가방 제조업,덕영산업(주),충청북도 제천시 내토로73길 33,043-648-4501,제천고암농공단지,2026-01-12
313,정형외과용 및 신체보정용 기기 제조업,(주)메디쎄이,충청북도 제천시 한방엑스포로 129 (왕암동),043-716-1014,제천제2산업단지,2026-01-12
358,접착제 및 젤라틴 제조업 외 1 종,(주)엠티시,충청북도 제천시 제3산단2로 60 (왕암동),043-920-5555,제천제3산업단지,2026-01-12
261,접착제 및 젤라틴 제조업,정도,충청북도 제천시 송학면 송학로10길 41,,제천송학농공단지,2026-01-12
178,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",(주)파라,충청북도 제천시 강저로2길 47 (강제동),043-648-3841,제천강저농공단지,2026-01-12
17,전동기 및 발전기 제조업 외 9 종,(주)신안전력,충청북도 제천시 대학로 29(신월동),043-646-7331,,2026-01-12
14,전동기 및 발전기 제조업 외 1 종,(주)성익에너지산업,"충청북도 제천시 제천북로 409, (신월동1148-3) (신월동)",043-652-5534,,2026-01-12
3,전동기 및 발전기 제조업,(주)건주,충청북도 제천시 용두대로 209 (하소동) 외 4필지,043-646-5533,,2026-01-12
192,전동기 및 발전기 제조업,케이에스에너지,충청북도 제천시 강저로2길 42 (강제동),043-646-3425,제천강저농공단지,2026-01-12
