연번,산업단지명,회사명,대표업종,회사주소,X좌표,Y좌표,계획종업원수,데이터기준일자
1,음성금왕농공단지,(주)고원화성,화장품 제조업,충청북도 음성군 금왕읍 무극로65번길 17-9,127.5697139,36.98693585,5,2025-09-22
2,음성금왕농공단지,(주)근옥솔루션,기타 직물제품 제조업,충청북도 음성군 금왕읍 무극로65번길 15 외 2필지,127.5699504,36.98682856,41,2025-09-22
3,음성금왕농공단지,(주)녹십자,완제 의약품 제조업 외 1 종,충청북도 음성군 금왕읍 무극로65번길 26,127.572118,36.98892706,116,2025-09-22
4,음성금왕농공단지,(주)녹십자엠에스,그 외 기타 의료용 기기 제조업 외 1 종,충청북도 음성군 금왕읍 무극로65번길 26,127.572118,36.98892706,32,2025-09-22
5,음성금왕농공단지,(주)녹십자웰빙,완제 의약품 제조업 외 1 종,충청북도 음성군 금왕읍 무극로65번길 26,127.572118,36.98892706,8,2025-09-22
6,음성금왕농공단지,(주)불스원,표면광택제 및 실내가향제 제조업 외 3 종,충청북도 음성군 금왕읍 무극로65번길 31 외 1필지,127.5702921,36.98798328,55,2025-09-22
7,음성금왕농공단지,(주)비오엑스,"플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종",충청북도 음성군 금왕읍 무극로65번길 17-8 (총 4 필지) 외 3필지,127.5696542,36.98755744,8,2025-09-22
8,음성금왕농공단지,(주)센트온,그 외 기타 일반목적용 기계 제조업 외 7 종,충청북도 음성군 금왕읍 무극로65번길 31 외 1필지,127.5702921,36.98798328,16,2025-09-22
9,음성금왕농공단지,(주)전한슬라이드,마스크 제조업,충청북도 음성군 금왕읍 무극로65번길 15,127.5699503,36.98682856,41,2025-09-22
10,음성금왕농공단지,삼포산업(주),"동 압연, 압출 및 연신제품 제조업",충청북도 음성군 금왕읍 무극로65번길 41,127.5705095,36.98929075,56,2025-09-22
11,음성금왕농공단지,창영메디칼(주),그 외 기타 의료용 기기 제조업,충청북도 음성군 금왕읍 무극로65번길 26,127.572118,36.98892706,20,2025-09-22
12,음성금왕농공단지,한솔신약(주),의약용 화합물 및 항생물질 제조업,충청북도 음성군 금왕읍 청평길 2-11,127.568494,36.98612039,34,2025-09-22
13,음성금왕농공단지,한신화성(주),플라스틱 접착처리 제품 제조업 외 1 종,충청북도 음성군 금왕읍 무극로65번길 17-15,127.5682492,36.98769654,36,2025-09-22
14,음성금왕일반산업단지,(주)농협목우촌 음성육가공공장,육류 도축업(가금류 제외) 외 6 종,충청북도 음성군 금왕읍 대금로1278번길 81,127.5806625,36.98357752,60,2025-09-22
15,음성금왕일반산업단지,농업회사법인(주)참나라,가금류 가공 및 저장 처리업,충청북도 음성군 금왕읍 대금로1278번길 81,127.5806625,36.98357752,3,2025-09-22
16,음성금왕일반산업단지,신진스틸(주),그 외 기타 1차 철강 제조업,충청북도 음성군 금왕읍 대금로 1296,127.5771473,36.98342992,22,2025-09-22
17,음성금왕일반산업단지,에스제이,그외 기타 1차 철강 제조업,충청북도 음성군 금왕읍 대금로 1296,127.5771473,36.98342992,2,2025-09-22
18,음성금왕일반산업단지,일양약품(주),생물학적 제제 제조업,충청북도 음성군 금왕읍 대금로 1291,127.5757828,36.98438931,22,2025-09-22
19,음성금왕일반산업단지,참나라 영농조합법인,가금류 가공 및 저장 처리업,충청북도 음성군 금왕읍 대금로1278번길 81,127.5806625,36.98357752,2,2025-09-22
20,음성금왕일반산업단지,한화솔루션(주) 음성제2사업장,발광 다이오드 제조업 외 2 종,충청북도 음성군 금왕읍 대금로 1329,127.5802461,36.98782052,734,2025-09-22
21,음성금왕일반산업단지,한화첨단소재 주식회사,플라스틱 필름 제조업 외 5 종,충청북도 음성군 금왕읍 대금로 1329,127.5802461,36.98782052,100,2025-09-22
22,음성금왕일반산업단지,헨켈코리아(유)오토모티브지점,산업용 그 외 비경화 고무제품 제조업 외 2 종,충청북도 음성군 금왕읍 대금로 1298,127.5783194,36.98274018,127,2025-09-22
23,음성금왕테크노밸리일반산업단지,(주)가온푸드,천연 및 혼합조제 조미료 제조업 외 1 종,충청북도 음성군 금왕읍 금왕테크노5길 13,127.5684102,36.96110381,20,2025-09-22
24,음성금왕테크노밸리일반산업단지,(주)그린제약,완제 의약품 제조업,충청북도 음성군 금왕읍 금왕테크노2길 42,127.5665242,36.96298039,66,2025-09-22
25,음성금왕테크노밸리일반산업단지,(주)다함씨에스,플라스틱 접착처리 제품 제조업,충청북도 음성군 금왕읍 금왕테크노1길 101,127.5733527,36.96488848,17,2025-09-22
26,음성금왕테크노밸리일반산업단지,(주)대건씨앤엘,그 외 기타 플라스틱 제품 제조업 외 2 종,충청북도 음성군 금왕읍 금왕테크노2길 7,127.5653958,36.95996639,20,2025-09-22
27,음성금왕테크노밸리일반산업단지,(주)디엠코리아,기타 식품 첨가물 제조업 외 12 종,충청북도 음성군 금왕읍 금왕테크노로 128,127.5681314,36.96075134,20,2025-09-22
28,음성금왕테크노밸리일반산업단지,(주)맘모스식품,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,충청북도 음성군 금왕읍 금왕테크노로 67,127.5712703,36.96373652,30,2025-09-22
29,음성금왕테크노밸리일반산업단지,(주)몰테크,산업용 가스 제조업,충청북도 음성군 금왕읍 금왕테크노3길 32,127.5680118,36.96204859,10,2025-09-22
30,음성금왕테크노밸리일반산업단지,(주)무한상사,산업용 가스 제조업,충청북도 음성군 금왕읍 금왕테크노3길 41,127.5671183,36.96118022,10,2025-09-22
31,음성금왕테크노밸리일반산업단지,(주)삼정,건강보조용 액화식품 제조업 외 1 종,충청북도 음성군 금왕읍 금왕테크노2길 5,127.5659131,36.9598331,24,2025-09-22
32,음성금왕테크노밸리일반산업단지,(주)삼화진식품,"면류, 마카로니 및 유사식품 제조업 외 1 종",충청북도 음성군 금왕읍 금왕테크노로 39,127.5683825,36.96602406,26,2025-09-22
33,음성금왕테크노밸리일반산업단지,(주)아로마솔루션,기타 식품 첨가물 제조업 외 1 종,충청북도 음성군 금왕읍 금왕테크노로 82,127.5703787,36.96250773,10,2025-09-22
34,음성금왕테크노밸리일반산업단지,(주)아로펫,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,충청북도 음성군 금왕읍 금왕테크노로 34,127.5666059,36.96441354,30,2025-09-22
35,음성금왕테크노밸리일반산업단지,㈜아트인더스트리,천막 제조업,충청북도 음성군 금왕읍 금왕테크노2길,127.5663295,36.96365555,4,2025-09-22
36,음성금왕테크노밸리일반산업단지,(주)에이맥스,"천막, 텐트 및 유사 제품 제조업",충청북도 음성군 금왕읍 금왕테크노2길 56,127.5663295,36.96365556,34,2025-09-22
37,음성금왕테크노밸리일반산업단지,(주)엔씨씨,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,충청북도 음성군 금왕읍 금왕테크노로 102,127.5706733,36.9620492,2,2025-09-22
38,음성금왕테크노밸리일반산업단지,(주)엔씨씨테크,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,충청북도 음성군 금왕읍 금왕테크노로 102,127.5706733,36.9620492,10,2025-09-22
39,음성금왕테크노밸리일반산업단지,㈜엠케이,천막 제조업,충청북도 음성군 금왕읍 금왕테크노2길,127.5663295,36.96365555,4,2025-09-22
40,음성금왕테크노밸리일반산업단지,(주)은성피앤에프,기타 인쇄업,충청북도 음성군 금왕읍 금왕테크노2길 10,127.5666171,36.96044846,8,2025-09-22
41,음성금왕테크노밸리일반산업단지,(주)자연,"치약, 비누 및 기타 세제 제조업",충청북도 음성군 금왕읍 금왕테크노로 46,127.5676389,36.96444433,14,2025-09-22
