연번,시군,회사명,공장대표주소(도로명),전화번호,주생산품
1,청주시, (주)장자동화,충청북도 청주시 상당구 낭성면 추정리 23-1번지,043-298-0076,농기계
2,청주시,(가칭)대경산업,충청북도 청주시 흥덕구 옥산면 호죽리 180-11 외 3필지,,철구조물
3,청주시,(가칭)선경산업,충청북도 청주시 청원구 북이면 장양리 284-1번지 외 3필지,,H빔
4,청주시,(사)충북친환경채소클러스터 외1개사,충청북도 청주시 흥덕구 지동동 551,043-278-6200,포장채소(절단탈피 및 세척채소)
5,청주시,(유)비엠피,충청북도 청주시 흥덕구 옥산면 호죽리 892-2번지,043-715-6530,마스크
6,청주시,(유)테일러메이드골프볼코리아,충청북도 청주시 흥덕구 송정동 70-18,043-271-1787,골프공
7,청주시,(유한)대동식품,충청북도 청주시 서원구 현도면 죽암리 171-1번지 대동식품 외 1필지,043-260-8800,까나리액젓
8,청주시,(유한)백두엔지니어링,충청북도 청주시 청원구 내수읍 원통리 271-7번지,043-236-1774,"수전반,배전반,분전반,MCC"
9,청주시,(자)대청인더스트리,충청북도 청주시 청원구 북이면 용계리 356-3번지 외 2필지,043-211-7135,"U형콘크리트수로관, 호안블럭"
10,청주시,(자)평화산업,충청북도 청주시 흥덕구 강내면 태성리 128-15번지 외 1필지,043-235-5012,"농산물건조기,특장차외관"
11,청주시,(주) 하영,충청북도 청주시 상당구 가덕면 내암리 19-4번지,043-287-4252,"주방용가구, 기타목재가구, 제재목, 소할재"
12,청주시,(주)F/L tech,충청북도 청주시 상당구 남일면 가중리 7번지,043-288-0381,"방충망, 합성수지 가공 제품"
13,청주시,(주)LG생활건강,충청북도 청주시 흥덕구 화계동 199,043-261-7924,생활용품 및 화장품
14,청주시,(주)가경,충청북도 청주시 서원구 남이면 석실리 16번지,043-236-2535,정육(닭가슴살)
15,청주시,(주)가나안공조,충청북도 청주시 청원구 오창읍 기암리 70-7번지,043-233-4551,공조기 및 기류순환휀
