기업체명,대표자명,공장대표주소(도로명),공장대표주소(지번),종업원수,생산품,전화번호,팩스번호,데이터 기준일자
(주)코츠(장항 제2공장),김용수,충청남도 서천군 장항읍 원수리 산 50-2번지 외 9필지,충청남도 서천군 장항읍 원수리 산 50-2번지 외 9필지,29,활석분말,041-956-8808,041-956-8809,2025-07-12
(주)코츠(장항 제1공장),김용수,충청남도 서천군 장항읍 장항공단길 31 (아시아통운),충청남도 서천군 장항읍 원수리 450-5번지,25,활석분 외,041-956-8808,031-622-1259,2025-07-12
다웅소재주식회사,김현곤,충청남도 서천군 종천면 종천공단길 58 (다웅소재(주)),충청남도 서천군 종천면 석촌리 60번지,3,활석분,041-953-1126,041-953-1127,2025-07-12
(주)베르상스퍼시픽,홍형수,충청남도 서천군 장항읍 신창서로 29 (퍼시픽글라스) 외 1필지,충청남도 서천군 장항읍 신창리 303-18번지 외 1필지,350,화장품 용기,041-955-2732,041-955-2629,2025-07-12
꿈철,"이강수,이용재",충청남도 서천군 마서면 덕암리 525-1번지 외 1필지,충청남도 서천군 마서면 덕암리 525-1번지 외 1필지,2,"홀성형지붕재,벽재",,,2025-07-12
손모아식품,김용자,충청남도 서천군 시초면 시초로182번길 37,충청남도 서천군 시초면 신곡리 157번지,4,"호박죽,쑥죽,냉면육수,모시한과",041-952-1237,041-952-5573,2025-07-12
(주)에스피씨 삼립 서천공장,황종현,충청남도 서천군 종천면 종천공단길14번길 52 (종천면) 외 4필지,충청남도 서천군 종천면 석촌리 416-29번지 외 4필지,216,"햄, 소시지, 캔햄, 패티, 가라아게",041-950-0511,041-953-8232,2025-07-12
진미수산,석진선,충청남도 서천군 마서면 송신로 571 (진미수산) (총 3 필지) 외 2필지,충청남도 서천군 마서면 송석리 475-3번지 외 2필지,2,"해태건조,맛김",041-952-7707,041-953-7707,2025-07-12
(주)우양,이구열,충청남도 서천군 장항읍 장항공단길28번길 97-8 (우양냉동식품) (총 3 필지) 외 4필지,충청남도 서천군 장항읍 원수리 996-3 외 4필지,40,"핫도그,고구마페이스트",041-956-8510,041-956-8511,2025-07-12
(주)기업과사람들,이인숙,충청남도 서천군 종천면 종천공단길 47,충청남도 서천군 종천면 석촌리 91번지,50,"핫도그, 치즈볼, 냉동딸기 등",041-953-8408,041-953-8496,2025-07-12
(주)일광폴리머,이은경,충청남도 서천군 종천면 석촌리 670번지,충청남도 서천군 종천면 석촌리 670번지,23,"합성수지, 전자자동차부품",041-953-2327,031-8059-3490,2025-07-12
농업회사법인 주식회사 참두원,박정규,충청남도 서천군 한산면 동산리 409-23번지,충청남도 서천군 한산면 동산리 409-23,3,한산소곡주,,,2025-07-12
대백제명주,김경희,"충청남도 서천군 한산면 신성로 507-17, 1동",충청남도 서천군 한산면 신성리 57-13번지 1동,2,한산소곡주,041-951-6668,041-951-6663,2025-07-12
주식회사 백제명가주조,이정아,충청남도 서천군 한산면 충절로 1133,충청남도 서천군 한산면 지현리 67번지,2,한산소곡주,041-955-5101,,2025-07-12
서천수산식품,이영규,충청남도 서천군 한산면 신성로 507-15,충청남도 서천군 한산면 신성리 57-12번지,1,한산모시토하젓,041-951-6669,041-951-6663,2025-07-12
한산모시떡명가,이정아,충청남도 서천군 한산면 충절로 1137,충청남도 서천군 한산면 지현리 123-2번지,2,"한산모시송편,떡국떡",041-953-5101,,2025-07-12
한산모시 플러스,이정아,"충청남도 서천군 한산면 신성로 507-17, 2동",충청남도 서천군 한산면 신성리 57-13번지 2동,1,한산모시송편,041-953-5101,041-951-6663,2025-07-12
대창물산,장성윤,충청남도 서천군 장항읍 장항공단길60번길 19,충청남도 서천군 장항읍 원수리 450-26번지,14,폴리에틸렌포장대,041-956-0959,041-957-0959,2025-07-12
(주)영우정보기술,권순우,"충청남도 서천군 종천면 종천공단길 37-8, (2동)",충청남도 서천군 종천면 석촌리 416-89번지 (2동),8,폐쇄회로 카메라,041-953-9818,041-953-9819,2025-07-12
(주)에이스테크,신이철,충청남도 서천군 서천읍 화성리 192-3번지,충청남도 서천군 서천읍 화성리 192-3번지,12,"펌프, 수문 등",063-542-2758,063-544-2758,2025-07-12
서천농업협동조합,최창호,충청남도 서천군 마서면 마서로 362 (서천농협유기물비료공장),충청남도 서천군 마서면 옥산리 151번지,3,퇴비,041-953-0572,041-951-3841,2025-07-12
해본 태양광발전소,정부용,"충청남도 서천군 종천면 종천공단길32번길 31-16, (주1동)",충청남도 서천군 종천면 석촌리 452 해본조선소 (주1동),0,태양광발전,,,2025-07-12
천해 태양광발전소,석하나,충청남도 서천군 서면 신월길 131-17,충청남도 서천군 서면 월리 422,0,태양광 발전,041-952-8295,,2025-07-12
우현 1.2.3.호 태양광발전소,김진숙,충청남도 서천군 종천면 종천공단길62번길 42-13,충청남도 서천군 종천면 석촌리 676,0,태양광 ,,,2025-07-12
주식회사 티엠,김영호,충청남도 서천군 종천면 종천공단길32번길 14 외 1필지,충청남도 서천군 종천면 석촌리 410-0 외 1필지,5,탄성포장재 등,041-973-9920,,2025-07-12
한산소곡주호암제조소,김애란,충청남도 서천군 한산면 한마로135번길 45-39 외 1필지,충청남도 서천군 한산면 호암리 123번지 외 1필지,1,탁주,041-951-4564,,2025-07-12
농업회사법인 판교농민식품(주),김영근,충청남도 서천군 판교면 대백제로 1953-6,충청남도 서천군 판교면 판교리 218,3,콩가루,,,2025-07-12
한산콘크리트(주),안무열,"충청남도 서천군 장항읍 장항공단길 112-9, 원수2농공단지 3-1지구 외 2필지",충청남도 서천군 장항읍 원수리 995-1번지 원수2농공단지 3-1지구 외 2필지,23,콘크리트타일외 5종,041-957-0559,041-957-0301,2025-07-12
