순번,회사명,공장대표주소(도로명),업종번호,업종명
1,(유)삼원,충청남도 아산시 둔포면 아산호로840번길 88-11,"25944, ",금속선 가공제품 제조업
2,(유)아이티더블유오토모티브코리아 아산공장,충청남도 아산시 도고면 덕암산로 332,"22299, ",그 외 기타 플라스틱 제품 제조업
3,(재)충남테크노파크,충청남도 아산시 음봉면 연암산로 88 (충남테크노파크디스플레이센타),"29272, ",디스플레이 제조용 기계 제조업
4,(주) 농업회사법인 돈우,"충청남도 아산시 구령길52번길 37 (배방읍, 배방읍 구령리 143-4 제2종근린생활시설 (() 외 1필지","10129, 10122",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
5,(주) 대경,충청남도 아산시 음봉면 연암율금로295번길 66-14,"25929, ",그 외 기타 금속가공업
6,(주) 대명테크,충청남도 아산시 선장면 서부남로172번길 12-65,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
7,(주) 대아콤텍,충청남도 아산시 음봉면 음봉로681번길 40-49 ((주)대아콤텍),"22299, ",그 외 기타 플라스틱 제품 제조업
8,(주) 바이오리치 ,충청남도 아산시 음봉면 쌍용길 36-16,"20423, ",화장품 제조업
9,(주) 비앤피코리아,충청남도 아산시 음봉면 신의길208번길 17-19,"22231, ","플라스틱 포대, 봉투 및 유사제품 제조업"
10,(주) 성원엔지니어링,충청남도 아산시 둔포면 신항리 434-1,"28123, ",배전반 및 전기 자동제어반 제조업
11,(주) 성지 아산공장,충청남도 아신시 영인면 아산리 259 외 5필지 외 5필지,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3 종
12,(주) 스패너(Xpanner inc),"충청남도 아산시 둔포면 윤보선로248번길 111, 1동, 2동, 3동","29241, 34011",건설 및 채광용 기계장비 제조업 외 1 종
13,(주) 코스타 2공장,충청남도 아산시 둔포면 아산밸리동로 297 외 1필지,"25924, ",절삭가공 및 유사처리업
14,(주) 태영금속,충청남도 아산시 둔포면 윤보선로336번길 71-46,"30320, 30399",자동차 차체용 신품 부품 제조업 외 1 종
15,(주) 한민,충청남도 아산시 영인면 윤보선로 224 외 1필지,"25113, ",육상 금속 골조 구조재 제조업
