연번,산업단지명,입주업체명,주소,전화번호,데이터기준일자
1,예산일반산업단지,(주)경인양행,충청남도 예산군 응봉면 산단1길 7,02-3660-7821,2023-09-15
2,예산일반산업단지,(주)나이스엘엠에스 주조공장,"충청남도 예산군 삽교읍 산단1길 140, (예산일반산업단지) (삽교읍)",041-331-6390,2023-09-15
3,예산일반산업단지,(주)남영테크,"충청남도 예산군 삽교읍 산단3길 16, (예산일반산업단지)",041-338-9691,2023-09-15
4,예산일반산업단지,(주)남영테크,충청남도 예산군 삽교읍 효림리 519-2,041-338-9691,2023-09-15
5,예산일반산업단지,(주)네오오토 예산3공장,충청남도 예산군 삽교읍 산단2길 85,041-337-1730,2023-09-15
6,예산일반산업단지,(주)네오오토 예산공장,충청남도 예산군 삽교읍 효림리 514번지,041-337-1730,2023-09-15
7,예산일반산업단지,(주)대복식품,"충청남도 예산군 삽교읍 산단3길 87, (예산일반산업단지내) 외 1필지",041-664-3976,2023-09-15
8,예산일반산업단지,(주)대성비엘에스,"충청남도 예산군 삽교읍 산단3길 226, 309호 309호",041-337-3881,2023-09-15
9,예산일반산업단지,(주)더본코리아,충청남도 예산군 응봉면 산단1길 1,02-549-3864,2023-09-15
10,예산일반산업단지,(주)동성화학,충청남도 예산군 삽교읍 효림리 174-10번지 예산일반산업단지,051-200-4571,2023-09-15
11,예산일반산업단지,(주)디앤케이켐텍,충청남도 예산군 삽교읍 산단2길 165,041-330-5700,2023-09-15
12,예산일반산업단지,(주)디제이씨,"충청남도 예산군 삽교읍 산단2길 176, 예산일반산업단지내",041-338-7887,2023-09-15
13,예산일반산업단지,(주)마이크로케미,충청남도 예산군 삽교읍 산단2길 9,041-338-4863,2023-09-15
14,예산일반산업단지,(주)비농,"충청남도 예산군 삽교읍 산단3길 226, 충남테크노파크 바이오센터 304호",02-6264-8861,2023-09-15
15,예산일반산업단지,(주)새한,"충청남도 예산군 응봉면 산단1길 84, 예산일반산업단지내",041-337-5790,2023-09-15
16,예산일반산업단지,(주)성운파마코피아,"충청남도 예산군 삽교읍 산단3길 226, 충남테크노파크 바이오센터 (삽교읍)",031-293-1616,2023-09-15
17,예산일반산업단지,(주)신성티앤비,"충청남도 예산군 삽교읍 산단3길 226, 309호",041-338-4865,2023-09-15
18,예산일반산업단지,(주)신성티엔에프,"충청남도 예산군 삽교읍 산단3길 93, (예산일반산업단지)",041-338-5091,2023-09-15
19,예산일반산업단지,(주)심원개발,충청남도 예산군 삽교읍 산단3길 107,070-4901-5152,2023-09-15
20,예산일반산업단지,(주)심원개발,충청남도 예산군 삽교읍 산단1길 131,070-4901-5152,2023-09-15
21,예산일반산업단지,(주)씨에이치바이오,"충청남도 예산군 삽교읍 산단3길 226, 203호 203호",031-492-3123,2023-09-15
22,예산일반산업단지,(주)애니픽,"충청남도 예산군 삽교읍 산단3길 226, 310호 310호",042-932-7475,2023-09-15
23,예산일반산업단지,(주)에스엘,충청남도 예산군 오가면 오신로 535,041-334-1758,2023-09-15
24,예산일반산업단지,(주)에스티커넥션,충청남도 예산군 삽교읍 효림리 508번지 예산일반산업단지내,031-365-4701,2023-09-15
25,예산일반산업단지,(주)에어텍,충청남도 예산군 삽교읍 산단2길 99-25,043-930-4578,2023-09-15
26,예산일반산업단지,(주)에이원케미칼 예산공장,충청남도 예산군 응봉면 산단1길 26,041-337-6358,2023-09-15
27,예산일반산업단지,(주)영신에프앤에스,충청남도 예산군 응봉면 산단1길 78,041-337-7993,2023-09-15
28,예산일반산업단지,(주)오성바이오,"충청남도 예산군 삽교읍 산단3길 226, 충남테크노파크 바이오센터 306,307,308호",041-337-3881,2023-09-15
29,예산일반산업단지,(주)오성바이오,"충청남도 예산군 삽교읍 산단3길 226, 308호 308호 외 2필지",041-337-3881,2023-09-15
30,예산일반산업단지,(주)오성화학공업,충청남도 예산군 삽교읍 효림리 510번지,032-547-3321,2023-09-15
31,예산일반산업단지,(주)유니크,충청남도 예산군 삽교읍 산단2길 88,055-340-2026,2023-09-15
32,예산일반산업단지,(주)은성전자,"충청남도 예산군 삽교읍 산단1길 130, 예산일반산업단지",041-338-9907,2023-09-15
33,예산일반산업단지,(주)이수에어텍,"충청남도 예산군 삽교읍 산단2길 99-25, (예산일반산업단지)",041-338-0061,2023-09-15
34,예산일반산업단지,(주)종근당바이오,"충청남도 예산군 삽교읍 산단3길 226, 본관동 1층 101 101호",02-2194-0540,2023-09-15
35,예산일반산업단지,(주)지에프허브,"충청남도 예산군 삽교읍 산단3길 226, 바이오센터 203, 204호",041-337-8123,2023-09-15
36,예산일반산업단지,(주)지오엔,충청남도 예산군 삽교읍 산단3길 230,041-335-4400,2023-09-15
37,예산일반산업단지,(주)진생코리아,"충청남도 예산군 삽교읍 산단3길 226, 충남테크노파크 바이오센터 309호",041-8838-8338,2023-09-15
38,예산일반산업단지,(주)케이씨폴리머,충청남도 예산군 삽교읍 효림리 504번지 (예산일반산업단지),041-338-2011,2023-09-15
39,예산일반산업단지,(주)케이에프엠,"충청남도 예산군 삽교읍 산단2길 166, (예산일반산업단지)",041-338-1201,2023-09-15
40,예산일반산업단지,(주)티에스씨,충청남도 예산군 삽교읍 산단3길 50,031-497-7171,2023-09-15
41,예산일반산업단지,(주)해피코리아,충청남도 예산군 삽교읍 효림리 474번지,041-338-8387,2023-09-15
42,예산일반산업단지,㈜우림알텍,"충청남도 예산군 삽교읍 산단2길 99-18, (주)우림알텍",041-352-5081,2023-09-15
43,예산일반산업단지,건영주식회사,"충청남도 예산군 삽교읍 산단1길 130, 예산일반산업단지",041-404-7770,2023-09-15
44,예산일반산업단지,녹십자수의약품(주),충청남도 예산군 응봉면 산단1길 110,041-337-1805,2023-09-15
45,예산일반산업단지,농업회사법인 예산농산주식회사,충청남도 예산군 삽교읍 신가효림길 123 외 1필지,041-337-1799,2023-09-15
46,예산일반산업단지,대원헬스케어(주),"충청남도 예산군 삽교읍 산단1길 144, 예산일반산업단지내",041-331-3371,2023-09-15
47,예산일반산업단지,문화직물주식회사,"충청남도 예산군 삽교읍 산단2길 149, 예산일반산업단지내",041-337-4501,2023-09-15
48,예산일반산업단지,바이켐(주),"충청남도 예산군 삽교읍 산단2길 53, (예산일반산업단지)",041-404-1800,2023-09-15
49,예산일반산업단지,삼보오토(주),충청남도 예산군 응봉면 산단1길 66,031-491-0761,2023-09-15
50,예산일반산업단지,서울화인테크(주),충청남도 예산군 응봉면 산단1길 7,02-552-0424,2023-09-15
51,예산일반산업단지,신광강판인쇄(주),"충청남도 예산군 삽교읍 산단2길 99-32, (예산일반산업단지)",041-338-0454,2023-09-15
52,예산일반산업단지,신한금속(주),"충청남도 예산군 삽교읍 산단1길 69, (예산일반산업단지) 외 1필지",041-338-9711,2023-09-15
53,예산일반산업단지,신한물산(주),충청남도 예산군 삽교읍 월산리 174번지 예산일반산업단지내,032-883-1539,2023-09-15
54,예산일반산업단지,안일산업사,"충청남도 예산군 삽교읍 산단3길 8, 예산일반산업단지내",041-5415-3669,2023-09-15
55,예산일반산업단지,어업회사법인(주)김스바이오,"충청남도 예산군 삽교읍 산단3길 226, 205호 205호",041-4943-6219,2023-09-15
56,예산일반산업단지,에프앤뷰티(주),"충청남도 예산군 삽교읍 산단3길 226, 208호",041-9397-2086,2023-09-15
57,예산일반산업단지,엠에스빌트(주),충청남도 예산군 삽교읍 산단2길 71,041-404-7766,2023-09-15
58,예산일반산업단지,우창실업(주),충청남도 예산군 삽교읍 효림리 524번지,041-664-6671,2023-09-15
59,예산일반산업단지,이앤에스(주),충청남도 예산군 삽교읍 산단3길 225,041-338-7852,2023-09-15
60,예산일반산업단지,제노바이오 충청지사,"충청남도 예산군 삽교읍 산단3길 226, 바이오센터 310호",042-933-8070,2023-09-15
61,예산일반산업단지,한국바스프(주),"충청남도 예산군 삽교읍 산단1길 25, 예산일반산업단지내",041-330-7900,2023-09-15
62,예산일반산업단지,한국에버스톤(주),충청남도 예산군 삽교읍 효림리 511,041-8903-6055,2023-09-15
63,예산일반산업단지,한국자산관리공사,"충청남도 예산군 삽교읍 산단3길 90, (예산일반산업단지)",051-794-3841,2023-09-15
64,예산일반산업단지,한국자산관리공사,충청남도 예산군 삽교읍 산단1길 69 외 1필지,000-0000-0000,2023-09-15
65,예산일반산업단지,한국프라스틱㈜,충청남도 예산군 삽교읍 산단2길 111,041-337-6161,2023-09-15
66,예산일반산업단지,한남기초주식회사,"충청남도 예산군 삽교읍 산단2길 15, 예산일반산업단지내",032-504-8104,2023-09-15
67,예산일반산업단지,햄프셔공업사,"충청남도 예산군 삽교읍 산단2길 74, 예산일반산업단지내",041-338-2241,2023-09-15
68,예산일반산업단지,현대제철(주),충청남도 예산군 삽교읍 산단2길 158,032-760-2114,2023-09-15
69,예산일반산업단지,현대제철(주)예산1공장,충청남도 예산군 삽교읍 산단1길 131,032-760-2114,2023-09-15
70,예산일반산업단지,현대제철(주)예산2공장,충청남도 예산군 삽교읍 산단3길 107,032-760-2114,2023-09-15
71,예산예당일반산업단지,(유)에치비,충청남도 예산군 고덕면 예당산단4길 67,031-479-7160,2023-09-15
72,예산예당일반산업단지,(주)대솔오시스 예당공장,충청남도 예산군 고덕면 예당산단4길 102,032-850-1710,2023-09-15
73,예산예당일반산업단지,(주)대원화인켐,"충청남도 예산군 고덕면 오추리 865번지 , 예당일반산업단지",041-404-8800,2023-09-15
74,예산예당일반산업단지,(주)대한솔루션,"충청남도 예산군 고덕면 오추길 96-43, 예당일반산업단지내",032-810-1701,2023-09-15
75,예산예당일반산업단지,(주)대현에스티제이비,충청남도 예산군 고덕면 예당산단4길 76,031-297-5973,2023-09-15
76,예산예당일반산업단지,(주)덕산,"충청남도 예산군 고덕면 예당산단4길 33, 예당일반산업단지내",041-337-4488,2023-09-15
77,예산예당일반산업단지,(주)동부켐텍,충청남도 예산군 고덕면 예당산단4길 137,041-404-8040,2023-09-15
78,예산예당일반산업단지,(주)디에스텍,충청남도 예산군 고덕면 예당산단1길 45,041-338-9667,2023-09-15
79,예산예당일반산업단지,(주)메이플캐미칼,충청남도 예산군 고덕면 오추리 799번지,041-338-8633,2023-09-15
80,예산예당일반산업단지,(주)명성,충청남도 예산군 고덕면 오추리 825번지 (예당일반산업단지),000-0000-0000,2023-09-15
81,예산예당일반산업단지,(주)미보,충청남도 예산군 고덕면 몽곡리 797번지,041-4270-1682,2023-09-15
82,예산예당일반산업단지,(주)삼중,충청남도 예산군 고덕면 예당산단4길 19,041-967-4500,2023-09-15
83,예산예당일반산업단지,(주)삼호화성,"충청남도 예산군 고덕면 예당산단3길 36, (예당일반산업단지)",031-355-4215,2023-09-15
84,예산예당일반산업단지,(주)셀테크노,충청남도 예산군 고덕면 예당산단4길 139,041-337-6775,2023-09-15
85,예산예당일반산업단지,(주)솔앤테크,충청남도 예산군 고덕면 예당산단2길 14-16,041-388-2212,2023-09-15
86,예산예당일반산업단지,(주)수양켐텍,"충청남도 예산군 고덕면 예당산단4길 80, (예당일반산업단지)",041-338-3370,2023-09-15
87,예산예당일반산업단지,(주)신호인더스트리,"충청남도 예산군 고덕면 예당산단5길 35, 예당일반산업단지내",041-337-7411,2023-09-15
88,예산예당일반산업단지,(주)신호인더스트리,"충청남도 예산군 고덕면 예당산단4길 93, (예당일반산업단지내)",041-337-7411,2023-09-15
89,예산예당일반산업단지,(주)신호인더스트리,충청남도 예산군 고덕면 오추리 827번지,041-337-7411,2023-09-15
90,예산예당일반산업단지,(주)썬테크놀로지스,"충청남도 예산군 고덕면 오추길 96-43, 예당일반산업단지",031-8055-5420,2023-09-15
91,예산예당일반산업단지,(주)씨오엠,충청남도 예산군 고덕면 예당산단4길 76,041-404-7620,2023-09-15
92,예산예당일반산업단지,(주)아코캠,충청남도 예산군 고덕면 예당산단1길 23,031-493-6338,2023-09-15
93,예산예당일반산업단지,(주)앰트,"충청남도 예산군 고덕면 예당산단3길 62, (예당일반산업단지)",041-338-3723,2023-09-15
94,예산예당일반산업단지,(주)에스엘레전드,"충청남도 예산군 고덕면 오추길 96-43, 예당일반산업단지내",02-529-7481,2023-09-15
95,예산예당일반산업단지,(주)에스엘케이,충청남도 예산군 고덕면 몽곡리 1021번지,041-337-8381,2023-09-15
96,예산예당일반산업단지,(주)에어졸플러스,충청남도 예산군 고덕면 오추리 866,000-0000-0000,2023-09-15
97,예산예당일반산업단지,(주)에이치에스켐트론,충청남도 예산군 고덕면 예당산단5길 27,031-494-9060,2023-09-15
