순번,회사명,대표자명,공장대표주소(지번),업종명,전화번호,팩스번호,생산품
189,(주)지에프허브,정영복,"충청남도 예산군 삽교읍 효림리 479번지 바이오센터 203, 204호",화장품 제조업,041-337-8123,041-337-8124,천연추출물
319,삼박엘에프티(주),윤성택,충청남도 예산군 예산읍 간양리 135-6 외 3필지,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,041-534-8111,041-534-8113,열가소성장섬유복합재료
281,대일수지공업(주),김영수,충청남도 예산군 오가면 원평리 4-24번지,혼성 및 재생 플라스틱 소재 물질 제조업,041-331-0980,041-333-4599,재생플라스틱원료
282,대일수지공업(주) 2공장,김영수,충청남도 예산군 오가면 원평리 4-21,혼성 및 재생 플라스틱 소재 물질 제조업,041-331-0980,041-333-4599,"ABS Pellet, PP Pellet"
432,이레테크,박한구,충청남도 예산군 고덕면 오추리 812-1번지,혼성 및 재생 플라스틱 소재 물질 제조업,,041-541-1559,합성수지
460,주식회사 그린오션화학,권동수,충청남도 예산군 신암면 별리 98,혼성 및 재생 플라스틱 소재 물질 제조업,02-565-1328,02-6713-1321,플라스틱원료(금속질감 복합PP)
472,주식회사 에타폴,문영지,충청남도 예산군 신암면 별리 98번지,혼성 및 재생 플라스틱 소재 물질 제조업,041-331-5190,,자동차 내·외장재 펠렛
125,(주)에스엘케이,박요한,충청남도 예산군 고덕면 몽곡리 1021번지,합성수지 및 기타 플라스틱 물질 제조업,041-337-8381,02-866-8381,타이어점착제
176,(주)인터폴리머코리아,조용준,충청남도 예산군 고덕면 오추리 812번지,합성수지 및 기타 플라스틱 물질 제조업,031-384-2678,031-384-2680,친환경폴리우레탄수지
198,(주)케이씨폴리머,서종문,충청남도 예산군 삽교읍 효림리 504번지 (예산일반산업단지),합성수지 및 기타 플라스틱 물질 제조업,041-338-2011,041-338-6011,엔지니어링 플라스틱
207,(주)티에스씨,"황규성,  황응선",충청남도 예산군 삽교읍 효림리 519,합성수지 및 기타 플라스틱 물질 제조업,031-497-7171,031-497-7952,합성수지 화합물
469,주식회사 씨케이텍,곽철관,충청남도 예산군 고덕면 상몽리 1036,합성수지 및 기타 플라스틱 물질 제조업,070-4651-4241,,p.p
515,한국바스프(주),송준,충청남도 예산군 삽교읍 효림리 531번지 예산일반산업단지내,합성수지 및 기타 플라스틱 물질 제조업,041-330-7900,041-330-7999,엔지니어링 플라스틱
220,(주)한국약품,손원식,충청남도 예산군 응봉면 주령리 130번지,한의약품 제조업,041-363-8588,041-333-8598,"기천환, 순혈환"
317,삼박엘에프티(주),윤성택,충청남도 예산군 예산읍 간양리 133-1번지,플라스틱 필름 제조업 외 3 종,041-330-8541,041-330-8539,"단열재, 포장재, 자동차내외장재"
107,(주)신호인더스트리,이필진,충청남도 예산군 고덕면 상장리 347-8번지 외 2필지,플라스틱 필름 제조업 외 2 종,041-337-7411,041-337-7413,"PVC 필름, PVC 시트"
109,(주)신호인더스트리,이필진,충청남도 예산군 고덕면 오추리 837번지 (예당일반산업단지내),플라스틱 필름 제조업 외 2 종,041-337-7411,041-337-7413,PVC 데코시트 및 PP
173,(주)이우,함상수,충청남도 예산군 고덕면 상장리 347-8,플라스틱 필름 제조업 외 2 종,,,PVC시트
25,(주)녹수,고동환,충청남도 예산군 봉산면 대지리 434-1번지 (주)녹수,플라스틱 필름 제조업 외 1 종,041-337-0231,041-0337-0237,비닐시트
26,(주)녹수,고동환,충청남도 예산군 덕산면 광천리 1021-2번지 외 4필지,플라스틱 필름 제조업 외 1 종,041-337-0232,041-337-0233,상재타일 및 비닐시트
108,(주)신호인더스트리,이필진,충청남도 예산군 고덕면 오추리 832번지 예당일반산업단지내,플라스틱 필름 제조업 외 1 종,041-337-7411,041-337-7413,"데코타일,원단및데코시트"
110,(주)신호인더스트리,이필진,충청남도 예산군 고덕면 오추리 827번지,플라스틱 필름 제조업 외 1 종,041-337-7411,041-337-7413,"PVC시트, 데코시트"
146,(주)영우티피,이정운,충청남도 예산군 신암면 두곡리 306-10번지,플라스틱 필름 제조업 외 1 종,041-333-9041,070-8220-4664,"플라스틱필름, TPU필름, 핫멜트필름"
187,(주)지아이엘바이오테크,백승희,충청남도 예산군 예산읍 주교리 511-17번지,플라스틱 필름 제조업 외 1 종,041-331-8600,,플라스틱 시트
512,필라컴(주),강환경,충청남도 예산군 삽교읍 두리 121-22,플라스틱 필름 제조업,044-866-5718,044-866-5718,공기청정기용 정전필름(HAF)
271,다물창호산업,지미경,충청남도 예산군 예산읍 발연리 453-7번지,플라스틱 창호 제조업,041-331-7632,041-331-7635,플라스틱 창호
64,(주)만난식품,김진수,충청남도 예산군 오가면 신석리 10-4번지,플라스틱 접착처리 제품 제조업 외 1 종,041-331-2511,,곤약
120,(주)에덴글로벌,원경희,충청남도 예산군 신암면 탄중리 118-1번지,플라스틱 접착처리 제품 제조업 외 1 종,041-333-4523,041-333-4527,플라스틱필름
