순번,회사명,대표업종차수,대표업종번호,업종번호,업종명,시도,시군구,사업유형,남종업원,여종업원,외국인(남),외국인(여),종업원수
1, 수덕산업,11,25923,"25923, ",도장 및 기타 피막처리업,충청남도,천안시 서북구,제조업,4,1,0,0,5
2, 주식회사 아산레미콘,11,23322,"23322, ",레미콘 제조업,충청남도,당진시,제조업,10,1,0,0,11
3, 플렉스폼코리아(유)천안2공장(성거),11,30399,"30399, ",그 외 자동차용 신품 부품 제조업,충청남도,천안시 서북구,제조업,2,2,,,4
4,(농)아이파머스(주),11,10309,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업,충청남도,예산군,제조업,2,4,,,6
5,(사)두리장애인복지회 두리다담사업단,11,22212,"22212, 22231",플라스틱 필름 제조업 외 1 종,충청남도,천안시 동남구,제조업,,,,,0
6,(사)반딧불나눔복지재단 해나루빠삭뽀삭부각,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,당진시,제조업,10,10,,,20
7,(사)우리들행복나눔장애인복지회(화장지사업단),11,17902,"17902, ",위생용 종이제품 제조업,충청남도,천안시 서북구,제조업,4,1,0,0,5
8,(사)충청남도 장애인보모회 금산지회,11,17902,"17902, ",위생용 종이제품 제조업,충청남도,금산군,제조업,3,2,,,5
9,(사)한국지체장애인협회 공주사업소,11,27214,"27214, 27215, 28123",속도계 및 적산계기 제조업 외 2 종,충청남도,공주시,제조업,10,3,0,0,13
10,(사)한마음장애인복지회,11,28123,"28123, 26410, 26421, 28410, 28422",배전반 및 전기 자동제어반 제조업 외 4 종,충청남도,천안시 동남구,제조업,9,6,,,15
11,(사)희망근로장애인협회 통신사업단,11,26421,"26421, 26310, 26329, 26429, 26519, 28422, 28423, 28429",방송장비 제조업 외 7 종,충청남도,공주시,제조업,10,4,,,14
12,(사)희망근로장애인협회 통신사업단,11,26421,"26421, 26310, 26429, 26519, 28422, 28423, 28429",방송장비 제조업 외 6 종,충청남도,공주시,제조업,12,8,0,0,20
13,(유)2000금속,11,24312,"24312, ",강주물 주조업,충청남도,금산군,제조업,,,,,0
14,(유)거성산업,11,25112,"25112, 25119",구조용 금속 판제품 및 공작물 제조업 외 1 종,충청남도,논산시,제조업,6,,,,6
15,(유)금강스틸구조,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,서천군,제조업,3,1,,,4
16,(유)금산인삼김개발,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,금산군,제조업,15,,,,15
17,(유)농업회사법인 오린에프엔비,11,10709,"10709, ",기타 식사용 가공처리 조리식품 제조업,충청남도,청양군,제조업,,,,,0
18,(유)다정수산,11,10219,"10219, ",기타 수산동물 가공 및 저장 처리업,충청남도,보령시,제조업,3,7,,,10
19,(유)다함,11,26421,"26421, 26429, 26521, 26529, 28423, 33910",방송장비 제조업 외 5 종,충청남도,금산군,제조업,3,,,,3
20,(유)대하건설산업,11,25113,"25113, ",육상 금속 골조 구조재 제조업,충청남도,서천군,제조업,3,1,,,4
21,(유)레드,11,28119,"28119, 28909",기타 전기 변환장치 제조업 외 1 종,충청남도,천안시 서북구,제조업,3,,,,3
22,(유)목양,11,10602,"10602, 10601",빵류 제조업 외 1 종,충청남도,논산시,제조업,7,12,0,0,19
23,(유)삼각에프엠씨 웰빙랜드,11,10301,"10301, 10302, 11209",김치류 제조업 외 2 종,충청남도,논산시,제조업,36,35,0,0,71
24,(유)삼원,11,25944,"25944, ",금속선 가공제품 제조업,충청남도,아산시,제조업,19,2,0,0,21
25,(유)서해명가,11,10220,"10220, ",수산식물 가공 및 저장 처리업,충청남도,보령시,제조업,4,6,,,10
26,(유)선양지연지점,11,17901,"17901, ",문구용 종이제품 제조업,충청남도,천안시 동남구,제조업,50,4,0,0,54
27,(유)성진,11,17901,"17901, ",문구용 종이제품 제조업,충청남도,천안시 동남구,제조업,44,2,0,0,46
28,(유)성진에스엔씨,11,29169,"29169, 29199",기타 물품 취급장비 제조업 외 1 종,충청남도,당진시,제조업,15,4,40,,59
29,(유)성진에스엔씨,11,29169,"29169, 29199",기타 물품 취급장비 제조업 외 1 종,충청남도,당진시,제조업,25,5,50,,80
30,(유)세종아스콘산업,11,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,충청남도,공주시,제조업,3,0,0,0,3
31,(유)수산업플랜트,11,25113,"25113, 35114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,서천군,제조업,3,,,,3
32,(유)스벤손코리아,11,13999,"13999, 13224, 13229",그 외 기타 분류 안된 섬유제품 제조업 외 2 종,충청남도,논산시,제조업,2,,,,2
33,(유)신태양아스콘,11,23991,"23991, ",아스팔트 콘크리트 및 혼합제품 제조업,충청남도,논산시,제조업,9,1,,,10
34,(유)아스틴,11,20312,"20312, 20313",복합비료 및 기타 화학비료 제조업 외 1 종,충청남도,청양군,제조업,3,,,,3
35,(유)아이티더블유오토모티브코리아 아산공장,11,22299,"22299, ",그 외 기타 플라스틱 제품 제조업,충청남도,아산시,제조업,53,33,0,0,86
36,(유)안성홍삼,11,10895,"10895, ",인삼식품 제조업,충청남도,금산군,제조업,7,,,,7
37,(유)에이엠엠케이,11,22249,"22249, ",기타 기계.장비 조립용 플라스틱 제품 제조업,충청남도,천안시 서북구,제조업,84,6,0,0,90
38,(유)에이엠엠케이 제2공장,11,26221,"26221, ",인쇄회로기판용 적층판 제조업,충청남도,천안시 서북구,제조업,45,3,0,0,48
39,(유)에이엠엠케이 제3공장,11,26221,"26221, ",인쇄회로기판용 적층판 제조업,충청남도,천안시 서북구,제조업,19,1,0,0,20
40,(유)에치비,11,10831,"10831, 10832, 10839","식초, 발효 및 화학 조미료 제조업 외 2 종",충청남도,예산군,제조업,30,10,5,0,45
41,(유)엔비오그린,11,20499,"20499, 20495, 21301",그 외 기타 분류 안된 화학제품 제조업 외 2 종,충청남도,천안시 동남구,제조업,8,0,0,0,8
42,(유)엘케이씨푸드,11,10213,"10213, ",수산동물 냉동품 제조업,충청남도,보령시,제조업,10,16,8,,34
43,(유)영광,11,23911,"23911, ",건설용 석제품 제조업,충청남도,금산군,제조업,,,,,0
44,(유)은호산업,11,17212,"17212, 35114",골판지 상자 및 가공제품 제조업 외 1 종,충청남도,서천군,제조업,5,2,,,7
45,(유)이엔엠이엔씨,11,28123,"28123, ",배전반 및 전기 자동제어반 제조업,충청남도,천안시 동남구,제조업,6,3,0,0,9
46,(유)중부그린시스템,11,23239,"23239, ",기타 건축용 비내화 요업제품 제조업,충청남도,논산시,제조업,19,6,0,0,25
47,(유)코리아농업개발,11,25999,"25999, 25995",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,충청남도,논산시,제조업,3,1,0,0,4
48,(유)태광타이어,11,22110,"22110, 20202, 22199",고무 타이어 및 튜브 제조업 외 2 종,충청남도,홍성군,제조업,9,2,6,0,17
49,(유)트윈위더스,11,22292,"22292, ","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",충청남도,천안시 서북구,제조업,,,,,0
50,(유)파워,11,25113,"25113, 35114",육상 금속 골조 구조재 제조업 외 1 종,충청남도,서천군,제조업,5,1,,,6
51,(유)피피지코리아,11,20411,"20411, ",일반용 도료 및 관련제품 제조업,충청남도,천안시 동남구,제조업,114,1,0,0,115
52,(유)해원,11,25113,"25113, 29169, 35114",육상 금속 골조 구조재 제조업 외 2 종,충청남도,서천군,제조업,4,1,,,5
53,(유)현대철망산업,11,25944,"25944, 13992, 25113, 25114",금속선 가공제품 제조업 외 3 종,충청남도,홍성군,제조업,3,1,0,0,4
54,(자)내포연식품,11,10894,"10894, ",두부 및 유사식품 제조업,충청남도,홍성군,제조업,2,1,0,0,3
55,(자)삼일농업회사법인,11,10511,"10511, ",곡물 도정업,충청남도,논산시,제조업,2,0,0,0,2
56,(자)연합공사,11,25112,"25112, 22223, 25111",구조용 금속 판제품 및 공작물 제조업 외 2 종,충청남도,서산시,제조업,2,1,0,0,3
57,(자)웅진전기,11,28123,"28123, 28422, 33301, 33302",배전반 및 전기 자동제어반 제조업 외 3 종,충청남도,공주시,제조업,4,1,0,0,5
