시도,시군구,회사명,공장구분,전화번호,생산품,업종명,공장대표주소(도로명)
충청남도,천안시 서북구, 수덕산업,개별입지,,코팅제룸(무정전pc판),도장 및 기타 피막처리업,충청남도 천안시 서북구 성환읍 복모리 280 외 1필지
충청남도,천안시 서북구, 플렉스폼코리아(유)천안2공장(성거),개별입지,041-902-1889,자동차용 내장재,그 외 자동차용 신품 부품 제조업,충청남도 천안시 서북구 성거읍 봉주로 275
충청남도,천안시 동남구,(사)두리장애인복지회 두리다담사업단,개별입지,,종량제봉투+비닐봉투+종량제봉투+비닐봉투,플라스틱 필름 제조업 외 1 종,충청남도 천안시 동남구 수신면 백자3길 96
충청남도,천안시 서북구,(사)우리들행복나눔장애인복지회(화장지사업단),개별입지,041-587-5771,화장지,위생용 종이제품 제조업,충청남도 천안시 서북구 성환읍 매주리 607
충청남도,천안시 동남구,(사)한마음장애인복지회,개별입지,041-552-1460,수배전반+제어장치+CCTV+LED,배전반 및 전기 자동제어반 제조업 외 4 종,"충청남도 천안시 동남구 성남면 석곡3길 60, (2,3동)"
충청남도,천안시 서북구,(유)레드,계획입지,,전기변환장치+임펄스 발생장치,기타 전기 변환장치 제조업 외 1 종,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 3106호"
충청남도,천안시 동남구,(유)선양지연지점,개별입지,041-559-6056,문구용지,문구용 종이제품 제조업,충청남도 천안시 동남구 광덕면 세종로 4186
충청남도,천안시 동남구,(유)성진,개별입지,041-559-6217,문구용지,문구용 종이제품 제조업,충청남도 천안시 동남구 광덕면 세종로 4186
충청남도,천안시 동남구,(유)엔비오그린,개별입지,,미생물,그 외 기타 분류 안된 화학제품 제조업 외 2 종,충청남도 천안시 동남구 병천면 개목고개길 41
충청남도,천안시 동남구,(유)이엔엠이엔씨,개별입지,041-566-5158,전기공사,배전반 및 전기 자동제어반 제조업,"충청남도 천안시 동남구 삼룡2길 14-6, (유)이엔엠이엔씨 (삼룡동)"
충청남도,천안시 서북구,(유)트윈위더스,개별입지,041-588-0500,투명전도성 필름,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",충청남도 천안시 서북구 입장면 홍천당곡길 70
충청남도,천안시 동남구,(유)피피지코리아,개별입지,041-560-6032,자동차용 도료,일반용 도료 및 관련제품 제조업,충청남도 천안시 동남구 풍세면 용두4길 60
충청남도,천안시 서북구,(주) 동양엘리베이터,개별입지,,엘리베이터부품(프레임),승강기 제조업,충청남도 천안시 서북구 성환읍 신방로 142-15 외 2필지
충청남도,천안시 서북구,(주) 두원식품,개별입지,041-581-9020,조미식품(분말조미료),천연 및 혼합조제 조미료 제조업,충청남도 천안시 서북구 성환읍 대홍3길 58
충청남도,천안시 동남구,(주) 수도산업기계,개별입지,,에너지절감형산업설비/냉동제습기,기체 펌프 및 압축기 제조업,충청남도 천안시 동남구 병천면 봉항로 529
충청남도,천안시 서북구,(주) 신일,개별입지,,쓰레기봉투,"플라스틱 포대, 봉투 및 유사제품 제조업",충청남도 천안시 서북구 성환읍 왕림길 109
충청남도,천안시 서북구,(주) 씨엠에스,계획입지,070-8983-1992,유틸리티 배관,그 외 기타 금속가공업,충청남도 천안시 서북구 성거읍 성거산단2로 15
충청남도,천안시 서북구,(주) 용진,개별입지,041-569-3340,2차전지용롤,절삭가공 및 유사처리업,
충청남도,천안시 동남구,(주) 우진하이텍,개별입지,041-556-0118,특장차+소방자동차,차체 및 특장차 제조업 외 1 종,충청남도 천안시 동남구 성남면 용원리 245
충청남도,천안시 동남구,(주) 자이로,개별입지,041-622-7005,액체펌프,액체 펌프 제조업,충청남도 천안시 동남구 성남면 성심원길 17-2
충청남도,천안시 서북구,(주) 지에이피,개별입지,,기타 전자 부품,전자감지장치 제조업,
충청남도,천안시 동남구,(주) 파란자동화,개별입지,041-554-8307,자동제어반,배전반 및 전기 자동제어반 제조업,충청남도 천안시 동남구 청수3길 6 (청수동)
충청남도,천안시 서북구,(주) 팜스토리 서울사료 천안,개별입지,041-583-1981,동물용 사료 및 조제식품 제조업,반려동물용 사료 제조업 외 2 종,"충청남도 천안시 서북구 천일고2길 141 (신당동, (주)서울사료)"
충청남도,천안시 동남구,(주)AME,개별입지,041-523-6511,USB드라이브,기억장치 제조업,충청남도 천안시 동남구 광덕면 매당리 268-1번지 외 5필지 외 1필지
충청남도,천안시 동남구,(주)MS케미칼,계획입지,032-431-5213,황산시약+정제황산+정제인산+공업용인산+정제질산 등,기타 기초 무기 화학물질 제조업 외 1 종,충청남도 천안시 동남구 성남면 대화리 357번지
충청남도,천안시 동남구,(주)S&K정공,개별입지,041-561-8849,ROTOR FACING,그 외 자동차용 신품 부품 제조업 외 3 종,충청남도 천안시 동남구 목천읍 삼성4길 16 (KMS정밀)
충청남도,천안시 서북구,(주)SB식품,개별입지,,사과농축액+배농축액+사과농축액+배농축액,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,충청남도 천안시 서북구 성환읍 왕림리 236-24번지 외 1필지
충청남도,천안시 서북구,(주)가람지기,개별입지,041-581-0976,종이식품용기,식품위생용종이제품제조업,충청남도 천안시 서북구 성환읍 연암율금로 171 (가람지기)
충청남도,천안시 동남구,(주)가연,개별입지,041-522-7338,금속재울타리 등,구조용 금속 판제품 및 공작물 제조업 외 7 종,충청남도 천안시 동남구 배울1길 110 (구룡동)
충청남도,천안시 동남구,(주)가온에프앤비,개별입지,,과일 및 약초 액기스+땅콩카라멜향분말,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,충청남도 천안시 동남구 동면 수남리 157-1
충청남도,천안시 서북구,(주)가온텍,개별입지,041-582-5701,반도체 부품,반도체 제조용 기계 제조업,충청남도 천안시 서북구 성환읍 왕지1길 142 (일반공장) 외 2필지
충청남도,천안시 서북구,(주)강천건설,개별입지,041-575-2998,금형품,주형 및 금형 제조업,충청남도 천안시 서북구 직산읍 상덕로 11-3
충청남도,천안시 서북구,(주)거산케미칼,개별입지,041-563-1705,알카리착색품+인산피막품+니켈도금품 등,도금업,충청남도 천안시 서북구 성거읍 봉주로 303-1
충청남도,천안시 서북구,(주)거상펄프산업천안공장,개별입지,,화장지,위생용 종이제품 제조업,충청남도 천안시 서북구 직산읍 신갈리 89-6번지
충청남도,천안시 동남구,(주)거성스틸,개별입지,,금속절단가공품+금속용접가공품,그 외 기타 금속가공업,충청남도 천안시 동남구 동면 충절로 1951
충청남도,천안시 서북구,(주)건영 비앤에프,계획입지,041-635-0561,석류즙+레드비트즙,기타 비알코올 음료 제조업,충청남도 천안시 서북구 직산읍 부송1길 62
