업체명,대표자,주소, 전화 , 주생산품 ,비고
에스엠인더스트리㈜,조경태,충청남도 청양군 청양읍 충절로 1259-130,041-940-5700,"플라스틱컴파운드, 자동차부품",학당농공단지
락희스틸㈜,신선원,충청남도 청양군 청양읍 충절로 1259-92,041-943-8560,철근가공,학당농공단지
(주)남영산업 ,길인환,충청남도 청양군 청양읍 충절로 1259-132    ,041-944-0089,용접철망,학당농공단지
농업회사법인 ㈜동일,김영운,충청남도 청양군 운곡면 청신로 567-103, 041-943-8170 ,"마늘, 생강, 양파",운곡농공단지
비전무역,유호정,충청남도 청양군 운곡면 청신로 567-31,041-942-1475,고춧가루,운곡농공단지
(주)남영산업,길인환,충청남도 청양군 운곡면 청신로 567-50,041-944-0089,용접철망,운곡농공단지
㈜반석티브이에스,김태완,충청남도 청양군 운곡면 청신로 567-50, 041-942-8004 , 건축 구조용 자재 ,운곡농공단지
뉴그린웰㈜,이덕순,충청남도 청양군 운곡면 청신로 567-49, 041-943-8925 ,유기질비료,운곡농공단지
㈜케이에너지팜,김희창,충청남도 청양군 운곡면 청신로 567-62,, 정제연료유 ,운곡농공단지
예영㈜,김숙희,충청남도 청양군 운곡면 중묵운곡로 398-23,070-8267-0162,산업용마스크,운곡농공단지
우리화학㈜,안인자,충청남도 청양군 운곡면 중묵운곡로 398-37,041-943-6065,플라스틱관,운곡농공단지
㈜필택산업,송준호,충청남도 청양군 운곡면 청신로 567-25,041-944-2001,농업용기계제작,운곡농공단지
㈜다원산업,현동숙,충청남도 청양군 운곡면 청신로 567-34,041-943-1401,콘크리트관,운곡농공단지
계룡환경㈜,송준호,충청남도 청양군 운곡면 청신로 567-83,041-943-1019,물탱크,운곡농공단지
㈜아라,민경호,충청남도 청양군 운곡면 청신로 567-62,," 가동보, 수문, 수문권양기, 제진기 ",운곡농공단지
청양이앤알㈜,조문기,충청남도 청양군 운곡면 청신로 567-51, 041-944-2268 , 재생플라스틱 칩 ,운곡농공단지
(재)청양군지역활성화재단,윤여권,충청남도 청양군 운곡면 신대길 42,041-942-9737,농산물가공, 운곡2농공단지 
락토코리아㈜,서동석,충청남도 청양군 운곡면 신대길 14-22,041-943-7513,유제품, 운곡2농공단지 
㈜우양 청양공장,이구열,충청남도 청양군 운곡면 신대길 14-5,041-942-2911,냉동식품, 운곡2농공단지 
㈜우양 청양2공장(뉴뜨레),이구열,충청남도 청양군 운곡면 신대길 14-26,041-942-2911,냉동식품, 운곡2농공단지 
그린텍(주),조영란,충청남도 청양군 운곡면 신대길 14-28,041-942-8075,자동차범퍼원료, 운곡2농공단지 
영수식품㈜,정헌민,충청남도 청양군 운곡면 신대길 14-23,041-943-5697,물엿, 운곡2농공단지 
㈜ 동방,김병국,충청남도 청양군 운곡면 신대길 14-24,041-943-2299,유제품, 운곡2농공단지 
씨에스테크,성시옥,충청남도 청양군 운곡면 신대길 14-16,, 자동제어반 , 운곡2농공단지 
나무들㈜,배은숙,충청남도 청양군 운곡면 신대길 14-16,041-943-6242,강화목재, 운곡2농공단지 
한궁세계화연구소㈜,이옥희,충청남도 청양군 운곡면 신대길 14-38,041-943-3170,스포츠기구, 운곡2농공단지 
애경산업㈜,"김상준, 채동석",충청남도 청양군 정산면 충의로 1547-9,041-940-3333,"비누,세제",정산농공단지
애경케미칼㈜ 청양1공장,표경원,충청남도 청양군 정산면 충의로 1547-64,041-940-6300, 합성수지 ,정산농공단지
애경케미칼㈜ 청양2공장,표경원,충청남도 청양군 정산면 충의로 1547-72,041-940-6300, 계면활성제 ,정산농공단지
㈜케이비어어드히시브스,박종숙,충청남도 청양군 화성면 금계동길 32-12,041-943-7811,면점착테이프,화성농공단지
휴먼스㈜,이건,충청남도 청양군 화성면 금계동길 12-10, 070-4070-8305 ,자동차용품,화성농공단지
다이어트캠프,이강영,충청남도 청양군 화성면 금계동길 32-11,041-943-4533,조미식품,화성농공단지
선광엘티아이㈜,김동진,충청남도 청양군 화성면 금계동길 30,041-943-7948,전기부품,화성농공단지
에이엠에스플러스㈜,박희수,충청남도 청양군 화성면 금계동길 30,  02-877-3979  ,"  베어링, 샤프트, 카트 등  ",화성농공단지
㈜수그린파워,김진수,"충청남도 청양군 화성면 금계동길 34, 35", 041-942-2322 ," 목재펠렛, 목재칩, 톱밥 외 1 ",화성농공단지
㈜이레산업,한재명,충청남도 청양군 화성면 금계동길 21-12, 041-942-8523 , 콘크리트 제품 ,화성농공단지
㈜예은,노지훈,충청남도 청양군 화성면 금계동길 11-10,041-942-8523,콘크리트 관 등,화성농공단지
㈜해드림에너지,"최경미, 박성언",충청남도 청양군 화성면 장계리 640-4,,태양광패널,화성농공단지
㈜해드림이엔지,조상현,충청남도 청양군 화성면 금계동길 11-6, 070-4445-2840 , 태양광 구조물 및 분전반 ,화성농공단지
㈜대하산업,신하영,충청남도 청양군 화성면 금계동길 11-8,041-942-7876,액체여과기,화성농공단지
㈜씨엔에스,유아름,충청남도 청양군 화성면 금계동길 11-8, 041-943-5655 ," 계장제어장치, 현장제어반 ",화성농공단지
농업회사법인㈜보람,김성옥,충청남도 청양군 화성면 장계리 640-2,,곡물적재함(수매통),화성농공단지
고려특장㈜,이명진,충청남도 청양군 화성면 대청로 35,041-943-6800,특장차,화성농공단지
성광산업㈜,이항복,충청남도 청양군 화성면 금계동길 12-7,041-942-7124,철재 빔,화성농공단지
대한상사,송미영,충청남도 청양군 화성면 금계동길 12,041-942-3253,당류제조,화성농공단지
알찬재래김,최정규,충청남도 청양군 화성면 금계동길 12-9,041-943-4488,김제조,화성농공단지
㈜한울,백창기,충청남도 청양군 비봉면 작은한술길 42,041-943-6681,김치류,비봉농공단지
디에스우일바이오㈜,김형수,충청남도 청양군 비봉면 작은한술길 48-7,041-942-9889,"유지,단미사료",비봉농공단지
㈜진에너텍,홍동욱,충청남도 청양군 비봉면 작은한술길 48-39,041-942-7234,펠렛연료탄,비봉농공단지
케이씨그린에너지,남상경,충청남도 청양군 비봉면 작은한술길 48-44,041-943-0097,펠렛연료탄,비봉농공단지
대양테크,차재호,충청남도 청양군 비봉면 작은한술길 48-21,,산업용 건조기,비봉농공단지
㈜송림바이오,송진옥,충청남도 청양군 비봉면 작은한술길 48-30, 041-944-1769 , 목재 펠릿 연료탄 ,비봉농공단지
㈜수이노베이션,김진수,충청남도 청양군 비봉면 작은한술길 48-27, 041-942-2322 ,펠렛연료탄,비봉농공단지
에이제이엔지니어링㈜,김상훈,충청남도 청양군 비봉면 작은한술길 48-16, 02-3486-2001 ," TBM 장비 부품(SLULLY 이송용배관, 유압대차, 전기 조작판넬), BG/BC 수직 굴착용 커터날 ",비봉농공단지
㈜으뜸농산,오정호,충청남도 청양군 비봉면 작은한술길 48-22,041-943-7887,단무지,비봉농공단지
㈜충청,박성순,충청남도 청양군 비봉면 작은한술길 48-38, 041-943-3924 ,콘크리트관,비봉농공단지
청양군장애인재활근로센터(백세김),이중연,청양군 청양읍 칠갑산로 87,041-943-9844,조미김,개별입지
진흥자동차공업(주),이종각,청양군 청양읍 중앙로 116,041-943-2631,토목공사 및 유사용 기계장비 제조업,개별입지
칠갑농산(주),이영주,청양군 청양읍 충절로 872-6,041-943-6670,"국수,냉면,떡류,만두피등",개별입지
농업회사법인(유) 오린,이병선,청양군 청양읍 충절로 872-5,041-943-6670,"만두류,소스류,냉면육수,양념장",개별입지
청양벽돌,박상균,청양군 청양읍 중앙로 230,041-943-2570,벽돌,개별입지
서부제재소,명재원,청양군 청양읍 충절로 926,041-943-2243,일반 제재 ,개별입지
근풍실업(주),김혜숙,청양군 청양읍 충절로 974,041-943-0170,골판지상자,개별입지
칠갑산어머니한과영농조합법인,민근기,청양군 청양읍 충절로 1012-59,041-942-5479,한과,개별입지
(주)칠갑정비,이기열,청양군 청양읍 칠갑산로 343,041-942-5700,토목공사 및 유사용 기계장비 제조업,개별입지
