업체명,대표자,주소, 전화 , 주생산품 ,업종구분,산업분류코드,팩스번호,고용인원수
에스엠인더스트리㈜,조경태,청양읍 충절로 1259-130," 041-940-5700~5708,041-940-5703 "," 플라스틱,컴파운드,자동차부품(와이퍼 등) "," 자동차용 신품 전기장치 제조업,자동차 재제조 부품 제조업 ","30332, 30400",041-940-5760,86
락희스틸㈜,신선원,청양읍 충절로 1259-92," 041-943-8560,031-881-2020,070-4244-2641 ", 철근가공 ," 육상금속골조 구조재 제조업,수상 금속 골조 구조재 제조업 ","25113, 25114",031-881-2017,6
(주)남영산업 2공장,길인환,청양읍 충절로 1259-132    , 041-944-0089 ," 용접 철망, 데크 플레이트 "," 금속선 가공제품 제조업,육상 금속 골조 구조재 제조업 ","25944, 25113",041-944-0081,3
농업회사법인 ㈜동일,김영운,운곡면 청신로 567-103, 041-943-8170 ," 마늘, 생강, 양파 가공품 "," 기타 과실,채소 가공 및 저장 처리업 ",10309,041-943-1146,17
비전무역,유호정,운곡면 청신로 567-31, 041-942-1475 ," 건고추, 고춧가루 "," 기타 과실,채소 가공 및 저장 처리업 ",10309,041-944-1475,9
(주)남영산업,길인환,운곡면 청신로 567-50, 041-944-0089 ," 돌망태, 용접 철망 ", 금속선 가공제품 제조업 외 4종 ,"25944, 13999, 22229, 68112, 23911",041-944-0081,22
뉴그린웰㈜,이덕순,운곡면 청신로 567-49, 041-943-8925 , 액화비료 , 복합비료 및 기타 화학 비료 제조업 외 7종 ,"20312, 10901, 10902, 10903, 20313, 20321, 20322, 20424",041-943-8927,2
㈜케이에너지팜,김희창,운곡면 청신로 567-62,041-943-0026, 정제연료유 , 그 외 기타 분류안된 화학제품제조업 ,20499,041-943-0062,1
예영㈜,김숙희,운곡면 중묵운곡로 398-27," 070-8267-0162,041-943-9230,02-2285-5496 "," 산업용마스크, 필터 ", 그 외 기타 의료용 기기 제조업 ,27199,"041-943-9231,02-2266-7931",10
우리화학㈜,안인자,운곡면 중묵운곡로 398-37, 041-943-6065 , 플라스틱이중벽관 ," 플라스틱 필름 제조업,플라스틱 선, 봉, 관 및 호스 제조업 ","22212, 22211",041-943-1222,3
