연번,회사명,주소,전화번호,팩스번호,업종,생산품,대표명,데이터기준일자
1,(주)한성테크,충청남도 금산군 군북면 가목길 33,041-754-0641,041-754-0640,기타기계 및 장비,"소맥분 연속 증자기, 당화솥, 제국기 외 제조설비",(주)한성테크,2026-01-26
2,램테크놀러지(주),충청남도 금산군 군북면 군북로 1056,041-754-6470,041-754-6472,화학물질 및 화학제품;의약품제외,"화합물, 홈페이지 게시 반대MP, 순수 정제 인산 및 구연산 세정액",램테크놀러지(주),2026-01-26
3,대덕지관산업,충청남도 금산군 군북면 군북로 1083,041-752-1986,,펄프 종이 및 종이제품,지관(종이파이프),대덕지관산업,2026-01-26
4,삼중테크(주),충청남도 금산군 군북면 군북로 1087,02-3468-2312,02-569-1795,금속가공제품;기계 및 가구제외,승강장 안전문,삼중테크(주),2026-01-26
5,(주)금풍,충청남도 금산군 군북면 군북로 1090 외 1필지,041-750-7800,041-754-7683,펄프 종이 및 종이제품,종이포대 등,(주)금풍,2026-01-26
6,(주)씨앤제이,충청남도 금산군 군북면 군북로 530,041-751-8330,041-751-8331,금속가공제품;기계 및 가구제외,태양광지지대,(주)씨앤제이,2026-01-26
7,농업회사법인 ㈜케이진바이오,충청남도 금산군 군북면 군북로 530,041-751-1613,,식료품,"가공 소금, 곡류 가공품",농업회사법인 ㈜케이진바이오,2026-01-26
8,대동고려삼(주)제2공장,충청남도 금산군 군북면 군북로 586 외 1필지,041-753-8803,041-422-2248,식료품,"발효홍삼농축액, 홍삼농축액분말",대동고려삼(주)제2공장,2026-01-26
9,대동고려삼(주),충청남도 금산군 군북면 군북로 586 외 6필지,041-753-8803,041-422-2248,식료품,"홍삼, 태극삼, 홍삼농축액, 홍삼분말",대동고려삼(주),2026-01-26
10,(주)아주,충청남도 금산군 군북면 군북로 892,043-731-0458,042-367-0626,금속가공제품;기계 및 가구제외,"철파레트, 금속 구조물",(주)아주,2026-01-26
11,(주)태영에프앤아이,충청남도 금산군 군북면 군북로 934,041-751-1611,,식료품,홍삼액,(주)태영에프앤아이,2026-01-26
12,금산준수인삼,충청남도 금산군 군북면 금산로 1705,,,식료품,홍삼액,금산준수인삼,2026-01-26
13,금산지황영농조합법인,충청남도 금산군 군북면 백운길 192,041-751-7607,,식료품,"홍삼액, 착즙",금산지황영농조합법인,2026-01-26
