연번,벤처기업명,벤처확인유형,간략주소,업종분류(기보),업종명(10차),주생산품,벤처확인기관
1090,신양에너지 주식회사,혁신성장유형,충청남도 공주시,제조업,"산업용 오븐, 노 및 노용 버너 제조업",히트펌프,벤처기업확인기관
1203,주식회사 씨지아이,벤처투자유형,충청남도 천안시,제조업,그 외 기타 분류 안된 금속 가공제품 제조업,히트 스프레더(방열부재),벤처기업확인기관
1200,주식회사 연화신소재,혁신성장유형,충청남도 예산군,기타,금속류 해체 및 선별업,희토류 등,벤처기업확인기관
23,천지현황 주식회사,혁신성장유형,충청남도 금산군,제조업,인삼식품 제조업,흑삼 흑삼추출액,벤처기업확인기관
437,주식회사 휴민텍,벤처투자유형,충청남도 천안시,제조업,디스플레이 제조용 기계 제조업,휴대폰자동화장비,벤처기업확인기관
818,이프텍 주식회사,혁신성장유형,충청남도 아산시,제조업,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",휴대폰 필름 휴대폰악세서리,벤처기업확인기관
686,(주)썬터치,혁신성장유형,충청남도 금산군,제조업,가정용 비전기식 조리 및 난방 기구 제조업,휴대용 가스레인지주방용품,벤처기업확인기관
253,㈜우림에프엔씨,혁신성장유형,충청남도 당진시,제조업,구조용 금속 판제품 및 공작물 제조업,"휀스, 방음벽, 교량난간, 볼라드외",벤처기업확인기관
979,(주)에스제이푸드시스템,연구개발유형,충청남도 천안시,제조업,천연 및 혼합 조제 조미료 제조업,"훈연참치엑기스, 타바스코치킨용브래더",벤처기업확인기관
1059,(주)이수카본,혁신성장유형,충청남도 예산군,제조업,그 외 기타 분류 안된 화학제품 제조업,활성탄,벤처기업확인기관
1225,주식회사 에코이엔지,혁신성장유형,충청남도 공주시,제조업,공기 조화장치 제조업,환기시스템,벤처기업확인기관
1020,(주)하이텍이엔지,혁신성장유형,충청남도 공주시,제조업,"물질 검사, 측정 및 분석 기구 제조업","환경측정장비, 채수기 등",벤처기업확인기관
822,이수환경엔지니어링(주),혁신성장유형,충청남도 천안시,기타,환경 관련 엔지니어링 서비스업,"환경오염전문공사업, 수처리약품,환경인허가컨설팅,기술관리대행",벤처기업확인기관
400,(주)씨엔에스환경기술,연구개발유형,충청남도 천안시,기타,환경 관련 엔지니어링 서비스업,환경영향평가,벤처기업확인기관
564,주식회사 어스에코,연구개발유형,충청남도 서산시,기타,환경 관련 엔지니어링 서비스업,환경영향평가,벤처기업확인기관
148,㈜오에치케이,혁신성장유형,충청남도 천안시,제조업,액체 여과기 제조업,환경설비기계원심탈수기),벤처기업확인기관
490,주식회사 에이치앤지,벤처투자유형,충청남도 천안시,제조업,그 외 기타 일반 목적용 기계 제조업,환경관련설비제조,벤처기업확인기관
445,에이티티㈜,혁신성장유형,충청남도 천안시,제조업,"물질 검사, 측정 및 분석 기구 제조업",환경계측기,벤처기업확인기관
867,주식회사 셀켐,혁신성장유형,충청남도 천안시,연구개발서비스,"물리, 화학 및 생물학 연구개발업","화합물연구개발, 제조업, 수출입",벤처기업확인기관
81,주식회사 케이엠제이,혁신성장유형,충청남도 천안시,제조업,금속 탱크 및 저장 용기 제조업,화학장치,벤처기업확인기관
1132,주식회사 에이지엠지,혁신성장유형,충청남도 천안시,제조업,그 외 기타 고무제품 제조업,"화학원료, 점착소재",벤처기업확인기관
748,주식회사 씨티에스엔지니어링,혁신성장유형,충청남도 천안시,제조업,반도체 제조용 기계 제조업,화학약품 생산시설 제조,벤처기업확인기관
646,(주)비앤씨화장품,혁신성장유형,충청남도 천안시,제조업,화장품 제조업,화장품제조.포장,벤처기업확인기관
102,㈜라피끄,벤처투자유형,충청남도 천안시,제조업,화장품 제조업,화장품제조 연구개발,벤처기업확인기관
794,아이피플러스,혁신성장유형,충청남도 당진시,제조업,그 외 기타 플라스틱 제품 제조업,화장품용기 및 필기구,벤처기업확인기관
270,아이에스켐,혁신성장유형,충청남도 천안시,제조업,석탄화학계 화합물 및 기타 기초 유기화학 물질 제조업,화장품용 보습제,벤처기업확인기관
1001,주식회사 바이오코스원,혁신성장유형,충청남도 당진시,제조업,화장품 제조업,"화장품,미용기기",벤처기업확인기관
1029,방기정주식회사,혁신성장유형,충청남도 아산시,제조업,전시용 모형 제조업,"화장품, 뷰티소품, 콘텐츠, 도서",벤처기업확인기관
1261,주식회사 이앤와이,혁신성장유형,충청남도 아산시,제조업,포장용 플라스틱 성형용기 제조업,화장품 케이스,벤처기업확인기관
1136,주식회사 아이씨바이오,연구개발유형,충청남도 천안시,제조업,의약용 화합물 및 항생물질 제조업,화장품 원료,벤처기업확인기관
56,㈜씨엔티드림,혁신성장유형,충청남도 천안시,제조업,화장품 제조업,화장품,벤처기업확인기관
206,㈜플러스네이처,벤처투자유형,충청남도 천안시,제조업,화장품 제조업,화장품,벤처기업확인기관
209,주식회사 엠아이엔,벤처투자유형,충청남도 천안시,제조업,화장품 제조업,화장품,벤처기업확인기관
384,본베인,혁신성장유형,충청남도 천안시,제조업,화장품 제조업,화장품,벤처기업확인기관
453,㈜해든화장품,혁신성장유형,충청남도 서산시,제조업,화장품 제조업,화장품,벤처기업확인기관
517,(주)제이뷰티,혁신성장유형,충청남도 아산시,제조업,화장품 제조업,화장품,벤처기업확인기관
936,주식회사 루앤팍,혁신성장유형,충청남도 아산시,제조업,화장품 제조업,화장품,벤처기업확인기관
1102,주식회사 비엠코스,혁신성장유형,충청남도 보령시,도소매업,화장품 및 화장용품 도매업,화장품,벤처기업확인기관
1138,주식회사 뉴앤뉴,벤처투자유형,충청남도 천안시,제조업,화장품 제조업,화장품,벤처기업확인기관
169,유니트리,혁신성장유형,충청남도 천안시,제조업,그 외 기타 분류 안된 섬유제품 제조업,화장솜,벤처기업확인기관
477,주식회사 서천김에프엠비,혁신성장유형,충청남도 서천군,제조업,수산식물 가공 및 저장 처리업,화입 김,벤처기업확인기관
303,주식회사이노웍스,혁신성장유형,충청남도 천안시,건설운수,"화물 운송 중개, 대리 및 관련 서비스업","화물운송시스템,차량관리시스템,화물자동차매매시스템, 물류관련 시스템",벤처기업확인기관
