회사명,전화번호,팩스번호,도로명주소,지번주소,업종명,생산품,대표자명,운영구분,데이터기준일자
(주) 건영에스피지,041-835-0030,,충청남도 부여군 규암면 내동로 11,충청남도 부여군 규암면 외리 94-2번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",하이샷시,정문순,휴업,2026-01-26
(주)건영아스콘,041-835-7867,041-835-9887,충청남도 부여군 석성면 금백로 166-11,충청남도 부여군 석성면 석성리 94-5번지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,최용우,,2026-01-26
(주)경희산업,041-835-9985,041-835-9983,충청남도 부여군 석성면 증산로 95,충청남도 부여군 석성면 증산리 1291-31번지,육상 금속 골조 구조재 제조업,복공판,권예리,,2026-01-26
(주)계림폴리콘,041-833-3865,041-834-3865,충청남도 부여군 임천면 가림로 618 ,충청남도 부여군 임천면 군사리 516번지 ,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,"폴리머콘크리트제품, 합성수지제측구수로관, 밸브실",민병윤,,2026-01-26
(주)광명사업소,041-832-8884,041-837-8884,충청남도 부여군 구룡면 흥수로 397-4,충청남도 부여군 구룡면 구봉리 510,건설.광업용 기계 및 장비 수리업,자동차 및 건설기계 수리,심상웅,,2026-01-26
(주)광일산업,,,충청남도 부여군 구룡면 흥수로 397-5,충청남도 부여군 구룡면 구봉리 511-4번지,판지 상자 및 용기 제조업,포장용 판지상자,김옥기,,2026-01-26
(주)그린켐텍,041-837-0780,041-837-0781,충청남도 부여군 석성면 석성로 224-7 ,충청남도 부여군 석성면 봉정리 780번지 ,"천막, 텐트 및 유사 제품 제조업 외 1 종",PE타포린,강대영,,2026-01-26
(주)네오캠,041-837-3711,,충청남도 부여군 석성면 증산천길 140 ,충청남도 부여군 석성면 증산리 369번지 ,"천막, 텐트 및 유사 제품 제조업 외 3 종",방수천막,오광수,,2026-01-26
(주)뉴제일이엘이씨,070-5222-7247,070-5222-2680,충청남도 부여군 은산면 은남로20번길 42,충청남도 부여군 은산면 가중리 558번지,금속 단조제품 제조업 외 4 종,"금속제품단조,압형,열처리,도금 가공업",차선화,,2026-01-26
(주)대명철강,041-836-9519,041-835-9519,충청남도 부여군 규암면 흥수로 530,충청남도 부여군 규암면 노화리 435-11번지,강관 제조업 외 3 종,"농업용하우스파이프,강관",노학래,,2026-01-26
