회사명,업종명,생산품,주소,연락처,출처파일
(주)광명사업소,건설.광업용 기계 및 장비 수리업,자동차 및 건설기계 수리,충청남도 부여군 구룡면 흥수로 397-4,041-832-8884,충청남도_부여군_제조업체(공장) 등록현황_20260126.csv
(주)비에스부여공장,자동차 차체용 신품 부품 제조업 외 2 종,자동차부품(오일레스베아링),충청남도 부여군 홍산면 비홍로 39-6,041-836-1045,충청남도_부여군_제조업체(공장) 등록현황_20260126.csv
(주)제이앤드에프,,솔리노이드밸브 부품,두마면 제1산단로 25-27,,충청남도 계룡시_제조업체_10_29_2021.csv
(주)진합,,자동차부품,두마면 제1산단로 25-27,,충청남도 계룡시_제조업체_10_29_2021.csv
오케이퓨처(주),,건설장비부품,두마면 제1산단로 25-57,,충청남도 계룡시_제조업체_10_29_2021.csv
(주)일광폴리머,,"합성수지, 전자자동차부품",충청남도 서천군 종천면 석촌리 670번지,041-953-2327,충청남도 서천군_기업체 현황_20250712.csv
주식회사 트래닛,,"충진칩, 자동차 카매트",충청남도 서천군 종천면 종천공단길32번길 14 (종천면) 외 2필지,041-952-7256,충청남도 서천군_기업체 현황_20250712.csv
대성금속공업,,자동차부품,충청남도 서천군 장항읍 장항공단길60번길 15,041-956-3972,충청남도 서천군_기업체 현황_20250712.csv
태창금속(주),,자동차부품,충청남도 서천군 장항읍 장항공단길60번길 10 외 2필지,041-956-7757,충청남도 서천군_기업체 현황_20250712.csv
(주)일광폴리머 서천2공장,,자동차 부품,충청남도 서천군 종천면 석촌리 670-1,041-953-2327,충청남도 서천군_기업체 현황_20250712.csv
금강정공,,베어링부품,충청남도 서천군 종천면 종천공단길32번길 31-6 (금강정공),041-953-9915,충청남도 서천군_기업체 현황_20250712.csv
(합)세원산업,,발전설비기계부품,충청남도 서천군 마서면 삼연길 28,041-956-0209,충청남도 서천군_기업체 현황_20250712.csv
일신정공,,"기어, 공작기계, 자동차부품",충청남도 서천군 종천면 종천공단길 22 (코니코철강(주)),041-953-2388,충청남도 서천군_기업체 현황_20250712.csv
(유)아이티더블유오토모티브코리아 아산공장,그 외 기타 플라스틱 제품 제조업,,충청남도 아산시 도고면 덕암산로 332,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
(주) 대명테크,그 외 자동차용 신품 부품 제조업 외 3 종,,충청남도 아산시 선장면 서부남로172번길 12-65,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
(주) 성지 아산공장,그 외 자동차용 신품 부품 제조업 외 3 종,,충청남도 아신시 영인면 아산리 259 외 5필지 외 5필지,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
(주) 태영금속,자동차 차체용 신품 부품 제조업 외 1 종,,충청남도 아산시 둔포면 윤보선로336번길 71-46,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
(주)거륜,그 외 자동차용 신품 부품 제조업 외 3 종,,충청남도 아산시 도고면 신통길46번길 29,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
(주)고려텍,그 외 자동차용 신품 부품 제조업 외 3 종,,충청남도 아산시 음봉면 월산로 192-54,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
(주)광성오토모티브,자동차용 신품 제동장치 제조업,,충청남도 아산시 신창면 서부북로 849-21,,충청남도 아산시_제조업 공장등록 현황_20250430.csv
