회사명,전화번호,팩스번호,공장 도로명주소,위도,경도,업종명,생산품,대표자명,데이터기준일자
(유한)용두레미콘산업,033-682-4911,033-682-4918,"강원도 고성군 거진읍 봉정로 213-16,  원당리 198-1 (총 5 필지) (총 5 필지)",38.449574,128.428285,레미콘 제조업 외1 종,레미콘,김우동,2020-09-30
(주)강원심층수,033-638-9900,033-636-8075,"강원도 고성군 심층수길 124-19, (주)강원심층수 (죽왕면)",38.334563,128.521026,생수 생산업,먹는 해양심층수(생수),서명원,2020-09-30
(주)금강레미콘,033-635-4325,033-635-4328,강원도 고성군 토성면 용원로 470,38.218741,128.529994,레미콘 제조업,레미콘,심규섭,2020-09-30
(주)금강아스콘,033-635-4325,033-635-4328,"강원도 고성군 토성면 용원로 470, (성천리 307-3번지) (총 3 필지)",38.218741,128.529994,아스팔트 콘크리트 및 혼합제품 제조업,아스팔트콘크리트,심규섭,2020-09-30
(주)미래원,033-631-7778,033-631-7760,강원도 고성군 죽왕면 송지호로 15-44,38.328151,128.513667,기타 곡물 가공품 제조업 외2 종,"건강죽,코팅쌀,표고스낵,곡류분말",김종권,2020-09-30
(주)벽천레미콘산업,033-681-3232,033-681-4442,강원도 고성군 죽왕면 향목서길 30,38.374759,128.482194,레미콘 제조업 외1 종,"레미콘, 콘크리트",문창환,2020-09-30
(주)삼화푸드,033-638-5116,033-637-5204,강원도 고성군 죽왕면 오호리 278-42번지,38.193743,128.31205,가금류 가공 및 저장 처리업,"닭강정, 닭고기 포장육",심억수,2020-09-30
(주)성호정보통신,033-681-8600,033-681-8601,강원도 고성군 죽왕면 향목서길 26,38.375027,128.481934,방송장비 제조업 외1 종,"CCTV, 방송장비 등 ",김영성,2020-09-30
(주)수석,033-682-4672,033-682-4572,강원도 고성군 죽왕면 송지호로 15-42,38.346716,128.504917,수산동물 건조 및 염장품 제조업 외2 종,먹태,박반석,2020-09-30
(주)영동아스콘산업,033-633-1785,033-633-1786,강원도 고성군 토성면 진등길 130-5 (총 12 필지),38.269736,128.535134,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,김형용,2020-09-30
(주)영동콘크리트산업,033-632-1347,033-633-2489,강원도 고성군 토성면 학사촌길 87-16 영동콘크리트 (총 4 필지),38.252988,128.559082,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","벽돌, 콘크리트제품",김의준,2020-09-30
(주)영동콘크리트산업지점,033-633-1785,033-633-1786,강원도 고성군 토성면 진등길 130-5 (㈜영동콘크리트산업) (총 5 필지) (총 5 필지),38.269747,128.535144,레미콘 제조업,레미콘,김의준,2020-09-30
(주)오씨아드,031-477-4068,033-631-9978,강원도 고성군 죽왕면 오호리 278-18번지,38.327707,128.521473,기타 식품 첨가물 제조업,미네랄소금,최선희,2020-09-30
(주)지인,033-638-9091,033-638-9092,"강원도 고성군 토성면 성대로 53-42, B동 (해오름영농법인)",38.24183,128.511013,일반용 전기 조명장치 제조업 외2 종,"경관조명기구, LED보안등기구, LED가로등기구, LED실내등",임은경,2020-09-30
(주)차인유통,033-682-9944,033-682-9933,강원도 고성군 거진읍 송죽2길 84,38.403306,128.462767,수산동물 건조 및 염장품 제조업,"오징어젓, 낙지젓, 명란젓, 창란젓",인석환,2020-09-30
(주)풀묶음푸드, ,033-636-3031,강원도 고성군 죽왕면 오호리 278-36번지,38.327036,128.52132,두부 및 유사식품 제조업,두부,박일화,2020-09-30
(주)하성바이오,033-637-1151,033-637-1152,강원도 고성군 죽왕면 오호리 278-37번지 해양심층수전용농공단지내,38.32671,128.521438,수산동물 냉동품 제조업 외2 종,칵테일새우,한동목,2020-09-30
(주)한국바이오플랜트,033-638-1448,033-638-1449,강원도 고성군 죽왕면 오호리 278-20  외 1필지,38.327352,128.520318,기타 곡물 가공품 제조업,무균즉석밥,박성용,2020-09-30
(주)한솔레미콘,033-636-4325,033-636-4328,강원도 고성군 토성면 용원로 676 (총 4 필지),38.211187,128.510133,레미콘 제조업,레미콘,김기언,2020-09-30
(주)황원레미콘아스콘산업,033-636-8815,033-636-8818,강원도 고성군 토성면 용원로 547-14 (총 2 필지),38.215367,128.52536,레미콘 제조업 외1 종,"레미콘, 아스콘",문채황,2020-09-30
(합)염광엔지니어링,033-682-2681,033-681-3284,강원도 고성군 거진읍 태봉길 14,38.448862,128.453865,산업용 냉장 및 냉동 장비 제조업 외2 종,산업용 냉장 및 냉동장비,박용철,2020-09-30
(합)용두산업,033-682-4911,033-682-4918,강원도 고성군 거진읍 봉정로 213-16 (용두레미콘아스콘산업) (총 3 필지),38.449574,128.428273,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,김우동,2020-09-30
(합)태강콘크리트,033-681-6813,033-681-6811,강원도 고성군 간성읍 탑동길 167-1,38.366742,128.467054,그 외 기타 콘크리트 제품 및 유사제품 제조업 외3 종,"레미콘, 수로관",박영신,2020-09-30
가온조경건설(주),070-4349-0081,043-732-7246,강원도 고성군 죽왕면 향목서길 26,38.375028,128.48193,"체조, 육상 및 체력단련용 장비 제조업 외8 종","체조,육상 및 체력단련용 장비 등",변승희,2020-09-30
간성정미소, ,033-681-2722,강원도 고성군 죽왕면 동해대로 6672,38.378038,128.482815,곡물 도정업,쌀,함상옥,2020-09-30
건봉다시마장식품영농조합법인,033-681-8448,033-681-8444,강원도 고성군 간성읍 건봉사로 386 (건봉다시마식품),38.387124,128.408702,장류 제조업,"고추장,된장,막장,간장",엄명호,2020-09-30
고성1급한일공업사,033-682-7777,033-682-5550,강원도 고성군 거진읍 낙산길 12 (한일자동차공업사),38.436066,128.44784,기타 가공 공작기계 제조업,건설기계수리,고준호,2020-09-30
고성군농협쌀조합공동사업법인,033-681-5921,033-681-5923,"강원도 고성군 간성읍 건봉사로 6-22, 교동리 50번지 (고성농협연합미곡처리장)",38.386268,128.449508,곡물 도정업,쌀,우연권,2020-09-30
금강 아이엔에프(I&F),033-682-8116,033-682-8117,강원도 고성군 거진읍 거탄진로 7-3,38.43795,128.448099,주방용 및 음식점용 목재가구 제조업 외2 종,"씽크대, 주방가구, OA가구 일체",채희권,2020-09-30
내담,033-633-0904,033-633-0905,강원도 고성군 죽왕면 송지호로 15-51,38.327912,128.52187,"식초, 발효 및 화학 조미료 제조업 외2 종",전통 발효 다시마 식초 외,신현석,2020-09-30
농업회사법인 내몸애(주),033-633-0901,033-633-0905,강원도 고성군 죽왕면 송지호로 15-55,38.328049,128.522433,건강보조용 액화식품 제조업,"양파즙, 양배추즙, 브로콜리진액 등",신현석,2020-09-30
농업회사법인주식회사달홀주조,033-681-2008,033-682-4008,강원도 고성군 간성읍 간성북로42번길 16-1 (총 4 필지),38.38317,128.47391,탁주 및 약주 제조업,"달홀주,막걸리,옥동주",이미영,2020-09-30
다나수산,033-682-1171,033-681-0033,강원도 고성군 죽왕면 향목서길 20 (천호물산),38.37587,128.48182,수산동물 건조 및 염장품 제조업,황태,엄승옥,2020-09-30
동해천일염,033-631-8007,033-632-9007,강원도 고성군 죽왕면 송지호로 15-37,38.327621,128.520883,기타 식품 첨가물 제조업,천일염,권성웅,2020-09-30
동흥상회,033-682-3293,033-682-2593,강원도 고성군 거진읍 송죽2길 14,38.408408,128.466735,수산동물 건조 및 염장품 제조업,"명란젓갈, 창란젓갈",함동진,2020-09-30
