회사명,공장대표주소(지번),업종명,생산품,회사 번호
(자)태산씽크가구공장,강원특별자치도 태백시 문곡동 27-46번지,주방용 및 음식점용 목재가구 제조업,"씽크대, 일반(사무)용가구",033-550-2370
(주)강원크린텍,강원특별자치도 태백시 장성동 249-2번지 장성농공단지,전시 및 광고용 조명장치 제조업 외 4 종,전시및광고용조명장치,033-550-2988
(주)고려노벨화약 태백공장,강원특별자치도 태백시 통동 336-3번지,화약 및 불꽃제품 제조업,"산업용폭약(초유폭약,에뮬라이트)",033-550-2988
(주)그린파워텍,강원특별자치도 태백시 철암동 464-2번지 철암농공단지,전동기 및 발전기 제조업 외 3 종,배전반및전기자동제어반,033-550-2988
(주)대성기계,강원특별자치도 태백시 동점동 521,컨베이어장치 제조업 외 21 종,"컨베이어장치, 산업기계, 자동화설비",033-550-7175
(주)대유코아 태백공장,강원특별자치도 태백시 백산동 67번지 외 1필지,석회 및 플라스터 제조업,생석회,033-550-3968
(주)동양케미칼,강원특별자치도 태백시 원동 259번지,석회 및 플라스터 제조업,"탄산칼슘,탈황제",033-550-2106
(주)목우연구소,강원특별자치도 태백시 철암동 459,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,작물보호제,033-550-2988
(주)삼양,강원특별자치도 태백시 백산동 140-5번지,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,데이터 미집계
(주)삼양기업,강원특별자치도 태백시 백산동 140-5번지 외 6필지,레미콘 제조업,레미콘,033-550-3935
(주)새성도레미콘,강원특별자치도 태백시 장성동 117번지,레미콘 제조업,레미콘,033-550-2972
(주)스트롱홀드테크놀로지,강원특별자치도 태백시 장성동 263-6,음ㆍ식료품 및 담배 가공기계 제조업,스마트 원두 로스터기,데이터 미집계
(주)와이이씨,강원특별자치도 태백시 철암동 449-1번지,배전반 및 전기 자동제어반 제조업 외 2 종,"배전반, 자동제어반",033-550-2796
(주)유성종합전기,강원특별자치도 태백시 철암동 285-11,그 외 기타 특수목적용 기계 제조업,광산전차 차륜,033-550-2988
(주)이임데크,강원특별자치도 태백시 장성동 278-1,일반 제재업 외 1 종,"조경시설물,휀스",033-550-2988
(주)천지인바이오텍,강원특별자치도 태백시 철암동 446번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종,"작물보호제, 비료",033-550-2350
(주)천지인바이오텍,강원특별자치도 태백시 동점동 538,목재 깔판류 및 기타 적재판 제조업,목재 파렛트,033-550-2652
(주)컴투네이처,강원특별자치도 태백시 동점동 544-1,기타 과실ㆍ채소 가공 및 저장 처리업,동결건조식품,033-550-2350
(주)케이엠콘트롤,강원특별자치도 태백시 철암동 464-2번지,방송장비 제조업 외 4 종,"프로세스제어반,자동제어반,배전반,계장(계측)제어장치,CCTV",033-550-3968
(주)킴블레이드,강원특별자치도 태백시 철암동 464-5,자동차용 신품 전기장치 제조업,"차량용 화이퍼블레이드, 기타 차량용품",데이터 미집계
(주)태백산김치,강원특별자치도 태백시 동점동 543-1,김치류 제조업,"과실, 채소 가공 및 저장 처리업",033-550-2988
(주)태서식품,강원특별자치도 태백시 철암동 456번지,김치류 제조업 외 1 종,김치,데이터 미집계
(주)태서식품 제1공장,강원특별자치도 태백시 철암동 449번지,김치류 제조업 외 1 종,김치류,033-550-3968
(주)태양기계,강원특별자치도 태백시 장성동 272-3번지,육상 금속 골조 구조재 제조업 외 2 종,"제관기계, 철구조물 등",033-550-2539
(주)파워테크놀노지,강원특별자치도 태백시 장성동 272-2번지,방송장비 제조업 외 7 종,"CCTV, 측정기, 표지병",033-550-3968
(주)하이랜드,강원특별자치도 태백시 철암동 460-0 한얼싸이언스,합성고무 제조업 외 1 종,비료제조생산판매,033-550-2972
(주)한얼싸이언스 1공장,강원특별자치도 태백시 철암동 447 번지 외 1필지,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,작물보호제,033-550-2988
(주)한얼싸이언스 2공장,강원특별자치도 태백시 철암동 459-2번지,복합비료 및 기타 화학비료 제조업 외 3 종,기타 비료 및 질소화합물,033-550-2988
(주)한얼싸이언스 3공장,강원특별자치도 태백시 철암동 460번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종,작물보호제,033-550-2988
(주)한얼싸이언스 4공장,강원특별자치도 태백시 철암동 458-0,기타 기초 무기 화학물질 제조업 외 2 종,친환경제설제(액상),033-550-2988
(주)한일엔지니어링,강원특별자치도 태백시 장성동 278-3번지,구조용 금속 판제품 및 공작물 제조업,자동차 운반설비,033-550-3968
강원관광대학 산학협력단(웰빙베이커리),강원특별자치도 태백시 황지동 439번지 강원관광대학 E동(카지노관광관),떡류 제조업 외 4 종,"빵,제과류,떡, 과실 및 채소절임식품,코코아 제품 및 과자류",033-550-2106
강원관광대학 실험실공장,강원특별자치도 태백시 황지동 439번지,김치류 제조업 외 1 종,김치,033-550-2370
강원복지회(태백장애인근로사업장),강원특별자치도 태백시 철암동 445-1번지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 3 종","쓰레기봉투, 화장지",033-550-3968
강원복지회(태백장애인근로사업장),강원특별자치도 태백시 철암동 445번지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 3 종","화장지,종이컵,비닐봉투,방향제",033-550-2796
강원연료(주) 철암연탄공장,강원특별자치도 태백시 철암동 0번지 4/3,연탄 및 기타 석탄 가공품 제조업,연탄,데이터 미집계
강원연료공업주식회사,강원특별자치도 태백시 황지동 337-43번지,연탄 및 기타 석탄 가공품 제조업,연탄,033-550-2106
계절한모금,강원특별자치도 태백시 철암동 464-3,과자류 및 코코아 제품 제조업,당절임(도라지정과),033-550-2988
고려산소,강원특별자치도 태백시 철암동 285-11번지,산업용 가스 제조업,"산소,아세틸렌",033-550-2106
고원창호,강원특별자치도 태백시 철암동 460번지,"플라스틱 포대, 봉투 및 유사제품 제조업","규격창호, 금속창호",033-550-2539
농업법인회사 하이파머스 주식회사,강원특별자치도 태백시 철암동 464-16번지,김치류 제조업 외 1 종,"돼지감자차, 절임류",033-550-2796
농업회사법인 권도영알로에 주식회사,강원특별자치도 태백시 동점동 542 권도영알로에 태백공장,기타 과실ㆍ채소 가공 및 저장 처리업 외 4 종,"과실농축발효액, 알로에 건강기능식품, 식초, 액상차, 동결 건조식품",033-550-2972
농업회사법인 주식회사 오성,강원특별자치도 태백시 철암동 458번지,그 외 기타 나무제품 제조업 외 1 종,나무제품,033-550-2796
농업회사법인 주식회사 태백,강원특별자치도 태백시 동점동 541,김치류 제조업,식품류제조업(김치류),033-550-2988
농업회사법인 태백농업주식회사,강원특별자치도 태백시 장성동 263-5번지,식물성 유지 제조업 외 2 종,"산채, 식용유지류(들기름, 참기름), 절임식품류",033-550-3968
농업회사법인(주)태백산,강원특별자치도 태백시 철암동 451번지,기타 증류주 및 합성주 제조업,가시오가피 지역특산주,033-550-3968
농업회사법인한국곤드레주식회사,강원특별자치도 태백시 장성동 94-1,기타 과실ㆍ채소 가공 및 저장 처리업,곤드레 김,033-550-2988
높은산식품,강원특별자치도 태백시 철암동 464-3번지,장류 제조업,장류,033-550-2796
다온엠앤씨,강원특별자치도 태백시 철암동 452-0,전기회로 접속장치 제조업 외 3 종,배전반및자동제어반,033-550-2988
다인실업,강원특별자치도 태백시 백산동 151-1번지,직물포대 제조업 외 1 종,"직물포대, 복사용지",033-550-2796
대풍,강원특별자치도 태백시 철암동 464-7번지 464-7,기타 부동산 임대업,사골곰탕,033-550-3808
대한지붕,강원특별자치도 태백시 철암동 464-16 번지,구조용 금속 판제품 및 공작물 제조업,지붕용칼라강판,033-550-2106
더엠지 주식회사,강원특별자치도 태백시 장성동 278-4,"증류기, 열교환기 및 가스발생기 제조업 외 1 종",판형열교환기 및 자동세척 필터링시스템,033-550-3882
도은통신,강원특별자치도 태백시 철암동 452,컴퓨터 제조업 외 5 종,영상감시장치,데이터 미집계
동서계전,강원특별자치도 태백시 철암동 452번지,배전반 및 전기 자동제어반 제조업,"전기자동배전반, 가로보안등전기시설",033-550-2796
동점김치,강원특별자치도 태백시 동점동 산 19-1번지,김치류 제조업,김치,033-550-2796
미래산업,강원특별자치도 태백시 황지동 152-7번지 외 1필지,농업 및 임업용 기계 제조업,농업 및 임업용 기계,033-550-2106
보현채우미(주),강원특별자치도 태백시 철암동 455번지,플라스터 혼합제품 제조업 외 2 종,"욕조,줄눈제,폴리마 콘크리트",033-550-2972
봉신롤 주식회사,강원특별자치도 태백시 동점동 517-7번지 외 2필지,금속 주조 및 기타 야금용 기계 제조업,압연기롤,033-550-2106
