순번,회사명,대표자명,전화번호,팩스번호,생산품,공장대표주소
1,(주)S. M. T,김승호,_033_4357131,_033_4353735,의료용침대,강원도 홍천군 홍천읍 농공단지길 24-14
2,(주)국일건설엔지니어링,장흥균,_033_4348171,_033_4348172,건설재료용 폴리머,강원도 홍천군 북방면 중화계리 175번지
3,(주)국제스틸,노정협,_033_4353429,_033_4353462,"육각/사각 개비온, 돌망태,용접철망, 잠제",강원도 홍천군 북방면 송학정로 36-29
4,(주)금강산식물연구원,한동규,_033_4322665,_033_4322664,"식물사리,칼슘비료,목초액,뿌리나라",강원도 홍천군 화촌면 백이동길 118
5,(주)나인앤나인,김승현,_033_4361111,_033_4362600," 플라스틱수납장, 수납상자",강원도 홍천군 남면 흥성길 119 (총 2 필지)
6,(주)대동창호,장은주,_033_4356290,_033_4356290,"플라스틱 창호, 유리",강원도 홍천군 홍천읍 영서로 2121
7,(주)더온,김은희,_07088080123,_033_2530127,패널형 적외선 난방히터,강원도 홍천군 북방면 송학정로 31
8,(주)디바인피에프,김중석,16618876____,0505_3337786,플라스틱발포폼(준불연건축단열재),강원도 홍천군 북방면 송학정로 31
9,(주)디아이 홍천지점,이정완,_033_4348985,_033_4348986,"빵류, 과자류, 조미김류",강원도 홍천군 북방면 중화계로 86
10,(주)모닝캄솔트,윤쾌로,____________,_033_4354279,탈취제,강원도 홍천군 홍천읍 농공단지길 17
11,(주)목우지주목,이정선,_033_4340088,_033_4340096,지주목,강원도 홍천군 두촌면 자은로 215
12,(주)미림테크,윤형진,_033_4367800,_033_4357580,농업용 비닐,강원도 홍천군 홍천읍 농공단지길 18
13,(주)미림테크 남면공장,윤형진,_033_4367800,____________,철근콘크리트용 배수로관,강원도 홍천군 남면 며느리고개길 1-53 (총 3 필지)
14,(주)반석,이병목,_033_4354411,____________,"레미콘,콘크리트제품",강원도 홍천군 북방면 영서로 2848-19 (총 4 필지)
15,(주)비피도,지근억,_033_4354962,_033_4354963,"발효유, 유산균원말,인삼.홍삼제품, 생물학적 제제 외",강원도 홍천군 홍천읍 농공단지길 23-16
16,(주)산돌식품,이호성,_033_4351010,_033_4351459,"생면, 냉면, 떡류",강원도 홍천군 홍천읍 설악로 1009-9
17,(주)삼광레미콘,"최재경, 최홍석",_033_4361301,_033_4361305,레미콘,강원도 홍천군 서석면 구룡령로 3326 (총 3 필지)
18,(주)삼양패키징,조덕희,_033_4349422,____________,플라스틱 병,강원도 홍천군 북방면 도둔길 49 (하이트맥주)
19,(주)삼진지엔에프(삼진GNF),김창욱,_033_4341460,_033_4341490,"인삼,홍삼제품",강원도 홍천군 홍천읍 와동로 290
20,(주)생그린식품 홍천지점,성백원,____________,_033_4328851,맥주,강원도 홍천군 남면 난터길 44-17
21,(주)세준에프앤비,박승용,_033_4329246,_033_4369247,누룽지 등,강원도 홍천군 남면 흥성길 53
22,(주)씨티씨바이오,"성기홍, 전홍열",_07040330245,__02_4496966,"동물용 주사제, 발효제, 소독제, 액상보조사료",강원도 홍천군 홍천읍 생명과학관길 94
23,(주)에스엔텍솔루숀,표기섭,__02_5112709,__02_8540795,"탈취기, 자동제어반, 계장제어장치, 프로세스제어반",강원도 홍천군 홍천읍 농공단지길 23-26
24,(주)용성바이오,신재봉,_033_4353727,_033_4336677,동물 사료,강원도 홍천군 홍천읍 영서로 1927
25,(주)우영채널,김대혁,_033_4354366,_033_4354367,김치,강원도 홍천군 홍천읍 농공단지길 23-6
26,(주)우일산업,천용수,____________,_033_4347679,고체연료(성형탄),강원도 홍천군 북방면 송학정로 23-38 (총 2 필지)
27,(주)유시티,김남갑,_033_4360277,_033_4360278,"미끄럼방지포장재, 도장형바닥재",강원도 홍천군 남면 흥성길 219
28,(주)이화정공,"정소자,윤종엽",_033_4350068,_033_4350069,"차선도색용 도료, 고휘도 우천형 융착식 도료, 미끄럼방지 포장재",강원도 홍천군 남면 흥성길 133
29,(주)인텍씨엔디,배경선,_033_4362727,_033_4362627,기능성코팅소재,강원도 홍천군 남면 화전리 1679번지 외 1필지
30,(주)정명,조창균,_033_3437500,_033_3430038,약품자동투입장치,강원도 홍천군 남면 흥성길 167
31,(주)제이에이치,양치호,_033_4322910,_033_2573727,콘크리트 제품,강원도 홍천군 홍천읍 큰골길 79
32,(주)지엠아이,김건보,____________,_033_4369797,실리콘 수지(1차가공제품) 성형제품,강원도 홍천군 홍천읍 옥류동길 137-21 (총 4 필지)
33,(주)케이앤씨어패럴,최종민,____________,_033_9106000,"티셔츠, 침대포, 침대덮개, 식탁보, 점퍼, 팬티, 내복, 근무복, 체육복, 환자용의복, 목도리, 허리벨트","강원도 홍천군 홍천읍 홍천로 460, 1층(상가동) (태림아파트)"
34,(주)태백산수음료,박기환,_033_4356536,_033_4353902,약산게르마늄샘물,강원도 홍천군 화촌면 굴운로 471
35,(주)풀샘,조효경,_033_4321227,_033_4360222,"토낭, 식생매트 등",강원도 홍천군 홍천읍 농공단지길 18
36,(주)하티,서성각,_033_4322586,_033_4332586,건강식품(홍삼제품 외),강원도 홍천군 홍천읍 생명과학관길 84
37,(주)한빛광고건설,전명복,_033_4348472,_033_4348476,"광고판, 현수막",강원도 홍천군 홍천읍 무궁화로 17
38,(주)홍천사료,구자두,_033_2623388,_033_2629008,동물용 사료,강원도 홍천군 북방면 팔봉산로 2154-18 (총 2 필지)
39,(주)홍천중공업,차은희,_033_4347701,_033_4357701,건설기계정비,강원도 홍천군 북방면 송학정로 36-30
40,(주)화진바이오코스메틱,강정희,_033_9028910,_033_9028933,"화장품, 건강기능식품, 피부마사지기",강원도 홍천군 홍천읍 생명과학관길 36-16 (총 2 필지)
41,(주)흥성푸드,"김상덕, 이문자",_033_4365200,_033_4368476,"플레이크, 곡물제분 제품",강원도 홍천군 남면 흥성길 67-1 (총 2 필지)
42,(합)광진전력,최성규,_033_4327474,_033_4327476,기상용 기구,강원도 홍천군 홍천읍 남산강변로3길 14
43,(합자)대광,김지연,_033_3441534,_033_2611230,미끄럼방지포장재,강원도 홍천군 홍천읍 농공단지길 24-11
44,ARI(오디오연구소),송인관,____________,____________,진공관 앰프(오디오용품),강원도 홍천군 홍천읍 농공단지길 23-11
45,강원도래요,이은옥,_033_4352033,____________,구기자차가공,강원도 홍천군 서석면 행치령로 783-5
46,강원사료,이경숙,_033_4358729,_033_4358725,동물사료,강원도 홍천군 홍천읍 영서로 1929
47,강원인삼협동조합,최진현,_033_4353434,_033_4353437,"홍삼, 홍삼농축액, 홍삼차 등",강원도 홍천군 남면 흥성길 153
48,고양건설기계공업사,이영주,____________,____________,건설기계부품,강원도 홍천군 남면 한서로 3035-5
49,나눔과 자람,이백합자,_033_432-6847,,"티셔츠, 운동복, 내의 등 ","강원도 홍천군 홍천읍 홍천로 460, (태림아파트) 1층(상가동)"
50,낙원식품,박주성,_033_4347772,_033_4357775,"수리취떡, 인절미, 수리취경단",강원도 홍천군 북방면 영서로 2734
51,내면무청순대,임혜원,_033_4325174,_033_4325174,순대,강원도 홍천군 내면 창촌로 39
52,농업법인 햇곡원(주),전택봉,_033_4347729,_033_4355989,포장 쌀 및 기타 곡물,강원도 홍천군 화촌면 굴운로43번길 28 (총 4 필지)
53,농업회사법인 그린바이오 주식회사,성재승,_033_4337433,_033_4339433,유기질 비료,강원도 홍천군 서석면 장막길 103 (총 3 필지)
54,농업회사법인 샘골잣집주식회사,홍성철,_033_4357715,_033_4336789,"잣, 볶음 땅콩",강원도 홍천군 남면 망덕산로 43
55,농업회사법인 이롬비료(주),김응수,_033_4362321,_033_4362324,가축분퇴비,강원도 홍천군 동면 방량로 376-57 (총 10 필지)
56,농업회사법인 이수농산(주),음수연,____________,_033_4362324,"유기질 비료(녹생토, 분변토)",강원도 홍천군 동면 방량로 376-59
57,농업회사법인홍천양돈주식회사,심윤보,_033_4328660,_033_4328661,"돈분발효,유기질비료",강원도 홍천군 남면 양지골길 127 (총 2 필지)
58,다온제분,정지호,_033_4329801,_033_4329802,곡물제분,강원도 홍천군 남면 며느리고개길 1-21
59,다원식품(주),정석준,_033_4360666,_033_4360668,"가래떡, 떡볶이떡, 쌀국수 외",강원도 홍천군 남면 흥성길 107
60,대원카본포일,이순택,_033_4355200,_033_4351923,카본필름,강원도 홍천군 화촌면 구룡령로 98-18 (총 3 필지)
61,디아코니솔텍,백향숙,_033_4358672,____________,구운소금,강원도 홍천군 두촌면 장사랑길 305
62,마밀랜드산골식품,홍선옥외1,_070_4323613,_033_4333613,"조청, 엿, 쨈, 스낵",강원도 홍천군 화촌면 아양정길 64
63,맑은들(주),김상덕,_033_4368882,_033_4368476,"플레이크, 곡물 제분제품",강원도 홍천군 남면 흥성길 67 (총 2 필지)
64,명성전기,성열화,_033_4368051,_033_4368052,수배전반,강원도 홍천군 남면 흥성길 209
65,뫼내뜰영농조합법인 식품공장,이주형,_033_4327420,_033_4324694,"배추김치, 기타김치, 절임류 등",강원도 홍천군 남면 명동리 189-1번지
66,㈜미림테크 제2공장,윤형진,_033_4367800,_033_4357819,콘크리트제품,강원도 홍천군 홍천읍 농공단지길 28
67,바삭견과,홍현,_033_4364480,____________,기타견과류 가공품,"강원도 홍천군 홍천읍 홍천로4길 24, 2층"
68,밤바치농장,김남국,_033_4355881,_033_4355881,"돌배발효액, 돌배식초, 건돌배, 돌배잎비누, 돌배잎오일, 산복사발효액, 돌배묘목",강원도 홍천군 내면 밤바치길 457
69,보성산업(주),박성호,_033_4332215,_033_4332214,레디믹스트 콘크리트,강원도 홍천군 동면 금계로 2423 (총 2 필지)
70,뿌리깊은산업,손일정,_033_4340799,_033_0000000,"청국장, 된장",강원도 홍천군 내면 방내로 447
