회사명,대표자명,담당자연락처,팩스번호,종업원수,업종명,생산품,공장대표주소(도로명),공장대표주소(지번),기준일자
(사)한국지체장애인협회춘천시장애인근로사업장,박유찬,033-250-4051,033-242-3520,49,문구용 종이제품 제조업 외 2 종,"신문용지, 복사용지, 화장지, 보건용 마스크",강원특별자치도 춘천시 신북읍 아침못길 145 (신북읍),강원특별자치도 춘천시 신북읍 산천리 1번지,2025-02-06
(신)챔프가구산업,이용광,033-250-4051,033-262-4449,5,주방용 및 음식점용 목재가구 제조업 외 1 종,"주방가구, 사무용가구",강원특별자치도 춘천시 신동면 모오리길 32-13,강원특별자치도 춘천시 신동면 팔미리 121-1번지,2025-02-06
(유)춘천참마당,박현규,033-250-4225,,3,그 외 기타 식료품 제조업,엿,강원특별자치도 춘천시 남산면 김유정로 200-354,강원특별자치도 춘천시 남산면 광판리 496-2번지,2025-02-06
(주)ES산전,조형석,033-250-3361,041-415-1001,5,그 외 기타 의료용 기기 제조업,X-선 파노라마,"강원특별자치도 춘천시 삭주로145번길 69-14, (주)ES산전 (후평동, 벤처비지니스 살롱)",강원특별자치도 춘천시 후평동 198-25번지,2025-02-06
(주)강원브이아이피시스템,김도경,033-250-4051,,8,배전반 및 전기 자동제어반 제조업 외 1 종,PLC 외,강원특별자치도 춘천시 동내면 동내로 141,강원특별자치도 춘천시 동내면 신촌리 488-7번지,2025-02-06
(주)강원사랑,신영애,033-250-3361,033-244-5054,4,건설용 석제품 제조업 외 1 종,석제품,강원특별자치도 춘천시 사북면 춘화로 679,강원특별자치도 춘천시 사북면 고성리 332번지,2025-02-06
(주)강철이엔씨,김수연,033-250-4051,,5,간판 및 광고물 제조업 외 4 종,"금속표지판 및 관련 금속제품, 간판, 명패",강원특별자치도 춘천시 퇴계공단길 64(퇴계동),강원특별자치도 춘천시 퇴계동 865-8,2025-02-06
(주)건우,김성진,033-250-4051,033-255-1132,19,셔츠 및 블라우스 제조업 외 6 종,의류,강원특별자치도 춘천시 춘천로 245 (효자동),강원특별자치도 춘천시 효자동 756-4번지,2025-02-06
(주)경진이앤씨,조경덕,033-250-4051,033-241-2944,6,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","금속제창, 금속구조물",강원특별자치도 춘천시 신동로 45 (신동),강원특별자치도 춘천시 신동 30-1번지,2025-02-06
(주)공신미트,박순행,033-250-4051,033-252-6575,5,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,축산물,"강원특별자치도 춘천시 우묵들길 36, 1층 (퇴계동)",강원특별자치도 춘천시 퇴계동 1138-6번지 1층,2025-02-06
(주)교성,차국열,033-250-4051,033-256-7650,8,간판 및 광고물 제조업 외 6 종,"간판,현수막,상패",강원특별자치도 춘천시 동면 춘천순환로 387,강원특별자치도 춘천시 동면 만천리 549-2번지,2025-02-06
(주)국보이엔씨,김영범,033-250-4225,033-242-2578,4,플라스틱 창호 제조업 외 1 종,창호,강원특별자치도 춘천시 동면 공단로70번길 20-10,강원특별자치도 춘천시 동면 장학리 850-3번지,2025-02-06
(주)글로벌강원무역 제2공장,한상운,033-250-4225,033-255-7553,3,기타 가정용 전기기기 제조업,미용기기,"강원특별자치도 춘천시 효제길 33, 지하1층 (효자동, 문구나라)",강원특별자치도 춘천시 효자동 158-8번지 문구나라 지하1층,2025-02-06
(주)금강철강,김윤중,033-250-4051,,8,플라스틱 창호 제조업,프라스틱창호,강원특별자치도 춘천시 동내면 외솔길 36,강원특별자치도 춘천시 동내면 거두리 860-0번지,2025-02-06
(주)나노코리아,이찬우,033-250-4225,031-384-0450,11,무기안료용 금속 산화물 및 관련 제품 제조업,광촉매제,강원특별자치도 춘천시 동내면 동내로 213,강원특별자치도 춘천시 동내면 고은리 489-16번지,2025-02-06
(주)나노통신기술,김한용,033-250-4225,033-257-5414,12,방송장비 제조업 외 2 종,CCTV,강원특별자치도 춘천시 동면 소양강로 398,강원특별자치도 춘천시 동면 장학리 425-3번지,2025-02-06
(주)네이처앤드피플,김찬중,033-250-4225,050-4082-0731,2,장식용 목제품 제조업,"우든펜, 명패 외","강원특별자치도 춘천시 향교앞길 8, 1층 (교동, 강원유리)",강원특별자치도 춘천시 교동 85-2번지 강원유리 1층,2025-02-06
(주)네이처앤드피플,김찬중,033-250-4051,050-7086-1669,20,경 인쇄업 외 1 종,인쇄물,"강원특별자치도 춘천시 금강로83번길 26, 2층 (조양동)",강원특별자치도 춘천시 조양동 6-86번지 2층,2025-02-06
(주)녹색산업,이호문,033-250-4225,033-261-9380,3,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",콘크리트블록,강원특별자치도 춘천시 남산면 동촌로 77-21,강원특별자치도 춘천시 남산면 광판리 755번지,2025-02-06
(주)녹색산업,이호문,033-250-4051,033-261-9380,4,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",콘크리트 블록,강원특별자치도 춘천시 남산면 동촌로 77-13,강원특별자치도 춘천시 남산면 광판리 754-1번지,2025-02-06
(주)농업 회사법인 하루에한모,김재훈,033-250-4051,033-257-5033,10,두부 및 유사식품 제조업,콩가공식품,강원특별자치도 춘천시 동면 지내리 944번지 외 1필지,강원특별자치도 춘천시 동면 지내리 944번지 외 1필지,2025-02-06
(주)뉴엠,강성민,033-250-4051,,2,인형 및 장난감 제조업,인체모형 교보재,"강원특별자치도 춘천시 강원대학길 1, 보듬관 1001호(효자동, 강원대학교)",강원특별자치도 춘천시 효자동 192-1 강원대학교 보듬관 1001호,2025-02-06
(주)늘봄식품,장성훈,033-250-4051,033-263-8484,4,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,"포장육, 양념육",강원특별자치도 춘천시 공단로 49(후평동),강원특별자치도 춘천시 후평동 244-2,2025-02-06
(주)닥터엠,전정민,033-250-4051,0504-051-0190,6,기타 비알코올 음료 제조업,기타 비알콜음료,강원특별자치도 춘천시 동면 가락재로 173-11,강원특별자치도 춘천시 동면 감정리 286,2025-02-06
(주)단천옥,심경미,033-250-4051,033-253-9696,6,화장품 제조업 외 1 종,"한방 화장품,건강보조식품",강원특별자치도 춘천시 동면 춘천순환로 865,강원특별자치도 춘천시 동면 장학리 477번지,2025-02-06
