순번,회사명,대표자명,전화번호,팩스번호,생산품,공장대표주소
1,(주)S. M. T,김승호,033-435-7131,033-435-3735,의료용침대,강원특별자치도 홍천군 홍천읍 농공단지길 24-14
2,(주)국일건설엔지니어링,장흥균,033-434-8171,033-434-8172,건설재료용 폴리머,강원특별자치도 홍천군 북방면 중화계리 175번지
3,(주)국제스틸,노정협,033-435-3429,033-435-3462,"육각/사각 개비온, 돌망태,용접철망, 잠제",강원특별자치도 홍천군 북방면 송학정로 36-29 외 1
4,(주)금강산식물연구원,한동규,033-432-2665,033-432-2664,"식물사리,칼슘비료,목초액,뿌리나라",강원특별자치도 홍천군 화촌면 백이동길 118
5,(주)나비시스템 ,장혁수,031-704-0977,031-704-0988,"금속 창호, 플라스틱 창호 완제품",강원특별자치도 홍천군 북방면 송학정로 31
6,(주)나인앤나인,김승현,033-436-1111,033-436-2600," 플라스틱수납장, 수납상자",강원특별자치도 홍천군 남면 흥성길 119
7,(주)대동창호,장은주,033-435-6290,033-435-6290,"플라스틱 창호, 유리",강원특별자치도 홍천군 홍천읍 영서로 2121
8,(주)디아이 홍천지점,이정완,033-434-8985,033-434-8986,"빵류, 과자류, 조미김류",강원특별자치도 홍천군 북방면 중화계로 86
9,(주)모닝캄솔트,이광경,010-6354-****,070-8282-7645,탈취제,강원특별자치도 홍천군 홍천읍 농공단지길 17
10,(주)목우지주목,이정선,033-434-0088,033-434-0096,지주목,강원특별자치도 홍천군 두촌면 자은로 215
11,(주)미림테크,정원직,033-435-4255,033-435-7580,"철근콘크리트용 배수로관, 가동보 수문제작, 수문밸브",강원특별자치도 홍천군 남면 며느리고개길 1-53 외 2필지
12,(주)비피도,신용철,033-435-4962,033-435-4963,"발효유, 유산균원말, 인삼",강원특별자치도 홍천군 홍천읍 농공단지길 23-16
13,(주)산돌식품,이호성,033-435-1010,033-435-1459,"생면, 냉면, 떡류",강원특별자치도 홍천군 홍천읍 설악로 1009-9
14,(주)삼광레미콘,최홍석,033-436-1301,033-436-1305,레미콘,강원특별자치도 홍천군 서석면 구룡령로 3326 외 2필지
15,(주)삼양패키징,김재홍,033-434-9422,,플라스틱 병,강원특별자치도 홍천군 북방면 도둔길 49 (하이트맥주)
16,(주)삼진지엔에프(삼진GNF),김창욱,033-434-1460,033-434-1490,"인삼,홍삼제품",강원특별자치도 홍천군 홍천읍 와동로 290
17,(주)생그린식품 홍천지점,성백원,010-4267-****,033-432-8851,맥주,강원특별자치도 홍천군 남면 난터길 44-17
18,(주)세준에프앤비,박승용,033-432-9246,033-436-9247,"누룽지, 떡류, 면류 등",강원특별자치도 홍천군 남면 흥성길 53 외 1
19,(주)씨티씨바이오,"이민구, 조창선",070-4033-0245,02-449-6966,"동물용 주사제, 발효제, 소독제, 액상보조사료,산업용탈취제, 은행 추출 식품",강원특별자치도 홍천군 홍천읍 생명과학관길 94
20,(주)아이노스,김영실,033-436-9005,,"화장품, 살균티슈",강원특별자치도 홍천군 북방면 송학정로 23-36
21,(주)에스엔텍솔루숀,표기섭,02-511-2709,02-854-0795,"탈취기, 자동제어반, 계장제어장치, 프로세스제어반",강원특별자치도 홍천군 홍천읍 농공단지길 23-26
22,(주)용성바이오,신재봉,033-435-3727,033-433-6677,동물 사료,강원특별자치도 홍천군 홍천읍 영서로 1927
23,(주)우영채널,김대혁,033-435-4366,033-435-4367,김치,강원특별자치도 홍천군 홍천읍 농공단지길 23-6
24,(주)우일산업,송형석,010-7680-****,033-434-7678,고체연료(성형탄),강원특별자치도 홍천군 북방면 송학정로 23-38 외 1필지
25,(주)유시티,김남갑,033-436-0277,033-436-0278,"미끄럼방지포장재, 도장형바닥재",강원특별자치도 홍천군 남면 흥성길 219
26,(주)이화정공,"정소자,윤종엽",033-435-0068,033-435-0069,"차선도색용 도료, 고휘도 우천형 융착식 도료, 미끄럼방지 포장재",강원특별자치도 홍천군 남면 흥성길 133
27,(주)정명,조창균,033-343-7500,033-343-0038,약품자동투입장치,강원특별자치도 홍천군 남면 흥성길 167
28,(주)제이에이치,박정환,033-432-2910,033-257-3727,콘크리트 제품,강원특별자치도 홍천군 홍천읍 큰골길 79
29,(주)지엠아이,김건보,070-8275-3546,033-436-9797,실리콘 수지(1차가공제품) 성형제품,강원특별자치도 홍천군 홍천읍 옥류동길 137-21 (총 4 필지)
30,(주)지오그리드,"김기현, 최성훈",031-699-3404,031-699-3414,원격검침 및 감시기능을 지닌 옥외집합계량기(함),강원특별자치도 홍천군 남면 흥성길 209
31,(주)태백산수음료,박기환,033-435-6536,033-435-3902,약산게르마늄샘물,강원특별자치도 홍천군 화촌면 굴운로 471
32,(주)태성스페이스,심현성,033-433-7275,033-433-7276,"교량난간, 금속제울타리, 금속구조물 외, 하이브리드 가로등",강원특별자치도 홍천군 홍천읍 상오안리 687-11
33,(주)팜스토리,이종재,033-258-6633,033-238-6634,미생물 배양배지,강원특별자치도 홍천군 홍천읍 농공단지길 23-19
34,(주)하티,서성각,033-435-2586,033-433-2586,인삼식품,강원특별자치도 홍천군 홍천읍 생명과학관길 84
35,(주)한국콘젝트시스템,유준식,02-892-5451,,합성수지 및 기타플라스틱 ,강원특별자치도 홍천군 남면 흥성길 223
36,(주)한빛광고건설,전명복,033-434-8472,033-434-8476,"광고판, 현수막",강원특별자치도 홍천군 홍천읍 무궁화로 17
37,(주)홍천사료,구자두,033-262-3388,033-262-9008,동물용 사료,강원특별자치도 홍천군 북방면 팔봉산로 2154-18 외 1필지
38,(주)홍천중공업,차은희,033-434-7701,033-435-7701,건설기계정비,강원특별자치도 홍천군 북방면 송학정로 36-30
39,(주)화진바이오코스메틱,강정희,033-902-8910,033-902-8933,"화장품, 건강기능식품, 피부마사지기",강원특별자치도 홍천군 홍천읍 생명과학관길 36-16 외 1필지
40,(합)광진전력,최성규,033-432-7474,033-432-7476,기상용 기구,강원특별자치도 홍천군 홍천읍 남산강변로3길 14
