회사명,전화번호,업종명,생산품,대표자명,출처파일,공장대표주소(지번),공장대표주소(도로명)
고성1급한일공업사,033-682-7777,기타 가공 공작기계 제조업,건설기계수리,고준호,강원도 고성군_공장등록현황_20200930.csv,,
(주)킴블레이드,,자동차용 신품 전기장치 제조업,"차량용 화이퍼블레이드, 기타 차량용품",,강원도 태백시_관내 제조업 등록 공장 현황_20240814.csv,강원특별자치도 태백시 철암동 464-5,
(주)한일엔지니어링,,구조용 금속 판제품 및 공작물 제조업,자동차 운반설비,,강원도 태백시_관내 제조업 등록 공장 현황_20240814.csv,강원특별자치도 태백시 장성동 278-3번지,
주식회사 엔에스테크닉스,,전기용 탄소제품 및 절연제품 제조업,반도체 공정용 탄소부품,,강원도 태백시_관내 제조업 등록 공장 현황_20240814.csv,강원특별자치도 태백시 동점동 531 외 1필지,
고양건설기계공업사,____________,,건설기계부품,이영주,강원도 홍천군_제조업 공장 현황_20201102.csv,,
주식회사 가나,_033_4359441,,"알루미늄난간,차량방호책,우디데크,우디블럭 외",남상규,강원도 홍천군_제조업 공장 현황_20201102.csv,,
태양3C(주) 본점,_033_4354011,,전자부품,황창순,강원도 홍천군_제조업 공장 현황_20201102.csv,,
한국플라스틱,_031_9570109,,"의료기기 사출부품, 합성수지 제품",최진호,강원도 홍천군_제조업 공장 현황_20201102.csv,,
(주)아이오테드,,그 외 기타 전자부품 제조업 외 1 종,"교육용 인공지능 스피커, 로봇(교구)",김성섭,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 효자동 287-5 3층,"강원특별자치도 춘천시 공지로 240, 3층(효자동)"
(주)제이에너지,,그 외 기타 전기장비 제조업,발전설비 부품,김재운,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 효자동 192-1번지 강원대학교 아산관 408-2,"강원특별자치도 춘천시 강원대학길 1, 아산관 408-2 (효자동)"
(주)휴안,,자전거 및 환자용 차량 제조업,자전거 안장,김용주,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 동내면 거두리 497-14번지,강원특별자치도 춘천시 동내면 순환대로 878-3
그린파워,,기타 전기 변환장치 제조업 외 4 종,"누전/배선차단기,의료기기 부품",박승광,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 동면 만천리 413-4번지,강원특별자치도 춘천시 동면 도토골길 19
양춘기업,,건설 및 채광용 기계장비 제조업,건설기계부품,안영자,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 동내면 신촌리 346-10번지,강원특별자치도 춘천시 동내면 향군길 58
전국상사,,건설 및 채광용 기계장비 제조업,건설기계부품,박명남,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 신동면 팔미리 861-27번지,강원특별자치도 춘천시 신동면 한치로 958-14
좋은친구,,그 외 기타 전자부품 제조업 외 1 종,하네스조립,박건호,강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 후평동 244-42,강원특별자치도 춘천시 공단로 49 (후평동)
춘천 종합 건설기계,,건설 및 채광용 기계장비 제조업,"적재함, 버켓등 건설기계부품, 건설중장비, 자동덮게","전병호,이일남",강원특별자치도 춘천시_제조업공장현황_20250206.csv,강원특별자치도 춘천시 동면 만천리 243번지,강원특별자치도 춘천시 동면 금촌로 300
고양건설기계공업사,010-6350-****,,건설기계부품,이지훈,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,,
주식회사 가나,033-435-9441,,"알루미늄난간,차량방호책,우디데크,우디블럭 외",송완식,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,,
주식회사 미래정보기술,033-433-6200,,"보안용카메라, 영상감시장치, 차량판독기, 배전반, 계장제어장치",신동운,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,,
주식회사 미래정보기술,033-433-6200,,"보안용카메라, 영상감시장치, 차량판독기, 배전반, 계장제어장치, 옥외조명설비",신동운,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,,
태양3C(주) 본점,033-435-4011,,전자부품,황창순,강원특별자치도 홍천군_제조업 공장 등록 현황_20240923.csv,,
