순번,회사명,주소,전화번호,업종명,생산품
16, 주식회사 에스엠케이 ," 경기도 과천시 과천대로7길 33(갈현동, 디테크타워) A동 9층 06호 외 1필지 ", 031-450-3871 , 축전지 제조업 ," 배터리팩, BSS "
3,애데스(주),"경기도 과천시 죽바위로 10,  주암빌딩지하1층 (주암동)",,간판 및 광고물 제조업,광고물제조
2,우리기획,"경기도 과천시 별양로 64, 1호 (별양동)",02-503-3246,경 인쇄업 외 1 종,인쇄업
4,서일미디어,경기도 과천시 찬우물로 14 (갈현동),02-503-4800,경 인쇄업 외 1 종,책자
1,일지사,"경기도 과천시 새술막길 10-19 (중앙동, 대영빌딩)",02-503-6971,경 인쇄업 외 2 종,인쇄물(책자 등)
8,인퓨즈(주),"경기도 과천시 과천대로7길 33, A동 9층 903호(갈현동, 디테크타워)",02-2685-1588,그 외 기타 전자부품 제조업,임베디드 마이크로콘트롤러 모듈
7,세기산전(주),"경기도 과천시 과천대로7길 33, B동 1404호(갈현동, 디테크타워)",02-6390-6055,기기용 자동측정 및 제어장치 제조업 외 2 종,산업용 자동제어 시스템
31,엑스큐어 주식회사,"경기도 과천시 과천대로12길 117, D동 601호(갈현동, 과천 펜타원)",070-4601-9942,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,심장제세동기 외부 보관함
15,(주)셀콤,"경기도 과천시 과천대로7길 65, B동 8층 802호(갈현동, 과천상상자이타워)",,기타 무선 통신장비 제조업,"유선통신기기부품, 기타"
26,RFHIC㈜,"경기도 과천시 과천대로12길 110(갈현동, RFHIC(주)과천사옥)",031-8069-3045,기타 무선 통신장비 제조업,"전력증폭기 및 RF부품 외(GaAs MMIC, Gan Amp, LNA)"
33,주식회사 에스티엔인포텍,"경기도 과천시 과천대로7나길 60, A동 305호(갈현동, 과천어반허브)",02-507-8088,기타 무선 통신장비 제조업,"광 전송장비 , 네트워크 보안장비 등"
35,코모로,"경기도 과천시 과천대로7길 65(갈현동, 과천상상자이타워) B동 8층 805호",031-343-6737,기타 무선 통신장비 제조업,"이동통신 중계기, 국가 재난망 시스템, 소방 중계기, 스마트팜 제어장치"
18,에스엔,"경기도 과천시 과천대로7길 65(갈현동, 과천상상자이타워) B동 12층 19호",02-503-2798,기타 무선 통신장비 제조업 외 3 종,"조명 제어 용 무선 제어 장치, 고출력 투광등 조명 제작, 경관 조명 제어 용 무선 제어 장치, 조명용 제어 장치"
28,㈜스파이어테크놀로지,"경기도 과천시 과천대로7길 33(갈현동, 디테크타워) B동 2층 203-205호",02-622-3528,기타 무선 통신장비 제조업 외 4 종,"미세먼지 측정기, 수도원격검침단말기, 대기환경 측정기"
12,주식회사아이랜스테크놀러지,"경기도 과천시 과천대로7길 33(갈현동, 디테크타워) a동 8층 803호",02-598-6008,기타 무선 통신장비 제조업 외 9 종,"무선통신장비, 송신기기, 영상감시기기, 조명기기"
17,주식회사 에임드,"경기도 과천시 과천대로7길 65(갈현동, 과천상상자이타워) B동 7층 18호",02-507-8873,기타 음향기기 제조업,스피커
13,주식회사 아큐리스,"경기도 과천시 과천대로7길 33(갈현동, 디테크타워) A동 13층 12호",031-450-3570,기타 음향기기 제조업 외 2 종,사운드 마스킹 시스템
23,(주)에피테크,"경기도 과천시 용마로 30-5, 1~3층 전체 (과천동)",02-502-6350,기타 음향기기 제조업 외 5 종,"EPI-VS201, EPI-VS301, EPI-VS302, EPI-VS303, EPI-AI201, EPI-AI302, NVR, 출입통제시스템, AV시스템"
19,(주)미래상상,"경기도 과천시 과천대로7길 33(갈현동, 디테크타워) A동 13층 4호",02-6390-6033,기타 주변기기 제조업,"멀티미디어 학습장치, 멀티미디어 학습장치"
32,주식회사 네오펜스,"경기도 과천시 과천대로7길 65, (갈현동, 과천상상자이타워) B동 7층 710호",02-6316-0033,기타 주변기기 제조업,디지털 LOTO 시스템
5,(주)에스피테크,"경기도 과천시 은행나무길 18, 에스피빌딩 (주암동)",02-3679-1114,"물질 검사, 측정 및 분석기구 제조업 외 1 종","계측기, 제어장비"
22,미래정보기술 주식회사,"경기도 과천시 과천대로7나길 60, B1-012호(갈현동, 과천어반허브)",031-742-0191,방송장비 제조업,네트워크스위치
29,디앤비솔루션코리아㈜,"경기도 과천시 과천대로7길 65(갈현동, 과천상상자이타워) 제지4층 제비에스-0401호",02-3434-3190,방송장비 제조업 외 1 종,"스피커, 안내전광판"
24,주식회사 아라드네트웍스,"경기도 과천시 죽바위로 37-23, 1층 (주암동)",02-571-1883,방송장비 제조업 외 2 종,"L2/L3 switch, VPN Gateway 장비"
21,(주)시큐인포,"경기도 과천시 과천대로7나길 60, C동 305호(갈현동, 과천어반허브)",031-778-7874,방송장비 제조업 외 5 종,Network Video Recorder
37,㈜디지털 홍일,"경기도 과천시 과천대로7길 65, (갈현동, 과천상상자이타워) B동 9층 905호",02-6393-5381,비디오 및 기타 영상기기 제조업 외 1 종,"영상기록및 재생 겸용 기기, 무대 조명"
30,라온피플㈜,"경기도 과천시 과천대로7나길 60, 606호(갈현동)",02-504-9650,비디오 및 기타 영상기기 제조업 외 2 종,"카메라모듈검사기, 카메라모듈검사기, 카메라모듈검사기"
9,(주)아로씽킹,"경기도 과천시 과천대로7길 33, A동 9층 902호(갈현동, 디 테크 타워 과천)",02-6447-3763,비디오 및 기타 영상기기 제조업 외 3 종,"씽킹플레이 큐브, 씽킹플레이 싱글 , 아로봇, AI 씽킹메이커, 씽킹플레이 앱"
25,주식회사 한국로보틱스,경기도 과천시 은행나무1길 27 (주암동),02-6299-7987,산업용 로봇 제조업,대량조리 로봇 시스템 
27,주식회사 엑스게이트,"경기도 과천시 과천대로7나길 34, 3층(갈현동, 가비아컨소시엄 사옥)",02-4034-6410,유선 통신장비 제조업 외 1 종,"통신장비, 기타 주변기기"
20,(주)에스아이티테크놀로지,"경기도 과천시 과천대로12길 117, G동1501호(갈현동, 과천 펜타원)",02-6677-2730,일반용 전기 조명장치 제조업 외 1 종,"스마트가로등 제어기, 스마트가로등 게이트웨이"
10,(주)오리온기전,"경기도 과천시 과천대로7길 33(갈현동, 디테크타워) A동 5층 503호",02-6218-1402,절연 코드세트 및 기타 도체 제조업 외 1 종,프로그램 개발 및 설치
6,(주)비맥스테크놀로지,경기도 과천시 양지마을3로 33(과천동),02-504-0538,컴퓨터 제조업,"산업용 컴퓨터, 터치모니터, 키오스크, OEM"
