연번,회사명,공장대표주소,전화번호,생산품,데이터기준일자
1,(주)선우가설산업,경기도 광주시 곤지암읍 새재길 256-20,031-797-7000,파이프써포트,2026-01-30
2,(사)경기도장애인복지회드림장애인작업장,"경기도 광주시 도척면 방도길 43, 4동",031-765-2285,비닐봉투,2026-01-30
3,(사)대한민국공무원 공상유공자회 상훈사업부,"경기도 광주시 초월읍 장담길 100, 1동",031-899-3553,명찰+부대마크+계급장 등,2026-01-30
4,(사)베트남참전유공회복지재단건제사업단,경기도 광주시 곤지암읍 백고개길 189-8,031-761-1337,목재가구,2026-01-30
5,(사)한국장애인기업협회 산전사업단,경기도 광주시 도척면 다람로40번길 30,031-761-2383,배전반+분전반,2026-01-30
6,(사)한국장애인단체총연맹 광주지점,경기도 광주시 곤지암읍 가마을길 99 (총 3 필지) 외 2필지,031-764-3138,배전반등,2026-01-30
7,(사)한국장애인정보격차해소지원협회-피아스톤사업부,경기도 광주시 도척면 방도길 49-37 (총 2 필지) 외 1필지,031-763-3401,콘크리트블럭+빗물저류조,2026-01-30
8,(유)골든게이트,경기도 광주시 도척면 국사봉로 13-77,031-767-7467,점검구+철재함등,2026-01-30
9,(유)정원포장,경기도 광주시 곤지암읍 신만로409번길 61-8,031-768-8721,비닐포장재+비닐봉투,2026-01-30
10,(유)푸드하임,경기도 광주시 곤지암읍 만삼로244번길 59 나동,031-761-7171,단미사료(애견간식),2026-01-30
11,(재)경기도경제과학진흥원,경기도 광주시 초월읍 숯골길 56,031-850-7122,목재+철제가구,2026-01-30
12,(주)GH자연건강,경기도 광주시 도척면 저수지길 30-102,031-769-9501,온열매트+지압용침대+뇌파유발자극장치,2026-01-30
13,(주)가가기전,경기도 광주시 초월읍 용수길 110,031-766-2388,수배전반+MCC+분전반,2026-01-30
14,(주)가나엔지니어링,경기도 광주시 목동길36번길 29-29 (목동),031-701-6571,여과기,2026-01-30
15,(주)가람산전,경기도 광주시 도척면 다람로36번길 31-17 외 1필지,02-499-3585,카본브러쉬,2026-01-30
16,(주)가비온,경기도 광주시 도척면 방도길 84,031-8027-3990,주방용품,2026-01-30
17,(주)가성,경기도 광주시 초월읍 용수길 175-16 (총 2 필지) 외 1필지,031-322-4570,식품포장지,2026-01-30
18,(주)가성팩,경기도 광주시 초월읍 동막골길 70-26 외 1필지,031-769-5445,진공가스치환포장기,2026-01-30
19,(주)가온아트,경기도 광주시 고불로 248 (태전동),031-767-8960,옥외광고물+현수막,2026-01-30
20,(주)가온웍스,경기도 광주시 도척면 도척로256번길 112,031-768-3366,이동식화장실+초소(흡연부스),2026-01-30
21,(주)가온피앤에스,경기도 광주시 초월읍 신월길 36-11 (총 3 필지) 외 2필지,031-764-1764,가방원단,2026-01-30
22,(주)가온피앤에이치,경기도 광주시 도척면 도척로256번길 79-1,031-797-4121,비닐봉지+필름+폴리팩,2026-01-30
23,(주)가원모닝필,경기도 광주시 곤지암읍 광여로 117 외 1필지,031-797-2220,쓰레받기+휴지통+빗자루+봉걸레,2026-01-30
24,(주)가인이앤씨,경기도 광주시 문형산길 224-6,02-2115-0900,냉+난방패널,2026-01-30
25,(주)감라시스템,경기도 광주시 초월읍 경수길 66,031-769-2371,수배전반,2026-01-30
26,(주)강동자바라,경기도 광주시 곤지암읍 구수동길 1-26,,샷시+자바라,2026-01-30
27,(주)강우건설,"경기도 광주시 문현로 75, 1동(문형동)",041-545-7683,mma(미끄럼방지포장재),2026-01-30
