È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
(momo)±âÈ¹,°³ÀÎ,°£ÆÇ ¹× ±¤°í¹° Á¦Á¶¾÷ ¿Ü 3 Á¾,"°£ÆÇ¹× ±¤°í¹°, ±Ý¼ÓÇ¥ÁöÆÇ",031-429-6654,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 365 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 29, 2Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ) ±×¸°ÀÏ·ºÄÞ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,Àü¿ø°ø±ÞÀåÄ¡,031-455-1763,031-455-1765,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö ±ºÆ÷SKº¥Æ¼¿ò 104µ¿ 11Ãþ 1107È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 11Ãþ 1107È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
(ÁÖ) ³ª·¡¹ÙÀÌ¿ÀÅ×Å©,¹ýÀÎ,±× ¿Ü ±âÅ¸ ºÐ·ù ¾ÈµÈ È­ÇÐÁ¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,¹Ì»ý¹°°ËÃâ Å°Æ®,031-451-7793,031-451-1096,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 980-1¹øÁö À¯¿µºôµù 401È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î151¹ø±æ 17, 401È£ (´çÁ¤µ¿, À¯¿µºôµù)",2025-09-15
(ÁÖ) ¼­µµ±Ý¼Ó,¹ýÀÎ,±Ý¼Ó¼± °¡°øÁ¦Ç° Á¦Á¶¾÷,"W/ROPE, Ã¼ÀÎ°¡°ø, °ü·ÃºÎ¼ÓÇ°",031-456-4985,031-477-5512,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-41¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î76¹ø±æ 17 (´çÁ¤µ¿),2025-09-15
(ÁÖ) ½ã³ªÀÎ ÄÚ¸®¾Æ,¹ýÀÎ,ºñµð¿À ¹× ±âÅ¸ ¿µ»ó±â±â Á¦Á¶¾÷,¿µ»ó°¨½ÃÀåÄ¡,,031-427-9806,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 9Ãþ B-901È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 9Ãþ B-901È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ) ¿¡ÀÌ¿¥ÇÇÅ×Å©³î·ÎÁö,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,À©µµ¿ì±âÆÇ,031-454-6135,031-455-4741,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 500-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 67 (´çÁ¤µ¿),2025-09-15
(ÁÖ) ¿ÍÀÌ¿¡½ºÇÇ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,³ëÆ®ºÏ ¹èÅÍ¸® ¶óº§·ù,031-477-5900,070-4156-5794,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö ÇÑ¸²ÈÞ¸ÕÅ¸¿ö 5Ãþ 11,12","°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 5Ãþ 11,12 (±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
(ÁÖ) À§¿À,¹ýÀÎ,±× ¿Ü ÀÚµ¿Â÷¿ë ½ÅÇ° ºÎÇ° Á¦Á¶¾÷ ¿Ü 6 Á¾,"Áö´ÉÇüÂ÷·®¿ë Ä«¸Þ¶ó ºÎÇ°, CGV, Áö´ÉÇü·Îº¿ºÎÇ°, È¨³×Æ®¿öÅ©ºÎÇ°",031-427-5771,031-427-5774,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-30¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø±æ 16 (´çÁ¤µ¿),2025-09-15
(ÁÖ) Áö¿¤,¹ýÀÎ,ÀÌµ¿ÀüÈ­±â Á¦Á¶¾÷,ÀüÀÚºÎÇ°(ÇÚµåÆùºÎÀÚÀç),031-458-5064,031-454-1310,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î91¹ø±æ 93 (±ÝÁ¤µ¿),2025-09-15
(ÁÖ) ÁøÇÑ,¹ýÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷ ¿Ü 1 Á¾,"È­ÀåÇ°¿ë±â¿Ü ÇÃ¶ó½ºÆ½Á¦Ç°, ±ÝÇü",02-808-6161,02-808-6166,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-50¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 55 (´çÁ¤µ¿) ¿Ü 1ÇÊÁö,2025-09-15
