순번,회사명,공장대표주소(도로명),업종명,전화번호,팩스번호,생산품
1,(사)열린정보장애인협회,경기도 부천시 오정구 석천로 397+ 301동 10층 02 (삼정동+ 부천테크노파크쌍용3차),일반용 전기 조명장치 제조업,02-2677-1004,02-898-7365,LED조명
2,(사)한국장애인단체총연맹 부천지점,경기도 부천시 오정구 산업로 48+ 201호 (오정동),일반용 전기 조명장치 제조업 외 2 종,032-672-9067,032-672-9068,LED조명기구+ 공기순환기
3,(주) 네오안전플러스,경기도 부천시 오정구 옥산로 265 (내동) 2층,교통 신호장치 제조업,02-2069-1574,,교통안전 표지판
4,(주) 신우식품,경기도 부천시 오정구 석천로 397+ 101동1312호(삼정동+ 부천테크노파크쌍용3차),육류 포장육 및 냉동육 가공업 (가금류 제외),032-624-2345,032-624-2346,직화무뼈닭발
5,(주) 아머드 프레시,경기도 부천시 오정구 부천로439번길 67+ 1+2+3층 (내동),빵류 제조업 외 1 종,02-523-5780,02-523-5781,식품+ 식품
6,(주)M.I.T,경기도 부천시 원미구부천로 348 (도당동),무기 및 총포탄 제조업,032-676-5555,032-676-9621,무기및총포탄
7,(주)SECO,경기도 부천시 오정구 신흥로469번길 26 (내동),가정용 전기 난방기기 제조업,032-681-8586,,전기매트 및 온수매트
8,(주)TCP로보틱스,경기도 부천시 원미구평천로862번길 29 (도당동),구름베어링 제조업 외 1 종,032-684-1888,032-684-1880,직선운동시스템
9,(주)가나에너지,경기도 부천시 원미구 평천로812번길 33 (도당동),가정용 전기 난방기기 제조업,032-675-3968,032-675-3969,전열히터
10,(주)가스디엔에이(지점),경기도 부천시 소사구 경인로 84 (송내동) 4층,전기경보 및 신호장치 제조업,032-584-7420,032-584-7424,가스경보기+ 적외선온도계
11,(주)가온비젼텍,경기도 부천시 원미구 부천로 301 (도당동) 동양빌딩 가동 B102호,기타 절연선 및 케이블 제조업,032-674-7236,032-675-7236,케이블
12,(주)가온엘이디,경기도 부천시 오정구 산업로 21+ 2층+ 3층(오정동+ 삼형공업사),주형 및 금형 제조업 외 1 종,032-679-2500,032-679-2501,조명금형+ 조명기구+ 고정형 등기구
13,(주)가온지앤에프,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1512 일부호,천연 및 혼합조제 조미료 제조업,032-1588-9052,032-325-2962,식품소스(떡볶이 소스)
14,(주)가이던스,경기도 부천시 원미구 송내대로 388+ 201동 705호(약대동+ 부천테크노파크) 외 1필지,기체 여과기 제조업,051-501-1100,051-864-2565,공기정화기+ 공기살균청정기
15,(주)강성산업,경기도 부천시 오정구 신흥로390번길 42 (내동),도장 및 기타 피막처리업,032-672-7075,032-672-7072,자동차부품
16,(주)강원농산,경기도 부천시 원미구 부천로298번길 31(도당동),떡류 제조업 외 1 종,032-673-6999,032-672-5999,떡+ 냉면
17,(주)개성,경기도 부천시 원미구 부천로246번길 33 (도당동),주형 및 금형 제조업 외 2 종,032-676-8601,032-676-8600,금형+프라스틱사출성형
18,(주)거명이엔지,경기도 부천시 오정구 옥산로290번길 29+ 거명이엔지(내동+ 거명정공),금속 단조제품 제조업,032-671-2817,032-671-2819,유니버셜조인트+ 감압밸브
19,(주)거성정밀,경기도 부천시 원미구 수도로140번길 29 (도당동),운송장비 조립용 플라스틱제품 제조업 외 2 종,032-672-7044,032-672-7041,핸드폰금형및사출
20,(주)건우이앤씨,경기도 부천시 오정구 오정로 40-2+ 2층 (삼정동),일반용 전기 조명장치 제조업,02-809-2345,02-802-4005,조명기구
21,(주)건화건설,경기도 부천시 원미구  부천로198번길 36 (춘의동+ 춘의테크노파크) 101동 11층 05호,그 외 기타 플라스틱 제품 제조업,032-668-3370,032-668-5570,도로표지병
22,(주)경문엔터테인먼트,경기도 부천시 오정구 삼작로164번길 38+ 2층  (내동),기타 주변기기 제조업,070-7012-3701,0505-115-3701,컨트롤러
23,(주)경성기공,경기도 부천시 오정구 오정로39번길 66-21 (삼정동),기어 및 동력전달장치 제조업,032-677-1997,032-677-1965,유니버셜조인트+ 기어커플링
24,(주)경성조명산업,경기도 부천시 오정구 석천로 453+ 3층 01호 (삼정동),일반용 전기 조명장치 제조업 외 5 종,032-671-7782,032-676-7757,조명기기
25,(주)경신정밀,경기도 부천시 오정구 부천로431번길 36 (내동),전동기 및 발전기 제조업,032-683-0678,032-683-0679,진동모타
26,(주)경원실업,경기도 부천시 원미구 조마루로397번길 17-1 (원미동),그 외 기타 종이 및 판지 제품 제조업 외 3 종,032-656-9911,032-656-9913,밧데리스폰지절연판 스피커 휠타
27,(주)경원테크윈,경기도 부천시 오정구 부천로425번길 47 (내동),플라스틱 접착처리 제품 제조업 외 1 종,032-612-2995,032-652-2995,플라스틱 인쇄+ 음료수 뚜껑 및 화장품용기+ 부분도장 및 인쇄
28,(주)경인씨엔에스,경기도 부천시 소사구 경인로 13+ 2층 (송내동),방송장비 제조업 외 10 종,032-652-7991,032-652-7992,영상감시장치 컨트롤러+ 스위치허브+ 전원공급장치+ 함체제어기+ 스마트젝터+ 보행신호음성안내보조장치+ 원격제어기
29,(주)경인씨엔에스,경기도 부천시 소사구 경인로 13 (송내동),방송장비 제조업 외 8 종,032-652-7991,032-652-7992,감시카메라
30,(주)경인텔레콤,경기도 부천시 오정구 석천로 345 (삼정동) 부천테크노파크 304동 1001호,유선 통신장비 제조업 외 6 종,032-324-9886,032-324-9994,HD ENCODER MODULATOR
31,(주)경희,경기도 부천시 원미구 옥산로252번길 38 (도당동),운송장비 조립용 플라스틱제품 제조업 외 2 종,032-675-5007,032-675-9004,에어포트쌘들+신발류
32,(주)고기농가,경기도 부천시 원미구 조마루로427번길 58 (원미동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,032-612-1902,032-612-1904,돈육 항정살
33,(주)고려기연,경기도 부천시 원미구 조마루로385번길 123 (춘의동),기타 측정+ 시험+ 항해+ 제어 및 정밀기기 제조업 외 1 종,032-724-2500,032-724-2501,글로브박스 및 주변기기
34,(주)고려기연이엔지,경기도 부천시 원미구 평천로832번길 25+ 1층 (도당동),그 외 기타 특수목적용 기계 제조업 외 1 종,032-677-8436,032-681-6274,연구시험장비
35,(주)고려에레베이터,경기도 부천시 오정구 부천로409번길 56 (내동),기타 물품 취급장비 제조업 외 1 종,032-684-3755,032-682-3755,물품취급장비제조업
36,(주)고려유리,경기도 부천시 원미구조마루로427번길 67 (원미동),판유리 제조업,032-665-0620,032-665-0626,유리가공
37,(주)고려인,경기도 부천시 오정구 석천로 345+ 304동 6층 7 (삼정동+ 부천테크노파크),전기회로 개폐+ 보호장치 제조업 외 1 종,032-621-3004,032-621-3005,배선장비
38,(주)골드라인,경기도 부천시 오정구 성지로 57+ 3층 (원종동),가죽의복 제조업 외 13 종,032-671-8153,032-676-8153,의류
39,(주)공감디자인,경기도 부천시 원미구 부천로198번길 36+ 101동 7층 707호일부 (춘의동+ 춘의테크노파크),전시용 모형 제조업 외 2 종,032-328-5581,032-328-5518,전시용모형
40,(주)광명폴리머,경기도 부천시 원미구 도약로 290+ 1층(도당동),그 외 기타 플라스틱 제품 제조업,032-675-9454,032-681-1387,아크릴+ PVC+ PC 박스+ 케이스 가공품
41,(주)광성몰드,경기도 부천시 오정구 수도로117번길 33 (내동),주형 및 금형 제조업,032-675-4782,032-0675-4260,금형
42,(주)광성몰드,경기도 부천시 오정구 수도로117번길 29 (내동),주형 및 금형 제조업,032-675-4782,032-675-4260,금형 및 주형
43,(주)광우정밀,경기도 부천시 오정구 삼작로 22+ 101동 1층 04 (삼정동+ 부천테크노파크),주형 및 금형 제조업,032-325-8116,032-325-8186,초정밀 컨넥터 금형+ 자동차 금형 등
44,(주)구성이엔드씨,경기도 부천시 오정구 석천로 397+ 101동 8층 05 (삼정동+ 부천테크노파크쌍용3차),가정용 비전기식 조리 및 난방 기구 제조업,02-402-9550,02-402-9560,신급탕공급장치
45,(주)국민정밀,경기도 부천시 오정구 삼작로133번길 28 (내동),자동차용 금속 압형제품 제조업 외 2 종,032-676-4029,032-672-2687,키오스크+ATM기+ 통신기기+ 금속가공부품
46,(주)국일초음파,경기도 부천시 원미구 조마루로385번길 122+ 2층 207호+ 208호 (춘의동),그 외 자동차용 신품 부품 제조업,032-675-0876,032-675-0877,자동차부품+ 전자부품
47,(주)국제산업,경기도 부천시 원미구 상이로21번길 14+ 1층 (상동),교통 신호장치 제조업 외 9 종,032-323-5758,032-326-6005,경광등(안전 경고등)+ 특수목적용차량특장제조
48,(주)그레이트퍼즐,경기도 부천시 소사구 양지로 205+ 2동 622호 (주)그레이트퍼즐(옥길동+ 부천옥길 서영아너시티2),그 외 기타 일반목적용 기계 제조업,02-6091-3655,050-6091-3655,AI 재활용 폐기물 자동분리수거함+ 친환경 행동유도 분리수거함
49,(주)그리너스,경기도 부천시 원미구 조마루로385번길 122 (춘의동) 삼보테크노타워 17층 1712호,액체 여과기 제조업 외 1 종,032-212-3221,032-324-3224,초기 우수 배제 여과기+ 자동제어반
50,(주)그리에이트,경기도 부천시 원미구 옥산로 203 (도당동),기타 가정용 전기기기 제조업,032-678-0301,032-678-0302,전자이미용기구(헤어드라이어+고데기)
51,(주)그린센추리,경기도 부천시 오정구 석천로 397+ 102동 9층 12 (삼정동+ 부천테크노파크쌍용3차),산업용 오븐+ 노 및 노용 버너 제조업 외 1 종,032-667-0005,032-667-0005,히트펌프
52,(주)그린이엔테크,경기도 부천시 오정구 오정로 132 (삼정동),기체 여과기 제조업,032-822-7321,032-433-2614,탈취기계
53,(주)그린이펙트솔루션,경기도 부천시 원미구  부천로198번길 36 (춘의동+ 춘의테크노파크) 101동 13층 1309호,기타 주변기기 제조업 외 7 종,032-665-0140,032-665-0120,디지털 사서 시스템
54,(주)근아공업,경기도 부천시 원미구 조마루로411번길 11+ 1층 (원미동),반도체 제조용 기계 제조업,032-655-0389,032-612-0393,공기압부품+전자부품
55,(주)근화,경기도 부천시 오정구 수도로95번길 26 (내동) 근화빌딩,기타 기계.장비 조립용 플라스틱 제품 제조업,032-673-8239,032-683-8239,CCTV부품+의료기부품+유.무선모뎀
56,(주)글로넥스,경기도 부천시 원미구 도약로252번길 19-14+ 3층 (도당동),그 외 기타 전자부품 제조업 외 3 종,032-662-2660,032-662-2661,출입통제기기+ 유무선버튼
57,(주)글로벌엘이디,경기도 부천시 오정구 삼작로 22 (삼정동+ 부천테크노파크) 102동 3층 02호,일반용 전기 조명장치 제조업,070-4232-9582,0505-308-8585,LED조명
58,(주)글리터,경기도 부천시 원미구 조마루로427번길 110+ 3층(춘의동+ 상신공업),근무복+ 작업복 및 유사의복 제조업 외 12 종,032-655-2201,032-654-2201,근무복+ 작업복+ 학생복 외
59,(주)금강산업,경기도 부천시 오정구 삼작로 128 (내동) 1층,구조용 금속 판제품 및 공작물 제조업 외 3 종,032-683-9997,032-683-9991,전자제품 전시대+ 스틸그레이팅+ 기타 금속판가공품+ 수목보호판
60,(주)금광정밀,경기도 부천시 소사구 경인로 552 (괴안동),속도계 및 적산계기 제조업,032-343-6460,032-343-6838,화전속도계및유사계산장
61,(주)금산엔터프라이즈,경기도 부천시 원미구 송내대로 388+ 203동 4층 05 (약대동+ 부천테크노파크),일반용 전기 조명장치 제조업 외 1 종,032-326-9951,,형광등기구+ 가정용등기구+ LED조명기구+ LED경관조명+ LED가로등
62,(주)금성기계,경기도 부천시 원미구 평천로826번길 38+ 3층+ 6층(도당동+ (주)금성기계),금속 절삭기계 제조업,02-2671-3846,02-2636-3847,타이밍플리
63,(주)금성산업공사,경기도 부천시 원미구  부천로198번길 36+ (춘의동+ 춘의테크노파크) 102동 6층 07+08호,무기 및 총포탄 제조업,032-611-8611,032-611-8612,가스총
64,(주)금성산업사,경기도 부천시 오정구 부천로435번길 49 (내동),도금업,032-672-7356,032-676-1752,철재류
65,(주)금오전자,경기도 부천시 원미구 길주로444번길 35 (춘의동),전기경보 및 신호장치 제조업,032-662-2000,032-662-9312,Mobile Device Security System
