순번,회사명,전화번호,팩스번호,공장대표주소(도로명),업종번호,업종명,종업원수,데이터기준일자
683,(주)엔플랜츠,031-720-5545,031-720-5555,"경기도 성남시 중원구 사기막골로105번길 27, 10층 110 (상대원동, 중앙인더스피아3) 외 1필지",20321+20312+20322+20424+20495+20499+21301,화학 살균.살충제 및 농업용 약제 제조업 외 6 종,7,2026-03-09
276,(주)바이탈오투,02-402-9400,031-776-2265,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 비즈동 9층 912호",20321+10839+20322+20499+21301,화학 살균.살충제 및 농업용 약제 제조업 외 4 종,4,2026-03-09
1210,(주)한국감염관리본부,02-3679-9854,02-3678-9856,"경기도 성남시 중원구 사기막골로 99, 13층 A1301호(상대원동) 13층 A1301호 외 11필지",20321+20322+70111,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,20,2026-03-09
2582,(주)비티글로벌,070-8969-3001,070-8917-3001,"경기도 성남시 분당구 판교로 744, C동 7층 701-1 (야탑동, 분당테크노파크C동) C동 7층 701-1호",20321+20322+28909,화학 살균.살충제 및 농업용 약제 제조업 외 2 종,4,2026-03-09
1141,(주)퍼팩트아쿠아,031-744-6994,031-732-6995,"경기도 성남시 중원구 둔촌대로 540, 1층 (상대원동)",20321+20322,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,4,2026-03-09
1246,(주)헤스코,1661-5685,070-7500-3234,경기도 성남시 중원구 사기막골로 124 (상대원동) 비즈동 B1층 B116호,20321,화학 살균.살충제 및 농업용 약제 제조업,6,2026-03-09
1183,(주)피앤더블유인터네셔널,1599-9798,02-2179-9294,"경기도 성남시 중원구 갈마치로 302,(상대원동, 성남우림라이온스밸리5차) A동 3층 301호 외 5필지",20423+20424+20499+21301,화장품 제조업 외 3 종,13,2026-03-09
521,(주)아리바이오,031-2637-0009,02-2633-9911,"경기도 성남시 중원구 갈마치로 214-1, 5층(상대원동)",20423+21301+21309,화장품 제조업 외 2 종,16,2026-03-09
1885,앳네이처(주)제2공장,031-777-2342,031-620-5743,"경기도 성남시 중원구 사기막골로 99, 6층 B611호(상대원동) 6층 B611호 외 2필지",20423+20499+21301,화장품 제조업 외 2 종,6,2026-03-09
259,(주)미모,070-4633-4600,031-8039-6699,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 비즈동 3층 309호",20423+75994,화장품 제조업 외 1 종,9,2026-03-09
336,(주)비전케미칼,031-713-2930,031-713-2920,"경기도 성남시 중원구 갈마치로 208, 611호  (상대원동) 611호",20423+70111,화장품 제조업 외 1 종,4,2026-03-09
451,(주)시드앤솔코스메틱스,031-698-4167,031-629-6822,"경기도 성남시 중원구 둔촌대로 531, 3층 304호(상대원동, 쌍용IT트윈타워 B동) 3층 304호",20423+20422,화장품 제조업 외 1 종,1,2026-03-09
1525,라온하제,,,"경기도 성남시 중원구 둔촌대로 531, 2층 207호(상대원동, 쌍용IT트윈타워 B동) 2층 207호",20423+20422,화장품 제조업 외 1 종,1,2026-03-09
9,(유)베리카화장품,031-735-0026,031-748-0035,"경기도 성남시 중원구 둔촌대로 555, 7층 701호 (상대원동, 선일테크노피아) 7층 701호 외 3필지",20423,화장품 제조업,21,2026-03-09
11,(주)3일애,02-1577-1586,02-538-5880,"경기도 성남시 중원구 사기막골로45번길 14,(상대원동) A동 9층 909호 외 1필지",20423,화장품 제조업,7,2026-03-09
14,(주)가나코스메틱,070-4941-8267,031-748-0242,"경기도 성남시 중원구 둔촌대로 555 (상대원동, 선일테크노피아) 9층 902호 9층 902호 외 1필지",20423,화장품 제조업,4,2026-03-09
126,(주)더마젝,031-8069-8750,031-8069-8751,"경기도 성남시 중원구 갈마치로 208, 5층 510호  (상대원동) 5층 510호 외 5필지",20423,화장품 제조업,18,2026-03-09
171,(주)디케이,,,"경기도 성남시 중원구 둔촌대로 555, 10층 1008호(상대원동, 선일테크노피아) 10층 1008호 외 1필지",20423,화장품 제조업,5,2026-03-09
187,(주)레드바이오컴퍼니,02-6914-6680,,"경기도 성남시 중원구 둔촌대로457번길 27, 5층 514호 (상대원동, 성남우림라이온스밸리) 5층 514호",20423,화장품 제조업,2,2026-03-09
214,(주)마노파레,031-736-1417,031-736-1416,"경기도 성남시 중원구 사기막골로45번길 14, B동 17층 1702 (상대원동, 우림라이온스밸리2차) B동 17층 1702호 외 2필지",20423,화장품 제조업,2,2026-03-09
235,(주)메이크코스,031-1600-6012,0504-348-0748,"경기도 성남시 중원구 갈마치로 215, (상대원동, 금강펜테리움IT타워) A동 10층 1008호",20423,화장품 제조업,1,2026-03-09
245,(주)모이스텐,,,"경기도 성남시 중원구 사기막골로62번길 33, 7층 F708호(상대원동) 7층 F708호",20423,화장품 제조업,4,2026-03-09
266,(주)바바코리아,031-789-6868,031-789-6869,"경기도 성남시 중원구 사기막골로 99, 1층 123호(상대원동) 1층 123호",20423,화장품 제조업,5,2026-03-09
270,(주)바이오리플렉스,1668-3254,,"경기도 성남시 중원구 갈마치로 302,(상대원동, 성남우림라이온스밸리5차) B동 18층 1814호",20423,화장품 제조업,3,2026-03-09
272,(주)바이오뷰텍,031-776-0875,,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 14층 1406호 외 7필지",20423,화장품 제조업,12,2026-03-09
338,(주)비포앤에프터바이오,,02-544-5403,경기도 성남시 중원구 순환로 165 (상대원동) 5층 520호,20423,화장품 제조업,2,2026-03-09
395,(주)셀바이셀,070-4404-5590,02-514-5591,"경기도 성남시 중원구 갈마치로244번길 31, 3층 308 (상대원동)",20423,화장품 제조업,4,2026-03-09
