업체명,업종명,도로명주소,지번주소,생산품목,위도,경도,전화번호,팩스번호,데이터기준일
(유)대효제약,한의약품 제조업,"경기도 수원시 영통구 신원로 162 (신동, (주)한아)",경기도 수원시영통구 신동 350번지,한약재,37.2507091,127.0582219,031-205-4300,031-205-2523,2025-02-14
(주)가디언즈스타,기타 인쇄업,"경기도 수원시 팔달구 행궁로 98, 305호(교동, 신안빌딩)",경기도 수원시 팔달구 교동 103-1 신안빌딩 305호,디자인 컨텐즈 개발,37.2737814,127.015568,031-207-8198,,2025-02-14
(주)그린죤,화장품 제조업,"경기도 수원시 장안구 창훈로8번길 2, 4층  (연무동, 송원빌딩)",경기도 수원시 장안구 연무동 245-49번지 송원빌딩 4층,화장품,37.2930511,127.0310768,031-255-1561,031-255-2171,2025-02-14
(주)네오리젠바이오텍,화장품 제조업,"경기도 수원시 권선구 서호로 89, 2동 101호 (서둔동, 서울대학교농업생명과학대학)",경기도 수원시 권선구 서둔동 103-12번지 서울대학교농업생명과학대학 2동 101호,"화장품,건강식품,치료제개발",37.2681648,126.9870777,,050-4470-0732,2025-02-14
(주)뉴트리어드바이저,화장품 제조업 외 2 종,"경기도 수원시 영통구 중부대로448번길 97,(원천동, 삼성테크노파크) 공장동 4층 402호",경기도 수원시 영통구 원천동 471 삼성테크노파크 공장동 4층 402호,화장품,37.266501,127.0594225,070-7018-0050,,2025-02-14
(주)다모아전자,방전램프용 안정기 제조업,"경기도 수원시 장안구 수성로304번길 59-5, 2층 (영화동, 다모아전자)",경기도 수원시 장안구 영화동 417-19번지 다모아전자 2층,전자부품,37.2892825,127.0074159,031-242-4390,031-242-4395,2025-02-14
(주)대니언,그 외 기타 전자부품 제조업,"경기도 수원시 영통구 삼성로 274, B3층 311호 (원천동) B3층 311호",경기도 수원시 영통구 원천동 332-2번지 B3층 311호 B3층 311호,테이프,37.2655388,127.0643859,031-214-2556,031-214-2542,2025-02-14
(주)대명테크놀러지,산업처리공정 제어장비 제조업,"경기도 수원시 영통구 매영로248번길 36-6 (원천동, 대경엔지니어링)",경기도 수원시영통구 원천동 394-2번지,산업용제어장치 제조,37.2593685,127.0632264,031-217-7346,031-217-7347,2025-02-14
(주)대일전기,기기용 자동측정 및 제어장치 제조업 외 5 종,"경기도 수원시 팔달구 경수대로642번길 4,  1층 (우만동)",경기도 수원시 팔달구 우만동 528-10번지 정오빌딩 1층,자동화 부품 생산,37.2828616,127.0294639,031-241-5600,031-241-5601,2025-02-14
(주)덕성,플라스틱 합성피혁 제조업,경기도 수원시 영통구 신원로 25 (신동),경기도 수원시 영통구 신동  557-1번지,"합성피혁,수지",37.2504982,127.0460009,031-204-0781,031-204-0787,2025-02-14
(주)덴티움,정형외과용 및 신체보정용 기기 제조업 외 1 종,경기도 수원시 영통구 창룡대로256번길 56 (이의동),경기도 수원시 영통구 이의동 1285-3번지,"치과용 임플란트, 금속 산화물 연료 전지 및 수전해 전지",37.2955498,127.0397429,070-7098-6345,031-8019-9131,2025-02-14
(주)덴티움 광교공장,정형외과용 및 신체보정용 기기 제조업,"경기도 수원시 영통구 창룡대로256번길 76, B2층,2층,3층,4층,5층(이의동,덴티움 지식산업센터) (이의동)","경기도 수원시 영통구 이의동 1287번지 B2층,2층,3층,4층,5층(이의동,덴티움 지식산업센터)",임플란트,37.2952776,127.0406481,070-7098-6345,031-8019-9131,2025-02-14
(주)덴티움 아이씨티(ICT)광교공장,정형외과용 및 신체보정용 기기 제조업 외 1 종,"경기도 수원시 영통구 창룡대로256번길 76, 공장동 8층(이의동, 덴티움 지식산업센터) 공장동 8층 외 1필지",경기도 수원시 영통구 이의동 1287 덴티움 지식산업센터 공장동 8층 공장동 8층 외 1필지,Dental Motor/CT/Unit Chair/Dental CADCAM,37.2952776,127.0406481,070-7098-6345,031-8019-9131,2025-02-14
(주)동원F&B,액상시유 및 기타 낙농제품 제조업 외 3 종,"경기도 수원시 장안구 천천로210번길 21-15 (이목동, 동원데어리푸드) (총 9 필지)",경기도 수원시 장안구 이목동  373-10번지,"호상요구르트,발효유",37.3121407,126.9813223,070-7860-2091,070-7860-4661,2025-02-14
(주)드림,반도체 제조용 기계 제조업,"경기도 수원시 영통구 신원로 88,(신동, 디지털엠파이어2) 103동 6층 605호 외 7필지",경기도 수원시 영통구 신동 486 디지털엠파이어2 103동 6층 605호 외 7필지,로봇 및 스마트 솔루션,37.2474698,127.0503626,031-695-6030,031-695-6045,2025-02-14
(주)디엘지한빛,메모리용 전자집적회로 제조업,"경기도 수원시 영통구 삼성로 274,(원천동, 수원팩토리월드) 공장동 7층 712호",경기도 수원시 영통구 원천동 332-2 수원팩토리월드 공장동 7층 712호,메모리 모듈,37.2655388,127.0643859,031-211-2523,031-211-2524,2025-02-14
(주)라온옵틱스,"물질 검사, 측정 및 분석기구 제조업","경기도 수원시 영통구 창룡대로256번길 91, 1404호(이의동,에이스광교타워2) (이의동)","경기도 수원시 영통구 이의동 1286-1번지 1404호(이의동,에이스광교타워2)","비전검사장비,의료기기 제조",37.2957605,127.0416666,031-8014-2675,031-8014-2676,2025-02-14
(주)레드엠,그 외 기타 종이 및 판지 제품 제조업 외 2 종,경기도 수원시 영통구 신원로283번길 22-1 (매탄동) 외 2필지,경기도 수원시 영통구 매탄동 401번지 외 2필지,"식품포장지, 골판지상자, 수성코팅액",37.2600924,127.0595503,031-213-2009,031-212-2015,2025-02-14
(주)루텍,"전기회로 개폐, 보호장치 제조업 외 1 종","경기도 수원시 영통구 신원로 88,(신동, 디지털엠파이어2) 102동 5층 502호 외 16필지",경기도 수원시 영통구 신동 486 디지털엠파이어2 102동 5층 502호 외 16필지,"분전반 디지털 전력 메터, 전력 계측 모듈, 전기계측기",37.2474698,127.0503626,031-695-7350,031-695-7399,2025-02-14
(주)리얼디자인테크,그 외 기타 달리 분류되지 않은 제품 제조업,"경기도 수원시 영통구 영통로 237, 813호(신동,에이스하이앤드타워) (신동)","경기도 수원시 영통구 신동 338번지 813호(신동,에이스하이앤드타워)",실내 사이클 기기,37.2486678,127.0570044,02-457-3104,0303-3440-3101,2025-02-14
(주)리츠,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 2 종","경기도 수원시 영통구 광교중앙로 254, 206호(하동, 드림타워3)",경기도 수원시 영통구 하동 983-1 드림타워3 206호,사료빈관리시스템,37.2925374,127.0677731,031-709-7881,031-709-7882,2025-02-14
(주)마루텍,기기용 자동측정 및 제어장치 제조업 외 2 종,"경기도 수원시 영통구 덕영대로1556번길 16, A동 12층 1203호 (영통동, 영통 디지털엠파이어)",경기도 수원시 영통구 영통동  1104-2번지,"도유량계 측정장치,소성진간시스템, Roll Aliment 측정시스템",37.2452904,127.0591706,031-204-3851,031-204-3853,2025-02-14
(주)마이크로텍시스템,기타 주변기기 제조업,"경기도 수원시 영통구 덕영대로1556번길 16, A동 1층 1102 (영통동, 영통 디지털엠파이어) A동 1층 1102호",경기도 수원시 영통구 영통동980-3 A동 1층 1102호,"무선프리젠터,보청기",37.2452904,127.0591706,031-303-5800,031-303-5822,2025-02-14
(주)맥사이언스,"전자기 측정, 시험 및 분석기구 제조업 외 1 종","경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) A동 5층 A507호 외 1필지",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 A동 5층 A507호 외 1필지,OLED계측기 외,37.2452904,127.0591706,031-303-5788,031-303-5787,2025-02-14
(주)메저컴아시아,"전자기 측정, 시험 및 분석기구 제조업","경기도 수원시 영통구 덕영대로1556번길 16, A동 5층 503 (영통동, 영통 디지털엠파이어) A동 5층 503호",경기도 수원시 영통구 영통동 980-3번지 영통 디지털엠파이어 A동 5층 503 A동 5층 503호,PCB 검사장비,37.2452904,127.0591706,031-206-7545,031-206-7548,2025-02-14
(주)문구코너,사무 및 회화용품 제조업,경기도 수원시 장안구 송원로 31(송죽동),경기도 수원시 장안구 송죽동 379-10,파일,37.2983717,127.0064395,,031-269-3522,2025-02-14
(주)문화,간판 및 광고물 제조업,"경기도 수원시 권선구 정조로413번길 13,  1층 (장지동)",경기도 수원시 권선구 장지동  6-7번지,"디자인, 안전표지판",37.246434,127.013028,031-233-8953,031-235-4953,2025-02-14
