순번,단지명,회사명,지식산업센터명,공장대표주소(도로명),공장대표주소(지번),업종명,설립구분,종업원수,생산품,주원자재,공장크기,용지면적,건축면적,팩스번호
1,,(주)성산종합기계,,"경기도 시흥시 시흥대로 1108 (신천동, (주)에쏘니아)",경기도 시흥시 신천동 83-12번지,농업 및 임업용 기계 제조업 외 1 종,일반,11,"농업기계제조, 농업용운반차",,소기업,66,66,3193194453
2,시화국가산업단지,(주)정길무역,,"경기도 시흥시 옥구천동로 98, 시흥타원지식산업센터 A동 103호 (정왕동)","경기도 시흥시 옥구천동로 98, 시흥타원지식산업센터 A동 103호 (정왕동)","기타 비철금속 압연, 압출 및 연신 제품 제조업",국가산업단지,5,전기저항합금선,,소기업,702.227,515.99,2026180131
3,시화멀티테크노밸리,성진전기,,"경기도 시흥시 엠티브이25로58번길 9, 시화MTV 3사 110-1호 (정왕동)",경기도 시흥시 정왕동 2617-1번지 시화MTV 3사 110-1호,배전반 및 전기 자동제어반 제조업,국가산업단지,4,"수배전반, 자동제어기",,소기업,0,297,1314994809
4,,준텍,,"경기도 시흥시 포도원로116번길 30, 3층 (신천동)",경기도 시흥시 신천동 863-19번지 3층,그 외 기타 플라스틱 제품 제조업,일반,7,"전자부품, 낚시미끼",,소기업,0,417,070-8896-8953
5,시화국가산업단지,엘에스팩,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 6층 606호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 6층 606호,"물질 검사, 측정 및 분석기구 제조업",국가산업단지,2,비전검사기,"컴퓨터, 카메라, 비전판넬, 브라켓",소기업,55,171.9,070-8888-6538
6,시화국가산업단지,인텍,,경기도 시흥시 공단1대로 281 (정왕동) 3라 522,경기도 시흥시 정왕동 1277-5 3라 522,그 외 기타 특수목적용 기계 제조업 외 1 종,국가산업단지,1,산업용기기,철,소기업,0,314,070-8882-9373
7,시화국가산업단지,인텍,,"경기도 시흥시 군자천로9번길 90, 시화단지 2바 818호 (정왕동)",경기도 시흥시 정왕동 2173-11번지 시화단지 2바 818호,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업 외 1 종",국가산업단지,1,산업용기기,철 외,소기업,0,465,070-8882-9373
8,시화국가산업단지,동희테크,EG지식산업센터,"경기도 시흥시 공단1대로 10, A동 1층 106 (정왕동, (주)이지테크)","경기도 시흥시 공단1대로 10, A동 1층 106 (정왕동, (주)이지테크)",컨베이어장치 제조업 외 1 종,국가산업단지,2,"컨베이어, 작업기계",,소기업,485.37,197.5,070-8861-1142
9,시화국가산업단지,YI ENG,,"경기도 시흥시 마유로10번길 41, 2187-16 3바728 (정왕동)",경기도 시흥시 정왕동 2187-16번지 2187-16 3바728,"전기회로 개폐, 보호장치 제조업 외 1 종",국가산업단지,6,단로기,.,소기업,1653.5,198.55,070-8788-4488
10,시화국가산업단지,케이원,,"경기도 시흥시 공단1대로321번길 8, 3나507-1 (정왕동)",경기도 시흥시 정왕동 1289-8번지 3나507-1,절삭가공 및 유사처리업,국가산업단지,1,자동화장비부품,,소기업,0,433.42,070-8740-3346
