순번,회사명,대표자명,공장대표주소(도로명),공장대표주소(지번),대표업종번호,업종번호,업종명,행정기관,등록일,종업원수,생산품
3,(주)DHP제약,이재수,경기도 여주시 강천면 마감로 231-2,경기도 여주시 강천면 걸은리 546-3번지,20423,"20423, 10892, 10897, 27112",화장품 제조업 외 3 종,경기도 여주시,2021-04-07,6,"건강식품, 화장품, 의료기기, 의약외품, 차류 가공"
173,(주)이앤알,임병수,경기도 여주시 가남읍 연삼로 284,경기도 여주시 가남읍 삼승리 413-14,20423,"20423, ",화장품 제조업,경기도 여주시,2024-10-14,32,화장품
208,(주)케이에이치,한진호,경기도 여주시 장여로 1699 (점봉동),경기도 여주시 점봉동 220-3번지,20423,"20423, ",화장품 제조업,경기도 여주시,2020-03-10,15,"스킨류, 크림류, 마스크팩 등"
232,(주)한국생명과학연구소,김윤규,경기도 여주시 점동면 성주로 634-5 외 2필지,경기도 여주시 점동면 성신리 240-1번지 외 2필지,20423,"20423, ",화장품 제조업,경기도 여주시,2012-01-05,3,화장품
227,(주)프렉스,심재훈,경기도 여주시 가남읍 가남로 516-1,경기도 여주시 가남읍 양귀리 612-2번지,20203,"20203, 22299",혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,경기도 여주시,2017-05-26,9,친환경 생분해성 플라스틱
228,(주)피엔씨테크,박태수,경기도 여주시 가남읍 양화로 280 외 1필지,경기도 여주시 가남읍 화평리 217-1 번지 외 1필지,20203,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,경기도 여주시,2011-12-02,10,복합플라스틱 제품
783,형율제약(주),오상율,경기도 여주시 흥천면 은골길 58-10 외 4필지,경기도 여주시 흥천면 율극리 378-38 외 4필지,21220,"21220, ",한의약품 제조업,경기도 여주시,2023-02-01,8,한의약품
238,(주)한솔케미칼,정봉자,,경기도 여주시 현암동 507-5,22212,"22212, 22213",플라스틱 필름 제조업 외 1 종,경기도 여주시,2022-12-29,7,라미시트
373,도원산업,조태근,경기도 여주시 세종대왕면 능여로 367-24 외 3필지,경기도 여주시 세종대왕면 오계리 34 외 3필지,22212,"22212, 22213",플라스틱 필름 제조업 외 1 종,경기도 여주시,2022-07-04,1,"플라스틱 원단, 파일원단 및 부속 등"
483,성원케미칼(주),김운호,경기도 여주시 능여로 372-7 (연라동),경기도 여주시 연라동 265-2번지,22212,"22212, 22213",플라스틱 필름 제조업 외 1 종,경기도 여주시,2001-06-11,9,"pet sheet, 강화플라스틱제품"
688,천우,김중태,경기도 여주시 대신면 대신로 280 외 3필지,경기도 여주시 대신면 하림리 279-19번지 외 3필지,22212,"22212, 22213",플라스틱 필름 제조업 외 1 종,경기도 여주시,2020-12-11,15,플라스틱필름
588,웨이블,이준규,경기도 여주시 월평로 562 -36(능서면) A동B동,경기도 여주시 능서면 광대리 432-6 A동B동,22212,"22212, ",플라스틱 필름 제조업,경기도 여주시,2019-08-16,4,TPU FILM
403,라보산업(주),이예슬,경기도 여주시 산북면 금품2로 192-53,경기도 여주시 산북면 송현리 362-1번지,22223,"22223, 22229, 25111, 25112, 25113, 25114, 29180, 32011, 32019, 32091",플라스틱 창호 제조업 외 9 종,경기도 여주시,2021-03-26,18,"합성수지창호,알루미늄창호,휀스,방음판,조립식 철재침대,관물대"
765,한신앤호진,신용석,경기도 여주시 대신면 여양로 944 외 1필지,경기도 여주시 대신면 가산리 276-1번지 외 1필지,22223,"22223, 25111, 25119",플라스틱 창호 제조업 외 2 종,경기도 여주시,2014-09-26,15,"플라스틱창호,금속창호,컨테이너하우스"
5,(주)거광,윤찬희,경기도 여주시 던드레길 26-39 (멱곡동) 외 1필지,경기도 여주시 멱곡동 412-13번지 외 1필지,22223,"22223, 22229",플라스틱 창호 제조업 외 1 종,경기도 여주시,2024-07-24,25,건축용플라스틱천정재
10,(주)국도,성정임,경기도 여주시 영릉로 26-14 (창동),경기도 여주시 창동 175번지,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,경기도 여주시,2014-07-23,3,"플라스틱창호,금속창호"
106,(주)신생유공자활용사촌,김기훈,경기도 여주시 산북면 금품2로 192-53,경기도 여주시 산북면 송현리 362-1번지,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,경기도 여주시,2010-03-19,18,"합성수지 창호, 알루미늄 창호"
144,(주)영진산업개발 여주지사,이창권,경기도 여주시 현암3길 138-1 (현암동),경기도 여주시 현암동 372번지,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,경기도 여주시,2023-05-18,19,"새시(플라스틱,알루미늄)"
156,(주)원진코리아,엄태희,경기도 여주시 여양로 485-102 (현암동) 외 3필지,경기도 여주시 현암동 685 외 3필지,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,경기도 여주시,2024-11-27,5,"플라스틱 창호, 금속제 창호 등"
183,(주)전우자활용사촌,김기훈,경기도 여주시 산북면 금품2로 187-1,경기도 여주시 산북면 송현리 187-1번지,22223,"22223, 25111",플라스틱 창호 제조업 외 1 종,경기도 여주시,2020-07-07,15,"플라스틱창호,알루미늄창호"
337,다올건설산업 주식회사,정병환,경기도 여주시 가여로 473-14 (하거동) 외 1필지,경기도 여주시 하거동 477-16번지 외 1필지,22223,"22223, 22229",플라스틱 창호 제조업 외 1 종,경기도 여주시,2024-10-11,15,PVC 창호
17,(주)금강시스템하우징,김봉진,,경기도 여주시 흥천면 신근리 1177,22223,"22223, ",플라스틱 창호 제조업,경기도 여주시,2024-09-24,16,"플라스틱 창호, 문, 문틀 등"
143,(주)영진리빙,김경창,경기도 여주시 현암3길 138-1,경기도 여주시 현암3길 138-1,22223,"22223, ",플라스틱 창호 제조업,경기도 여주시,2021-10-21,32,플라스틱 샤시
