회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
(주) 뉴원,"경기도 의왕시 고산로 74, 5층 502 (고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1번지 성진아파트형공장 5층 502,"물질 검사, 측정 및 분석기구 제조업",02-461-0173,031-384-0714,5,만능재료시험기,시험장비
(주)경신바이오,경기도 의왕시 오봉산단1로 38 (이동),경기도 의왕시 이동 745,기타 곡물 가공품 제조업,031-461-8090,031-461-8068,12,가루효소,"발효꽃, 송이버섯"
(주)경신전자,"경기도 의왕시 오봉산단3로 25, 1동 1330호(삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 1330호,일반용 전기 조명장치 제조업,070-4167-1001,,2,엘이디 모듈,"발광다이오드, PCV(Printed Cirtuit Board)"
(주)고을,"경기도 의왕시 한밭들길 26, 비동 3,4층 (고천동)","경기도 의왕시 고천동 397번지 비동 3,4층",빵류 제조업,031-454-5062,031-454-5056,13,"빵, 쿠키, 초콜릿(우리밀 제품)","무농약 우리밀, 유정란, 국산팥 등"
(주)공감네트웍스,"경기도 의왕시 덕영대로 21-25, 1층 (이동)",경기도 의왕시 이동 741 1층,그 외 기타 의료용 기기 제조업,031-454-7353,,12,의료용 클램프,"플라스틱, 스테인리스, 와이어"
(주)광성엘텍,경기도 의왕시 오전공업길 52-2 (고천동),경기도 의왕시 고천동 394번지,기타 무선 통신장비 제조업,031-456-5421,031-456-5423,20,충전기 케이스,"수지(ABS,PC,PP,PMMA)"
(주)광우,"경기도 의왕시 오봉산단1로 12, 3층 301호 (이동) 외 5필지",경기도 의왕시 이동 732 3층 301호,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",,031-8085-2807,22,정밀기기,"pcb, disk, cable"
(주)국제안전유리,경기도 의왕시 한밭들2길 15 (고천동),경기도 의왕시 고천동 332-50,기타 판유리 가공품 제조업,02-2681-0014,031-477-7796,10,복층유리,유리
(주)귀뚜라미환경테크,"경기도 의왕시 이미로 40, A동 B3층 306호 (포일동) 외 1필지",경기도 의왕시 포일동 653번지 A동 B3층 306호,주방용 전기기기 제조업 외 2 종,031-8069-7800,031-8069-7805,6,음식물쓰레기 세대 내 투입장치,"스테인레스, 플라스틱"
(주)그라디안,"경기도 의왕시 이미로 40 (포일동) B동 5층 502,503호","경기도 의왕시 포일동 653번지 B동 5층 502,503호",전기.전자 및 정밀기기 수리업 외 2 종,031-8084-3044,031-8084-3045,8,"방송 및 무선통신장비 및 전자부품, 유선 통신장비 및 전자부품, 전기,전자 및 정밀기기 모듈 수리","PCB, 케이블 등, PSU,디지털보드,RF모듈 수리"
