회사명,대표자명,산업단지명,지식산업센터명,도로명주소,지번주소,위도,경도,업종번호,업종명,종업원수,생산품명,주원자재명,관리기관명,관리부서전화번호,데이터기준일자
( 주)크리콤,최병진,,,경기도 파주시 광탄면 보광로 1336-24,경기도 파주시 광탄면 창만리 492-14,37.79676913,126.8598014,29171,산업용 냉장 및 냉동 장비 제조업,10,냉장 및 냉동 쇼케이스,냉연강판+폴리우레탄+동파이프+알루미늄 프로파일,경기도 파주시청,031-940-4543,2026-02-05
(사)공감과어울림 티앤디자인,조용석,,,경기도 파주시 광탄면 부흥로359번길 190,경기도 파주시 광탄면 발랑리 404-1,37.81168604,126.8850016,32029,기타 목재가구 제조업,2,사무용 및 주방가구,목재,경기도 파주시청,031-940-4543,2026-02-05
(사)내일을여는 멋진여성 중증장애인사업단,이웅준,,,경기도 파주시 월롱면 월롱초교길 255,경기도 파주시 월롱면 덕은리 122-1,37.79221578,126.7797099,18111+17901,경 인쇄업 외 1 종,18,복사용지+인쇄물,종이(펄프),경기도 파주시청,031-940-4543,2026-02-05
(사)부산지체장애인단체협의회 제1공장,유영호,,,경기도 파주시 교하로505번길 16-27,경기도 파주시 동패동 591-6,37.70359215,126.7208044,23325+23326+28121+28122,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,12,도전성콘크리트접지봉,,경기도 파주시청,031-940-4543,2026-02-05
(사)우리들행복나눔 인쇄사업단,김문기,,,경기도 파주시 교하로505번길 29-24,경기도 파주시 동패동 597,37.7028369,126.7228846,18119+17221+17901+18111+18113+18129,기타 인쇄업 외 5 종,14,인쇄물,종이,경기도 파주시청,031-940-4543,2026-02-05
(사)장애인고용진흥회 제2파주사업소,임선귀,,,경기도 파주시 산남로 5-60,경기도 파주시 산남동 368-13,37.70707672,126.6917869,27199+13999+21301+21309+29175,그 외 기타 의료용 기기 제조업 외 4 종,6,보건용 마스크,부직포+철핀,경기도 파주시청,031-940-4543,2026-02-05
(사)장애인고용진흥회 파주사업소,임선귀,,,경기도 파주시 산남로157번길 30,경기도 파주시 산남동 56-1,37.69808835,126.7018412,17902,위생용 종이제품 제조업,11,점보롤 화장지 ,화장지원지+지관+종이 ,경기도 파주시청,031-940-4543,2026-02-05
(사)한국검정교과서,김호근,파주오산일반산업단지,,경기도 파주시 조리읍 당재봉로 29-28,경기도 파주시 조리읍 오산리 398-5,37.77261872,126.8397637,17909,그 외 기타 종이 및 판지 제품 제조업,11,종이및판지,,경기도 파주시청,031-940-4543,2026-02-05
(사)한국기능장애인협회  유니크퍼니쳐,윤창순,,,경기도 파주시 법원읍 화합로 514-1,경기도 파주시 법원읍 갈곡리 67-1,37.84704357,126.9193669,32029+25993+32019+32021+32091+32099,기타 목재가구 제조업 외 5 종,8,사무용가구+쇼파 등,목재+mdf+pb 등,경기도 파주시청,031-940-4543,2026-02-05
(사)한국장애인기업협회 울터미 ,이미정,,,경기도 파주시 파주읍 여울길 310-8,경기도 파주시 파주읍 부곡리 54-3,37.81537357,126.8310335,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,10,기능성 코팅제+탈취제 ,돌가루+증류수,경기도 파주시청,031-940-4543,2026-02-05
(사)한국장애인미래정책포럼 산전사업단,배영환,,,경기도 파주시 광탄면 보광로 1541,경기도 파주시 광탄면 방축리 190,37.81445437,126.8669068,27216+27215+28122+28123+28423+29175,산업처리공정 제어장비 제조업 외 5 종,18,배전반+계장(측)제어장치+프로세스제어반+공기여과기,철판+전기부품+원단(부직포),경기도 파주시청,031-940-4543,2026-02-05
(사)한국장애인협회 기프트센터 ,이준성 ,,,경기도 파주시 지목로 89-28,경기도 파주시 신촌동 61,37.72811295,126.7009632,17901+18111+18119,문구용 종이제품 제조업 외 2 종,13,복사용지+판촉물 인쇄 ,종이 ,경기도 파주시청,031-940-4543,2026-02-05
(유)가원,제해득,,,경기도 파주시 광탄면 명봉산로352번길 34-19,경기도 파주시 광탄면 용미리 585-4,37.74537876,126.8649432,23321+23999,비내화 모르타르 제조업 외 1 종,6,미끄럼방지포장재,수지(MMA)+규사+안료,경기도 파주시청,031-940-4543,2026-02-05
(유)그린힐,이혜옥,,,,경기도 파주시 야동동 10-8,37.77956721,126.770032,25112,구조용 금속 판제품 및 공작물 제조업,1,조립실온실,알루미늄+폴리카보네이트,경기도 파주시청,031-940-4543,2026-02-05
(유)목산,유창섭,,,경기도 파주시 월롱면 황소바위길 187-81,경기도 파주시 월롱면 영태리 84-1,37.78349343,126.794278,32029,기타 목재가구 제조업,9,목재가구,,경기도 파주시청,031-940-4543,2026-02-05
(유)아이비,전영진,,,경기도 파주시 조리읍 명봉산로121번길 153-3,경기도 파주시 조리읍 봉일천리 3-128,37.73973129,126.8390102,28901,전기경보 및 신호장치 제조업,2,비상벨,비상벨 보드 및 케이스,경기도 파주시청,031-940-4543,2026-02-05
(유)에스엠에스,김완기,,,경기도 파주시 월롱면 한태말길 98,경기도 파주시 월롱면 영태리 126-4,37.78056493,126.7929836,25994+33910,금속 표시판 제조업 외 1 종,3,간판+도포표지판등,차전자파분말+유단백+녹차추출물분말,경기도 파주시청,031-940-4543,2026-02-05
(유)케이피알커뮤니케이션,김정운,파주센트럴밸리일반산업단지,,,경기도 파주시 파주읍 봉암리 1368-9,37.80513931,126.7970782,18113+18119,오프셋 인쇄업 외 1 종,21,도서+학습지+정기간행물+달력+리플렛+패키지인쇄+도서+학습지+정기간행물+달력+리플렛+패키지인쇄,종이 잉크 인쇄기계,경기도 파주시청,031-940-4543,2026-02-05
(주) 미코 파주공장,이석윤,파주첨단일반산업단지(선유지구),,경기도 파주시 문산읍 돈유2로 55-69,경기도 파주시 문산읍 선유리 1377-3,37.86089549,126.8122297,29271,반도체 제조용 기계 제조업,10,반도체 제조용 부품 열처리 및 코팅,카본+세라믹,경기도 파주시청,031-940-4543,2026-02-05
(주) 삼덕티엠피,박재천,,,경기도 파주시 방촌로348번길 21-22,경기도 파주시 맥금동 423-23,37.77783153,126.7276618,22299,그 외 기타 플라스틱 제품 제조업,30,안면보호구,페트+스폰지+고무줄,경기도 파주시청,031-940-4543,2026-02-05
(주)70캐리드홈,박진석,,,경기도 파주시 평화로 364,경기도 파주시 검산동 274-10,37.77368386,126.7426911,32019,소파 및 기타 내장가구 제조업,3,가구(의자+쇼파등),목재,경기도 파주시청,031-940-4543,2026-02-05
