회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
(주)성원목재,경기도 포천시 내촌면 부마로282번길 42,경기도 포천시 내촌면 마명리 110-8번지,일반 제재업,031-533-8740,2,각재판재,목재
주식회사 대명코리아,경기도 포천시 가산면 정교리 12-11 외 1필지,경기도 포천시 가산면 정교리 12-11 외 1필지,수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,031-595-7997,30,"주방기기, 씽크대 등",스테인레스
(주)동양봉제기계,경기도 포천시 금강로 2927 (내촌면) 1층,경기도 포천시 내촌면 음현리 688-1 1층,"기타 섬유, 의복 및 가죽 가공 기계 제조업",031-531-3579,8,봉제기계,
(사)우리들행복나눔(종합가구사업단),"경기도 포천시 내촌면 작은넙고개1길 84, 가동",경기도 포천시 내촌면 진목리 915-9번지 가동,기타 목재가구 제조업 외 6 종,031-591-8353,12,"가구,의자,소파,침대","MDF,가공목재,금속자재"
(사)한국교통장애인협회 사업부,"경기도 포천시 가산면 정금로 183-23, 마,라동 (가산면)","경기도 포천시 가산면 정교리 211-3번지 마,라동",구조용 금속 판제품 및 공작물 제조업 외 3 종,031-544-3133,7,"철물구조, 장애인보조기구,배전반",철판 등
(사)한국척수장애인협회(가구사업소),경기도 포천시 가산면 마정로 61,경기도 포천시 가산면 마산리 299-8번지,기타 목재가구 제조업 외 4 종,031-544-0410,18,"사무용가구(완제품), 붙받이장(반제품)","합판, 가구부자재, 천, 내자, 철판, 파이프"
(재)경기대진테크노파크,경기도 포천시 가산면 포천로912번길 147-2,경기도 포천시 가산면 마전리 565-13번지,기타 목재가구 제조업,031-539-5000,3,목재가구,목재
(주) 강원그린석재 포천공장,경기도 포천시 영중면 가영로535번길 119,경기도 포천시 영중면 영송리 711-13번지,건설용 석제품 제조업,031-534-4160,5,도로경계석,원석
(주) 거산,경기도 포천시 군내면 명산리 1 외 1필지,경기도 포천시 군내면 명산리 1 외 1필지,그 외 기타 플라스틱 제품 제조업,031-536-2253,7,비닐장갑 비닐롤백,HDPEH포리에칠엔
(주) 로드텍이엔지,경기도 포천시 죽엽산로237번길 35 (소흘읍) 외 1필지,경기도 포천시 소흘읍 고모리 474-3 외 1필지,일반저울 제조업 외 1 종,031-541-5849,6,전자저울,"철판,앵글,로드셀"
(주) 바다마음,경기도 포천시 가산면 우금길 139-10 외 1필지,경기도 포천시 가산면 우금리 436번지 외 1필지,수산식물 가공 및 저장 처리업,031-544-6065,5,구운김,김
(주) 반디오,경기도 포천시 내촌면 금강로2047번길 26,경기도 포천시 내촌면 음현리 570번지,그 외 기타 의료용 기기 제조업,031-534-8400,10,진단용기기,합성수지(PP)
(주) 수성인투,경기도 포천시 소흘읍 초가팔리 163-4 외 3필지,경기도 포천시 소흘읍 초가팔리 163-4 외 3필지,그 외 기타 플라스틱 제품 제조업,02-2254-1171,6,플라스틱 사출,"플라스틱 수지(PP, PE)"
(주) 에이뷰,경기도 포천시 소흘읍 이가팔리 359번지,경기도 포천시 소흘읍 이가팔리 359번지,수산식물 가공 및 저장 처리업 외 1 종,031-542-7985,56,"내추럴칩, 파래자반볶음","김, 고구마, 마 등"
(주) 이에스푸드,경기도 포천시 가산면 정교리 384-4 외 1필지,경기도 포천시 가산면 정교리 384-4 외 1필지,천연 및 혼합조제 조미료 제조업,031-541-6833,10,소스,"마요네즈,식초,피클 등"
(주) 케이엔클로저,경기도 포천시 궁말1길 36 -3(가산면),경기도 포천시 가산면 금현리 523-2,포장용 플라스틱 성형용기 제조업,031-544-0356,8,스파우트 캡,"HDPE , PP"
(주) 포천명가,경기도 포천시 이동면 도평리 657-15,경기도 포천시 이동면 도평리 657-15,탁주 및 약주 제조업,031-535-0377,5,막걸리,쌀
(주) 푸드월드,경기도 포천시 가산면 마현2길 32-40 외 2필지,경기도 포천시 가산면 금현리 1003-7 외 2필지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,070-4640-0880,5,포장육,"소,돼지 냉동육"
(주)GIG기업,"경기도 포천시 내촌면 내진로 130, 나동",경기도 포천시 내촌면 진목리 600번지 나동,간판 및 광고물 제조업 외 4 종,02-458-3151,5,"간판,안내판,표지판,철물","알루미늄,철,스테인레스,PVC"
(주)가교테크,경기도 포천시 동교동 396-9,경기도 포천시 동교동 396-9,배전반 및 전기 자동제어반 제조업,031-542-9013,5,배전반,"차단기, 부스바, 철판케이스 등"
(주)가구원,경기도 포천시 가산면 메나리1길 21,경기도 포천시 가산면 방축리 181-1번지,기타 목재가구 제조업 외 1 종,031-542-2842,6,화장대,목재
(주)가남테크,경기도 포천시 가산면 포천로912번길 37-7,경기도 포천시 가산면 마산리 133-2번지,기타 목재가구 제조업,031-542-5551,12,목재가구,나무
(주)가야라이프,경기도 포천시 가산면 정금로 356-17,경기도 포천시 가산면 금현리 532-2번지,가방 및 기타 보호용 케이스 제조업 외 1 종,031-544-7733,19,가방,"천연가죽,인조가죽,합성피혁,폴리원단"
(주)가우아이앤씨,경기도 포천시 가산면 정금로473번길 67-58,경기도 포천시 가산면 금현리 434-5번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-543-5995,23,빨래건조대,"ABS, 스텐레스파이프등"
(주)가이온퍼니처,"경기도 포천시 가산면 정교2길 106-11, 라동",경기도 포천시 가산면 가산리 34-3 라동,기타 목재가구 제조업,02-971-6750,2,가구,"PB, MDF"
(주)가인디자인,경기도 포천시 군내면 상성북리 475-1 외 4필지,경기도 포천시 군내면 상성북리 475-1 외 4필지,기타 목재가구 제조업 외 1 종,031-8080-3002,11,"금속가구,목재가구","금속,철물,목재"
(주)가평섬유,경기도 포천시 부마로 291 (내촌면) 외 2필지,경기도 포천시 내촌면 마명리 266-4 외 2필지,침구 및 관련제품 제조업,031-532-0926,5,침구류,
(주)거구,경기도 포천시 가산면 정금로237번길 20-13 (총 4 필지) 외 3필지,경기도 포천시 가산면 정교리 80-7번지 외 3필지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-543-1251,8,식탁부품,
(주)거성,"경기도 포천시 가산면 가산로147번길 23-14, (방축리 309-4)",경기도 포천시 가산면 방축리 309-4번지 (방축리 309-4),기타 음향기기 제조업,031-542-8220,4,스피커,
(주)거성금속,경기도 포천시 가산면 마정로256번길 32 외 4필지,경기도 포천시 가산면 정교리 201-2 외 4필지,기타 구조용 금속제품 제조업 외 3 종,031-542-6636,26,금속제품,스테인리스 등
(주)거성포일,경기도 포천시 소흘읍 이가팔리 578번지 외 4필지,경기도 포천시 소흘읍 이가팔리 578번지 외 4필지,기타 인쇄업 외 1 종,031-544-1111,16,섬유후가공,
(주)건설레미콘 의정부공장,경기도 포천시 화합로 107 (동교동),경기도 포천시 동교동 556-3번지,레미콘 제조업 외 1 종,031-541-0301,23,"레미콘,골재","콘크리트,잡석"
(주)건용,경기도 포천시 내촌면 금강로 3146-14,경기도 포천시 내촌면 신팔리 90-1번지,접착제 및 젤라틴 제조업,031-532-8121,7,"접착제 수입조제,합성수지",
