회사명,공장대표주소(도로명),대표업종번호,업종명,전화번호,팩스번호,종업원수,홈페이지 주소,데이터기준일자
(주) 두손어닝시스템,경기도 하남시 대성로 29-15 (항동),13224,"천막, 텐트 및 유사 제품 제조업 외 1 종",02-422-2688,02-422-1449,9,www.dooson2000.co.kr,2025-03-17
(주)거성어닝시스템,경기도 하남시 조정대로 45 (풍산동) 미사센텀비즈 B3층 FB327호,13224,"천막, 텐트 및 유사 제품 제조업 외 1 종",02-2244-5417,031-553-5443,3,www.geosungawning.com,2025-03-17
(주)나우코퍼레이션,경기도 하남시 덕풍북로 26-1 (덕풍동),13221,침구 및 관련제품 제조업 외 27 종,031-796-4577,031-795-4708,8,,2025-03-17
(주)나우코퍼레이션 제2공장,"경기도 하남시 하남대로 947, A동 508,1504호(풍산동, 하남테크노밸리 U1 CENTER) A동 508,1504호",13221,침구 및 관련제품 제조업 외 18 종,02-488-8842,031-795-4708,7,,2025-03-17
(주)네오니트,"경기도 하남시 초광산단로 113, 301호 (광암동)",13922,어망 및 기타 끈 가공품 제조업 외 2 종,02-3436-4123,02-3436-4125,6,,2025-03-17
(주)대림장재,"경기도 하남시 미사강변서로 25, FB344호 (풍산동)",16299,그 외 기타 나무제품 제조업 외 1 종,031-761-2218,031-761-6228,4,,2025-03-17
(주)대원포티스,"경기도 하남시 조정대로 45, 5층 F529 (풍산동) 5층 F529호",33301,"체조, 육상 및 체력단련용 장비 제조업 외 3 종",02-3426-0013,02-3426-0014,12,,2025-03-17
(주)라진플로베,경기도 하남시 초광산단동로6번길 66(광암동),16299,그 외 기타 나무제품 제조업,,031-793-1105,48,www.flobe.kr,2025-03-17
(주)모현씨앤디,"경기도 하남시 조정대로 35, B3층 에프비323호(풍산동, 미사 하우스디 엘타워) B3층 에프비323호",22191,고무패킹류 제조업 외 2 종,02-487-1649,,4,www.manhole.biz,2025-03-17
(주)바이바우,"경기도 하남시 산곡동로 84-33, 1층(하산곡동)",13221,침구 및 관련제품 제조업 외 1 종,031-794-1905,031-791-1905,4,www.byvow.com,2025-03-17
(주)서륭물산,경기도 하남시 초이로99번길 47 (초이동),22212,플라스틱 필름 제조업 외 1 종,,02-429-0627,7,,2025-03-17
(주)세이프헬스케어,경기도 하남시 하남대로 947 (풍산동) A동 10층 1020호,13229,기타 직물제품 제조업 외 9 종,070-4351-2565,031-5180-3161,4,,2025-03-17
(주)시내엔들,"경기도 하남시 미사강변서로 25, 4층 441호(풍산동, 미사 테스타타워 지식산업센터) 4층 441호",13225,직물포대 제조업 외 1 종,02-448-0023,02-448-5150,3,www.sinaedle.com,2025-03-17
(주)시에이치무역,경기도 하남시 초일로 395 (초일동),13223,커튼 및 유사제품 제조업 외 1 종,02-488-0276,02-488-0279,7,www.monotrack.co.kr,2025-03-17
(주)알렉스인터내셔널,"경기도 하남시 신우실로 100, 420,441호(감이동, 현대 테라타워 감일) 420,441호",28422,일반용 전기 조명장치 제조업 외 2 종,02-474-9083,02-488-0843,4,,2025-03-17
(주)에이치엔에스,"경기도 하남시 검단산로 224 (창우동, 코오롱 스포츠)",14192,"근무복, 작업복 및 유사의복 제조업 외 2 종",031-792-5942,031-794-5910,3,,2025-03-17
(주)예감,"경기도 하남시 청뜰로 5, 101호 (풍산동)",14300,편조의복 제조업 외 29 종,031-796-0869,070-8290-1580,22,www.campreborn.com,2025-03-17
(주)캠프리본,"경기도 하남시 하남대로 947, A동 1009호, 1010호, 1011호, 1014호(풍산동, 하남테크노밸리 U1 CENTER) A동 1009호, 1010호, 1011호, 1014호 외 1필지",14192,"근무복, 작업복 및 유사의복 제조업 외 6 종",02-6428-8806,02-6280-2956,50,,2025-03-17
