순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품명,데이터기준일자
1, 피어젠,경기도 하남시 초광산단로 2 (초이동),경기도 하남시 초이동 628-4,그 외 기타 분류 안된 금속 가공 제품 제조업,,031-795-0526,3,금속제 실내장식품 제조,2025-06-30
2,( 주)엠크래프츠,"경기도 하남시 미사강변중앙로31번길 30, 601, 602, 603, 604, 605, 619, 620, 621, 622, 623(풍산동)","경기도 하남시 풍산동 588-5 601, 602, 603, 604, 605, 619, 620, 621, 622, 623","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",031-8027-2752,031-643-4467,14,주사전사현미경,2025-06-30
3,(주) 그라스텍,경기도 하남시 하남대로622번안길 96 (천현동),경기도 하남시 천현동 44-9번지,컴퓨터 제조업,02-431-8861,02-3401-5867,6,컴퓨터,2025-06-30
4,(주) 대양식품,경기도 하남시 하남대로292번길 36 (상산곡동),경기도 하남시 상산곡동 14번지,수산식물 가공 및 저장 처리업,031-795-2982,031-795-2983,16,조미김,2025-06-30
5,(주) 두손어닝시스템,경기도 하남시 대성로 29-15 (항동),경기도 하남시 항동 134-4번지,"천막, 텐트 및 유사 제품 제조업 외 4 종",,02-422-1449,7,"지주식천막, 차양막, 롤업세이드, 지주식천막, 차양막, 롤업세이드, 지주식천막, 차양막, 롤업세이드, 금속제창, 지주식천막, 차양막, 롤업세이드",2025-06-30
6,(주) 에스지생활건강,"경기도 하남시 조정대로 150, 10층 1012 (덕풍동)",경기도 하남시 덕풍동 762번지 10층 1012,위생용 종이제품 제조업,031-790-0500,031-790-0538,3,물티슈,2025-06-30
7,(주) 원일워터테크,경기도 하남시 천현로134번길 65 (천현동),경기도 하남시 천현동 65-1번지,그 외 기타 금속가공업 외 8 종,02-497-3304,02-498-5955,4,"원심분리기,철문,용접가공 등",2025-06-30
8,(주) 청정무구,경기도 하남시 고골로242번길 180-1 (항동),경기도 하남시 항동 408-1번지,수산동물 냉동품 제조업,070-8668-3921,031-316-1840,5,냉동수산물,2025-06-30
9,(주)가치를담다,"경기도 하남시 미사강변중앙로31번길 15, 2층 203호(풍산동, 희가로 프리미어)",경기도 하남시 풍산동 598 희가로 프리미어 2층 203호,경 인쇄업 외 1 종,031-795-8802,031-795-8801,2,"카탈로그, 브로셔, 탁상용캘린더, 책자, 서적, 낱장출력",2025-06-30
10,(주)강남교자 하남지점,"경기도 하남시 하남대로 947, C동 1005, 1006, 1007호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 1005, 1006, 1007호",떡류 제조업,02-534-1717,02-534-0012,5,"가래떡, 떡국떡, 떡볶이떡",2025-06-30
11,(주)거성어닝시스템,경기도 하남시 조정대로 45 (풍산동) 미사센텀비즈,경기도 하남시 풍산동 493 미사센텀비즈,"천막, 텐트 및 유사 제품 제조업 외 1 종",02-2244-5417,031-553-5443,3,어닝생산 조립(차양),2025-06-30
12,(주)공영사,경기도 하남시 덕산로 180 (풍산동),경기도 하남시 풍산동 399-2번지,아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,02-6213-6412,,55,레미콘.아스콘,2025-06-30
13,(주)광림파워팩,"경기도 하남시 조정대로 150, B106~110 (덕풍동)",경기도 하남시 덕풍동 762 아파트형공장 ITECO B106~110,"용기 세척, 포장 및 충전기 제조업",031-790-4145,031-790-4146,9,"수축포장기계,자동포장기계 등",2025-06-30
14,(주)국일카바링,경기도 하남시 하남대로186번길 57 (상산곡동),경기도 하남시 상산곡동 202-4번지,연사 및 가공사 제조업,031-793-2957,031-793-3957,10,"고무카바링사, 연사",2025-06-30
15,(주)굿모닝푸드,"경기도 하남시 샘재로 76,  1층 (천현동)",경기도 하남시 천현동  342-4번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-793-6676,,15,축산물 가공품,2025-06-30
16,(주)그린비,"경기도 하남시 조정대로 150, 5층 501 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지,주방용 전기기기 제조업 외 1 종,031-790-0868,031-790-0867,7,"은항균이온배수구,건조기",2025-06-30
17,(주)그린쿨텍,경기도 하남시 초광산단로 106 (광암동),경기도 하남시 광암동 406-2,산업용 냉장 및 냉동 장비 제조업 외 2 종,031-792-1614,031-792-1671,6,"냉동기기, 상업용 김치 냉장고, 참치 냉동고, 유증기 회수장치, 동결건조기",2025-06-30
18,(주)금산디자인,"경기도 하남시 미사강변서로 25, 미사테스타타워 F215호 (풍산동)",경기도 하남시 풍산동 489번지 미사테스타타워 F215호,간판 및 광고물 제조업,02-2263-2493,02-2277-2493,13,간판 ,2025-06-30
19,(주)금풍아트,경기도 하남시 초광산단동로6번길 36 (광암동),경기도 하남시 광암동 89-1번지,간판 및 광고물 제조업,02-467-3302,02-498-0082,18,간판 및 광고물,2025-06-30
20,(주)금호티앤씨,"경기도 하남시 조정대로 45, 10층 F1038 (풍산동)",경기도 하남시 풍산동 493번지 10층 F1038,액체 여과기 제조업,02-484-5454,031-790-4666,5,정수기,2025-06-30
21,(주)길마로,"경기도 하남시 조정대로 45, 2층 F201 (풍산동)",경기도 하남시 풍산동 493번지 2층 F201,그 외 기타 의복액세서리 제조업,02-425-3200,02-425-3293,10,"우산,양산,장갑",2025-06-30
22,(주)나누리,"경기도 하남시 조정대로 150, 5층 505 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 5층 505,문구용 종이제품 제조업,031-511-5754,031-511-6588,4,"공예품, 카본성형",2025-06-30
23,(주)나우코퍼레이션,경기도 하남시 덕풍북로 26-1 (덕풍동),경기도 하남시 덕풍동 214-16번지,침구 및 관련제품 제조업 외 27 종,031-796-4577,031-795-4708,8,"근무복,작업복 및 유사의복 등",2025-06-30
24,(주)나우코퍼레이션 제2공장,"경기도 하남시 하남대로 947, A동 508,1504호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 508,1504호",침구 및 관련제품 제조업 외 18 종,02-488-8842,031-795-4708,7,"모자, 의복류 등",2025-06-30
25,(주)나진케이씨씨창호,경기도 하남시 고골로262번길 55-1 (항동),경기도 하남시 항동 250-1번지,플라스틱 창호 제조업,031-793-2702,031-793-4184,11,창호,2025-06-30
26,(주)남도푸드,"경기도 하남시 조정대로 45, 4층 F437호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 4층 F437호,김치류 제조업,02-472-8800,02-472-0011,3,유산균 숙성 묵은지,2025-06-30
27,(주)네모조명,"경기도 하남시 조정대로 45, 에프113,에프114호(풍산동, 미사센텀비즈)","경기도 하남시 풍산동 493 미사센텀비즈 에프113,에프114호",일반용 전기 조명장치 제조업 외 2 종,031-731-8626,031-731-8627,18,"LED 라인조명, 기타조명장치",2025-06-30
28,(주)네오니트,"경기도 하남시 초광산단로 113, 301호 (광암동)",경기도 하남시 광암동 82-1번지 301호,어망 및 기타 끈 가공품 제조업 외 2 종,02-3436-4123,02-3436-4125,6,"로프가공품,벨트",2025-06-30
29,(주)네오엘에프엔,"경기도 하남시 미사강변서로 25, 미사테스타타워 3층 F318호 (풍산동)",경기도 하남시 풍산동 489번지 미사테스타타워 3층 F318호,자전거 및 환자용 차량 제조업,031-5175-6069,031-5175-6068,3,신체장애인용 운송장비 제조(수동휠체어 보조동력장치),2025-06-30
30,(주)넥스젤바이오텍,"경기도 하남시 미사강변중앙로7번안길 25, c동 6층 610호(풍산동, u-테크밸리)",경기도 하남시 풍산동 595-1 u-테크밸리 c동 6층 610호,의약용 화합물 및 항생물질 제조업,031-8027-6274,031-8027-6290,10,합성고분자 원료,2025-06-30
31,(주)누리사이언스,"경기도 하남시 하남대로 947, D동 13층 1314,1315호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 13층 1314,1315호",생물학적 제제 제조업,02-3437-8450,02-3437-8452,3,"가축 성 조절제품(홀맘-소, 홀맨-소,홀맘-돼지,홀맘-양/염소,홀맘-말)",2025-06-30
32,(주)누비랩,"경기도 하남시 미사강변중앙로31번길 30, 4층 414호 (풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 4층 414호,기타 주변기기 제조업 외 1 종,,02-2051-5720,2,AI푸드스캐너,2025-06-30
33,(주)뉴영이시티,"경기도 하남시 조정대로 150, 하남아이테코 438호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 438호,배전반 및 전기 자동제어반 제조업,031-790-0555,,5,"수배전반,분전반",2025-06-30
34,(주)늘푸른수성,경기도 하남시 청뜰로 17 (풍산동),경기도 하남시 풍산동 254 번지,연사 및 가공사 제조업,031-793-6006,031-793-2544,17,원사,2025-06-30
35,(주)닛신,"경기도 하남시 조정대로 150, 5층 526호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 5층 526호,정형외과용 및 신체보정용 기기 제조업,031-790-0595,031-790-0596,3,장애인 교정용 의료보조기 제조 등,2025-06-30
36,(주)다윈바이오,"경기도 하남시 조정대로 150, 8층 601~607 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동  762번지,그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-728-3221,031-790-4360,24,연구용시약,2025-06-30
37,(주)다인식품,경기도 하남시 초이로4번길 60-2 (초이동),경기도 하남시 초이동 322-64번지,가금류 가공 및 저장 처리업,02-952-7909,02-952-7908,18,"계육가공,가공고기 밀폐포장 가공품 생산",2025-06-30
38,(주)닥터서플라이,"경기도 하남시 서하남로19번길 50, 2층 (감북동)",경기도 하남시 감북동 452-2번지 2층,스타킹 및 기타 양말 제조업 외 2 종,02-483-5834,02-483-5836,16,"스타킹, 의료용복대",2025-06-30
