연번,기업명,전화번호,주요상품,주소,산업분류
1,에스엔제이에스엠디SNJSMD,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄첨단산업1로 51-9 (영천동),그 외 기타 전자부품 제조업
2,케이-코퍼레이션,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 팔탄면 노하길 229-40,기타 반도체소자 제조업
3,네스트,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 남여울1길 5-25 (능동),"물질 검사, 측정 및 분석기구 제조업"
4,대성기계,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 봉담읍 쇠틀길18-,절삭가공 및 유사처리업
5,주식회사 펫퍼스,031-227-5701,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 마도면 청원산단5길 114,화장품 제조업
6,엔씨테크*,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 문학로30번길 45-9,반도체 제조용 기계 제조업
7,대명LF,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 팔탄면 삼천병마로 579-16,플라스틱 창호 제조업
8,토탈엠,031-453-7456,기타 기계 및 장비 제조업,경기도 화성시 향남읍 만년로209-,금속 절삭기계 제조업
9,국송,031-353-2342,자동차 및 트레일러 제조업,경기도 화성시 향남읍 장안로845-,트레일러 및 세미트레일러 제조업
10,토탈ENG,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 시청로761-,액체 펌프 제조업
11,화성분체,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 우정읍 기아자동차로 467-12,그 외 기타 금속가공업
12,미진정밀,031-357-7981,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 마도면 쌍송길5-,그 외 금속파스너 및 나사제품 제조업
13,(주)솔리드메카,031-8003-6182,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 삼성1로2길 33 (석우동),"물질 검사, 측정 및 분석기구 제조업"
