회사명,단지명,전화번호,팩스번호,업종명,생산품,소재지도로명주소,소재지지번주소,데이터기준일자
(주)가구샵,,,,기타 목재가구 제조업,침대매트릭스,경기도 가평군 상면 봉수로 40-61,경기도 가평군 상면 봉수리 101-12,2025-05-21
(주)가올,,031-582-2845,031-582-2861,일반용 전기 조명장치 제조업 외 2 종,"LED, 등기구, 전구, 램프","경기도 가평군 가평읍 북한강변로 225-241, 경기도 가평군 가평읍 금대리 493-1",경기도 가평군 가평읍 금대리 493-1번지 경기도 가평군 가평읍 금대리 493-1,2025-05-21
(주)가평제재소,,031-581-1071,031-581-1072,일반 제재업,목재제재,"경기도 가평군 가평읍 경춘로 1983-19, 250 (총 4 필지) 외 3필지",경기도 가평군 가평읍 하색리 250번지 두성제재소 250 외 3필지,2025-05-21
(주)경흥시스템,가평목동일반산업단지,031-582-9602,031-582-9606,산업처리공정 제어장비 제조업,자동제어기,경기도 가평군 북면 화악산로124번길 3-17 ((주)경흥시스템),경기도 가평군 북면 목동리 699-24번지,2025-05-21
(주)국진산업,,031-582-5791,031-581-5793,기타 건축용 나무제품 제조업,목재가공,경기도 가평군 가평읍 자라목6길 46 외 4필지,경기도 가평군 가평읍 읍내리 285-1번지 외 4필지,2025-05-21
(주)녹선,가평목동일반산업단지,031-581-6651,031-581-6656,김치류 제조업 외 2 종,"김치류,젓갈류",경기도 가평군 북면 화악산로124번길 15 ((주)녹선),경기도 가평군 북면 목동리 699-9번지,2025-05-21
(주)대광양초산업,,031-584-7715,031-585-2530,"라이터, 연소물 및 흡연용품 제조업",양초,경기도 가평군 상면 벌말길 41-5 (대광양초),경기도 가평군 상면 항사리 135번지 대광양초,2025-05-21
(주)두원산업,,031-584-5441,,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",우편함점검구,경기도 가평군 상면 축령로70번길 169 ((주)두원산업) (총 2 필지) 외 1필지,경기도 가평군 상면 항사리 615-2번지 (주)두원산업 외 1필지,2025-05-21
(주)디앤디,,031-595-8411,031-584-4189,그 외 기타 플라스틱 제품 제조업 외 1 종,"드레스룸 부자재, 창호 부자재",경기도 가평군 상면 봉수로 40-81 외 1필지,경기도 가평군 상면 봉수리 101-7 외 1필지,2025-05-21
(주)디에스퍼니처,,031-585-4254,031-585-4344,기타 목재가구 제조업 외 1 종,"가정용가구, 가구목제부품제조",경기도 가평군 상면 봉수로 40-86,경기도 가평군 상면 봉수리 101-28,2025-05-21
(주)디에스퍼니처,,,,"목재 보존, 방부처리, 도장 및 유사 처리업",나무제품,경기도 가평군 상면 봉수로 40-21 외 1필지,경기도 가평군 상면 봉수리 99-1 외 1필지,2025-05-21
(주)랩트레이드,,02-957-8207,,그 외 기타 특수목적용 기계 제조업 외 3 종,음식물처리기,경기도 가평군 상면 벌말길 64-28,경기도 가평군 상면 항사리 89-2번지,2025-05-21
(주)마음,,031-585-2931,031-326-3180,전분제품 및 당류 제조업,잣엿,경기도 가평군 상면 비룡로 2217-17 외 2필지,경기도 가평군 상면 연하리 457-1번지 외 2필지,2025-05-21
(주)모담글로벌네이처,,,,화장품 제조업,화장품,경기도 가평군 설악면 한서로 326,경기도 가평군 설악면 위곡리 639,2025-05-21
(주)무야이앤씨 경기지사,,,02-499-0774,배전반 및 전기 자동제어반 제조업,"배전반, 자동제어기외",경기도 가평군 설악면 미사리로540번길 4-10,경기도 가평군 설악면 미사리 266-2번지,2025-05-21
(주)민예서울,,,02-777-8479,장식용 목제품 제조업 외 2 종,"자개금고, 나전칠기 등",경기도 가평군 가평읍 경춘로 1844,경기도 가평군 가평읍 상색리 113-6번지,2025-05-21
(주)새한레미콘,,031-582-8871,031-582-8875,레미콘 제조업,레미콘,"경기도 가평군 가평읍 상천고갯길 236-13, (상색리 350) ((주)새한레미콘) 외 13필지",경기도 가평군 가평읍 상색리 350번지 (주)새한레미콘 (상색리 350) 외 13필지,2025-05-21
(주)성우하이텍,,031-585-7991,02-2253-8848,자동차용 금속 압형제품 제조업 외 4 종,플라스틱제품,경기도 가평군 상면 봉수로 40-70 (총 2 필지) 외 1필지,경기도 가평군 상면 봉수리 101-24번지 외 1필지,2025-05-21
(주)성진퍼니처,,,,기타 목재가구 제조업,가구장,경기도 가평군 설악면 한서로 213-88 (총 2 필지) 외 1필지,경기도 가평군 설악면 창의리 60-5번지 외 1필지,2025-05-21
(주)썬스코,,,,그 외 기타 의복액세서리 제조업,핫피스(의류부자재),경기도 가평군 상면 봉수로 40-81 (SUNSCO) (총 2 필지) 외 1필지,경기도 가평군 상면 봉수리 101-7번지 외 1필지,2025-05-21
(주)애니테크,,031-584-8935,031-584-8930,기기용 자동측정 및 제어장치 제조업 외 3 종,배전반 및 전기 자동제어반 외 2종,"경기도 가평군 설악면 엄소속골길 57-1, 2동",경기도 가평군 설악면 엄소리 439-9 2동,2025-05-21
(주)에스제이텍,,031-581-0723,031-581-0725,그 외 기타 전자부품 제조업 외 1 종,소방품,경기도 가평군 북면 절골길 64 (가평군 장애인 재활자립 작업장),경기도 가평군 북면 이곡리 461번지,2025-05-21
(주)에이랩,,031-581-3693,031-581-3694,기타 주변기기 제조업,센서훼스시스템,경기도 가평군 가평읍 호반로 2509-31,경기도 가평군 가평읍 달전리 497-28번지,2025-05-21
(주)에이치에스,,,02-6008-4211,그 외 자동차용 신품 부품 제조업 외 3 종,이륜자동차용제동장치,경기도 가평군 가평읍 진동안길 41-33 (가평읍 하색리 431-1 공장 (지동익)),경기도 가평군 가평읍 하색리 431-1번지 가평읍 하색리 431-1 공장 (지동익),2025-05-21
(주)오리엔트,가평목동일반산업단지,031-580-0264,,공기 조화장치 제조업 외 1 종,공기조화장치,"경기도 가평군 북면 화악산로124번길 8, (목동리 699-13)",경기도 가평군 북면 목동리 699-13번지 (목동리 699-13),2025-05-21
(주)오리엔트바이오,가평목동일반산업단지,031-581-2221,,공기 조화장치 제조업,무균살균기,경기도 가평군 북면 화악산로124번길 8 ((주)오리엔탈바이오),경기도 가평군 북면 목동리 699-12번지,2025-05-21
(주)오리엔트바이오,가평목동일반산업단지,,,공기 조화장치 제조업 외 1 종,실험용동물사육기자재,경기도 가평군 북면 화악산로124번길 3-13 (오리엔트이엔지),경기도 가평군 북면 목동리 699-21번지,2025-05-21
(주)옥서스,,031-477-5252,031-477-0246,공기 조화장치 제조업 외 2 종,공기조화기,경기도 가평군 설악면 유명로 1294 외 11필지,경기도 가평군 설악면 천안리 246 옥서스 외 11필지,2025-05-21
(주)우리술,,031-585-8525,031-585-8529,탁주 및 약주 제조업 외 1 종,"막걸리, 비알코올 음료",경기도 가평군 하면 대보간선로 29 ((주)우리술),경기도 가평군 하면 대보리 427-3번지,2025-05-21
(주)월드,,031-798-8851,,차체 및 특장차 제조업 외 1 종,자동차제조업,경기도 가평군 설악면 한서로 213-88,경기도 가평군 설악면 창의리 60-5,2025-05-21
(주)웰스프링,,031-585-8811,02-3397-6193,생수 생산업,혼합음료,경기도 가평군 조종면 명지산로 514-149,경기도 가평군 조종면 상판리 104-0,2025-05-21
(주)재성목재,,031-585-9401,,일반 제재업,목재,경기도 가평군 청평면 마지기길 30,경기도 가평군 청평면 하천리 221,2025-05-21
(주)제이앤케이,,031-581-0333,031-581-0332,배전반 및 전기 자동제어반 제조업,배전반,경기도 가평군 가평읍 가화로 379,경기도 가평군 가평읍 마장리 712-8,2025-05-21
(주)주암전기통신,,,02-964-6434,기타 전기 변환장치 제조업 외 1 종,"신재생에너지인버터, 선로진단로봇",경기도 가평군 가평읍 태봉두밀로 33-58,경기도 가평군 가평읍 상색리 217번지,2025-05-21
(주)진도레미콘,,031-581-8284,031-581-8286,레미콘 제조업,레미콘,경기도 가평군 가평읍 경춘로 1789 (총 6 필지) 외 5필지,경기도 가평군 가평읍 상색리 271-1번지 외 5필지,2025-05-21
(주)청우식품,,031-582-6240,031-582-6241,과자류 및 코코아 제품 제조업,"빵, 과자, 케익",경기도 가평군 가평읍 연갈길 124-10 ((주)청우식품) 외 5필지,경기도 가평군 가평읍 상색리 125-6번지 (주)청우식품 외 5필지,2025-05-21
(주)카브루가평2브루어리,,070-4394-0213,070-4275-5282,맥아 및 맥주 제조업 외 1 종,맥주,경기도 가평군 청평면 수리재길 18,경기도 가평군 청평면 상천리 1112-2번지,2025-05-21
(주)케이비푸드,,031-585-1537,031-585-1538,육류 기타 가공 및 저장처리업 (가금류 제외),소고기채끝스테이크,경기도 가평군 상면 청군로 1950,경기도 가평군 상면 율길리 114,2025-05-21
(주)코리안텍,,031-582-0401,02-6008-4211,"탭, 밸브 및 유사장치 제조업",양변기 동파방지 장치,"경기도 가평군 가평읍 진동안길 41-33, 1층",경기도 가평군 가평읍 하색리 431-1 1층,2025-05-21
(주)클럽에스프레소,,02-3217-8700,02-514-9769,커피 가공업,커피원두,경기도 가평군 설악면 유명로 1691-14,경기도 가평군 설악면 선촌리 375-5번지,2025-05-21
(주)패밀리팜,,,,기타 과실ㆍ채소 가공 및 저장 처리업,고구마 가공품,경기도 가평군 청평면 마지기길 9-78,경기도 가평군 청평면 하천리 235,2025-05-21
(주)푸른산천,,033-441-0482,,특수 직물 및 기타 직물 직조업 외 1 종,"보행매트, 식생매트",경기도 가평군 가평읍 태봉두밀로 22,경기도 가평군 가평읍 상색리 160,2025-05-21
(주)피러스,가평목동일반산업단지,043-421-0330,0303-3440-0330,그 외 기타 분류 안된 화학제품 제조업 외 3 종,"방향유, 동충하초 추출물",경기도 가평군 북면 화악산로124번길 3-8,경기도 가평군 북면 목동리 699-23번지,2025-05-21
(주)행복시작,,,,기타 비알코올 음료 제조업,음료,경기도 가평군 설악면 한서로 433-3 (나노워터스) (총 5 필지) 외 4필지,경기도 가평군 설악면 위곡리 47-13번지 외 4필지,2025-05-21
(주)협신,,031-585-5511,031-585-8084,아스팔트 콘크리트 및 혼합제품 제조업 외 3 종,"아스콘, 탄소섬유, 비금속 광물제품, 석유정제품",경기도 가평군 상면 물골길 84-50 ((주)협신) 외 2필지,경기도 가평군 상면 봉수리 15-2번지 외 2필지,2025-05-21
