회사명,설립구분명,용지면적,건축면적,종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,대기오염등급,수질오염등급,소음진동여부,생활용수사용량(톤_일),산업용수사용량(톤_일),자기자본액(백만),타인자본액(백만),전화번호,팩스번호,소재지우편번호,소재지도로명주소,소재지지번주소,(WGS84)위도,(WGS84)경도
주식회사 울트라브이,일반,702.96,702.96,13,소기업,2020-05-01,도시지역/주거지역/준주거지역,대,화장품 제조업 외 2 종,"20423, 21301, 21309","기초 화장품, 조직수복용 생체재료",해당없음,해당없음,무,0.5,0.5,150,0,02-539-3450,02-517-3438,412180,"경기도 고양시 덕양구 향동로 201 (향동동) 9층 913,914호","경기도 고양시 덕양구 향동동 394 9층 913,914호",37.60741278,126.8917434
(주)와이이티,일반,0,422.55,9,소기업,2015-10-28,도시지역/주거지역/준주거지역,대,화장품 제조업,"20423, ","로션, 크림, 에멀젼",해당없음,해당없음,무,0,0,0,0,070-4680-6198,02-2219-3060,10594,"경기도 고양시 덕양구 통일로 140, 에이동 2층 223 (동산동) 외 2필지",경기도 고양시 덕양구 동산동 376번지 에이동 2층 223 외 2필지,37.64907029,126.9019009
바나미미,일반,0,84.08,2,소기업,2018-01-17,도시지역/주거지역/제1종일반주거지역,학교용지,화장품 제조업,"20423, ",화장품,해당없음,해당없음,무,0,0,50,0,031-964-7597,031-964-2774,10326,경기도 고양시 일산동구 동국로 32 (식사동) 동국대학교 산학협력관717호,경기도 고양시 일산동구 식사동 814-11 동국대학교 산학협력관717호,37.67729918,126.8078457
주식회사 천연올,일반,0,311.16,3,소기업,2021-06-17,관리지역/계획관리지역,대,화장품 제조업,"20423, ",기초화장품 등,해당없음,해당없음,무,0.05,0.2,0,0,02-2265-6683,031-925-5279,10207,경기도 고양시 일산서구 구산동 산율길 49,경기도 고양시 일산서구 구산동 144-3,37.69087243,126.7115492
주식회사 케이투메디텍,창업,316.17,316.17,0,소기업,2025-04-30,도시지역/주거지역/준주거지역/지구단위계획구역,대,화장품 제조업,"20423, ","EXO SILK, EXO17S, EXO17V, LIPO-V 2nd Geneation",해당없음,해당없음,무,0,0,,,070-4114-5560,02-710-5529,10545,"경기도 고양시 덕양구 향동로 218, B동 333,334,335호  (향동동) B동 333,334,335호","경기도 고양시 덕양구 향동동 396 B동 333,334,335호 B동 333,334,335호",37.60821834,126.8941501
(주)연우,일반,0,321.51,3,소기업,2017-03-22,관리지역/계획관리지역,대,핸드백 및 지갑 제조업 외 4 종,"15121, 15129, 15190, 28422, 28429","에코백, 핸드백, 지갑, 엘이디 조명",해당없음,해당없음,무,0,0,500,200,031-925-8008,,10233,"경기도 고양시 일산서구 탄중로 111, 4동 202호 (덕이동, 덕이동양우로데오메인타운)",경기도 고양시 일산서구 덕이동 1523번지 덕이동양우로데오메인타운 4동 202호,37.69320516,126.7570988
엔코텍건설(주),일반,1241,393,17,소기업,2014-07-10,관리지역/계획관리지역,공장용지,핵반응기 및 증기보일러 제조업,"25130, ",보일러용 과열기,해당없음,해당없음,무,0.3,0,0,0,031-977-2632,031-977-0596,10253,경기도 고양시 일산동구 장진천길46번길 17 (설문동),경기도 고양시 일산동구 설문동 194-21,37.71186152,126.8119037
(주)엔케이투,일반,0,526.73,8,중기업,2024-04-19,도시지역/주거지역/준주거지역/지구단위계획구역,대,항공기용 부품 제조업,"31322, ",항공전자부품(패널),해당없음,해당없음,무,0,0,350,0,031-814-8043,031-814-8045,410360,"경기도 고양시 일산동구 일산로 142 (백석동, 유니테크빌) 10층 1013호,1014호","경기도 고양시일산동구 백석동 1141-2번지 10층 1013호,1014호",37.64990508,126.7936807
(주)코마코,일반,0,526.73,15,소기업,2007-06-08,도시지역/주거지역/준주거지역,대,항공기용 부품 제조업,"31322, ",항공기전장부품,해당없음,해당없음,무,0,0,0,0,031-932-0341,031-932-0345,410360,"경기도 고양시 일산동구 백석동 1141-2 1013호, 1014호","경기도 고양시 일산동구 백석동 1141-2 1013호, 1014호",37.64990508,126.7936807
(주)화창,일반,0,462.6,4,소기업,2021-11-26,관리지역/계획관리지역,공장용지,합성수지 및 기타 플라스틱 물질 제조업,"20202, ",합성수지 비닐류,해당없음,해당없음,무,0,0,0,0,,,10254,"경기도 고양시 일산동구 지영로147번길 81-18, 가동 전체, 나동 일부(지영동)","경기도 고양시 일산동구 지영동 413-15 가동 전체, 나동 일부",37.71610172,126.8219284
주식회사 다우하이텍,일반,0,357.29,10,소기업,2008-05-21,도시지역/주거지역/준주거지역,대,합성수지 및 기타 플라스틱 물질 제조업,"20202, ",실리콘 접착제,해당없음,해당없음,무,0,0,0,0,031-902-3996,031-903-3998,10442,"경기도 고양시 일산동구 일산로 138, 일산테크노타운 803-5호 (백석동)",경기도 고양시일산동구 백석동 1141-1번지 일산테크노타운 803-5호,37.65078501,126.7946246
(주)두리아이앤디,일반,0,396,6,소기업,2020-01-07,관리지역/계획관리지역,공장용지,피복 및 충전 용접봉 제조업 외 1 종,"25995, 25929","자전거 거치대 , 핸드레일, 주차표지판 등",해당없음,해당없음,무,0,0,250,0,031-975-9251,031-975-9257,10313,경기도 고양시 일산동구 견달산로369번길 163 -3(문봉동 281-6),경기도 고양시 일산동구 문봉동 281-6,37.69447956,126.8142195
