회사명,업종명,생산품,주소,연락처,출처파일
(주)엔케이투,항공기용 부품 제조업,항공전자부품(패널),"경기도 고양시 일산동구 일산로 142 (백석동, 유니테크빌) 10층 1013호,1014호",031-814-8043,경기도_고양시_공장등록 현황_20251210.csv
(주)코마코,항공기용 부품 제조업,항공기전장부품,"경기도 고양시 일산동구 백석동 1141-2 1013호, 1014호",031-932-0341,경기도_고양시_공장등록 현황_20251210.csv
에어텍스,플라스틱 필름 제조업,"차량용 비닐시트커버, 매트커버","경기도 고양시 일산서구 대화로37번길 44-13, A (법곳동)",031-917-3837,경기도_고양시_공장등록 현황_20251210.csv
지원테크,철도차량 부품 및 관련 장치물 제조업 외 4 종,철도차량용품,"경기도 고양시 일산동구 하늘마을로 170, A동 10층 1001-1 (중산동)",070-7566-5299,경기도_고양시_공장등록 현황_20251210.csv
주식회사 한솔엠에스,철도차량 부품 및 관련 장치물 제조업 외 1 종,"주차관제시스템, 소화용담요","경기도 고양시 덕양구 꽃내음1길 21, 3층 302호(향동동, 청우프라자)",02-2138-0821,경기도_고양시_공장등록 현황_20251210.csv
(주)우리기술,철도차량 부품 및 관련 장치물 제조업,철도 안전통제용 기기 제조(승강장안전문),"경기도 고양시 덕양구 향동로 201, 5층 513호  (향동동) 5층 513호",02-2102-5117,경기도_고양시_공장등록 현황_20251210.csv
주식회사 자우텍,철도차량 부품 및 관련 장치물 제조업,"주차관제기기, CCTV(차량번호 판독기)",경기도 고양시 일산동구 하늘마을로 158 (중산동) B동 302호,031-932-8497,경기도_고양시_공장등록 현황_20251210.csv
엘투엔케이,"천막, 텐트 및 유사 제품 제조업",차량용 대쉬보드 커버,경기도 고양시 일산서구 구산로 87 (구산동) 가동,070-4042-4628,경기도_고양시_공장등록 현황_20251210.csv
풍강정밀(주),주형 및 금형 제조업,금형용부품,"경기도 고양시 덕양구 흥도로 73 (도내동, 풍강정밀)",031-972-8766,경기도_고양시_공장등록 현황_20251210.csv
정우이엔지,절삭가공 및 유사처리업 외 1 종,"건축, 기계 각종 부품 외, 금속 절곡가공",경기도 고양시 일산동구 장진천길 42 (설문동),031-965-4138,경기도_고양시_공장등록 현황_20251210.csv
(주)지아르케,절삭가공 및 유사처리업,금형부품 및 금형부품 절삭 가공,경기도 고양시 일산동구 성현로 369 (문봉동) 2층,02-2038-4472,경기도_고양시_공장등록 현황_20251210.csv
제이에이치테크놀러지(주),전자부품 실장기판 제조업,전자부품,"경기도 고양시 일산동구 일산로 138, 일산테크노타운 801-1(관: 802) (백석동)",031-909-8998,경기도_고양시_공장등록 현황_20251210.csv
주식회사 아이에스앤로드테크,전자감지장치 제조업 외 6 종,"무인교통감시장치, 전광판, 출입통제, 영상감시장치, BIT 버스차량정보안내장치 , 차량속도측정기",경기도 고양시 덕양구 삼원로 73 4층 407호,031-919-6656,경기도_고양시_공장등록 현황_20251210.csv
(주)선광이엔지,전시 및 광고용 조명장치 제조업 외 5 종,"전광판, CCTV, 방송장비, 무인안내시스템, 버스차량정보안내장치, 동보장치,  주차관제장치","경기도 고양시 일산동구 성석로 212-27, 2동 일부 (성석동)",031-976-9312,경기도_고양시_공장등록 현황_20251210.csv
코지케어,자전거 및 환자용 차량 제조업,실버카,"경기도 고양시 일산동구 공릉천로493번길 68, 코지케어(설문동)",031-975-7890,경기도_고양시_공장등록 현황_20251210.csv
(주)와토코리아,자동차용 신품 전기장치 제조업 외 1 종,"신품 및 재제조 자동차용 교류발전기, 신품 및 재제조 자동차용 시동모터",경기도 고양시 일산동구 장진천길46번길 89-38 (설문동) 외 2필지,031-967-1500,경기도_고양시_공장등록 현황_20251210.csv
에이치와이씨 주식회사,자동차용 신품 전기장치 제조업,자동차용 점화 배선세트,경기도 고양시 일산서구 덕산로173번길 85-19(가좌동),,경기도_고양시_공장등록 현황_20251210.csv
주식회사 타라코리아,자동차용 신품 의자 제조업,자동차 시트 관련 부품,"경기도 고양시 일산서구 장자길118번길 105-109, 가동, 나동 (덕이동)",031-914-0031,경기도_고양시_공장등록 현황_20251210.csv
세일정밀,자동차용 금속 압형제품 제조업 외 1 종,알루미늄케이스,경기도 고양시 일산동구 장대길 41-19 (장항동),031-904-0936,경기도_고양시_공장등록 현황_20251210.csv
아세아금속,자동차용 금속 압형제품 제조업 외 1 종,스텐레스제품,경기도 고양시 일산서구 신덕로 65-27 (덕이동),031-919-3471,경기도_고양시_공장등록 현황_20251210.csv
주식회사 인터트레이드,자동차용 금속 압형제품 제조업,자동차 부품,"경기도 고양시 일산동구 고봉로658번길 177, 4동, 5동, 9동(2층) (성석동)",031-966-8777,경기도_고양시_공장등록 현황_20251210.csv
(주)대성오토,자동차 재제조 부품 제조업,미션제제소,경기도 고양시 일산동구 성석동 729-3 1층,031-921-8801,경기도_고양시_공장등록 현황_20251210.csv
부영테크,자동차 재제조 부품 제조업,자동차 재제조 부품(미션),"경기도 고양시 일산동구 고봉로814번길 59-23, 1층 일부 (설문동)",031-977-8695,경기도_고양시_공장등록 현황_20251210.csv
오토엔테크(주),자동차 재제조 부품 제조업,자동차 재제조 부품(미션),경기도 고양시 일산동구 고봉로658번길 61 -47(성석동),031-977-8693,경기도_고양시_공장등록 현황_20251210.csv
(주)우정,자동차 구조 및 장치 변경업 ,"장애인 운송차량 개조, 순찰차 개조 등",경기도 고양시 일산서구 덕산로121번길 13-2 (가좌동) 1층 일부,031-921-8575,경기도_고양시_공장등록 현황_20251210.csv
(주)부영뉴텍,일반철물 제조업,엘리베이터및스크린도어(PSD)부품,경기도 고양시 일산동구 은마길 31-32 (성석동),031-905-7215,경기도_고양시_공장등록 현황_20251210.csv
(주)정오건기 고양지점,육상 금속 골조 구조재 제조업 외 2 종,건설중장비 부품,경기도 고양시 일산동구 성현로 149 (성석동) 다동,02-2676-2347,경기도_고양시_공장등록 현황_20251210.csv
디비이앤씨(주),유선 통신장비 제조업 외 3 종,"다중화장치, 일반용전기조명장치, CCTV용 카메라, 차량용 배터리 충전기 제조","경기도 고양시 덕양구 삼원로 51, 3층320호,6층611호  (원흥동) 3층320호,6층611호",02-358-0003,경기도_고양시_공장등록 현황_20251210.csv
(주)서경정보기술,유선 통신장비 제조업 외 1 종,"기타유선 전화용.유선 전신용 기기 전용부품제조, CCTV(폐쇠회로카메라)제조,CCTV용카메라제조",경기도 고양시 일산동구 일산로 142 (백석동) 3층 311호,02-2216-6700,경기도_고양시_공장등록 현황_20251210.csv
주식회사 대진아이티,유선 통신장비 제조업,광섬유 전송시스템 전용부품 제조(F.D.F),"경기도 고양시 일산동구 고봉로578번길 9-34, 가동,라동(성석동)",031-976-0278,경기도_고양시_공장등록 현황_20251210.csv
(주)에스엠비오토와이드,"용기 세척, 포장 및 충전기 제조업",차량및산업용프레온가스회수재생충전기,경기도 고양시 일산동구 성현로 333 (문봉동) (총 2 필지),031-976-4457,경기도_고양시_공장등록 현황_20251210.csv
일양프라스틱,시계 및 시계부품 제조업 외 8 종,"시계, 엘이디손전등, 손전등, 등명기",경기도 고양시 일산동구 은마길 41 -38(성석동),031-977-0244,경기도_고양시_공장등록 현황_20251210.csv
주식회사 케이에스엘리베이터,승강기 제조업,엘리베이터 부품(천장 구조물),"경기도 고양시 일산동구 장진천길 30-88, 가동 (설문동)",031-916-8918,경기도_고양시_공장등록 현황_20251210.csv
태광냉열,산업용 냉장 및 냉동 장비 제조업,"냉동기부품, 콘덴싱유니트자동제어","경기도 고양시 덕양구 통일로 140, 4층 B-410호,B-411호 (동산동, 삼송테크노밸리) 4층 B-410호,B-411호",02-2296-8090,경기도_고양시_공장등록 현황_20251210.csv
(주)지피아이코리아,비디오 및 기타 영상기기 제조업,"차량용 ANPR CAMERA, RF",경기도 고양시 일산동구 하늘마을로 158 (중산동) 비동 602호,070-4352-6380,경기도_고양시_공장등록 현황_20251210.csv
합동전기공사,변압기 제조업,변압기용부품,"경기도 고양시 일산동구 일산로 142, 327호 (백석동)",031-903-6622,경기도_고양시_공장등록 현황_20251210.csv
(주)삼성티엔지,방송장비 제조업 외 8 종,"보안용 카메라, 영상감시장치, 차량번호판독기, 보행신호음성안내 보조장치, 전광판, 계장제어장치 등",경기도 고양시 일산동구 장진천길 30-69 (설문동),031-932-8980,경기도_고양시_공장등록 현황_20251210.csv
(주)마샬전동차,내연기관 승용차 및 기타 여객용 자동차 제조업 외 4 종,"저속전기차, 전기스쿠터, 차량제조","경기도 고양시 일산동구 견달산로369번길 163-8, 3동(문봉동) 외 1필지",070-4224-1967,경기도_고양시_공장등록 현황_20251210.csv
반도산업,기타자동차부품제조업,자동차부품,"경기도 고양시 일산동구 일산로 142, 516호 (백석동)",031-904-7548,경기도_고양시_공장등록 현황_20251210.csv
(주)공간하이테크,기타 음향기기 제조업,음향기기부품,경기도 고양시 덕양구 청초로 66 (덕은동) A동 6층 619호,02-303-3352,경기도_고양시_공장등록 현황_20251210.csv
(주)서광오토테크,기타 물품 취급장비 제조업 외 1 종,제어 계기판 케이스,경기도 고양시 일산서구 송산로515번길 52 (덕이동),031-922-9070,경기도_고양시_공장등록 현황_20251210.csv
대성오토,그 외 자동차용 신품 부품 제조업 외 3 종,자동변속기 재제조,경기도 고양시 일산동구 성석로 214 (성석동),031-921-8801,경기도_고양시_공장등록 현황_20251210.csv
태일정공,그 외 자동차용 신품 부품 제조업 외 3 종,조향장치,경기도 고양시 일산동구 은마길 31-54 (성석동),031-977-8630,경기도_고양시_공장등록 현황_20251210.csv
(주)도모코리아,그 외 자동차용 신품 부품 제조업,자동차용 허브 베어링(자동차용 허브 앗세이),경기도 고양시 일산동구 문봉길62번길 32-30 (문봉동),031-975-1505,경기도_고양시_공장등록 현황_20251210.csv
