회사명,업종명,생산품,주소,연락처,출처파일
서우첨단소재 주식회사,합성섬유 제조업 외 1 종,"PET단섬유(자동차용 내장제품 소재용), 매트리스 및 의류용 충전재, 기타 산업용 섬유",경상북도 김천시 공단로 190 (대광동),054-434-8830,경상북도 김천시_제조업체 등록현황_20251230.csv
이솔화학 주식회사,플라스틱 필름 제조업 외 5 종,"자동차용 디스플레이 필름, E-Glass 및 flexible glass",경상북도 김천시 공단4길 21 (응명동) 외 1필지,054-434-2611,경상북도 김천시_제조업체 등록현황_20251230.csv
이솔화학 주식회사,플라스틱 필름 제조업 외 3 종,"고경도필름, 광학필름, 자동차 전장용 기능성 필름 제조 및 가공",경상북도 김천시 어모면 산업단지1로 62,054-434-2611,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)베스트엔지니어링,철도차량 부품 및 관련 장치물 제조업 외 3 종,"철도용 분기기, 철도용 분기기, 철도용 분기기, 철도용 분기기",경상북도 김천시 어모면 어모로 739-50 외 22필지,055-911-1599,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)다원넥스트 1공장,철도차량 부품 및 관련 장치물 제조업 외 1 종,"철도차량부품 및 관련장치, 철도차량부품 및 관련장치",경상북도 김천시 어모면 산업단지로 263,054-716-2124,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)에이치티씨,철도차량 부품 및 관련 장치물 제조업 외 1 종,"Train Harness, Wire Harness","경상북도 김천시 혁신로 303, 3층 305호 (율곡동)",054-716-1230,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)에스앤에이,철도차량 부품 및 관련 장치물 제조업,철도차량부품,"경상북도 김천시 혁신로 303, 309호(율곡동, 지텍지식산업센터)",054-435-0607,경상북도 김천시_제조업체 등록현황_20251230.csv
주식회사 에스앤에이,철도차량 부품 및 관련 장치물 제조업,철도차량부품,경상북도 김천시 어모면 산업단지7로 111,054-435-0607,경상북도 김천시_제조업체 등록현황_20251230.csv
주식회사 위드샤인코리아,철도차량 부품 및 관련 장치물 제조업,ACB BOX,"경상북도 김천시 혁신로 303, 305호(율곡동, 지텍지식산업센터)",054-716-1230,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)다원넥스트 2공장,절삭가공 및 유사처리업 외 2 종,"금속가공, 구조용 금속제품, 철도차량 부품 등, 금속가공, 구조용 금속제품, 철도차량 부품 등, 금속가공, 구조용 금속제품, 철도차량 부품 등",경상북도 김천시 어모면 산업단지7로 145,054-716-2124,경상북도 김천시_제조업체 등록현황_20251230.csv
바인인더스,절삭가공 및 유사처리업 외 1 종,철도차량부품,경상북도 김천시 산업단지4로 25-26(응명동) 외 1필지,054-471-2644,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)행성디지털,전자부품 실장기판 제조업,"LCD용 SMT, 모즐, PCB A'SSY",경상북도 김천시 아포읍 인2길 79 ((주)행성디지털) 외 1필지,054-431-7071,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)제이앤씨테크,"전자기 측정, 시험 및 분석기구 제조업 외 4 종","전자계측기 및 부품, LED조명",경상북도 김천시 농소면 월곡외지길 131,054-433-6438,경상북도 김천시_제조업체 등록현황_20251230.csv
주식회사 와이어블,전기경보 및 신호장치 제조업 외 17 종,"회로카드 부품, 회로카드, 무선통신장치, 회로카드, 회로카드, 회로카드 부품, 회로카드 및 케이블, 회로카드 및 케이블, 케이블, 회로카드, 회로카드, 회로카드, 회로카드 및 케이블, 회로카드 및 케이블, 회로카드 및 케이블, 회로카드, 회로카드, 회로카드","경상북도 김천시 혁신로 288-5, 1층 101호 (율곡동) 1층 101호",02-2077-3185,경상북도 김천시_제조업체 등록현황_20251230.csv
바이오라이트(주),전구 및 램프 제조업 외 1 종,"할로겐 전구, LED 전구, 차량용 필터",경상북도 김천시 어모면 산업단지4로 108,054-439-0252,경상북도 김천시_제조업체 등록현황_20251230.csv
(주)휴비스,자동차용 신품 조향장치 및 현가 장치 제조업,lower arm,경상북도 김천시 어모면 남산리 1970번지,054-435-8803,경상북도 김천시_제조업체 등록현황_20251230.csv
한영공업(주),자동차용 신품 조향장치 및 현가 장치 제조업,자동차컨트롤케이블용/광케이블용 경강선,경상북도 김천시 감문면 감문로 1029-20,054-433-9302,경상북도 김천시_제조업체 등록현황_20251230.csv
㈜우진산전,자동차용 신품 전기장치 제조업 외 4 종,전기버스,경상북도 김천시 어모면 산업단지9로 56,054-421-9000,경상북도 김천시_제조업체 등록현황_20251230.csv
