회사명,업종명,생산품,주소,연락처,출처파일
(주)코리아테크,핵반응기 및 증기보일러 제조업 외 4 종,화력발전설비부품등,부산광역시 강서구 과학산단2로19번길 25 (지사동),051-208-1155,부산광역시 강서구_공장 현황_20250113.csv
주식회사 대한항공,항공기용 부품 제조업 외 2 종,항공기 부품 외,부산광역시 강서구 대저2동 103-1,051-970-5102,부산광역시 강서구_공장 현황_20250113.csv
(주)케이에이엠,항공기용 부품 제조업 외 1 종,"항공기용 치공구,금형",부산광역시 강서구 녹산산단382로50번길 30 (송정동),051-832-0384,부산광역시 강서구_공장 현황_20250113.csv
(주)케이에이엠,항공기용 부품 제조업,항공기부품,부산광역시 강서구 녹산산단382로50번길 28 (송정동),051-832-0384,부산광역시 강서구_공장 현황_20250113.csv
(주)케이에이엠,항공기용 부품 제조업,항공기 부품,부산광역시 강서구 가리새1로25번길 45 (생곡동),051-832-0384,부산광역시 강서구_공장 현황_20250113.csv
삼홍기계,항공기용 부품 제조업,항공기 부품,부산광역시 강서구 과학산단1로 145 (지사동),051-714-2611,부산광역시 강서구_공장 현황_20250113.csv
윤항공,항공기용 부품 제조업,항공기부품,부산광역시 강서구 대저중앙로357번길 60-2 (대저1동),,부산광역시 강서구_공장 현황_20250113.csv
윤항공,항공기용 부품 제조업,항공기용 부품,부산광역시 강서구 강동중곡3길 38-3(강동동),051-972-0998,부산광역시 강서구_공장 현황_20250113.csv
정원테크,항공기용 부품 제조업,항공기부품,부산광역시 강서구 평강로171번길 30-21 (대저1동),,부산광역시 강서구_공장 현황_20250113.csv
포스텍,항공기용 부품 제조업,항공기용 연결부품 및 SEAL,부산광역시 강서구 맥도길415번길 70 (대저2동),055-314-8344,부산광역시 강서구_공장 현황_20250113.csv
하스테크(주),항공기용 부품 제조업,항공기부품,부산광역시 강서구 녹산산단46로 85 (송정동),051-974-6558,부산광역시 강서구_공장 현황_20250113.csv
하이즈항공(주),항공기용 부품 제조업,항공기 부품 가공 및 구성품 조립 등,부산광역시 강서구 미음동 0-0번지 국제산업물류도시(1단계) i26B 8L,055-850-8800,부산광역시 강서구_공장 현황_20250113.csv
하이즈항공(주),항공기용 부품 제조업,항공기용 부품,부산광역시 강서구 가리새2로 44 (범방동),055-850-8800,부산광역시 강서구_공장 현황_20250113.csv
한국항공금형,항공기용 부품 제조업,항공기 부품,부산광역시 강서구 미음동 0 번지 I29 5놋트,,부산광역시 강서구_공장 현황_20250113.csv
항공산업,항공기용 부품 제조업,항공기부품,부산광역시 강서구 식만로93번길 17 (죽림동),051-941-3007,부산광역시 강서구_공장 현황_20250113.csv
항공산업,항공기용 부품 제조업,항공기부품,부산광역시 강서구 식만로93번길 17-1 (죽림동),051-941-3007,부산광역시 강서구_공장 현황_20250113.csv
현항공산업(주),항공기용 부품 제조업,항공기 기체부품,부산광역시 강서구 녹산산단46로 91 (송정동) (총 3 필지) 외 2필지,051-832-0270,부산광역시 강서구_공장 현황_20250113.csv
현항공산업(주),항공기용 부품 제조업,항공기 부품류,부산광역시 강서구 녹산산단46로 97 (송정동),051-974-6500,부산광역시 강서구_공장 현황_20250113.csv
현항공산업(주),항공기용 부품 제조업,항공기 부품,부산광역시 강서구 녹산산단27로 138 (송정동),051-974-6512,부산광역시 강서구_공장 현황_20250113.csv
상미사,합성수지 및 기타 플라스틱 물질 제조업,"특수화밑창, 자동차부품 등",부산광역시 강서구 가락대로1397번길 99-12 (봉림동),051-264-6254,부산광역시 강서구_공장 현황_20250113.csv
부원화성(주) 지점,합성섬유 제조업,자동차 시트원단,부산광역시 강서구 미음국제5로라길 11 (미음동),051-831-6723,부산광역시 강서구_공장 현황_20250113.csv
부원화성주식회사,합성섬유 제조업,섬유가공(자동차 시트),부산광역시 강서구 녹산산단382로 17 (송정동),051-831-6723,부산광역시 강서구_공장 현황_20250113.csv
기동산업사,플라스틱 필름 제조업 외 1 종,자동차시트카바,부산광역시 강서구 상덕로97번길 31-1 (강동동),,부산광역시 강서구_공장 현황_20250113.csv
한미케이블(주),"플라스틱 선, 봉, 관 및 호스 제조업 외 5 종","플라스틱튜브등, 우산,양산 부붐품, 자동차부품, 열수축튜브",부산광역시 강서구 녹산산단382로14번가길 9 (송정동),051-831-7151,부산광역시 강서구_공장 현황_20250113.csv
조일산업(주),표면처리 및 적층 직물 제조업 외 6 종,"배합고무, 라텍스, 자동차시트",부산광역시 강서구 녹산산단290로 20 (송정동) 외 2필지,051-831-6030,부산광역시 강서구_공장 현황_20250113.csv
금호기업,트레일러 및 세미트레일러 제조업,컴테이너 부품 및 컨테이너 제작,부산광역시 강서구 봉죽길238번길 181 (봉림동),,부산광역시 강서구_공장 현황_20250113.csv
대한톱(A-one),톱 및 호환성 공구 제조업,기계부품(톱날),부산광역시 강서구 대저중앙로348번길 8-13 (대저1동),051-301-3753,부산광역시 강서구_공장 현황_20250113.csv
한국산업,"탭, 밸브 및 유사장치 제조업 외 2 종",수도부품,부산광역시 강서구 녹산산업중로 67 (송정동),051-972-4800,부산광역시 강서구_공장 현황_20250113.csv
(주)엠제이티,"탭, 밸브 및 유사장치 제조업",반도체 밸브 기계부품,부산광역시 강서구 미음국제9로 3 (생곡동),051-328-2400,부산광역시 강서구_공장 현황_20250113.csv
성진스틸,"탭, 밸브 및 유사장치 제조업","밸브류, 사출 소모품, 자동차 부속부품",부산광역시 강서구 낙동남로622번길 9 (녹산동),051-941-0542,부산광역시 강서구_공장 현황_20250113.csv
조영밸브기계공업,"탭, 밸브 및 유사장치 제조업",밸브부품,부산광역시 강서구 평강로229번가길 15 (대저1동),051-305-1832,부산광역시 강서구_공장 현황_20250113.csv
(주)코리아테크,컨베이어장치 제조업 외 5 종,제철설비 부품,부산광역시 강서구 금호순서길282번나길 37-7 (대저2동),055-3313-6950,부산광역시 강서구_공장 현황_20250113.csv
대훈ENG,컨베이어장치 제조업 외 2 종,컨베이어 벨트 부품류,부산광역시 강서구 제도로1041번길 509 (강동동),051-323-8273,부산광역시 강서구_공장 현황_20250113.csv
주식회사 지온,치과용 기기 제조업,치과용 부품(임플란트 구조물),부산광역시 강서구 낙동북로126번길 16-32 (강동동),050-2007-2875,부산광역시 강서구_공장 현황_20250113.csv
(주)도원플라텍,체외 진단 시약 제조업 외 1 종,의료용품 및 반도체부품,부산광역시 강서구 제도로 1187 (강동동),070-4633-2199,부산광역시 강서구_공장 현황_20250113.csv
(주)성원테크,철도차량 부품 및 관련 장치물 제조업 외 8 종,"철도차량부품, 주물품",부산광역시 강서구 가락대로373번길 147-8 (송정동),051-324-3163,부산광역시 강서구_공장 현황_20250113.csv
