회사명,업종명,생산품,주소,연락처,출처파일
케이지모빌리티인천서비스센터(주),제조업,,"인천광역시 동구 방축로 17 (송현동, 쌍용자동차인천정비사업소(주))",032-584-5501,인천광역시 동구_공장등록현황_20250715.csv
(주)가온테크놀로지,자동차용 신품 전기장치 제조업,,인천광역시 부평구 안남로434번길 57 (청천동) 5층,,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)강남제어시스템,전자부품 실장기판 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 B2층 B235호 외 3필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)경도시스템,자동차용 금속 압형제품 제조업 외 1 종,,인천광역시 부평구 세월천로 227 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)넥스원이노베이션 ,그 외 기타 전자부품 제조업,,"인천광역시 부평구 안남로433번길 19, (주)넥스원이노베이션 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)닥터큐,자동차 재제조 부품 제조업,,"인천광역시 부평구 부평대로 337 4층 420호 (청천동, 부평 제이타워3차 지식산업센터) 4층 420호 외 2필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)닷,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 3층 301호 외 1필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)동우전자,전자부품 실장기판 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) C동 4층 403호 외 4필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)두리엔터프라이즈,그 외 자동차용 신품 부품 제조업 외 4 종,,"인천광역시 부평구 백범로577번길 15 -13(십정동, 공장)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)디앤피파크,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 301 9층 925호 (청천동, 남광센트렉스) 9층 925호 외 7필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)로이전자,그 외 자동차용 신품 부품 제조업 외 3 종,,"인천광역시 부평구 부평대로 301, 5층 524호 (청천동, 남광센트렉스) 5층 524호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)메센무역,자동차용 금속 압형제품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 4층 406호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)메이튼,자동차 차체용 신품 부품 제조업,,인천광역시 부평구 안남로 404 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)모베이스부평공장,그 외 기타 전자부품 제조업 외 2 종,,인천광역시 부평구 새벌로 39 (청천동) 외 1필지,,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)보드랩,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 8층 803-C호 외 2필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)성원산업사,자동차용 금속 압형제품 제조업 외 1 종,,"인천광역시 부평구 가좌로96번길 73 (십정동, 십정동 227-1 공장 (윤동석))",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)세광테크이엔지,자동차용 금속 압형제품 제조업 외 1 종,,인천광역시 부평구 부평북로 39 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)소리아,전자부품 실장기판 제조업,,"인천광역시 부평구 부평대로 337, 9층 949호(청천동, 부평 제이타워3차 지식산업센터) 9층 949호 외 3필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)스마트센서,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) C동 4층 409호 외 3필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)아이에이,전자부품 실장기판 제조업 외 1 종,,"인천광역시 부평구 부평대로329번길 26, 2층(청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)아이에이파워트론,그 외 자동차용 신품 부품 제조업 외 4 종,,"인천광역시 부평구 안남로402번길 25, 2층 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)아이에이파워트론,그 외 자동차용 신품 부품 제조업 외 5 종,,인천광역시 부평구 부평대로329번길 26 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)애니원상사,그 외 기타 전자부품 제조업,,"인천광역시 부평구 새벌로 29, 7층 714호(청천동) 7층 714호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)에스에이치테크,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 301, 6층 602호 (청천동, 남광센트렉스) 6층 602호 외 1필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)에스엠알효상,그 외 자동차용 신품 부품 제조업 외 3 종,,인천광역시 부평구 청천마차로 102(청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)엠제이피엔아이 1공장,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, B동 B1층 B106 (청천동, 부평 우림라이온스밸리)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)엠케이코리아다이스,자동차용 금속 압형제품 제조업 외 1 종,,"인천광역시 부평구 평천로199번길 53, C동 2층 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)엠텍오토,그 외 자동차용 신품 부품 제조업,,인천광역시 부평구 새벌로 12 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)예서,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 301 8층 818-2호 (청천동, 남광센트렉스) 8층 818-2호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)예일전자,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 2층 202호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)오토메스,자동차 차체용 신품 부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 4층 401호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)오토메스,기타 엔지니어링 서비스업,,"인천광역시 부평구 부평대로 293, 8층 811호(청천동, 부평테크시티) 8층 811호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)오토메스 2공장,기타 엔지니어링 서비스업,,"인천광역시 부평구 부평대로 293, 8층 812호(청천동, 부평테크시티) 8층 812호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)오토싱,기타 가정용 전기기기 제조업,,"인천광역시 부평구 부평대로329번길 42, 4층 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)우리티에스,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 B1층 B107호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)우진정공,그 외 자동차용 신품 부품 제조업 외 3 종,,인천광역시 부평구 안남로 379 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)우진피앤티,그 외 자동차용 신품 부품 제조업 외 8 종,,인천광역시 부평구 부평북로 229 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)웰라인시스템,전자부품 실장기판 제조업,,"인천광역시 부평구 주부토로 236,(갈산동) 제비동 7층 710호 외 2필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)이기엔터프라이즈,그 외 자동차용 신품 부품 제조업 외 3 종,,"인천광역시 부평구 부평대로329번길 3, 301호 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)이노테크미디어,전자부품 실장기판 제조업,,"인천광역시 부평구 부평대로 283, B동 4층 406호 (청천동, 부평 우림라이온스밸리)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)일렉켐,그 외 기타 전자부품 제조업 외 1 종,,인천광역시 부평구 평천로115번길 37 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)제이아이에이치,철도차량 부품 및 관련 장치물 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 6층 602호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)제이엔케이테크,전자부품 실장기판 제조업,,인천광역시 부평구 안남로402번길 28 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)진일부품,유선 통신장비 제조업 외 6 종,,인천광역시 부평구 주부토로252번길 15 (갈산동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)케이아이씨텍,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 283, C동 8층 803 (청천동, 부평 우림라이온스밸리)",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)코넥터,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 337, 6층 603호 (청천동, 부평 제이타워3차 지식산업센터) 6층 603호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)패커드코리아,자동차용 신품 전기장치 제조업 외 1 종,,인천광역시 부평구 평천로199번길 53 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)피에스텍,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 337, 3층 333호 (청천동, 부평 제이타워3차 지식산업센터) 3층 333호",,인천광역시 부평구_공장 등록 현황_20251101.csv
(주)효성정밀,자동차용 금속 압형제품 제조업 외 1 종,,인천광역시 부평구 항동로103번길 32 (일신동),,인천광역시 부평구_공장 등록 현황_20251101.csv
CM테크,자동차용 신품 전기장치 제조업,,"인천광역시 부평구 새벌로 29 1층 104호 (청천동, 부평테크노타워) 1층 104호",,인천광역시 부평구_공장 등록 현황_20251101.csv
㈜아이크루컴퍼니,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 703-B호",,인천광역시 부평구_공장 등록 현황_20251101.csv
㈜엘케이,그 외 자동차용 신품 부품 제조업,,인천광역시 부평구 부평북로236번길 11 (청천동) 2층,,인천광역시 부평구_공장 등록 현황_20251101.csv
㈜진일부품,자동차 엔진용 신품 부품 제조업 외 2 종,,"인천광역시 부평구 부평대로 301, 5층 513호(청천동, 남광센트렉스) 5층 513호",,인천광역시 부평구_공장 등록 현황_20251101.csv
㈜크로커스,그 외 기타 전자부품 제조업 외 2 종,,"인천광역시 부평구 평천로199번길 16, 1층 102호(청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
가와테크,그 외 기타 전자부품 제조업,,"인천광역시 부평구 주부토로 236, B동 817호 (갈산동, 인천테크노밸리 U1센터) B동 817호 외 1필지",,인천광역시 부평구_공장 등록 현황_20251101.csv
기반물산,자동차용 신품 의자 제조업 외 2 종,,"인천광역시 부평구 부평대로329번길 26, 426-8 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
기성공업,그 외 자동차용 신품 부품 제조업 외 3 종,,"인천광역시 부평구 가재울로 129 (십정동, 테크노1공장)",,인천광역시 부평구_공장 등록 현황_20251101.csv
넥스윈세미콘,전자부품 실장기판 제조업,,"인천광역시 부평구 부평대로 337, 1층 114호(청천동, 부평 제이타워3차 지식산업센터) 1층 114호",,인천광역시 부평구_공장 등록 현황_20251101.csv
넥스티어오토모티브코리아 유한회사,기타 엔지니어링 서비스업,,"인천광역시 부평구 부평대로 301, 8층 813호 (청천동, 남광센트렉스) 8층 813호",,인천광역시 부평구_공장 등록 현황_20251101.csv
다성하이테크,자동차 차체용 신품 부품 제조업,,"인천광역시 부평구 안남로402번길 84, 2층 202호(청천동, 신우몰드(주))",,인천광역시 부평구_공장 등록 현황_20251101.csv
다온시스템,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) A동 7층 708-B호",,인천광역시 부평구_공장 등록 현황_20251101.csv
대아일렉,전자부품 실장기판 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평우림라이온스밸리) B동 7층 706호",,인천광역시 부평구_공장 등록 현황_20251101.csv
대축테크,그 외 기타 전자부품 제조업 외 1 종,,"인천광역시 부평구 부평대로 301 2층 216호 (청천동, 남광센트렉스) 2층 216호",,인천광역시 부평구_공장 등록 현황_20251101.csv
대현정공(주),자동차용 금속 압형제품 제조업 외 1 종,,"인천광역시 부평구 부평북로 363, C동2호 (삼산동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
더샵코퍼레이션,그 외 기타 전자부품 제조업,,"인천광역시 부평구 백범로577번길 20, (십정동, 경인센타) 공장동 4층 425호",,인천광역시 부평구_공장 등록 현황_20251101.csv
도우덱인터내셔날(주),시계 및 시계부품 제조업,,"인천광역시 부평구 부평대로 337, 3층 339호(청천동, 부평 제이타워3차 지식산업센터) 3층 339호",,인천광역시 부평구_공장 등록 현황_20251101.csv
동신테크,그 외 기타 전자부품 제조업 외 1 종,,인천광역시 부평구 평천로199번길 34 (청천동),,인천광역시 부평구_공장 등록 현황_20251101.csv
라온코리아,전자부품 실장기판 제조업,,"인천광역시 부평구 부평대로 293, 11층 1105호(청천동, 부평테크시티) 11층 1105호",,인천광역시 부평구_공장 등록 현황_20251101.csv
로보웰코리아,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 283, (청천동, 부평 우림라이온스밸리) A동 6층 609호",,인천광역시 부평구_공장 등록 현황_20251101.csv
모션테크날로지(주),그 외 기타 전자부품 제조업 외 5 종,,"인천광역시 부평구 부평대로329번길 42, 426-6,4층 (청천동)",,인천광역시 부평구_공장 등록 현황_20251101.csv
미래테크,그 외 기타 전자부품 제조업,,"인천광역시 부평구 부평대로 283, B동 3층 303호 (청천동, 부평 우림라이온스밸리)",,인천광역시 부평구_공장 등록 현황_20251101.csv
